book,run_label,model,comparator,observed_f1_difference,null_mean,null_sd,z,empirical_p_one_sided,permutations,cluster_unit,nonzero_clusters
genesis,control_random_words,current_only,structure,0.20081466,-0.00034363,0.01441404,13.955715,0.00019996,5000,candidate_word,1217
genesis,control_random_words,adjacent_only,structure,0.42443992,-0.00022305,0.01538939,27.594525,0.00019996,5000,candidate_word,1444
genesis,control_random_words,local_taam,structure,0.47983707,4.855e-05,0.01526007,31.440785,0.00019996,5000,candidate_word,1458
genesis,control_random_words,local_taam,adjacent_only,0.05539715,5.23e-05,0.00772846,7.16117,0.00019996,5000,candidate_word,364
genesis,control_random_words,structure_current,structure,0.3107943,1.45e-05,0.01206783,25.752746,0.00019996,5000,candidate_word,881
genesis,control_random_words,structure_local,structure,0.44195519,0.00012807,0.01436587,30.755324,0.00019996,5000,candidate_word,1281
genesis,control_random_words,structure_local,structure_current,0.1311609,-7.365e-05,0.00966279,13.58143,0.00019996,5000,candidate_word,572
exodus,control_random_words,current_only,structure,0.16777835,6.362e-05,0.0157197,10.669079,0.00019996,5000,candidate_word,959
exodus,control_random_words,adjacent_only,structure,0.40584915,-0.0006237,0.01747279,23.263197,0.00019996,5000,candidate_word,1183
exodus,control_random_words,local_taam,structure,0.44433043,6.157e-05,0.01753589,25.334838,0.00019996,5000,candidate_word,1186
exodus,control_random_words,local_taam,adjacent_only,0.03848127,-0.00028281,0.00979393,3.95797,0.00019996,5000,candidate_word,357
exodus,control_random_words,structure_current,structure,0.28578758,0.00010364,0.01381041,20.686126,0.00019996,5000,candidate_word,723
exodus,control_random_words,structure_local,structure,0.43817342,-0.00026249,0.01638842,26.752786,0.00019996,5000,candidate_word,1030
exodus,control_random_words,structure_local,structure_current,0.15238584,0.00011452,0.01107038,13.754839,0.00019996,5000,candidate_word,459
leviticus,control_random_words,current_only,structure,0.17037606,-1.23e-06,0.01877004,9.077085,0.00019996,5000,candidate_word,596
leviticus,control_random_words,adjacent_only,structure,0.41059094,0.00067659,0.02116153,19.370733,0.00019996,5000,candidate_word,739
leviticus,control_random_words,local_taam,structure,0.46508058,0.00039509,0.02119294,21.926424,0.00019996,5000,candidate_word,764
leviticus,control_random_words,local_taam,adjacent_only,0.05448964,0.00018419,0.01120363,4.847128,0.00019996,5000,candidate_word,219
leviticus,control_random_words,structure_current,structure,0.30775134,-0.00026216,0.01665415,18.4947,0.00019996,5000,candidate_word,465
leviticus,control_random_words,structure_local,structure,0.43821949,-9.609e-05,0.01962604,22.333365,0.00019996,5000,candidate_word,669
leviticus,control_random_words,structure_local,structure_current,0.13046815,-9.547e-05,0.01355051,9.635332,0.00019996,5000,candidate_word,312
numbers,control_random_words,current_only,structure,0.16143251,-0.0002076,0.01605014,10.07095,0.00019996,5000,candidate_word,851
numbers,control_random_words,adjacent_only,structure,0.40936639,-0.00059857,0.01775632,23.088398,0.00019996,5000,candidate_word,1073
numbers,control_random_words,local_taam,structure,0.43746556,2.799e-05,0.01782413,24.541876,0.00019996,5000,candidate_word,1072
numbers,control_random_words,local_taam,adjacent_only,0.02809917,-0.0001805,0.00976896,2.89485,0.0029994,5000,candidate_word,325
numbers,control_random_words,structure_current,structure,0.30523416,-0.00026645,0.01459216,20.935939,0.00019996,5000,candidate_word,688
numbers,control_random_words,structure_local,structure,0.43581267,7.802e-05,0.01688834,25.80091,0.00019996,5000,candidate_word,931
numbers,control_random_words,structure_local,structure_current,0.13057851,-3.085e-05,0.01090018,11.982311,0.00019996,5000,candidate_word,385
deuteronomy,control_random_words,current_only,structure,0.23124647,-0.00024839,0.01741737,13.291035,0.00019996,5000,candidate_word,940
deuteronomy,control_random_words,adjacent_only,structure,0.41003948,0.0004018,0.0178983,22.886961,0.00019996,5000,candidate_word,995
deuteronomy,control_random_words,local_taam,structure,0.45741681,-7.941e-05,0.01812798,25.237022,0.00019996,5000,candidate_word,1037
deuteronomy,control_random_words,local_taam,adjacent_only,0.04737733,-0.00018996,0.01048451,4.536909,0.00019996,5000,candidate_word,356
deuteronomy,control_random_words,structure_current,structure,0.30964467,-0.00024298,0.0147123,21.063167,0.00019996,5000,candidate_word,673
deuteronomy,control_random_words,structure_local,structure,0.44162437,0.00034946,0.01680087,26.265002,0.00019996,5000,candidate_word,911
deuteronomy,control_random_words,structure_local,structure_current,0.1319797,9.7e-06,0.01123456,11.74679,0.00019996,5000,candidate_word,398
