fold,feature,pos_count,neg_count,log_likelihood_ratio,direction,rank
0,taam_next=yetiv,25,1,4.13961573,positive,1
0,taam_next=tipeha+munah,3,0,2.96096073,positive,2
0,taam_prev=munah,770,359,2.33625071,positive,3
0,taam_next=mahapakh+munah,1,0,2.26781355,positive,4
0,taam_next=merkha+tevir,1,0,2.26781355,positive,5
0,taam_next=meteg+telisha_gedola,1,0,2.26781355,positive,6
0,taam_next=qadma+geresh+telisha_qetana,1,0,2.26781355,positive,7
0,taam_prev=mahapakh+pashta+pashta,1,0,2.26781355,positive,8
0,taam_prev=meteg+meteg+qadma,1,0,2.26781355,positive,9
0,taam_prev=munah+pashta,1,0,2.26781355,positive,10
0,taam_next=meteg+mahapakh,2,1,1.98013148,positive,11
0,taam_prev=munah+meteg,2,1,1.98013148,positive,12
0,taam_prev=meteg+geresh,6,5,1.72881705,positive,13
0,taam_prev=meteg+munah,12,11,1.65470908,positive,14
0,taam_next=mahapakh+merkha,1,1,1.57466637,positive,15
0,taam_next=merkha+munah,1,1,1.57466637,positive,16
0,taam_next=merkha+telisha_qetana,1,1,1.57466637,positive,17
0,taam_next=meteg+pashta+pashta,1,1,1.57466637,positive,18
0,taam_prev=mahapakh+munah,1,1,1.57466637,positive,19
0,taam_prev=merkha+munah,1,1,1.57466637,positive,20
0,taam_prev=meteg+pashta+pashta,1,1,1.57466637,positive,21
0,taam_next=meteg+tipeha,18,19,1.52337308,positive,22
0,taam_next=meteg+pashta,26,29,1.46930586,positive,23
0,taam_next=meteg+tevir,5,6,1.42051569,positive,24
0,taam_next=pazer,5,6,1.42051569,positive,25
0,taam_next=telisha_gedola,15,20,1.30273266,positive,26
0,taam_next=meteg+merkha,4,6,1.23819413,positive,27
0,taam_next=meteg+zinor,1,2,1.16920126,positive,28
0,taam_prev=mahapakh+merkha,1,2,1.16920126,positive,29
0,taam_prev=meteg+segol,1,2,1.16920126,positive,30
0,taam_prev=munah+pashta+pashta,1,2,1.16920126,positive,31
0,taam_prev=qadma+geresh,3,5,1.16920126,positive,32
0,taam_prev=pashta+pashta,51,91,1.00412151,positive,33
0,taam_next=mahapakh+qadma,0,1,0.88151919,positive,34
0,taam_next=merkha+meteg,0,1,0.88151919,positive,35
0,taam_next=merkha+qadma,0,1,0.88151919,positive,36
0,taam_next=meteg+meteg+mahapakh,0,1,0.88151919,positive,37
0,taam_next=meteg+qadma,0,1,0.88151919,positive,38
0,taam_next=meteg+telisha_qetana,0,1,0.88151919,positive,39
0,taam_next=munah+merkha,0,1,0.88151919,positive,40
0,taam_next=munah+pashta,0,1,0.88151919,positive,41
0,taam_next=qadma+geresh,1,3,0.88151919,positive,42
0,taam_next=tevir+telisha_qetana,0,1,0.88151919,positive,43
0,taam_next=tipeha+geresh,0,1,0.88151919,positive,44
0,taam_next=tipeha+pashta,0,1,0.88151919,positive,45
0,taam_next=tipeha+zinor,0,1,0.88151919,positive,46
0,taam_next=zarqa,0,1,0.88151919,positive,47
0,taam_prev=mahapakh+meteg,0,1,0.88151919,positive,48
0,taam_prev=mahapakh+qadma,0,1,0.88151919,positive,49
0,taam_prev=merkha+meteg,0,1,0.88151919,positive,50
0,taam_prev=merkha+qadma,0,1,0.88151919,positive,51
0,taam_prev=merkha+telisha_qetana,0,1,0.88151919,positive,52
0,taam_prev=meteg+meteg+mahapakh,0,1,0.88151919,positive,53
0,taam_prev=meteg+pashta,31,63,0.88151919,positive,54
0,taam_prev=meteg+telisha_gedola,0,1,0.88151919,positive,55
0,taam_prev=munah+tevir,0,1,0.88151919,positive,56
0,taam_prev=telisha_qetana+telisha_qetana,0,1,0.88151919,positive,57
0,taam_prev=tevir+telisha_qetana,0,1,0.88151919,positive,58
0,taam_prev=tipeha+geresh,0,1,0.88151919,positive,59
0,taam_prev=tipeha+munah,0,1,0.88151919,positive,60
0,taam_prev=tipeha+pashta,0,1,0.88151919,positive,61
0,taam_prev=tipeha+zinor,0,1,0.88151919,positive,62
0,taam_next=merkha,303,629,0.84597425,positive,63
0,taam_next=telisha_qetana,10,23,0.79450781,positive,64
0,taam_next=qadma,55,122,0.78783371,positive,65
0,taam_prev=pashta,177,410,0.73785671,positive,66
0,taam_next=mahapakh,70,163,0.73747982,positive,67
0,taam_next=tevir,76,188,0.67672478,positive,68
0,taam_next=darga,28,71,0.66529608,positive,69
0,taam_next=zinor,9,24,0.65837564,positive,70
0,taam_prev=geresh,51,131,0.64310817,positive,71
0,taam_next=tipeha,304,878,0.51619325,positive,72
0,taam_next=meteg+darga,0,2,0.47605408,positive,73
0,taam_next=munah+pashta+pashta,0,2,0.47605408,positive,74
0,taam_next=tipeha+qadma,0,2,0.47605408,positive,75
0,taam_prev=meteg+pazer,0,2,0.47605408,positive,76
0,taam_prev=zarqa,0,2,0.47605408,positive,77
0,taam_next=pashta,84,295,0.32695817,positive,78
0,taam_prev=yetiv,10,39,0.28368219,positive,79
0,next_major=0,1427,5578,0.21193169,positive,80
0,next_major=1,1,1430,-4.99831523,negative,1
0,taam_prev=mahapakh,0,445,-4.52565258,negative,2
0,taam_prev=tipeha,1,714,-4.30446899,negative,3
