fold,feature,pos_count,neg_count,log_likelihood_ratio,direction,rank
0,taam_current=munah+pashta+pashta,1,0,2.33954951,positive,1
0,taam_current=tipeha+munah,2,1,2.05186744,positive,2
0,has_visible_taam=0,1318,1478,1.53191002,positive,3
0,taam_current=NONE,1318,1478,1.53191002,positive,4
0,taam_current=meteg,112,218,0.98471842,positive,5
0,taam_current=darga+meteg,0,1,0.95325515,positive,6
0,taam_current=mahapakh+qadma,0,1,0.95325515,positive,7
0,taam_current=merkha+qadma,0,1,0.95325515,positive,8
0,taam_current=merkha_kefula,0,1,0.95325515,positive,9
0,taam_current=meteg+darga,0,1,0.95325515,positive,10
0,taam_current=meteg+geresh+pashta,0,1,0.95325515,positive,11
0,taam_current=meteg+pazer,0,1,0.95325515,positive,12
0,taam_current=munah+merkha,0,1,0.95325515,positive,13
0,taam_current=munah+meteg,0,1,0.95325515,positive,14
0,taam_current=munah+pashta,0,1,0.95325515,positive,15
0,taam_current=munah+qadma,0,1,0.95325515,positive,16
0,taam_current=pazer+geresh,0,1,0.95325515,positive,17
0,taam_current=tipeha+geresh,0,1,0.95325515,positive,18
0,taam_current=tipeha+pashta+pashta,0,1,0.95325515,positive,19
0,taam_current=tipeha+qadma,0,1,0.95325515,positive,20
0,taam_current=tipeha+zinor,0,1,0.95325515,positive,21
0,taam_current=pazer,2,6,0.79910447,positive,22
0,taam_current=meteg+zinor,1,4,0.7301116,positive,23
0,taam_current=mahapakh+munah,0,2,0.54779004,positive,24
0,taam_current=meteg+meteg,0,2,0.54779004,positive,25
0,taam_current=meteg+telisha_qetana,0,2,0.54779004,positive,26
0,taam_current=merkha+munah,0,3,0.26010797,positive,27
0,taam_current=meteg+qadma,0,3,0.26010797,positive,28
0,taam_current=qadma+geresh,0,3,0.26010797,positive,29
0,taam_current=zarqa,0,3,0.26010797,positive,30
0,taam_current=meteg+pashta+pashta,0,4,0.03696442,positive,31
0,taam_current=meteg+segol,0,4,0.03696442,positive,32
0,taam_current=meteg+geresh,0,5,-0.14535714,positive,33
0,taam_current=meteg+gershayim,0,6,-0.29950782,positive,34
0,taam_current=meteg+mahapakh,0,7,-0.43303921,positive,35
0,taam_current=meteg+merkha,0,10,-0.75149294,positive,36
0,taam_current=meteg+tevir,0,11,-0.83850432,positive,37
0,taam_current=munah,85,1195,-0.98598831,positive,38
