fold,feature,pos_count,neg_count,log_likelihood_ratio,direction,rank
0,pos_dist_combo=7_9,6,7,1.44910861,positive,1
0,pos_dist_combo=8_5,13,22,1.08620311,positive,2
0,pos_dist_combo=5_4,48,81,1.06774105,positive,3
0,pos_dist_combo=8_4,16,29,1.01465596,positive,4
0,pos_dist_combo=9_6,8,15,1.00727586,positive,5
0,pos_dist_combo=3_3,81,153,0.95240665,positive,6
0,pos_dist_combo=1_3,106,202,0.94226286,positive,7
0,pos_dist_combo=3_4,68,138,0.88227257,positive,8
0,pos_dist_combo=5_3,51,104,0.87992337,positive,9
0,pos_dist_combo=6_3,44,91,0.86751391,positive,10
0,pos_dist_combo=4_3,65,143,0.80248144,positive,11
0,pos_dist_combo=6_4,32,71,0.80248144,positive,12
0,pos_dist_combo=7_4,21,47,0.80248144,positive,13
0,dist_end=3,535,1173,0.79860216,positive,14
0,pos_dist_combo=3_5,49,110,0.78513281,positive,15
0,pos_dist_combo=9_5,12,28,0.78029353,positive,16
0,pos_dist_combo=2_3,93,210,0.77407665,positive,17
0,pos_dist_combo=6_7,11,26,0.77170979,positive,18
0,pos_dist_combo=10+_4,27,65,0.72518977,positive,19
0,pos_dist_combo=4_8,14,36,0.67977229,positive,20
0,pos_dist_combo=7_3,26,66,0.67378425,positive,21
0,pos_dist_combo=10+_9,1,4,0.66634927,positive,22
0,pos_dist_combo=9_3,15,39,0.66634927,positive,23
0,pos_dist_combo=9_4,9,24,0.66634927,positive,24
0,pos_dist_combo=6_6,15,40,0.64165666,positive,25
0,dist_end=4,385,1000,0.62972259,positive,26
0,pos_dist_combo=10+_5,17,46,0.62286416,positive,27
0,pos_dist_combo=3_9,12,33,0.62122883,positive,28
0,pos_dist_combo=4_4,42,119,0.55634837,positive,29
0,pos_dist_combo=5_6,22,64,0.54374695,positive,30
0,pos_dist_combo=5_5,27,79,0.53281788,positive,31
0,pos_dist_combo=6_5,19,58,0.50083483,positive,32
0,dist_end=5,278,823,0.49968125,positive,33
0,pos_dist_combo=2_5,53,159,0.49645023,positive,34
0,pos_dist_combo=10+_3,34,103,0.49359716,positive,35
0,pos_dist_combo=10+_7,6,20,0.48402771,positive,36
0,pos_dist_combo=8_3,20,62,0.48402771,positive,37
0,pos_dist_combo=9_9,2,8,0.48402771,positive,38
0,pos_dist_combo=4_5,31,96,0.47366493,positive,39
0,pos_dist_combo=5_9,9,30,0.45123789,positive,40
0,pos_dist_combo=3_7,23,74,0.44320572,positive,41
0,pos_dist_combo=7_8,5,18,0.42996049,positive,42
0,pos_dist_combo=4_10+,23,76,0.41688841,positive,43
0,pos_dist_combo=3_10+,31,102,0.41364692,positive,44
0,pos_dist_combo=10+_6,8,28,0.41256875,positive,45
0,rel=Q2,742,2475,0.37893641,positive,46
0,pos_dist_combo=4_7,17,60,0.3621379,positive,47
0,pos_dist_combo=1_4,69,240,0.34633831,positive,48
0,pos_dist_combo=2_4,53,186,0.34051543,positive,49
0,pos_dist_combo=4_6,22,79,0.33610758,positive,50
0,pos_dist_combo=2_8,23,83,0.32987703,positive,51
0,pos_dist_combo=8_9,1,6,0.32987703,positive,52
0,pos_dist_combo=9_10+,1,6,0.32987703,positive,53
0,pos_dist_combo=9_8,1,6,0.32987703,positive,54
0,pos_dist_combo=7_7,8,31,0.31412868,positive,55
0,pos_dist_combo=1_8,27,99,0.30967433,positive,56
0,pos_dist_combo=2_7,26,97,0.29350939,positive,57
0,pos_dist_combo=1_5,49,181,0.29065632,positive,58
0,major_len=21,3,14,0.26088416,positive,59
0,pos_dist_combo=8_8,3,14,0.26088416,positive,60
0,half=first,1351,5073,0.26009552,positive,61
0,pos_dist_combo=3_6,26,101,0.25350405,positive,62
0,major_len=10,207,810,0.22191003,positive,63
0,dist_end=7,129,508,0.21772644,positive,64
0,dist_end=6,174,696,0.20064056,positive,65
0,major_len=17,43,175,0.19634564,positive,66
0,pos_dist_combo=7_6,6,27,0.19634564,positive,67
0,major_len=13,110,451,0.17848802,positive,68
0,dist_end=9,68,282,0.17129961,positive,69
0,pos_dist_combo=1_9,20,86,0.16125432,positive,70
0,major_len=9,214,896,0.15422217,positive,71
0,major_len=11,176,738,0.15349181,positive,72
0,pos_dist_combo=8_7,4,20,0.14755548,positive,73
0,rel=Q3,737,3105,0.14549282,positive,74
0,dist_end=8,94,399,0.14505235,positive,75
0,pos_start=3,321,1361,0.14048206,positive,76
0,major_len=15,92,393,0.13888859,positive,77
0,rel=Q1,389,1654,0.13723045,positive,78
0,pos_dist_combo=8_6,6,29,0.12735277,positive,79
0,major_len=8,235,1011,0.12678796,positive,80
0,dist_end=1,3,2281,-4.76387317,negative,1
0,pos_dist_combo=2_1,0,337,-4.24040589,negative,2
0,pos_dist_combo=4_1,0,319,-4.18568099,negative,3
0,pos_dist_combo=3_1,0,292,-4.09753261,negative,4
0,pos_dist_combo=10+_1,0,262,-3.98951403,negative,5
0,major_len=3,0,239,-3.89799892,negative,6
0,pos_dist_combo=1_1,0,239,-3.89799892,negative,7
0,pos_dist_combo=8_1,0,127,-3.26939026,negative,8
0,pos_dist_combo=5_1,1,247,-3.23764156,negative,9
0,pos_dist_combo=6_1,1,203,-3.04233281,negative,10
0,pos_dist_combo=9_1,0,101,-3.04233281,negative,11
0,pos_dist_combo=7_1,1,154,-2.76763794,negative,12
0,pos_dist_combo=8_2,3,99,-1.63623582,negative,13
0,rel=Q4,112,2486,-1.50880462,negative,14
0,major_len=4,28,637,-1.50840245,negative,15
0,pos_dist_combo=7_2,5,118,-1.40472402,negative,16
0,pos_dist_combo=3_2,22,292,-0.96203839,negative,17
0,pos_dist_combo=9_2,5,74,-0.94308864,negative,18
0,pos_dist_combo=4_2,18,215,-0.84819943,negative,19
0,dist_end=2,175,1863,-0.777356,negative,20
0,pos_dist_combo=5_2,17,187,-0.7634302,negative,21
0,pos_dist_combo=1_2,28,300,-0.75717443,negative,22
0,pos_dist_combo=4_9,2,28,-0.68604354,negative,23
0,pos_dist_combo=6_2,16,151,-0.60802718,negative,24
0,pos_dist_combo=10+_2,19,169,-0.55742616,negative,25
0,pos_dist_combo=5_10+,5,50,-0.55742616,negative,26
0,major_len=20,2,23,-0.49680154,negative,27
0,pos_dist_combo=6_10+,4,38,-0.47148373,negative,28
0,half=second,629,4647,-0.41583248,negative,29
0,pos_dist_combo=6_8,4,34,-0.36327015,negative,30
0,pos_dist_combo=9_7,1,13,-0.36327015,negative,31
0,pos_dist_combo=3_8,9,66,-0.31946753,negative,32
0,pos_dist_combo=6_9,2,19,-0.31447998,negative,33
0,pos_start=10+,115,719,-0.24302102,negative,34
0,pos_start=8,68,421,-0.22825881,negative,35
0,pos_dist_combo=2_2,42,258,-0.21298794,negative,36
0,pos_start=7,89,534,-0.19981708,negative,37
0,pos_dist_combo=7_10+,3,22,-0.16655985,negative,38
