fold,feature,pos_count,neg_count,log_likelihood_ratio,direction,rank
0,taam_next=yetiv,21,1,4.09326959,positive,1
0,taam_next=meteg+mahapakh,2,0,2.79398661,positive,2
0,taam_next=telisha_gedola+gershayim,1,0,2.3885215,positive,3
0,taam_prev=munah,539,292,2.30677085,positive,4
0,taam_next=meteg+tevir,2,1,2.10083943,positive,5
0,taam_next=qadma+geresh,1,1,1.69537432,positive,6
0,taam_prev=qadma+geresh,2,2,1.69537432,positive,7
0,taam_prev=meteg+geresh,2,3,1.40769225,positive,8
0,taam_prev=meteg+munah,4,6,1.35890208,positive,9
0,taam_next=meteg+merkha,3,5,1.28990921,positive,10
0,taam_next=darga,23,40,1.15985608,positive,11
0,taam_prev=meteg+pashta,22,40,1.11729647,positive,12
0,taam_prev=pashta+pashta,35,65,1.08923852,positive,13
0,taam_next=qadma,33,63,1.06285176,positive,14
0,taam_next=mahapakh+tipeha,0,1,1.00222714,positive,15
0,taam_next=merkha+tipeha,0,1,1.00222714,positive,16
0,taam_next=meteg+gershayim,0,1,1.00222714,positive,17
0,taam_next=meteg+meteg+meteg,0,1,1.00222714,positive,18
0,taam_next=meteg+meteg+pashta,0,1,1.00222714,positive,19
0,taam_next=meteg+telisha_qetana,0,1,1.00222714,positive,20
0,taam_next=qadma+merkha,0,1,1.00222714,positive,21
0,taam_prev=geresh_muqdam,0,1,1.00222714,positive,22
0,taam_prev=merkha+meteg,0,1,1.00222714,positive,23
0,taam_prev=merkha_kefula,0,1,1.00222714,positive,24
0,taam_prev=meteg+meteg+pashta,0,1,1.00222714,positive,25
0,taam_prev=pashta,150,301,1.00222714,positive,26
0,taam_prev=qadma+mahapakh,0,1,1.00222714,positive,27
0,taam_prev=qadma+merkha,0,1,1.00222714,positive,28
0,taam_prev=telisha_gedola+gershayim,0,1,1.00222714,positive,29
0,taam_next=mahapakh,49,105,0.94395823,positive,30
0,taam_next=telisha_gedola,7,17,0.8844441,positive,31
0,taam_next=tipeha,292,707,0.81310283,positive,32
0,taam_next=merkha,204,524,0.75498604,positive,33
0,taam_next=zinor,8,25,0.63450236,positive,34
0,taam_next=pazer,1,5,0.59676203,positive,35
0,taam_next=zarqa,0,2,0.59676203,positive,36
0,taam_prev=meteg+gershayim,1,5,0.59676203,positive,37
0,taam_prev=meteg+meteg,0,2,0.59676203,positive,38
0,taam_prev=zarqa,0,2,0.59676203,positive,39
0,taam_next=meteg+tipeha,5,18,0.54269481,positive,40
0,taam_prev=geresh,27,101,0.40260602,positive,41
0,taam_next=tevir,39,162,0.29050357,positive,42
0,taam_next=pashta,61,254,0.28124516,positive,43
0,taam_next=meteg+pashta,6,29,0.24008709,positive,44
0,next_major=0,1054,4557,0.23203115,positive,45
0,taam_next=telisha_qetana,3,17,0.19129692,positive,46
0,taam_next=meteg+qadma,0,4,0.08593641,positive,47
0,taam_prev=meteg+qadma,0,4,0.08593641,positive,48
0,taam_prev=yetiv,6,35,0.05776553,positive,49
0,taam_next=pashta+pashta,10,58,0.01573215,positive,50
0,prev_major=0,1054,5833,-0.01478779,positive,51
0,taam_next=gershayim,1,11,-0.09638515,positive,52
0,taam_next=meteg+segol,0,5,-0.09638515,positive,53
0,taam_prev=meteg+segol,0,5,-0.09638515,positive,54
0,taam_next=meteg+geresh,0,6,-0.25053583,positive,55
0,taam_next=meteg+meteg,2,21,-0.29705585,positive,56
0,taam_prev=NONE,233,1847,-0.37116382,positive,57
0,taam_next=meteg+munah,0,7,-0.38406722,positive,58
0,taam_prev=meteg+tevir,0,9,-0.60721077,positive,59
0,taam_prev=meteg+mahapakh,0,10,-0.70252095,positive,60
0,taam_next=NONE,181,2088,-0.74505976,positive,61
0,taam_next=munah,62,737,-0.76543478,positive,62
0,taam_prev=meteg+merkha,0,11,-0.78953233,positive,63
0,taam_prev=meteg,19,249,-0.83035433,positive,64
0,taam_prev=segol,2,40,-0.91958546,positive,65
0,taam_prev=gershayim,2,51,-1.15725711,positive,66
0,taam_prev=meteg+tipeha,0,17,-1.19499744,positive,67
0,taam_prev=telisha_qetana,2,54,-1.21334658,positive,68
0,taam_next=meteg,35,788,-1.39187306,positive,69
0,taam_prev=pazer,0,22,-1.4401199,positive,70
0,taam_next=geresh,2,83,-1.63683019,positive,71
0,taam_prev=qadma,7,258,-1.7820122,positive,72
0,taam_next=segol,0,42,-2.0658258,positive,73
0,taam_prev=zinor,0,42,-2.0658258,positive,74
0,taam_prev=telisha_gedola,0,46,-2.15477328,positive,75
0,taam_prev=darga,0,128,-3.16443809,positive,76
0,taam_prev=tevir,0,325,-4.09152306,positive,77
0,taam_prev=mahapakh,0,352,-4.17109374,positive,78
0,taam_prev=merkha,1,799,-4.29609023,positive,79
0,taam_prev=tipeha,0,703,-4.86140404,positive,80
0,next_major=1,0,1276,-5.45689454,negative,1
1,taam_next=yetiv,17,1,3.90071487,positive,1
1,taam_next=meteg+mahapakh,2,0,2.80210259,positive,2
1,taam_prev=munah,528,284,2.32198955,positive,3
1,taam_prev=qadma+geresh,2,1,2.10895541,positive,4
1,taam_next=qadma+geresh,1,1,1.7034903,positive,5
1,taam_prev=meteg+geresh,2,2,1.7034903,positive,6
1,taam_prev=meteg+munah,4,5,1.52116874,positive,7
1,taam_next=meteg+tevir,2,3,1.41580823,positive,8
1,taam_next=darga,25,37,1.32400068,positive,9
1,taam_prev=meteg+pashta,20,36,1.13709482,positive,10
1,taam_next=qadma,37,71,1.06441034,positive,11
1,taam_prev=pashta,160,307,1.05479488,positive,12
1,taam_next=mahapakh+tipeha,0,1,1.01034312,positive,13
1,taam_next=merkha+tipeha,0,1,1.01034312,positive,14
1,taam_next=merkha_kefula,0,1,1.01034312,positive,15
1,taam_next=meteg+gershayim,0,1,1.01034312,positive,16
1,taam_next=meteg+telisha_qetana,0,1,1.01034312,positive,17
1,taam_next=munah+meteg,0,1,1.01034312,positive,18
1,taam_next=qadma+merkha,0,1,1.01034312,positive,19
1,taam_prev=mahapakh+tipeha,0,1,1.01034312,positive,20
1,taam_prev=merkha+meteg,0,1,1.01034312,positive,21
1,taam_prev=merkha_kefula,0,1,1.01034312,positive,22
1,taam_prev=meteg+meteg,0,1,1.01034312,positive,23
1,taam_prev=meteg+meteg+pashta,0,1,1.01034312,positive,24
1,taam_prev=meteg+telisha_qetana,0,1,1.01034312,positive,25
1,taam_prev=qadma+merkha,0,1,1.01034312,positive,26
1,taam_prev=pashta+pashta,33,71,0.9531847,positive,27
1,taam_next=meteg+tipeha,7,17,0.89256008,positive,28
1,taam_next=mahapakh,47,118,0.79556782,positive,29
1,taam_next=merkha,207,524,0.77763011,positive,30
1,taam_next=tipeha,286,739,0.75632233,positive,31
1,taam_next=meteg+pashta,10,28,0.73408974,positive,32
1,taam_next=gershayim,2,8,0.60487801,positive,33
1,taam_next=zarqa,0,2,0.60487801,positive,34
1,taam_prev=zarqa,0,2,0.60487801,positive,35
1,taam_next=zinor,7,24,0.56405601,positive,36
1,taam_next=telisha_gedola,4,15,0.54033949,positive,37
1,taam_prev=geresh,29,103,0.46029678,positive,38
1,taam_next=meteg+merkha,1,6,0.45072733,positive,39
1,taam_next=tevir,45,166,0.41413788,positive,40
1,taam_next=meteg+segol,0,3,0.31719594,positive,41
1,taam_prev=meteg+segol,0,3,0.31719594,positive,42
1,taam_next=telisha_qetana,3,16,0.25657131,positive,43
1,next_major=0,1047,4571,0.23042314,positive,44
1,taam_next=pashta,55,249,0.20738107,positive,45
1,taam_next=pashta+pashta,12,58,0.19090221,positive,46
