fold,feature,pos_count,neg_count,log_likelihood_ratio,direction,rank
0,pos_dist_combo=5_3,37,53,1.34329816,positive,1
0,pos_dist_combo=10+_4,26,43,1.20634328,positive,2
0,pos_dist_combo=9_3,11,19,1.18387042,positive,3
0,pos_dist_combo=8_3,15,28,1.09998894,positive,4
0,pos_dist_combo=7_4,15,29,1.06608739,positive,5
0,pos_dist_combo=9_5,7,14,1.06608739,positive,6
0,pos_dist_combo=6_3,22,43,1.04600063,positive,7
0,pos_dist_combo=2_3,51,102,1.01121078,positive,8
0,pos_dist_combo=9_7,2,5,1.00154887,positive,9
0,pos_dist_combo=4_5,23,48,0.98092958,positive,10
0,pos_dist_combo=7_3,21,44,0.97907601,positive,11
0,pos_dist_combo=7_6,7,16,0.94092425,positive,12
0,pos_dist_combo=6_8,4,10,0.90623869,positive,13
0,pos_dist_combo=5_4,22,50,0.89836463,positive,14
0,dist_end=3,296,680,0.86486588,positive,15
0,pos_dist_combo=6_6,9,22,0.86178693,positive,16
0,pos_dist_combo=8_9,2,6,0.84739819,positive,17
0,pos_dist_combo=9_8,2,6,0.84739819,positive,18
0,pos_dist_combo=4_3,26,63,0.83164983,positive,19
0,pos_dist_combo=3_3,42,101,0.83092335,positive,20
0,pos_dist_combo=4_6,16,40,0.81433733,positive,21
0,pos_dist_combo=10+_5,15,38,0.80372312,positive,22
0,pos_dist_combo=10+_3,25,63,0.7939095,positive,23
0,pos_dist_combo=5_10+,16,41,0.79023977,positive,24
0,pos_dist_combo=8_5,7,20,0.72961515,positive,25
0,pos_dist_combo=6_4,17,47,0.7138668,positive,26
0,pos_dist_combo=3_4,27,74,0.70941244,positive,27
0,pos_dist_combo=9_4,6,19,0.64487392,positive,28
0,pos_dist_combo=10+_8,4,14,0.59608376,positive,29
0,pos_dist_combo=3_5,22,68,0.59608376,positive,30
0,pos_dist_combo=3_8,10,32,0.59608376,positive,31
0,pos_dist_combo=8_4,8,26,0.59608376,positive,32
0,pos_dist_combo=9_9,2,8,0.59608376,positive,33
0,dist_end=4,197,605,0.57608309,positive,34
0,pos_dist_combo=5_5,14,45,0.57410485,positive,35
0,pos_dist_combo=4_4,23,74,0.55526177,positive,36
0,pos_dist_combo=4_9,5,18,0.54201654,positive,37
0,pos_dist_combo=5_6,10,35,0.50907238,positive,38
0,pos_dist_combo=6_5,10,36,0.48167341,positive,39
0,dist_end=5,142,494,0.45298292,positive,40
0,pos_dist_combo=3_7,14,51,0.45150253,positive,41
0,pos_dist_combo=4_8,7,27,0.44193308,positive,42
0,pos_dist_combo=7_9,1,6,0.44193308,positive,43
0,pos_dist_combo=1_3,46,164,0.43889818,positive,44
0,pos_dist_combo=2_5,21,77,0.42902967,positive,45
0,pos_dist_combo=2_9,9,36,0.38636323,positive,46
0,pos_dist_combo=2_4,31,120,0.36464141,positive,47
0,pos_dist_combo=2_7,14,57,0.34230324,positive,48
0,pos_dist_combo=3_10+,17,69,0.33657256,positive,49
0,rel=Q2,386,1505,0.33590833,positive,50
0,pos_dist_combo=7_8,3,15,0.30840169,positive,51
0,pos_dist_combo=8_8,1,7,0.30840169,positive,52
0,pos_dist_combo=9_10+,2,11,0.30840169,positive,53
0,major_len=20,27,112,0.29951274,positive,54
0,rel=Q3,434,1796,0.27616819,positive,55
0,major_len=10,109,463,0.25529186,positive,56
0,dist_end=8,57,244,0.25388085,positive,57
0,major_len=22,3,16,0.24777707,positive,58
0,major_len=12,82,353,0.24423974,positive,59
0,pos_dist_combo=6_10+,6,29,0.23940882,positive,60
0,major_len=21,5,25,0.22835898,positive,61
0,pos_dist_combo=4_7,7,34,0.21878953,positive,62
0,major_len=11,103,455,0.21659414,positive,63
0,pos_start=5,116,512,0.21659414,positive,64
0,pos_dist_combo=5_7,4,21,0.21309151,positive,65
0,pos_dist_combo=5_8,4,21,0.21309151,positive,66
0,dist_end=6,89,399,0.20304117,positive,67
0,pos_dist_combo=10+_6,5,26,0.19061865,positive,68
0,pos_dist_combo=3_6,12,58,0.18210796,positive,69
0,pos_dist_combo=2_8,10,49,0.18056832,positive,70
0,major_len=9,114,534,0.15736143,positive,71
0,pos_dist_combo=3_9,5,27,0.15425101,positive,72
0,half=first,669,3150,0.14649862,positive,73
0,pos_dist_combo=4_10+,12,61,0.13251102,positive,74
0,major_len=19,23,115,0.11915969,positive,75
0,pos_start=4,132,653,0.10193782,positive,76
0,pos_dist_combo=1_8,12,63,0.10076232,positive,77
0,pos_start=3,166,823,0.09851933,positive,78
0,pos_dist_combo=7_7,2,14,0.08525814,positive,79
0,pos_dist_combo=8_6,2,14,0.08525814,positive,80
