fold,feature,pos_count,neg_count,log_likelihood_ratio,direction,rank
0,taam_next=yetiv,21,1,4.0929335,positive,1
0,taam_next=meteg+mahapakh,2,0,2.79365052,positive,2
0,taam_next=telisha_gedola+gershayim,1,0,2.38818541,positive,3
0,taam_prev=munah,539,292,2.30643476,positive,4
0,taam_next=meteg+tevir,2,1,2.10050334,positive,5
0,taam_next=qadma+geresh,1,1,1.69503823,positive,6
0,taam_prev=qadma+geresh,2,2,1.69503823,positive,7
0,has_visible_taam=0,936,1060,1.57075437,positive,8
0,taam_current=NONE,936,1060,1.57075437,positive,9
0,taam_prev=meteg+geresh,2,3,1.40735616,positive,10
0,taam_prev=meteg+munah,4,6,1.35856599,positive,11
0,pos_dist_combo=5_3,37,53,1.34364034,positive,12
0,taam_current=meteg+qadma,1,2,1.28957312,positive,13
0,taam_next=meteg+merkha,3,5,1.28957312,positive,14
0,pos_dist_combo=10+_4,26,43,1.20668546,positive,15
0,pos_dist_combo=9_3,11,19,1.18421261,positive,16
0,taam_next=darga,23,40,1.15951999,positive,17
0,taam_prev=meteg+pashta,22,40,1.11696038,positive,18
0,pos_dist_combo=8_3,15,28,1.10033112,positive,19
0,taam_prev=pashta+pashta,35,65,1.08890243,positive,20
0,pos_dist_combo=7_4,15,29,1.06642957,positive,21
0,pos_dist_combo=9_5,7,14,1.06642957,positive,22
0,taam_next=qadma,33,63,1.06251567,positive,23
0,pos_dist_combo=6_3,22,43,1.04634281,positive,24
0,pos_dist_combo=2_3,51,102,1.01155296,positive,25
0,pos_dist_combo=9_7,2,5,1.00189105,positive,26
0,taam_current=mahapakh+tipeha,0,1,1.00189105,positive,27
0,taam_current=merkha+meteg,0,1,1.00189105,positive,28
0,taam_current=merkha+tipeha,0,1,1.00189105,positive,29
0,taam_current=merkha_kefula,0,1,1.00189105,positive,30
0,taam_current=meteg+gershayim,0,1,1.00189105,positive,31
0,taam_current=meteg+meteg,0,1,1.00189105,positive,32
0,taam_current=meteg+telisha_qetana,0,1,1.00189105,positive,33
0,taam_current=munah+meteg,0,1,1.00189105,positive,34
0,taam_current=qadma+geresh,0,1,1.00189105,positive,35
0,taam_next=mahapakh+tipeha,0,1,1.00189105,positive,36
0,taam_next=merkha+tipeha,0,1,1.00189105,positive,37
0,taam_next=meteg+gershayim,0,1,1.00189105,positive,38
0,taam_next=meteg+meteg+meteg,0,1,1.00189105,positive,39
0,taam_next=meteg+meteg+pashta,0,1,1.00189105,positive,40
0,taam_next=meteg+telisha_qetana,0,1,1.00189105,positive,41
0,taam_next=qadma+merkha,0,1,1.00189105,positive,42
0,taam_prev=geresh_muqdam,0,1,1.00189105,positive,43
0,taam_prev=merkha+meteg,0,1,1.00189105,positive,44
0,taam_prev=merkha_kefula,0,1,1.00189105,positive,45
0,taam_prev=meteg+meteg+pashta,0,1,1.00189105,positive,46
0,taam_prev=pashta,150,301,1.00189105,positive,47
0,taam_prev=qadma+mahapakh,0,1,1.00189105,positive,48
0,taam_prev=qadma+merkha,0,1,1.00189105,positive,49
0,taam_prev=telisha_gedola+gershayim,0,1,1.00189105,positive,50
0,pos_dist_combo=4_5,23,48,0.98127176,positive,51
0,pos_dist_combo=7_3,21,44,0.97941819,positive,52
0,taam_next=mahapakh,49,105,0.94362214,positive,53
0,pos_dist_combo=7_6,7,16,0.94126643,positive,54
0,pos_dist_combo=6_8,4,10,0.90658087,positive,55
0,pos_dist_combo=5_4,22,50,0.89870681,positive,56
0,taam_next=telisha_gedola,7,17,0.88410801,positive,57
0,dist_end=3,296,680,0.86520806,positive,58
0,pos_dist_combo=6_6,9,22,0.86212911,positive,59
0,pos_dist_combo=8_9,2,6,0.84774037,positive,60
0,pos_dist_combo=9_8,2,6,0.84774037,positive,61
0,pos_dist_combo=4_3,26,63,0.83199201,positive,62
0,pos_dist_combo=3_3,42,101,0.83126553,positive,63
0,pos_dist_combo=4_6,16,40,0.81467951,positive,64
0,taam_next=tipeha,292,707,0.81276675,positive,65
0,pos_dist_combo=10+_5,15,38,0.80406531,positive,66
0,pos_dist_combo=10+_3,25,63,0.79425169,positive,67
0,pos_dist_combo=5_10+,16,41,0.79058196,positive,68
0,taam_next=merkha,204,524,0.75464995,positive,69
0,pos_dist_combo=8_5,7,20,0.72995733,positive,70
0,pos_dist_combo=6_4,17,47,0.71420898,positive,71
0,pos_dist_combo=3_4,27,74,0.70975463,positive,72
0,taam_current=meteg,58,166,0.65458186,positive,73
0,pos_dist_combo=9_4,6,19,0.64521611,positive,74
0,taam_next=zinor,8,25,0.63416627,positive,75
0,pos_dist_combo=10+_8,4,14,0.59642594,positive,76
0,pos_dist_combo=3_5,22,68,0.59642594,positive,77
0,pos_dist_combo=3_8,10,32,0.59642594,positive,78
0,pos_dist_combo=8_4,8,26,0.59642594,positive,79
0,pos_dist_combo=9_9,2,8,0.59642594,positive,80
