fold,feature,pos_count,neg_count,log_likelihood_ratio,direction,rank
0,taam_next=yetiv,26,1,4.24930481,positive,1
0,taam_prev=meteg+munah,8,2,2.74522742,positive,2
0,taam_prev=munah+meteg,2,0,2.74522742,positive,3
0,taam_prev=munah,746,363,2.36552645,positive,4
0,taam_next=mahapakh+meteg,1,0,2.33976231,positive,5
0,taam_next=meteg+gershayim,1,0,2.33976231,positive,6
0,taam_prev=meteg+pashta+pashta,2,1,2.05208024,positive,7
0,taam_next=meteg+merkha,7,5,1.9342972,positive,8
0,taam_next=meteg+pashta+pashta,1,1,1.64661513,positive,9
0,taam_next=meteg+pazer,1,1,1.64661513,positive,10
0,has_visible_taam=0,1273,1363,1.57835513,positive,11
0,taam_current=NONE,1273,1363,1.57835513,positive,12
0,taam_next=meteg+tipeha,11,12,1.56657242,positive,13
0,taam_prev=pashta+pashta,54,73,1.34988322,positive,14
0,taam_next=qadma,54,79,1.27192168,positive,15
0,taam_next=meteg+zinor,1,2,1.24115002,positive,16
0,taam_prev=pashta,252,403,1.17858974,positive,17
0,taam_next=darga,34,56,1.15891192,positive,18
0,taam_next=gershayim,7,13,1.08699934,positive,19
0,taam_next=pazer,4,8,1.05882846,positive,20
0,taam_current=meteg,111,206,1.03239521,positive,21
0,taam_current=mahapakh+meteg,0,1,0.95346795,positive,22
0,taam_current=meteg+darga,0,1,0.95346795,positive,23
0,taam_current=meteg+meteg,0,1,0.95346795,positive,24
0,taam_current=meteg+segol,0,1,0.95346795,positive,25
0,taam_current=meteg+telisha_qetana,0,1,0.95346795,positive,26
0,taam_current=yerah_ben_yomo,0,1,0.95346795,positive,27
0,taam_current=zarqa,0,1,0.95346795,positive,28
0,taam_next=meteg+darga,0,1,0.95346795,positive,29
0,taam_next=meteg+qadma,0,1,0.95346795,positive,30
0,taam_next=meteg+qarney_para,0,1,0.95346795,positive,31
0,taam_next=qadma+geresh,0,1,0.95346795,positive,32
0,taam_next=qadma+mahapakh,0,1,0.95346795,positive,33
0,taam_next=yerah_ben_yomo,0,1,0.95346795,positive,34
0,taam_prev=meteg+mahapakh,0,1,0.95346795,positive,35
0,taam_prev=meteg+qarney_para,0,1,0.95346795,positive,36
0,taam_prev=meteg+telisha_qetana,0,1,0.95346795,positive,37
0,taam_prev=qadma+mahapakh,0,1,0.95346795,positive,38
0,taam_prev=telisha_gedola+meteg,0,1,0.95346795,positive,39
0,taam_prev=zarqa,0,1,0.95346795,positive,40
0,taam_next=meteg+pashta,11,24,0.91264595,positive,41
0,taam_next=mahapakh,69,156,0.83886457,positive,42
0,taam_next=meteg+munah,2,6,0.79931727,positive,43
0,taam_next=meteg+tevir,2,6,0.79931727,positive,44
0,taam_next=tipeha,434,1014,0.79931727,positive,45
0,taam_prev=meteg+pashta,25,61,0.77757728,positive,46
0,taam_next=merkha,288,715,0.73936165,positive,47
0,taam_next=telisha_gedola,5,14,0.7303244,positive,48
0,taam_prev=geresh,43,127,0.5787745,positive,49
0,taam_current=meteg+gershayim,0,2,0.54800284,positive,50
0,taam_current=meteg+pazer,0,2,0.54800284,positive,51
0,taam_current=meteg+qadma,0,2,0.54800284,positive,52
0,taam_current=qadma+geresh,0,2,0.54800284,positive,53
0,taam_next=meteg+geresh,0,2,0.54800284,positive,54
0,taam_next=meteg+segol,0,2,0.54800284,positive,55
0,taam_prev=mahapakh+meteg,0,2,0.54800284,positive,56
0,taam_prev=merkha_kefula,0,2,0.54800284,positive,57
0,taam_prev=meteg+darga,0,2,0.54800284,positive,58
0,taam_prev=meteg+pazer,0,2,0.54800284,positive,59
0,taam_prev=meteg+qadma,0,2,0.54800284,positive,60
0,taam_prev=meteg+segol,0,2,0.54800284,positive,61
0,taam_next=pashta+pashta,19,62,0.49921268,positive,62
0,taam_next=telisha_qetana,5,18,0.49393562,positive,63
0,taam_prev=yetiv,13,46,0.43552486,positive,64
0,taam_next=tevir,65,227,0.40692424,positive,65
0,taam_current=meteg+geresh,0,3,0.26032077,positive,66
0,taam_current=meteg+pashta+pashta,0,3,0.26032077,positive,67
0,taam_prev=meteg+zinor,0,3,0.26032077,positive,68
0,next_major=0,1476,5943,0.25424582,positive,69
0,taam_next=pashta,64,304,0.10069062,positive,70
0,taam_next=zinor,7,37,0.08847051,positive,71
0,taam_current=meteg+zinor,0,4,0.03717722,positive,72
0,prev_major=0,1477,7752,-0.01077491,positive,73
0,taam_prev=segol,11,67,-0.08798593,positive,74
0,taam_prev=qadma+geresh,0,6,-0.29929502,positive,75
0,taam_current=munah+meteg,0,7,-0.43282641,positive,76
0,taam_prev=meteg+geresh,0,7,-0.43282641,positive,77
0,taam_prev=meteg+gershayim,0,7,-0.43282641,positive,78
0,taam_prev=NONE,274,2379,-0.51146954,positive,79
0,taam_next=munah+meteg,0,9,-0.65596996,positive,80
0,taam_current=tipeha,0,1651,-5.76312683,negative,1
0,taam_prev=merkha,0,1079,-5.33810119,negative,2
0,taam_prev=tipeha,0,1016,-5.27799727,negative,3
0,next_major=1,1,1809,-5.16131981,negative,4
0,taam_current=pashta,0,533,-4.63378071,negative,5
0,taam_prev=tevir,0,447,-4.4581781,negative,6
0,taam_prev=mahapakh,0,444,-4.45145915,negative,7
0,taam_current=tevir,0,385,-4.30922224,negative,8
0,taam_current=merkha,5,1210,-3.66082715,negative,9
0,taam_prev=darga,0,180,-3.5518819,negative,10
0,taam_current=geresh,0,159,-3.42855869,negative,11
0,taam_current=mahapakh,1,305,-3.38382279,negative,12
0,taam_current=pashta+pashta,0,104,-3.00734522,negative,13
0,taam_next=geresh,0,97,-2.93835235,negative,14
0,taam_current=segol,0,75,-2.68411821,negative,15
0,taam_current=zinor,0,71,-2.63005099,negative,16
0,taam_next=segol,0,70,-2.61606475,negative,17
0,taam_prev=zinor,0,70,-2.61606475,negative,18
0,taam_prev=telisha_qetana,0,62,-2.4965196,negative,19
0,taam_current=meteg+pashta,0,50,-2.2852105,negative,20
0,taam_current=gershayim,0,46,-2.20353247,negative,21
0,taam_prev=meteg+tipeha,0,43,-2.13757451,negative,22
0,taam_prev=telisha_gedola,0,42,-2.11458499,negative,23
0,taam_current=meteg+tipeha,0,33,-1.8797454,negative,24
0,taam_current=telisha_qetana,0,33,-1.8797454,negative,25
0,taam_next=meteg+meteg,0,31,-1.81912077,negative,26
0,has_visible_taam=1,204,6389,-1.79286444,negative,27
0,taam_current=darga,3,123,-1.78737208,negative,28
0,taam_current=yetiv,0,27,-1.68558938,negative,29
0,taam_next=meteg,41,1137,-1.65274287,negative,30
0,taam_current=qadma,6,180,-1.60597175,negative,31
0,taam_current=telisha_gedola,0,24,-1.5722607,negative,32
0,taam_prev=pazer,0,24,-1.5722607,negative,33
0,taam_prev=qadma,15,325,-1.36769353,negative,34
0,taam_prev=gershayim,3,79,-1.34911714,negative,35
0,taam_current=pazer,0,17,-1.24375663,negative,36
0,taam_prev=meteg+merkha,0,16,-1.18659822,negative,37
0,taam_prev=meteg+tevir,0,16,-1.18659822,negative,38
0,taam_current=munah,78,1093,-0.981533,negative,39
0,taam_next=munah,69,880,-0.88594726,negative,40
0,taam_current=meteg+merkha,0,11,-0.83829152,negative,41
0,taam_current=meteg+munah,0,11,-0.83829152,negative,42
0,taam_prev=meteg,29,346,-0.80151227,negative,43
0,taam_next=NONE,248,2757,-0.75819303,negative,44
0,taam_current=meteg+tevir,0,10,-0.75128014,negative,45
1,taam_next=yetiv,29,1,4.3864947,positive,1
1,taam_prev=meteg+munah,12,2,3.14478157,positive,2
1,taam_prev=munah+meteg,3,0,3.06473886,positive,3
1,taam_next=mahapakh+meteg,1,0,2.37159168,positive,4
1,taam_prev=munah,726,368,2.35657433,positive,5
1,taam_next=meteg+tipeha,17,10,2.17092098,positive,6
1,taam_prev=meteg+pashta+pashta,2,1,2.0839096,positive,7
1,taam_next=meteg+merkha,6,5,1.83259518,positive,8
1,taam_next=gershayim,11,10,1.76545587,positive,9
1,taam_next=meteg+gershayim,1,1,1.6784445,positive,10
1,taam_next=meteg+zinor,1,1,1.6784445,positive,11
1,taam_next=qadma+geresh,1,1,1.6784445,positive,12
1,has_visible_taam=0,1227,1394,1.55093691,positive,13
1,taam_current=NONE,1227,1394,1.55093691,positive,14
1,taam_prev=pashta+pashta,48,72,1.27980535,positive,15
1,taam_next=meteg+pashta+pashta,1,2,1.27297939,positive,16
1,taam_next=meteg+pazer,1,2,1.27297939,positive,17
1,taam_next=meteg+tevir,3,5,1.27297939,positive,18
1,taam_next=qadma,54,84,1.24312643,positive,19
1,taam_prev=pashta,245,388,1.22019669,positive,20
1,taam_next=pazer,4,7,1.20844087,positive,21
1,taam_prev=meteg+pashta,26,48,1.08246106,positive,22
1,taam_next=darga,30,56,1.06938043,positive,23
1,taam_current=meteg,112,208,1.06349806,positive,24
1,taam_current=mahapakh+meteg,0,1,0.98529732,positive,25
1,taam_current=meteg+qarney_para,0,1,0.98529732,positive,26
1,taam_current=meteg+telisha_qetana,0,1,0.98529732,positive,27
1,taam_current=qadma+geresh,0,1,0.98529732,positive,28
1,taam_current=qadma+mahapakh,0,1,0.98529732,positive,29
1,taam_current=zarqa,0,1,0.98529732,positive,30
1,taam_next=meteg+darga,0,1,0.98529732,positive,31
1,taam_next=meteg+telisha_qetana,0,1,0.98529732,positive,32
1,taam_next=qadma+mahapakh,0,1,0.98529732,positive,33
1,taam_next=zarqa,0,1,0.98529732,positive,34
1,taam_prev=merkha_kefula,0,1,0.98529732,positive,35
1,taam_prev=meteg+qadma+geresh,0,1,0.98529732,positive,36
1,taam_prev=meteg+qarney_para,0,1,0.98529732,positive,37
1,taam_prev=meteg+segol,0,1,0.98529732,positive,38
1,taam_prev=meteg+telisha_qetana,0,1,0.98529732,positive,39
1,taam_prev=qadma+mahapakh,0,1,0.98529732,positive,40
1,taam_prev=telisha_gedola+meteg,0,1,0.98529732,positive,41
1,taam_prev=yerah_ben_yomo,0,1,0.98529732,positive,42
1,taam_prev=zarqa,0,1,0.98529732,positive,43
1,taam_next=mahapakh,69,154,0.88351462,positive,44
1,taam_next=tipeha,407,994,0.78696893,positive,45
1,taam_next=telisha_gedola,5,14,0.76215376,positive,46
1,taam_next=merkha,277,719,0.7268144,positive,47
1,taam_next=meteg+pashta,10,30,0.64235256,positive,48
1,taam_next=tevir,73,216,0.60261224,positive,49
1,taam_current=merkha_kefula,0,2,0.57983221,positive,50
1,taam_current=meteg+darga,0,2,0.57983221,positive,51
1,taam_current=meteg+gershayim,0,2,0.57983221,positive,52
1,taam_current=meteg+meteg,0,2,0.57983221,positive,53
1,taam_current=meteg+qadma,0,2,0.57983221,positive,54
1,taam_current=meteg+segol,0,2,0.57983221,positive,55
1,taam_next=meteg+qadma,0,2,0.57983221,positive,56
1,taam_next=meteg+segol,0,2,0.57983221,positive,57
1,taam_prev=mahapakh+meteg,0,2,0.57983221,positive,58
1,taam_prev=meteg+mahapakh,0,2,0.57983221,positive,59
1,taam_next=pashta+pashta,20,69,0.47447169,positive,60
1,taam_prev=segol,15,59,0.35668866,positive,61
1,taam_prev=geresh,34,131,0.35099064,positive,62
1,taam_current=meteg+pazer,0,3,0.29215014,positive,63
1,taam_current=meteg+zinor,0,3,0.29215014,positive,64
1,taam_prev=meteg+darga,0,3,0.29215014,positive,65
1,taam_prev=meteg+pazer,0,3,0.29215014,positive,66
1,taam_prev=meteg+qadma,0,3,0.29215014,positive,67
1,next_major=0,1434,5956,0.25504235,positive,68
1,taam_prev=yetiv,11,52,0.19305923,positive,69
1,taam_next=pashta,65,312,0.12189605,positive,70
1,taam_current=meteg+geresh,0,4,0.06900658,positive,71
1,taam_current=meteg+pashta+pashta,0,4,0.06900658,positive,72
1,taam_next=meteg+geresh,0,4,0.06900658,positive,73
1,taam_prev=meteg+zinor,0,4,0.06900658,positive,74
1,prev_major=0,1437,7792,-0.01152814,positive,75
1,taam_next=telisha_qetana,4,28,-0.07941342,positive,76
1,taam_prev=meteg+geresh,0,5,-0.11331497,positive,77
1,taam_next=zinor,6,45,-0.20428675,positive,78
1,taam_current=munah+meteg,0,7,-0.40099705,positive,79
1,taam_prev=NONE,269,2406,-0.50926998,positive,80
1,taam_current=tipeha,0,1637,-5.72278677,negative,1
1,taam_prev=merkha,0,1055,-5.28379897,negative,2
1,taam_current=pashta,0,525,-4.58685672,negative,3
1,next_major=1,3,1836,-4.45115023,negative,4
1,taam_prev=mahapakh,0,449,-4.43080309,negative,5
1,taam_prev=tevir,0,437,-4.40377441,negative,6
1,taam_current=tevir,0,397,-4.30800751,negative,7
1,taam_prev=tipeha,2,1052,-4.18234173,negative,8
1,taam_current=merkha,5,1211,-3.6298232,negative,9
1,taam_prev=darga,0,194,-3.59455506,negative,10
1,taam_current=mahapakh,1,299,-3.3321908,negative,11
1,taam_current=geresh,0,145,-3.30516213,negative,12
1,taam_current=pashta+pashta,0,110,-3.0310857,negative,13
1,taam_prev=zinor,0,77,-2.67826433,negative,14
1,taam_current=segol,0,76,-2.66536093,negative,15
1,taam_next=segol,0,74,-2.63904362,negative,16
1,taam_prev=telisha_qetana,0,74,-2.63904362,negative,17
1,taam_current=zinor,0,63,-2.48043859,negative,18
1,taam_current=darga,1,120,-2.42419887,negative,19
1,taam_prev=meteg+tipeha,0,49,-2.23357851,negative,20
1,taam_current=meteg+pashta,0,48,-2.2133758,negative,21
1,taam_current=gershayim,0,46,-2.17170311,negative,22
1,taam_next=geresh,1,92,-2.16100782,negative,23
1,taam_prev=telisha_gedola,0,39,-2.01043496,negative,24
1,taam_current=telisha_qetana,0,37,-1.95914166,negative,25
1,taam_current=yetiv,0,35,-1.90507444,negative,26
1,taam_current=meteg+tipeha,0,34,-1.87690356,negative,27
1,taam_next=meteg+meteg,0,34,-1.87690356,negative,28
1,taam_next=meteg,34,1163,-1.82582507,negative,29
1,has_visible_taam=1,210,6398,-1.73359438,negative,30
1,taam_prev=pazer,0,26,-1.61739237,negative,31
1,taam_current=qadma,6,184,-1.59600118,negative,32
1,taam_current=telisha_gedola,0,25,-1.57965204,negative,33
1,taam_current=pazer,0,23,-1.49960933,negative,34
1,taam_prev=gershayim,3,84,-1.3779124,negative,35
1,taam_prev=qadma,14,314,-1.36607794,negative,36
1,taam_prev=meteg+tevir,0,16,-1.15476885,negative,37
1,taam_prev=meteg+merkha,0,14,-1.0296057,negative,38
1,taam_next=munah,62,931,-1.01575359,negative,39
1,taam_current=meteg+tevir,0,12,-0.88650486,negative,40
1,taam_current=munah,85,1103,-0.87390343,negative,41
1,taam_prev=meteg,27,338,-0.8153511,negative,42
1,taam_current=meteg+merkha,0,11,-0.80646215,negative,43
1,taam_next=NONE,244,2703,-0.72278473,negative,44
1,taam_current=meteg+munah,0,10,-0.71945078,negative,45
1,taam_next=munah+meteg,0,9,-0.6241406,negative,46
1,taam_next=meteg+munah,0,8,-0.51878008,negative,47
1,taam_prev=meteg+gershayim,0,8,-0.51878008,negative,48
1,taam_prev=qadma+geresh,0,8,-0.51878008,negative,49
2,taam_next=yetiv,25,1,4.24108306,positive,1
2,taam_prev=munah+meteg,3,0,3.06242806,positive,2
2,taam_prev=meteg+munah,10,2,2.97541669,positive,3
2,taam_next=mahapakh+meteg,1,0,2.36928088,positive,4
2,taam_prev=munah,747,373,2.36928088,positive,5
2,taam_next=meteg+merkha,7,5,1.96381577,positive,6
2,taam_next=meteg+tipeha,17,13,1.92744813,positive,7
2,taam_next=meteg+gershayim,1,1,1.6761337,positive,8
2,taam_next=meteg+pashta+pashta,1,1,1.6761337,positive,9
2,taam_next=meteg+pazer,1,1,1.6761337,positive,10
2,taam_next=meteg+zinor,1,1,1.6761337,positive,11
2,taam_next=qadma+geresh,1,1,1.6761337,positive,12
2,has_visible_taam=0,1259,1372,1.5902473,positive,13
2,taam_current=NONE,1259,1372,1.5902473,positive,14
2,taam_next=gershayim,10,14,1.36597877,positive,15
2,taam_next=darga,37,53,1.32473581,positive,16
2,taam_next=qadma,49,74,1.27066859,positive,17
2,taam_prev=meteg+pashta+pashta,1,2,1.27066859,positive,18
2,taam_prev=pashta+pashta,51,77,1.27066859,positive,19
2,taam_prev=pashta,234,387,1.17471388,positive,20
2,taam_current=mahapakh+meteg,0,1,0.98298652,positive,21
2,taam_current=meteg+qadma,0,1,0.98298652,positive,22
2,taam_current=meteg+qarney_para,0,1,0.98298652,positive,23
2,taam_current=qadma+geresh,0,1,0.98298652,positive,24
2,taam_current=qadma+mahapakh,0,1,0.98298652,positive,25
2,taam_current=yerah_ben_yomo,0,1,0.98298652,positive,26
2,taam_current=zarqa,0,1,0.98298652,positive,27
2,taam_next=meteg+darga,0,1,0.98298652,positive,28
2,taam_next=meteg+qarney_para,0,1,0.98298652,positive,29
2,taam_next=meteg+telisha_qetana,0,1,0.98298652,positive,30
2,taam_next=qadma+mahapakh,0,1,0.98298652,positive,31
2,taam_next=yerah_ben_yomo,0,1,0.98298652,positive,32
2,taam_next=zarqa,0,1,0.98298652,positive,33
2,taam_prev=meteg+mahapakh,0,1,0.98298652,positive,34
2,taam_prev=meteg+qadma+geresh,0,1,0.98298652,positive,35
2,taam_prev=meteg+qarney_para,0,1,0.98298652,positive,36
2,taam_prev=qadma+mahapakh,0,1,0.98298652,positive,37
2,taam_prev=yerah_ben_yomo,0,1,0.98298652,positive,38
2,taam_prev=zarqa,0,1,0.98298652,positive,39
2,taam_next=meteg+pashta,13,28,0.9478952,positive,40
2,taam_current=meteg,105,219,0.94594525,positive,41
2,taam_prev=meteg+pashta,23,50,0.9223619,positive,42
2,taam_next=meteg+munah,2,6,0.82883584,positive,43
2,taam_next=meteg+tevir,2,6,0.82883584,positive,44
2,taam_next=mahapakh,66,160,0.79942196,positive,45
2,taam_next=tipeha,406,988,0.78825256,positive,46
2,taam_next=merkha,289,712,0.7765332,positive,47
2,taam_next=telisha_gedola,5,14,0.75984297,positive,48
2,taam_current=merkha_kefula,0,2,0.57752141,positive,49
2,taam_current=meteg+darga,0,2,0.57752141,positive,50
2,taam_current=meteg+gershayim,0,2,0.57752141,positive,51
2,taam_current=meteg+meteg,0,2,0.57752141,positive,52
2,taam_current=meteg+pashta+pashta,0,2,0.57752141,positive,53
2,taam_current=meteg+segol,0,2,0.57752141,positive,54
2,taam_next=meteg+qadma,0,2,0.57752141,positive,55
2,taam_next=meteg+segol,0,2,0.57752141,positive,56
2,taam_prev=mahapakh+meteg,0,2,0.57752141,positive,57
2,taam_prev=merkha_kefula,0,2,0.57752141,positive,58
2,taam_prev=meteg+segol,0,2,0.57752141,positive,59
2,taam_prev=meteg+zinor,0,2,0.57752141,positive,60
2,taam_prev=geresh,38,117,0.56901072,positive,61
2,taam_next=tevir,70,225,0.51827858,positive,62
2,taam_next=pashta+pashta,20,67,0.50114843,positive,63
2,taam_prev=yetiv,13,45,0.48654963,positive,64
2,taam_current=meteg+pazer,0,3,0.28983934,positive,65
2,taam_current=meteg+zinor,0,3,0.28983934,positive,66
2,taam_next=meteg+geresh,0,3,0.28983934,positive,67
2,taam_next=munah+meteg,0,3,0.28983934,positive,68
2,taam_next=pazer,1,7,0.28983934,positive,69
2,taam_prev=meteg+darga,0,3,0.28983934,positive,70
2,taam_prev=meteg+pazer,0,3,0.28983934,positive,71
2,taam_prev=meteg+qadma,0,3,0.28983934,positive,72
2,next_major=0,1437,5950,0.25582769,positive,73
2,taam_next=telisha_qetana,4,24,0.06669579,positive,74
2,taam_next=pashta,64,326,0.0605608,positive,75
2,taam_prev=segol,11,62,0.01790562,positive,76
2,prev_major=0,1440,7790,-0.0114982,positive,77
2,taam_prev=meteg+geresh,0,5,-0.11562577,positive,78
2,taam_current=meteg+geresh,0,6,-0.26977645,positive,79
2,taam_next=zinor,4,43,-0.49861802,positive,80
2,taam_current=tipeha,0,1665,-5.74204712,negative,1
2,taam_prev=merkha,0,1055,-5.28610976,negative,2
2,taam_current=pashta,0,517,-4.57384154,negative,3
2,next_major=1,3,1840,-4.45563612,negative,4
2,taam_prev=mahapakh,0,454,-4.44416372,negative,5
2,taam_prev=tevir,0,451,-4.43754848,negative,6
2,taam_current=tevir,0,378,-4.2614025,negative,7
2,taam_prev=tipeha,2,1028,-4.16159675,negative,8
