fold,feature,pos_count,neg_count,log_likelihood_ratio,direction,rank
0,pos_dist_combo=9_4,17,13,1.89768578,positive,1
0,pos_dist_combo=7_4,26,37,1.30462206,positive,2
0,pos_dist_combo=5_3,44,70,1.19035396,positive,3
0,pos_dist_combo=8_9,5,9,1.13554573,positive,4
0,pos_dist_combo=3_3,69,125,1.05858468,positive,5
0,major_len=22,5,10,1.04023555,positive,6
0,pos_dist_combo=2_3,85,161,1.01312231,positive,7
0,pos_dist_combo=3_4,48,92,1.00559215,positive,8
0,pos_dist_combo=10+_5,21,46,0.8872662,positive,9
0,pos_dist_combo=8_7,5,12,0.87318146,positive,10
0,pos_dist_combo=6_3,31,70,0.84942738,positive,11
0,dist_end=3,430,956,0.84867605,positive,12
0,pos_dist_combo=3_7,20,47,0.81969278,positive,13
0,pos_dist_combo=5_4,30,71,0.80369243,positive,14
0,pos_dist_combo=1_3,88,211,0.77842144,positive,15
0,pos_dist_combo=8_3,19,47,0.77090261,positive,16
0,pos_dist_combo=6_6,11,28,0.76398217,positive,17
0,pos_dist_combo=8_4,11,28,0.76398217,positive,18
0,pos_dist_combo=10+_9,3,9,0.73008062,positive,19
0,pos_dist_combo=3_9,11,29,0.73008062,positive,20
0,pos_dist_combo=9_8,3,9,0.73008062,positive,21
0,pos_dist_combo=2_4,55,140,0.72296315,positive,22
0,pos_dist_combo=10+_3,34,88,0.71308304,positive,23
0,pos_dist_combo=9_6,4,12,0.6908599,positive,24
0,dist_end=4,296,779,0.68080957,positive,25
0,pos_dist_combo=3_10+,31,84,0.669456,positive,26
0,pos_dist_combo=9_3,9,26,0.65311958,positive,27
0,pos_dist_combo=3_5,32,89,0.64306924,positive,28
0,pos_dist_combo=4_4,30,84,0.6377073,positive,29
0,pos_dist_combo=9_7,4,13,0.61675193,positive,30
0,pos_dist_combo=1_7,28,83,0.58285038,positive,31
0,pos_dist_combo=4_3,35,107,0.54775906,positive,32
0,pos_dist_combo=5_5,16,50,0.54775906,positive,33
0,pos_dist_combo=9_9,1,5,0.54775906,positive,34
0,pos_dist_combo=7_3,16,51,0.52834097,positive,35
0,pos_dist_combo=10+_4,19,61,0.51496924,positive,36
0,pos_dist_combo=4_5,22,77,0.42515674,positive,37
0,pos_dist_combo=2_7,24,84,0.42259592,positive,38
0,pos_dist_combo=5_9,4,16,0.42259592,positive,39
0,pos_dist_combo=9_5,4,16,0.42259592,positive,40
0,pos_dist_combo=7_5,8,30,0.40960872,positive,41
0,dist_end=7,112,392,0.39994956,positive,42
0,pos_dist_combo=6_5,14,52,0.38412964,positive,43
0,pos_dist_combo=4_8,8,31,0.37786002,positive,44
0,rel=Q2,550,1971,0.37130262,positive,45
0,pos_dist_combo=8_5,5,21,0.34708837,positive,46
0,pos_dist_combo=1_6,31,117,0.34142263,positive,47
0,pos_dist_combo=3_6,19,73,0.33803853,positive,48
0,pos_dist_combo=4_7,13,51,0.33418496,positive,49
0,dist_end=5,176,668,0.31673702,positive,50
0,pos_dist_combo=6_4,13,53,0.29644463,positive,51
0,major_len=9,164,649,0.27534446,positive,52
0,major_len=25,3,15,0.26007699,positive,53
0,pos_dist_combo=10+_7,5,23,0.26007699,positive,54
0,pos_dist_combo=8_10+,3,15,0.26007699,positive,55
0,pos_start=3,265,1093,0.23227168,positive,56
0,major_len=18,37,156,0.2277117,positive,57
0,half=first,988,4111,0.22140087,positive,58
0,pos_dist_combo=1_4,47,200,0.21426745,positive,59
0,pos_dist_combo=5_7,6,29,0.19108412,positive,60
0,major_len=14,66,288,0.18463728,positive,61
0,major_len=10,147,644,0.17433331,positive,62
0,major_len=21,4,21,0.16476681,positive,63
0,major_len=13,76,339,0.16123115,positive,64
0,pos_dist_combo=10+_6,8,39,0.15471647,positive,65
0,pos_dist_combo=3_8,10,48,0.15244632,positive,66
0,rel=Q3,560,2501,0.15124656,positive,67
0,pos_dist_combo=5_10+,11,53,0.14229395,positive,68
0,major_len=8,152,709,0.1115443,positive,69
0,major_len=7,173,811,0.10592631,positive,70
0,pos_dist_combo=4_6,11,55,0.10592631,positive,71
0,dist_end=6,110,528,0.08491312,positive,72
0,major_len=19,18,90,0.07995082,positive,73
0,rel=Q1,275,1326,0.07609618,positive,74
0,pos_start=2,269,1321,0.05789229,positive,75
0,dist_end=9,45,225,0.05447775,positive,76
0,major_len=11,99,491,0.05306282,positive,77
0,pos_start=5,138,690,0.04270546,positive,78
0,pos_dist_combo=4_10+,13,69,0.03693344,positive,79
0,pos_dist_combo=6_9,2,14,0.03693344,positive,80
0,dist_end=1,1,1809,-5.16156359,negative,1
0,pos_dist_combo=3_1,0,278,-3.98484043,negative,2
0,pos_dist_combo=4_1,0,252,-3.88701814,negative,3
0,pos_dist_combo=2_1,0,228,-3.78735065,negative,4
0,major_len=3,0,225,-3.77416365,negative,5
