book,run_label,model,comparator,observed_f1_difference,null_mean,null_sd,z,empirical_p_one_sided,permutations,cluster_unit,nonzero_clusters
genesis,control_wider_caps,current_only,structure,0.20651731,0.00021165,0.01770602,11.651722,0.00019996,5000,major_unit,908
genesis,control_wider_caps,adjacent_only,structure,0.43177189,-0.00053963,0.01850392,23.363238,0.00019996,5000,major_unit,1035
genesis,control_wider_caps,local_taam,structure,0.48594705,0.0005631,0.01886323,25.73175,0.00019996,5000,major_unit,1055
genesis,control_wider_caps,local_taam,adjacent_only,0.05417515,-0.00028562,0.00787996,6.9113,0.00019996,5000,major_unit,334
genesis,control_wider_caps,structure_current,structure,0.30835031,5.67e-05,0.01361245,22.647911,0.00019996,5000,major_unit,733
genesis,control_wider_caps,structure_local,structure,0.44806517,0.0001147,0.01768694,25.326625,0.00019996,5000,major_unit,937
genesis,control_wider_caps,structure_local,structure_current,0.13971487,5.067e-05,0.01059995,13.175927,0.00019996,5000,major_unit,509
exodus,control_wider_caps,current_only,structure,0.16726526,-6.588e-05,0.01901239,8.801161,0.00019996,5000,major_unit,750
exodus,control_wider_caps,adjacent_only,structure,0.39661365,-0.00026352,0.01999608,19.847749,0.00019996,5000,major_unit,871
exodus,control_wider_caps,local_taam,structure,0.43714726,0.00026352,0.02037199,21.44531,0.00019996,5000,major_unit,855
exodus,control_wider_caps,local_taam,adjacent_only,0.04053361,0.00012437,0.00990321,4.080419,0.00019996,5000,major_unit,313
exodus,control_wider_caps,structure_current,structure,0.28424833,0.00020462,0.01568828,18.10547,0.00019996,5000,major_unit,590
exodus,control_wider_caps,structure_local,structure,0.43304259,-0.0001334,0.01905575,22.732038,0.00019996,5000,major_unit,760
exodus,control_wider_caps,structure_local,structure_current,0.14879425,4.638e-05,0.01177337,12.634268,0.00019996,5000,major_unit,400
leviticus,control_wider_caps,current_only,structure,0.18265541,0.00014275,0.02306513,7.912925,0.00019996,5000,major_unit,475
leviticus,control_wider_caps,adjacent_only,structure,0.42133538,0.00016516,0.02355214,17.882459,0.00019996,5000,major_unit,594
leviticus,control_wider_caps,local_taam,structure,0.4781274,0.00026892,0.0256189,18.652579,0.00019996,5000,major_unit,599
leviticus,control_wider_caps,local_taam,adjacent_only,0.05679202,-0.00031681,0.01195157,4.778355,0.00019996,5000,major_unit,205
leviticus,control_wider_caps,structure_current,structure,0.31158864,-0.00026155,0.01863913,16.730938,0.00019996,5000,major_unit,406
leviticus,control_wider_caps,structure_local,structure,0.44742901,-0.00053477,0.02268571,19.746518,0.00019996,5000,major_unit,535
leviticus,control_wider_caps,structure_local,structure_current,0.13584037,-4.912e-05,0.01385933,9.804907,0.00019996,5000,major_unit,266
numbers,control_wider_caps,current_only,structure,0.16749311,-0.00020099,0.01948536,8.606158,0.00019996,5000,major_unit,673
numbers,control_wider_caps,adjacent_only,structure,0.4137741,-0.00038325,0.02131153,19.433488,0.00019996,5000,major_unit,836
numbers,control_wider_caps,local_taam,structure,0.44407713,4.143e-05,0.02166125,20.499079,0.00019996,5000,major_unit,828
numbers,control_wider_caps,local_taam,adjacent_only,0.03030303,-0.00017433,0.01059789,2.875796,0.00159968,5000,major_unit,307
numbers,control_wider_caps,structure_current,structure,0.30082645,0.00028077,0.01594347,18.850702,0.00019996,5000,major_unit,577
numbers,control_wider_caps,structure_local,structure,0.43250689,0.00033851,0.02036062,21.225702,0.00019996,5000,major_unit,731
numbers,control_wider_caps,structure_local,structure_current,0.13168044,-1.014e-05,0.01228539,10.719285,0.00019996,5000,major_unit,315
deuteronomy,control_wider_caps,current_only,structure,0.23519459,-0.00051799,0.02189072,10.767694,0.00019996,5000,major_unit,712
deuteronomy,control_wider_caps,adjacent_only,structure,0.41567964,0.00063982,0.02127991,19.503833,0.00019996,5000,major_unit,730
deuteronomy,control_wider_caps,local_taam,structure,0.46587704,-0.00010716,0.02185163,21.324918,0.00019996,5000,major_unit,742
deuteronomy,control_wider_caps,local_taam,adjacent_only,0.05019741,4.963e-05,0.01063215,4.716615,0.00019996,5000,major_unit,313
deuteronomy,control_wider_caps,structure_current,structure,0.31584884,-0.00013739,0.01739744,18.1628,0.00019996,5000,major_unit,538
deuteronomy,control_wider_caps,structure_local,structure,0.44500846,-2.73e-05,0.0201679,22.066543,0.00019996,5000,major_unit,686
deuteronomy,control_wider_caps,structure_local,structure_current,0.12915962,0.00016514,0.01177211,10.957636,0.00019996,5000,major_unit,335
