fold,feature,pos_count,neg_count,log_likelihood_ratio,direction,rank
0,taam_next=yetiv,42,4,3.76959626,positive,1
0,taam_current=munah+pashta+pashta,2,0,2.71644635,positive,2
0,taam_next=mahapakh+munah,2,0,2.71644635,positive,3
0,taam_next=tipeha+munah,2,0,2.71644635,positive,4
0,taam_prev=merkha+munah,4,1,2.53412479,positive,5
0,taam_prev=munah,823,373,2.40774879,positive,6
0,taam_next=darga+meteg,1,0,2.31098124,positive,7
0,taam_next=mahapakh+qadma,1,0,2.31098124,positive,8
0,taam_next=meteg+merkha+telisha_qetana,1,0,2.31098124,positive,9
0,taam_next=qadma+geresh,3,1,2.31098124,positive,10
0,taam_next=tipeha+pashta,1,0,2.31098124,positive,11
0,taam_prev=meteg+geresh+pashta,1,0,2.31098124,positive,12
0,taam_prev=munah+meteg,1,0,2.31098124,positive,13
0,taam_prev=munah+pashta,1,0,2.31098124,positive,14
0,taam_prev=pazer+geresh,1,0,2.31098124,positive,15
0,taam_current=tipeha+munah,2,1,2.02329917,positive,16
0,taam_next=meteg+qadma,2,1,2.02329917,positive,17
0,taam_next=meteg+tipeha,25,18,1.93149162,positive,18
0,taam_next=telisha_gedola,9,7,1.84097761,positive,19
0,taam_prev=meteg+geresh,4,3,1.84097761,positive,20
0,taam_next=meteg+zinor,2,2,1.61783406,positive,21
0,taam_prev=mahapakh+munah,1,1,1.61783406,positive,22
0,taam_prev=meteg+munah,10,10,1.61783406,positive,23
0,taam_prev=munah+pashta+pashta,1,1,1.61783406,positive,24
0,taam_prev=tipeha+geresh,1,1,1.61783406,positive,25
0,has_visible_taam=0,1373,1454,1.56055435,positive,26
0,taam_current=NONE,1373,1454,1.56055435,positive,27
0,taam_next=meteg+mahapakh,2,3,1.33015199,positive,28
0,taam_prev=pashta+pashta,60,86,1.26279981,positive,29
0,taam_prev=meteg+pashta,32,47,1.24314061,positive,30
0,taam_next=darga,33,50,1.21236895,positive,31
0,taam_prev=meteg+pashta+pashta,2,4,1.10700844,positive,32
0,taam_next=gershayim,6,11,1.07883756,positive,33
0,taam_next=mahapakh,90,156,1.07244776,positive,34
0,taam_current=darga+meteg,0,1,0.92468688,positive,35
0,taam_current=mahapakh+qadma,0,1,0.92468688,positive,36
0,taam_current=meteg+darga,0,1,0.92468688,positive,37
0,taam_current=meteg+geresh+pashta,0,1,0.92468688,positive,38
0,taam_current=meteg+merkha+telisha_qetana,0,1,0.92468688,positive,39
0,taam_current=meteg+telisha_gedola,0,1,0.92468688,positive,40
0,taam_current=munah+merkha,0,1,0.92468688,positive,41
0,taam_current=munah+pashta,0,1,0.92468688,positive,42
0,taam_current=munah+qadma,0,1,0.92468688,positive,43
0,taam_current=pazer,2,5,0.92468688,positive,44
0,taam_current=pazer+geresh,0,1,0.92468688,positive,45
0,taam_current=tevir+telisha_qetana,0,1,0.92468688,positive,46
0,taam_current=tipeha+pashta,0,1,0.92468688,positive,47
0,taam_current=tipeha+pashta+pashta,0,1,0.92468688,positive,48
0,taam_current=tipeha+qadma,0,1,0.92468688,positive,49
0,taam_current=tipeha+zinor,0,1,0.92468688,positive,50
0,taam_next=merkha+munah,1,3,0.92468688,positive,51
0,taam_next=meteg+geresh+pashta,0,1,0.92468688,positive,52
0,taam_next=meteg+merkha,3,7,0.92468688,positive,53
0,taam_next=meteg+munah,3,7,0.92468688,positive,54
0,taam_next=meteg+pashta+pashta,1,3,0.92468688,positive,55
0,taam_next=meteg+telisha_gedola,0,1,0.92468688,positive,56
0,taam_next=munah+merkha,0,1,0.92468688,positive,57
0,taam_next=munah+meteg,0,1,0.92468688,positive,58
0,taam_next=munah+pashta,0,1,0.92468688,positive,59
0,taam_next=pazer+geresh,0,1,0.92468688,positive,60
0,taam_next=tevir+telisha_qetana,0,1,0.92468688,positive,61
0,taam_next=tipeha+qadma,0,1,0.92468688,positive,62
0,taam_next=tipeha+zinor,0,1,0.92468688,positive,63
0,taam_prev=darga+meteg,0,1,0.92468688,positive,64
0,taam_prev=mahapakh+qadma,0,1,0.92468688,positive,65
0,taam_prev=merkha+mahapakh,0,1,0.92468688,positive,66
0,taam_prev=meteg+merkha+telisha_qetana,0,1,0.92468688,positive,67
0,taam_prev=meteg+telisha_gedola,0,1,0.92468688,positive,68
0,taam_prev=meteg+tipeha+pashta,0,1,0.92468688,positive,69
0,taam_prev=munah+qadma,0,1,0.92468688,positive,70
0,taam_prev=tipeha+pashta,0,1,0.92468688,positive,71
0,taam_prev=tipeha+zinor,0,1,0.92468688,positive,72
0,taam_current=meteg,108,219,0.9155544,positive,73
0,taam_next=merkha,317,696,0.83310003,positive,74
0,taam_next=telisha_qetana,7,17,0.80690384,positive,75
0,taam_prev=pashta,212,480,0.80325896,positive,76
0,taam_next=tipeha,411,1013,0.71719923,positive,77
0,taam_current=meteg+zinor,1,4,0.70154333,positive,78
0,taam_next=qadma,31,84,0.64091871,positive,79
0,taam_next=meteg+pashta,12,35,0.59926448,positive,80
0,taam_current=tipeha,0,1664,-5.79974634,negative,1
0,taam_current=pashta,0,591,-4.76567257,negative,2
0,taam_prev=mahapakh,0,535,-4.6663001,negative,3
0,next_major=1,3,1797,-4.49030179,negative,4
0,taam_current=tevir,0,369,-4.29566895,negative,5
0,taam_current=merkha,3,1192,-4.080098,negative,6
0,taam_prev=merkha,3,1118,-4.01606229,negative,7
0,taam_prev=tipeha,3,1033,-3.93706163,negative,8
0,taam_prev=tevir,1,434,-3.76436479,negative,9
0,taam_current=mahapakh,1,339,-3.51796438,negative,10
0,taam_prev=darga,0,169,-3.51796438,negative,11
0,taam_current=pashta+pashta,0,121,-3.18618698,negative,12
0,taam_current=geresh,1,158,-2.75792296,negative,13
0,taam_prev=telisha_qetana,0,74,-2.69965405,negative,14
0,taam_current=segol,0,62,-2.52530067,negative,15
0,taam_current=meteg+pashta,0,61,-2.50930033,negative,16
0,taam_prev=zinor,0,58,-2.45970338,negative,17
0,taam_current=darga,1,113,-2.42521721,negative,18
0,taam_current=zinor,0,53,-2.37114999,negative,19
0,taam_current=yetiv,0,51,-2.33340966,negative,20
0,taam_current=meteg+tipeha,0,47,-2.25336695,negative,21
0,taam_current=telisha_qetana,0,43,-2.16635557,negative,22
0,taam_prev=qadma,6,300,-2.14336606,negative,23
0,taam_current=gershayim,0,35,-1.96568488,negative,24
0,taam_current=qadma,4,177,-1.95451158,negative,25
0,taam_prev=telisha_gedola,0,33,-1.90852646,negative,26
0,has_visible_taam=1,211,6650,-1.82810216,negative,27
0,taam_next=segol,1,61,-1.81615314,negative,28
