fold,feature,pos_count,neg_count,log_likelihood_ratio,direction,rank
0,taam_next=yetiv,42,4,3.76650668,positive,1
0,taam_current=munah+pashta+pashta,2,0,2.71335676,positive,2
0,taam_next=mahapakh+munah,2,0,2.71335676,positive,3
0,taam_next=tipeha+munah,2,0,2.71335676,positive,4
0,taam_prev=merkha+munah,4,1,2.5310352,positive,5
0,taam_prev=munah,823,373,2.40465921,positive,6
0,pos_dist_combo=12_16+,1,0,2.30789165,positive,7
0,pos_dist_combo=13_10,1,0,2.30789165,positive,8
0,pos_dist_combo=14_9,1,0,2.30789165,positive,9
0,taam_next=darga+meteg,1,0,2.30789165,positive,10
0,taam_next=mahapakh+qadma,1,0,2.30789165,positive,11
0,taam_next=meteg+merkha+telisha_qetana,1,0,2.30789165,positive,12
0,taam_next=qadma+geresh,3,1,2.30789165,positive,13
0,taam_next=tipeha+pashta,1,0,2.30789165,positive,14
0,taam_prev=meteg+geresh+pashta,1,0,2.30789165,positive,15
0,taam_prev=munah+meteg,1,0,2.30789165,positive,16
0,taam_prev=munah+pashta,1,0,2.30789165,positive,17
0,taam_prev=pazer+geresh,1,0,2.30789165,positive,18
0,pos_dist_combo=6_16+,4,2,2.1255701,positive,19
0,pos_dist_combo=14_4,5,3,2.02020958,positive,20
0,pos_dist_combo=16+_9,2,1,2.02020958,positive,21
0,pos_dist_combo=9_16+,2,1,2.02020958,positive,22
0,taam_current=tipeha+munah,2,1,2.02020958,positive,23
0,taam_next=meteg+qadma,2,1,2.02020958,positive,24
0,taam_next=meteg+tipeha,25,18,1.92840203,positive,25
0,taam_next=telisha_gedola,9,7,1.83788802,positive,26
0,taam_prev=meteg+geresh,4,3,1.83788802,positive,27
0,pos_dist_combo=10_4,8,7,1.73252751,positive,28
0,pos_dist_combo=12_13,1,1,1.61474447,positive,29
0,pos_dist_combo=12_8,1,1,1.61474447,positive,30
0,pos_dist_combo=13_7,1,1,1.61474447,positive,31
0,pos_dist_combo=13_9,1,1,1.61474447,positive,32
0,pos_dist_combo=14_11,1,1,1.61474447,positive,33
0,pos_dist_combo=14_6,1,1,1.61474447,positive,34
0,pos_dist_combo=14_8,1,1,1.61474447,positive,35
0,pos_dist_combo=15_10,1,1,1.61474447,positive,36
0,pos_dist_combo=15_7,1,1,1.61474447,positive,37
0,pos_dist_combo=9_13,1,1,1.61474447,positive,38
0,taam_next=meteg+zinor,2,2,1.61474447,positive,39
0,taam_prev=mahapakh+munah,1,1,1.61474447,positive,40
0,taam_prev=meteg+munah,10,10,1.61474447,positive,41
0,taam_prev=munah+pashta+pashta,1,1,1.61474447,positive,42
0,taam_prev=tipeha+geresh,1,1,1.61474447,positive,43
0,has_visible_taam=0,1373,1454,1.55746477,positive,44
0,taam_current=NONE,1373,1454,1.55746477,positive,45
0,pos_dist_combo=9_5,7,8,1.49696144,positive,46
0,pos_dist_combo=11_5,6,7,1.48121308,positive,47
0,pos_dist_combo=12_5,2,3,1.3270624,positive,48
0,pos_dist_combo=12_7,2,3,1.3270624,positive,49
0,pos_dist_combo=15_2,2,3,1.3270624,positive,50
0,pos_dist_combo=15_4,2,3,1.3270624,positive,51
0,pos_dist_combo=2_15,2,3,1.3270624,positive,52
0,pos_dist_combo=4_13,2,3,1.3270624,positive,53
0,taam_next=meteg+mahapakh,2,3,1.3270624,positive,54
0,pos_dist_combo=4_4,54,77,1.26536883,positive,55
0,taam_prev=pashta+pashta,60,86,1.25971022,positive,56
0,taam_prev=meteg+pashta,32,47,1.24005102,positive,57
0,pos_dist_combo=10_8,3,5,1.20927936,positive,58
0,pos_dist_combo=16+_3,5,8,1.20927936,positive,59
0,pos_dist_combo=9_3,21,32,1.20927936,positive,60
0,taam_next=darga,33,50,1.20927936,positive,61
0,pos_dist_combo=3_3,79,123,1.17648954,positive,62
0,taam_prev=meteg+pashta+pashta,2,4,1.10391885,positive,63
0,taam_next=gershayim,6,11,1.07574797,positive,64
0,taam_next=mahapakh,90,156,1.06935817,positive,65
0,pos_dist_combo=2_3,70,130,1.00222703,positive,66
0,pos_dist_combo=8_4,18,35,0.97566451,positive,67
0,pos_dist_combo=9_4,13,26,0.95796494,positive,68
0,pos_dist_combo=4_3,55,108,0.94874828,positive,69
0,pos_dist_combo=10_13,0,1,0.92159729,positive,70
0,pos_dist_combo=10_16+,0,1,0.92159729,positive,71
0,pos_dist_combo=11_12,0,1,0.92159729,positive,72
0,pos_dist_combo=11_16+,0,1,0.92159729,positive,73
0,pos_dist_combo=12_11,0,1,0.92159729,positive,74
0,pos_dist_combo=12_4,4,9,0.92159729,positive,75
0,pos_dist_combo=13_16+,0,1,0.92159729,positive,76
0,pos_dist_combo=14_16+,0,1,0.92159729,positive,77
0,pos_dist_combo=15_15,0,1,0.92159729,positive,78
0,pos_dist_combo=15_8,0,1,0.92159729,positive,79
0,pos_dist_combo=16+_10,0,1,0.92159729,positive,80
0,taam_current=tipeha,0,1664,-5.80283593,negative,1
0,taam_current=pashta,0,591,-4.76876216,negative,2
0,taam_prev=mahapakh,0,535,-4.66938969,negative,3
0,dist_end=1,3,1797,-4.49339138,negative,4
0,next_major=1,3,1797,-4.49339138,negative,5
0,taam_current=tevir,0,369,-4.29875853,negative,6
0,taam_current=merkha,3,1192,-4.08318759,negative,7
0,taam_prev=merkha,3,1118,-4.01915187,negative,8
0,pos_dist_combo=3_1,0,275,-4.00565639,negative,9
0,taam_prev=tipeha,3,1033,-3.94015122,negative,10
0,taam_prev=tevir,1,434,-3.76745438,negative,11
0,pos_dist_combo=4_1,0,200,-3.68856044,negative,12
0,major_len=3,0,169,-3.52105396,negative,13
0,pos_dist_combo=1_1,0,169,-3.52105396,negative,14
