fold,feature,pos_count,neg_count,log_likelihood_ratio,direction,rank
0,taam_next=yetiv,30,1,4.33558316,positive,1
0,taam_prev=munah+meteg,3,0,2.9810375,positive,2
0,taam_prev=munah,1052,403,2.55272677,positive,3
0,taam_prev=meteg+munah,20,8,2.442041,positive,4
0,taam_next=merkha+meteg,1,0,2.28789032,positive,5
0,taam_next=meteg+gershayim,1,0,2.28789032,positive,6
0,taam_next=meteg+pazer,1,0,2.28789032,positive,7
0,taam_next=munah+pazer,1,0,2.28789032,positive,8
0,taam_next=qadma+geresh,1,0,2.28789032,positive,9
0,taam_prev=munah+munah,1,0,2.28789032,positive,10
0,taam_next=meteg+pashta+pashta,2,2,1.59474314,positive,11
0,taam_next=meteg+qadma,1,1,1.59474314,positive,12
0,has_visible_taam=0,1784,1807,1.58194029,positive,13
0,taam_current=NONE,1784,1807,1.58194029,positive,14
0,taam_next=meteg+mahapakh,5,7,1.30706107,positive,15
0,taam_next=meteg+tipeha,25,34,1.29749162,positive,16
0,taam_next=meteg+pashta,26,36,1.27966209,positive,17
0,taam_next=telisha_qetana,7,11,1.18927803,positive,18
0,taam_prev=meteg+geresh,3,5,1.18927803,positive,19
0,taam_next=qadma,50,85,1.07222148,positive,20
0,taam_next=gershayim,7,13,1.03512735,positive,21
0,taam_next=mahapakh,100,182,1.0003775,positive,22
0,taam_next=darga,32,59,0.99690614,positive,23
0,taam_current=darga+meteg,0,1,0.90159596,positive,24
0,taam_current=mahapakh+meteg,0,1,0.90159596,positive,25
0,taam_current=merkha_kefula,0,1,0.90159596,positive,26
0,taam_current=meteg+darga,0,1,0.90159596,positive,27
0,taam_current=meteg+pazer,0,1,0.90159596,positive,28
0,taam_current=meteg+telisha_gedola,0,1,0.90159596,positive,29
0,taam_current=meteg+zinor,0,1,0.90159596,positive,30
0,taam_current=munah+pazer,0,1,0.90159596,positive,31
0,taam_current=qadma+geresh,0,1,0.90159596,positive,32
0,taam_current=tipeha+pashta,0,1,0.90159596,positive,33
0,taam_current=zarqa,0,1,0.90159596,positive,34
0,taam_next=mahapakh+meteg,0,1,0.90159596,positive,35
0,taam_next=merkha_kefula,0,1,0.90159596,positive,36
0,taam_next=meteg+darga,0,1,0.90159596,positive,37
0,taam_next=meteg+merkha,5,11,0.90159596,positive,38
0,taam_next=meteg+telisha_gedola,0,1,0.90159596,positive,39
0,taam_next=meteg+tevir,2,5,0.90159596,positive,40
0,taam_next=meteg+zinor,0,1,0.90159596,positive,41
0,taam_next=pazer,1,3,0.90159596,positive,42
0,taam_next=tipeha+pashta,0,1,0.90159596,positive,43
0,taam_next=zarqa,0,1,0.90159596,positive,44
0,taam_prev=darga+meteg,0,1,0.90159596,positive,45
0,taam_prev=mahapakh+meteg,0,1,0.90159596,positive,46
0,taam_prev=merkha_kefula,0,1,0.90159596,positive,47
0,taam_prev=meteg+telisha_gedola,0,1,0.90159596,positive,48
0,taam_prev=meteg+telisha_qetana,0,1,0.90159596,positive,49
0,taam_prev=meteg+zarqa,0,1,0.90159596,positive,50
0,taam_prev=meteg+zinor,0,1,0.90159596,positive,51
0,taam_prev=munah+pazer,0,1,0.90159596,positive,52
0,taam_prev=tipeha+pashta,0,1,0.90159596,positive,53
0,taam_prev=zarqa,0,1,0.90159596,positive,54
0,taam_next=merkha,426,882,0.86820195,positive,55
0,taam_prev=pashta,262,550,0.85516236,positive,56
0,taam_prev=pashta+pashta,69,147,0.84602611,positive,57
0,taam_prev=meteg+pashta+pashta,1,4,0.67845241,positive,58
0,taam_prev=geresh,50,132,0.63621964,positive,59
0,taam_next=tipeha,476,1252,0.62896368,positive,60
0,taam_next=pashta+pashta,33,89,0.62129399,positive,61
0,taam_prev=segol,14,41,0.56512372,positive,62
0,taam_next=tevir,82,233,0.55826263,positive,63
0,taam_current=meteg,100,297,0.51277017,positive,64
0,taam_current=meteg+segol,0,2,0.49613085,positive,65
0,taam_next=meteg+segol,0,2,0.49613085,positive,66
0,taam_prev=merkha+meteg,0,2,0.49613085,positive,67
0,taam_prev=meteg+pazer,0,2,0.49613085,positive,68
0,taam_prev=meteg+segol,0,2,0.49613085,positive,69
0,taam_next=zinor,8,28,0.42467189,positive,70
0,taam_next=telisha_gedola,3,12,0.41608814,positive,71
0,taam_next=pashta,116,392,0.38310746,positive,72
0,taam_prev=meteg+pashta,25,89,0.35303001,positive,73
0,next_major=0,1972,7538,0.25420882,positive,74
0,taam_current=merkha+meteg,0,3,0.20844878,positive,75
0,taam_current=meteg+meteg,0,3,0.20844878,positive,76
0,taam_current=meteg+qadma,0,3,0.20844878,positive,77
0,taam_current=munah+meteg,0,3,0.20844878,positive,78
0,taam_next=munah+meteg,0,3,0.20844878,positive,79
0,taam_prev=meteg+darga,0,3,0.20844878,positive,80
0,taam_current=tipeha,0,2064,-6.03814237,negative,1
0,taam_prev=merkha,0,1419,-5.66366901,negative,2
0,next_major=1,2,2279,-5.03857529,negative,3
0,taam_current=merkha,2,1504,-4.62319275,negative,4
0,taam_prev=tevir,0,494,-4.60981462,negative,5
0,taam_current=tevir,0,440,-4.49430174,negative,6
0,taam_prev=tipeha,2,1292,-4.47136495,negative,7
0,taam_current=pashta,1,723,-4.29690107,negative,8
0,taam_prev=darga,0,206,-3.73797565,negative,9
0,taam_prev=mahapakh,2,618,-3.73474984,negative,10
0,taam_current=geresh,0,165,-3.51724465,negative,11
0,taam_current=pashta+pashta,0,158,-3.47416106,negative,12
0,taam_current=meteg+pashta,0,79,-2.7872835,negative,13
0,taam_current=mahapakh,4,391,-2.76708079,negative,14
0,taam_prev=telisha_qetana,0,76,-2.74906228,negative,15
0,taam_current=meteg+tipeha,0,70,-2.66793674,negative,16
0,taam_current=segol,0,55,-2.43060855,negative,17
0,taam_current=zinor,0,47,-2.27645787,negative,18
0,taam_current=gershayim,0,44,-2.21191935,negative,19
0,taam_next=geresh,1,88,-2.20074605,negative,20
0,taam_prev=meteg+tipeha,0,42,-2.16645698,negative,21
0,taam_prev=telisha_gedola,0,41,-2.14292648,negative,22
0,has_visible_taam=1,190,8010,-2.14155431,negative,23
0,taam_current=telisha_qetana,0,40,-2.11882893,negative,24
0,taam_next=meteg+meteg,0,39,-2.09413631,negative,25
0,taam_current=yetiv,0,38,-2.06881851,negative,26
0,taam_current=qadma,5,189,-1.86052146,negative,27
0,taam_prev=gershayim,2,85,-1.76099187,negative,28
0,taam_prev=meteg+merkha,0,27,-1.73746137,negative,29
0,taam_prev=zinor,1,54,-1.71944287,negative,30
0,taam_next=segol,1,51,-1.6633534,negative,31
0,taam_current=telisha_gedola,0,23,-1.58331069,negative,32
0,taam_prev=pazer,0,22,-1.54075108,negative,33
0,taam_current=munah,69,1449,-1.43608045,negative,34
0,taam_current=meteg+merkha,0,19,-1.40098913,negative,35
0,taam_prev=meteg+mahapakh,0,19,-1.40098913,negative,36
0,taam_next=meteg,78,1384,-1.26926443,negative,37
0,taam_prev=meteg+tevir,0,16,-1.2384702,negative,38
0,taam_current=meteg+mahapakh,0,14,-1.11330706,negative,39
0,taam_prev=yetiv,3,58,-1.09649994,negative,40
0,taam_current=darga,8,126,-1.05221937,negative,41
0,taam_prev=qadma,23,335,-1.04431419,negative,42
0,taam_prev=meteg,35,420,-0.86437076,negative,43
0,taam_next=NONE,340,3743,-0.80128422,negative,44
0,taam_next=munah,111,1144,-0.72991791,negative,45
0,taam_current=meteg+tevir,0,9,-0.70784195,negative,46
0,taam_current=meteg+geresh,0,8,-0.60248144,negative,47
0,taam_current=meteg+munah,1,17,-0.60248144,negative,48
0,taam_current=pazer,0,8,-0.60248144,negative,49
0,taam_prev=meteg+qadma,0,7,-0.4846984,negative,50
0,taam_prev=NONE,405,3166,-0.45944375,negative,51
0,taam_next=meteg+munah,1,13,-0.35116701,negative,52
0,taam_prev=meteg+gershayim,1,13,-0.35116701,negative,53
0,taam_prev=meteg+meteg,0,6,-0.35116701,negative,54
0,taam_next=meteg+geresh,0,5,-0.19701633,negative,55
0,taam_current=meteg+gershayim,0,4,-0.01469477,negative,56
0,taam_current=meteg+pashta+pashta,0,4,-0.01469477,negative,57
0,prev_major=0,1974,9817,-0.0089059,negative,58
0,taam_prev=qadma+geresh,0,3,0.20844878,negative,59
1,taam_next=yetiv,38,1,4.56647266,positive,1
1,taam_prev=munah+meteg,2,0,2.69467049,positive,2
1,taam_prev=munah,1034,398,2.54925349,positive,3
1,taam_next=merkha+meteg,1,0,2.28920538,positive,4
1,taam_next=meteg+gershayim,1,0,2.28920538,positive,5
1,taam_next=meteg+qadma,1,0,2.28920538,positive,6
1,taam_next=munah+pazer,1,0,2.28920538,positive,7
1,taam_next=qadma+geresh,1,0,2.28920538,positive,8
1,taam_next=telisha_qetana+telisha_qetana,1,0,2.28920538,positive,9
1,taam_prev=munah+munah,1,0,2.28920538,positive,10
1,taam_prev=meteg+munah,20,10,2.24268536,positive,11
1,taam_next=meteg+pashta+pashta,3,2,1.88374027,positive,12
1,taam_next=meteg+darga,1,1,1.5960582,positive,13
1,has_visible_taam=0,1768,1777,1.59098347,positive,14
1,taam_current=NONE,1768,1777,1.59098347,positive,15
1,taam_next=meteg+tipeha,27,35,1.34474377,positive,16
1,taam_next=mahapakh,119,163,1.28368351,positive,17
1,taam_prev=meteg+geresh,4,6,1.25958596,positive,18
1,taam_next=meteg+pashta,28,41,1.22568441,positive,19
1,taam_next=telisha_qetana,6,10,1.14407307,positive,20
1,taam_next=meteg+mahapakh,5,9,1.08523257,positive,21
1,taam_next=qadma,44,77,1.04601186,positive,22
1,taam_next=meteg+merkha,6,12,0.97701899,positive,23
1,taam_next=darga,30,60,0.91917154,positive,24
1,taam_current=mahapakh+meteg,0,1,0.90291102,positive,25
1,taam_current=merkha_kefula,0,1,0.90291102,positive,26
1,taam_current=meteg+pazer,0,1,0.90291102,positive,27
1,taam_current=meteg+telisha_gedola,0,1,0.90291102,positive,28
1,taam_current=munah+pazer,0,1,0.90291102,positive,29
1,taam_current=qadma+geresh,0,1,0.90291102,positive,30
1,taam_current=telisha_qetana+telisha_qetana,0,1,0.90291102,positive,31
1,taam_next=mahapakh+meteg,0,1,0.90291102,positive,32
1,taam_next=merkha_kefula,0,1,0.90291102,positive,33
1,taam_next=meteg+segol,0,1,0.90291102,positive,34
1,taam_next=meteg+telisha_gedola,0,1,0.90291102,positive,35
1,taam_next=pazer,1,3,0.90291102,positive,36
1,taam_prev=mahapakh+meteg,0,1,0.90291102,positive,37
1,taam_prev=merkha_kefula,0,1,0.90291102,positive,38
1,taam_prev=meteg+pazer,0,1,0.90291102,positive,39
1,taam_prev=meteg+zarqa,0,1,0.90291102,positive,40
1,taam_prev=munah+pazer,0,1,0.90291102,positive,41
1,taam_prev=qadma+meteg,0,1,0.90291102,positive,42
1,taam_prev=telisha_qetana+telisha_qetana,0,1,0.90291102,positive,43
1,taam_prev=pashta,264,540,0.88236874,positive,44
1,taam_next=merkha,429,882,0.8765182,positive,45
1,taam_prev=pashta+pashta,66,143,0.83093752,positive,46
1,taam_next=gershayim,4,11,0.72058946,positive,47
1,taam_next=meteg+tevir,3,9,0.67976746,positive,48
1,taam_prev=meteg+meteg,1,4,0.67976746,positive,49
1,taam_next=tipeha,479,1252,0.63654835,positive,50
1,taam_next=tevir,80,221,0.58782997,positive,51
1,taam_prev=segol,15,43,0.58445728,positive,52
1,taam_prev=geresh,49,139,0.56643878,positive,53
1,taam_current=meteg,97,275,0.56062481,positive,54
1,taam_prev=meteg+pashta,30,89,0.53023573,positive,55
1,taam_current=meteg+darga,0,2,0.49744591,positive,56
1,taam_current=meteg+meteg,0,2,0.49744591,positive,57
1,taam_current=meteg+qadma,0,2,0.49744591,positive,58
1,taam_current=meteg+segol,0,2,0.49744591,positive,59
1,taam_current=meteg+zinor,0,2,0.49744591,positive,60
1,taam_next=meteg+zinor,0,2,0.49744591,positive,61
1,taam_prev=merkha+meteg,0,2,0.49744591,positive,62
1,taam_prev=meteg+segol,0,2,0.49744591,positive,63
1,taam_prev=meteg+telisha_gedola,0,2,0.49744591,positive,64
1,taam_prev=meteg+telisha_qetana,0,2,0.49744591,positive,65
1,taam_prev=meteg+zinor,0,2,0.49744591,positive,66
1,taam_prev=qadma+geresh,0,2,0.49744591,positive,67
1,taam_next=pashta+pashta,29,90,0.48639607,positive,68
1,taam_next=pashta,110,383,0.35494585,positive,69
1,taam_prev=meteg+pashta+pashta,1,6,0.34329523,positive,70
1,taam_next=telisha_gedola,3,14,0.27430236,positive,71
1,next_major=0,1948,7453,0.25462382,positive,72
1,taam_next=zinor,7,30,0.24151253,positive,73
1,taam_prev=meteg+darga,0,3,0.20976384,positive,74
1,prev_major=0,1954,9728,-0.00866273,positive,75
1,taam_current=merkha+meteg,0,4,-0.01337972,positive,76
1,taam_current=meteg+gershayim,0,4,-0.01337972,positive,77
1,taam_current=munah+meteg,0,4,-0.01337972,positive,78
1,taam_next=munah+meteg,0,4,-0.01337972,positive,79
1,taam_current=meteg+pashta+pashta,0,5,-0.19570127,positive,80
1,taam_current=tipeha,0,2066,-6.03779536,negative,1
1,taam_current=merkha,1,1530,-5.04447102,negative,2
1,taam_prev=merkha,1,1437,-4.98180316,negative,3
1,taam_current=pashta,0,710,-4.97061423,negative,4
1,taam_prev=tevir,0,481,-4.58188592,negative,5
1,taam_current=tevir,0,425,-4.45838115,negative,6
1,next_major=1,6,2275,-4.18820645,negative,7
1,taam_prev=mahapakh,1,612,-4.12915956,negative,8
1,taam_prev=darga,0,195,-3.68205646,negative,9
1,taam_prev=tipeha,6,1286,-3.61810086,negative,10
1,taam_current=geresh,0,173,-3.5629971,negative,11
