fold,feature,pos_count,neg_count,log_likelihood_ratio,direction,rank
0,pos_dist_combo=15_6,1,0,2.39102808,positive,1
0,pos_dist_combo=16+_4,3,1,2.39102808,positive,2
0,pos_dist_combo=6_15,1,0,2.39102808,positive,3
0,pos_dist_combo=11_5,3,3,1.6978809,positive,4
0,pos_dist_combo=11_9,1,1,1.6978809,positive,5
0,pos_dist_combo=13_3,3,3,1.6978809,positive,6
0,pos_dist_combo=14_6,1,1,1.6978809,positive,7
0,pos_dist_combo=4_16+,2,2,1.6978809,positive,8
0,pos_dist_combo=5_11,3,3,1.6978809,positive,9
0,pos_dist_combo=5_15,1,1,1.6978809,positive,10
0,pos_dist_combo=8_12,1,1,1.6978809,positive,11
0,pos_dist_combo=11_4,9,10,1.60257072,positive,12
0,pos_dist_combo=14_5,3,4,1.47473735,positive,13
0,pos_dist_combo=4_15,3,4,1.47473735,positive,14
0,pos_dist_combo=5_3,42,55,1.43372933,positive,15
0,pos_dist_combo=9_3,11,15,1.41019883,positive,16
0,pos_dist_combo=10_3,9,14,1.2924158,positive,17
0,pos_dist_combo=13_5,3,5,1.2924158,positive,18
0,pos_dist_combo=14_4,3,5,1.2924158,positive,19
0,pos_dist_combo=5_13,3,5,1.2924158,positive,20
0,pos_dist_combo=5_10,7,12,1.21237309,positive,21
0,pos_dist_combo=10_4,5,9,1.18705528,positive,22
0,pos_dist_combo=13_4,3,6,1.13826512,positive,23
0,pos_dist_combo=9_8,3,6,1.13826512,positive,24
0,pos_dist_combo=7_6,8,15,1.12251676,positive,25
0,pos_dist_combo=10_11,0,1,1.00473372,positive,26
0,pos_dist_combo=10_12,0,1,1.00473372,positive,27
0,pos_dist_combo=10_5,6,13,1.00473372,positive,28
0,pos_dist_combo=11_10,0,1,1.00473372,positive,29
0,pos_dist_combo=11_11,0,1,1.00473372,positive,30
0,pos_dist_combo=12_10,0,1,1.00473372,positive,31
0,pos_dist_combo=12_9,0,1,1.00473372,positive,32
0,pos_dist_combo=13_6,2,5,1.00473372,positive,33
0,pos_dist_combo=13_8,0,1,1.00473372,positive,34
0,pos_dist_combo=13_9,0,1,1.00473372,positive,35
0,pos_dist_combo=14_7,0,1,1.00473372,positive,36
0,pos_dist_combo=14_8,0,1,1.00473372,positive,37
0,pos_dist_combo=15_4,2,5,1.00473372,positive,38
0,pos_dist_combo=15_7,0,1,1.00473372,positive,39
0,pos_dist_combo=16+_6,0,1,1.00473372,positive,40
0,pos_dist_combo=3_12,6,13,1.00473372,positive,41
0,pos_dist_combo=6_16+,0,1,1.00473372,positive,42
0,pos_dist_combo=7_12,2,5,1.00473372,positive,43
0,pos_dist_combo=7_14,0,1,1.00473372,positive,44
0,pos_dist_combo=7_15,0,1,1.00473372,positive,45
0,pos_dist_combo=8_13,0,1,1.00473372,positive,46
0,pos_dist_combo=8_14,0,1,1.00473372,positive,47
0,pos_dist_combo=9_10,2,5,1.00473372,positive,48
0,pos_dist_combo=9_12,0,1,1.00473372,positive,49
0,pos_dist_combo=9_13,0,1,1.00473372,positive,50
0,pos_dist_combo=7_4,13,28,0.9696424,positive,51
0,pos_dist_combo=6_3,22,47,0.96217411,positive,52
0,pos_dist_combo=3_9,8,18,0.9506665,positive,53
0,pos_dist_combo=6_6,8,18,0.9506665,positive,54
0,pos_dist_combo=11_3,4,10,0.90942354,positive,55
0,pos_dist_combo=9_5,4,10,0.90942354,positive,56
0,pos_dist_combo=16+_3,3,8,0.88695069,positive,57
0,pos_dist_combo=6_5,12,29,0.86163288,positive,58
0,pos_dist_combo=2_3,50,117,0.85902191,positive,59
0,pos_dist_combo=10_8,2,6,0.85058304,positive,60
0,pos_dist_combo=15_3,2,6,0.85058304,positive,61
0,pos_dist_combo=4_14,2,6,0.85058304,positive,62
0,pos_dist_combo=6_12,2,6,0.85058304,positive,63
0,pos_dist_combo=9_9,2,6,0.85058304,positive,64
0,pos_dist_combo=3_3,41,98,0.84043067,positive,65
0,pos_dist_combo=4_6,18,44,0.83565739,positive,66
0,dist_end=3,298,708,0.83446895,positive,67
0,pos_dist_combo=3_4,31,78,0.79416895,positive,68
0,pos_dist_combo=7_8,5,14,0.78159017,positive,69
0,pos_dist_combo=4_5,19,50,0.76178754,positive,70
0,pos_dist_combo=7_3,17,45,0.75961126,positive,71
0,pos_dist_combo=4_9,6,17,0.75341929,positive,72
0,pos_dist_combo=8_5,6,17,0.75341929,positive,73
0,pos_dist_combo=8_3,11,30,0.74880035,positive,74
0,pos_dist_combo=12_5,2,7,0.71705165,positive,75
0,pos_dist_combo=4_4,26,71,0.71705165,positive,76
0,pos_dist_combo=8_9,2,7,0.71705165,positive,77
0,pos_dist_combo=4_3,29,80,0.70462913,positive,78
0,pos_dist_combo=5_4,18,51,0.69107616,positive,79
0,pos_dist_combo=6_4,16,46,0.68094665,positive,80
0,dist_end=1,0,1279,-5.45673445,negative,1
