fold,feature,pos_count,neg_count,log_likelihood_ratio,direction,rank
0,pos_dist_combo=11_10,1,0,2.37148651,positive,1
0,pos_dist_combo=15_9,1,0,2.37148651,positive,2
0,pos_dist_combo=16+_7,1,0,2.37148651,positive,3
0,pos_dist_combo=7_14,1,0,2.37148651,positive,4
0,pos_dist_combo=8_13,1,0,2.37148651,positive,5
0,pos_dist_combo=11_9,1,1,1.67833933,positive,6
0,pos_dist_combo=12_8,1,1,1.67833933,positive,7
0,pos_dist_combo=13_5,4,4,1.67833933,positive,8
0,pos_dist_combo=13_9,1,1,1.67833933,positive,9
0,pos_dist_combo=14_3,6,6,1.67833933,positive,10
0,pos_dist_combo=15_3,4,4,1.67833933,positive,11
0,pos_dist_combo=16+_5,2,2,1.67833933,positive,12
0,pos_dist_combo=3_10,15,15,1.67833933,positive,13
0,has_visible_taam=0,1228,1371,1.56827063,positive,14
0,taam_current=NONE,1228,1371,1.56827063,positive,15
0,pos_dist_combo=9_4,14,16,1.55317619,positive,16
0,pos_dist_combo=16+_3,5,6,1.52418865,positive,17
0,pos_dist_combo=7_4,30,40,1.39875447,positive,18
0,pos_dist_combo=9_9,3,5,1.27287422,positive,19
0,pos_dist_combo=10_5,6,11,1.13934283,positive,20
0,pos_dist_combo=11_4,6,11,1.13934283,positive,21
0,pos_dist_combo=5_10,6,11,1.13934283,positive,22
0,pos_dist_combo=2_3,92,162,1.11718862,positive,23
0,pos_dist_combo=5_3,40,71,1.11524528,positive,24
0,pos_dist_combo=5_4,32,58,1.09730945,positive,25
0,pos_dist_combo=3_14,4,8,1.09055267,positive,26
0,pos_dist_combo=8_9,4,8,1.09055267,positive,27
0,pos_dist_combo=11_3,6,12,1.05930012,positive,28
0,pos_dist_combo=5_9,6,12,1.05930012,positive,29
0,pos_dist_combo=3_4,47,91,1.02775176,positive,30
0,pos_dist_combo=10_11,0,1,0.98519215,positive,31
0,pos_dist_combo=10_14,0,1,0.98519215,positive,32
0,pos_dist_combo=11_13,0,1,0.98519215,positive,33
0,pos_dist_combo=12_12,0,1,0.98519215,positive,34
0,pos_dist_combo=12_9,0,1,0.98519215,positive,35
0,pos_dist_combo=13_11,0,1,0.98519215,positive,36
0,pos_dist_combo=13_8,0,1,0.98519215,positive,37
0,pos_dist_combo=14_10,0,1,0.98519215,positive,38
0,pos_dist_combo=14_7,0,1,0.98519215,positive,39
0,pos_dist_combo=15_6,0,1,0.98519215,positive,40
0,pos_dist_combo=16+_8,0,1,0.98519215,positive,41
0,pos_dist_combo=6_15,0,1,0.98519215,positive,42
0,pos_dist_combo=7_16+,0,1,0.98519215,positive,43
0,pos_dist_combo=8_16+,0,1,0.98519215,positive,44
0,pos_dist_combo=9_12,0,1,0.98519215,positive,45
0,pos_dist_combo=9_15,0,1,0.98519215,positive,46
0,taam_current=mahapakh+meteg,0,1,0.98519215,positive,47
0,taam_current=merkha_kefula,0,1,0.98519215,positive,48
0,taam_current=meteg+darga,0,1,0.98519215,positive,49
0,taam_current=meteg+qarney_para,0,1,0.98519215,positive,50
0,taam_current=meteg+telisha_qetana,0,1,0.98519215,positive,51
0,taam_current=qadma+mahapakh,0,1,0.98519215,positive,52
0,taam_current=yerah_ben_yomo,0,1,0.98519215,positive,53
0,major_len=22,6,14,0.91619928,positive,54
0,pos_dist_combo=3_3,60,131,0.90641127,positive,55
0,pos_dist_combo=11_5,5,12,0.90514944,positive,56
0,pos_dist_combo=13_3,5,12,0.90514944,positive,57
0,pos_dist_combo=8_7,5,12,0.90514944,positive,58
0,pos_dist_combo=9_7,5,12,0.90514944,positive,59
0,taam_current=meteg,98,216,0.89356183,positive,60
0,pos_dist_combo=3_9,12,28,0.87599286,positive,61
0,pos_dist_combo=8_3,21,49,0.85735878,positive,62
0,dist_end=3,416,947,0.85707105,positive,63
0,pos_dist_combo=11_7,2,6,0.83104147,positive,64
0,pos_dist_combo=3_15,2,6,0.83104147,positive,65
0,pos_dist_combo=9_5,5,13,0.83104147,positive,66
0,pos_dist_combo=3_7,18,44,0.81611582,positive,67
0,pos_dist_combo=3_5,32,79,0.79282026,positive,68
0,pos_dist_combo=13_6,1,4,0.7620486,positive,69
0,pos_dist_combo=15_4,1,4,0.7620486,positive,70
0,pos_dist_combo=2_15,3,9,0.7620486,positive,71
0,pos_dist_combo=4_15,1,4,0.7620486,positive,72
0,pos_dist_combo=4_3,39,99,0.7620486,positive,73
0,pos_dist_combo=5_14,1,4,0.7620486,positive,74
0,pos_dist_combo=6_13,1,4,0.7620486,positive,75
0,pos_dist_combo=6_6,11,29,0.7620486,positive,76
0,pos_dist_combo=8_11,1,4,0.7620486,positive,77
0,pos_dist_combo=9_8,3,9,0.7620486,positive,78
