fold,feature,pos_count,neg_count,log_likelihood_ratio,direction,rank
0,taam_next=yetiv,27,1,4.31971772,positive,1
0,taam_prev=meteg+munah,10,1,3.38540849,positive,2
0,taam_prev=munah+meteg,3,0,3.06695476,positive,3
0,pos_dist_combo=11_10,1,0,2.37380758,positive,4
0,pos_dist_combo=15_9,1,0,2.37380758,positive,5
0,pos_dist_combo=16+_7,1,0,2.37380758,positive,6
0,pos_dist_combo=7_14,1,0,2.37380758,positive,7
0,pos_dist_combo=8_13,1,0,2.37380758,positive,8
0,taam_next=mahapakh+meteg,1,0,2.37380758,positive,9
0,taam_prev=munah,733,380,2.33637005,positive,10
0,taam_prev=meteg+pashta+pashta,2,1,2.0861255,positive,11
0,taam_next=meteg+tipeha,14,12,1.82376124,positive,12
0,pos_dist_combo=11_9,1,1,1.6806604,positive,13
0,pos_dist_combo=12_8,1,1,1.6806604,positive,14
0,pos_dist_combo=13_5,4,4,1.6806604,positive,15
0,pos_dist_combo=13_9,1,1,1.6806604,positive,16
0,pos_dist_combo=14_3,6,6,1.6806604,positive,17
0,pos_dist_combo=15_3,4,4,1.6806604,positive,18
0,pos_dist_combo=16+_5,2,2,1.6806604,positive,19
0,pos_dist_combo=3_10,15,15,1.6806604,positive,20
0,taam_next=meteg+gershayim,1,1,1.6806604,positive,21
0,taam_next=meteg+merkha,6,6,1.6806604,positive,22
0,taam_next=meteg+pashta+pashta,1,1,1.6806604,positive,23
0,taam_next=qadma+geresh,1,1,1.6806604,positive,24
0,has_visible_taam=0,1228,1371,1.5705917,positive,25
0,taam_current=NONE,1228,1371,1.5705917,positive,26
0,pos_dist_combo=9_4,14,16,1.55549725,positive,27
0,pos_dist_combo=16+_3,5,6,1.52650972,positive,28
0,pos_dist_combo=7_4,30,40,1.40107553,positive,29
0,taam_prev=pashta+pashta,50,69,1.36399079,positive,30
0,pos_dist_combo=9_9,3,5,1.27519529,positive,31
0,taam_next=meteg+pazer,1,2,1.27519529,positive,32
0,taam_next=meteg+zinor,1,2,1.27519529,positive,33
0,taam_next=qadma,56,86,1.25780354,positive,34
0,taam_next=gershayim,8,13,1.23882764,positive,35
0,taam_next=pazer,4,7,1.21065677,positive,36
0,taam_prev=pashta,239,383,1.21065677,positive,37
0,taam_prev=meteg+pashta,28,46,1.19780862,positive,38
0,pos_dist_combo=10_5,6,11,1.14166389,positive,39
0,pos_dist_combo=11_4,6,11,1.14166389,positive,40
0,pos_dist_combo=5_10,6,11,1.14166389,positive,41
0,taam_next=darga,33,58,1.12948348,positive,42
0,pos_dist_combo=2_3,92,162,1.11950969,positive,43
0,pos_dist_combo=5_3,40,71,1.11756634,positive,44
