book,run_label,feature_set,model_role,n_words,n_candidates,n_minor_boundaries_candidates,evaluation_mode,folds,split_mode,test_frac,include_edges,pos_cap,len_cap,alpha,test_candidates,gold_boundaries,predicted_boundaries,tp,fp,fn,precision,recall,f1,fold_f1_mean,fold_f1_sd,fold_f1_min,fold_f1_max,random_f1_mean,random_f1_sd,model_vs_random_f1_z,model_vs_random_empirical_p
genesis,main,structure,geometry_baseline,20596,14625,2455,cross_validation,5,major_unit,NA,False,10,30,1.0,14625,2455,2455,726,1729,1729,0.29572301,0.29572301,0.29572301,0.29568723,0.01818842,0.27557411,0.31808732,0.16800733,0.00707121,18.061355,0.000999
genesis,main,current_only,ablation,20596,14625,2455,cross_validation,5,major_unit,NA,False,10,30,1.0,14625,2455,2455,1219,1236,1236,0.49653768,0.49653768,0.49653768,0.49651959,0.01541607,0.4796748,0.51593625,0.16800733,0.00707121,46.460255,0.000999
genesis,main,adjacent_only,strict_adjacency_primary,20596,14625,2455,cross_validation,5,major_unit,NA,False,10,30,1.0,14625,2455,2455,1772,683,683,0.72179226,0.72179226,0.72179226,0.72171417,0.01180261,0.70146138,0.73180873,0.16800733,0.00707121,78.315411,0.000999
genesis,main,local_taam,ablation,20596,14625,2455,cross_validation,5,major_unit,NA,False,10,30,1.0,14625,2455,2455,1905,550,550,0.77596741,0.77596741,0.77596741,0.775991,0.01879401,0.75449102,0.80079681,0.16800733,0.00707121,85.976778,0.000999
genesis,main,structure_current,ablation,20596,14625,2455,cross_validation,5,major_unit,NA,False,10,30,1.0,14625,2455,2455,1480,975,975,0.60285132,0.60285132,0.60285132,0.6027697,0.0106368,0.59281437,0.61952191,0.16800733,0.00707121,61.494967,0.000999
genesis,main,structure_local,maximal_reconstruction,20596,14625,2455,cross_validation,5,major_unit,NA,False,10,30,1.0,14625,2455,2455,1820,635,635,0.7413442,0.7413442,0.7413442,0.74135946,0.01855985,0.71656687,0.75813008,0.16800733,0.00707121,81.080415,0.000999
exodus,main,structure,geometry_baseline,16701,12008,1949,cross_validation,5,major_unit,NA,False,10,30,1.0,12008,1949,1949,594,1355,1355,0.30477168,0.30477168,0.30477168,0.30425916,0.01499675,0.28385417,0.3221957,0.16257722,0.00768428,18.504585,0.000999
exodus,main,current_only,ablation,16701,12008,1949,cross_validation,5,major_unit,NA,False,10,30,1.0,12008,1949,1949,922,1027,1027,0.47306311,0.47306311,0.47306311,0.47323148,0.0370125,0.43287671,0.5308311,0.16257722,0.00768428,40.405321,0.000999
exodus,main,adjacent_only,strict_adjacency_primary,16701,12008,1949,cross_validation,5,major_unit,NA,False,10,30,1.0,12008,1949,1949,1369,580,580,0.70241149,0.70241149,0.70241149,0.70236378,0.02543087,0.671875,0.73994638,0.16257722,0.00768428,70.251749,0.000999
exodus,main,local_taam,ablation,16701,12008,1949,cross_validation,5,major_unit,NA,False,10,30,1.0,12008,1949,1949,1448,501,501,0.7429451,0.7429451,0.7429451,0.74300263,0.02170312,0.71780822,0.77747989,0.16257722,0.00768428,75.526621,0.000999
exodus,main,structure_current,ablation,16701,12008,1949,cross_validation,5,major_unit,NA,False,10,30,1.0,12008,1949,1949,1154,795,795,0.59209851,0.59209851,0.59209851,0.59186384,0.02949177,0.55068493,0.63270777,0.16257722,0.00768428,55.896084,0.000999
exodus,main,structure_local,maximal_reconstruction,16701,12008,1949,cross_validation,5,major_unit,NA,False,10,30,1.0,12008,1949,1949,1437,512,512,0.73730118,0.73730118,0.73730118,0.73734126,0.02179027,0.71506849,0.77211796,0.16257722,0.00768428,74.792145,0.000999
leviticus,main,structure,geometry_baseline,11945,8609,1303,cross_validation,5,major_unit,NA,False,10,30,1.0,8609,1303,1303,344,959,959,0.26400614,0.26400614,0.26400614,0.26486113,0.02692992,0.23897059,0.30864198,0.15151113,0.00911833,12.337235,0.000999
leviticus,main,current_only,ablation,11945,8609,1303,cross_validation,5,major_unit,NA,False,10,30,1.0,8609,1303,1303,573,730,730,0.43975441,0.43975441,0.43975441,0.43899996,0.01758574,0.41563786,0.45955882,0.15151113,0.00911833,31.611404,0.000999
leviticus,main,adjacent_only,strict_adjacency_primary,11945,8609,1303,cross_validation,5,major_unit,NA,False,10,30,1.0,8609,1303,1303,884,419,419,0.67843438,0.67843438,0.67843438,0.6789328,0.02801632,0.63970588,0.71138211,0.15151113,0.00911833,57.78724,0.000999
leviticus,main,local_taam,ablation,11945,8609,1303,cross_validation,5,major_unit,NA,False,10,30,1.0,8609,1303,1303,958,345,345,0.7352264,0.7352264,0.7352264,0.73588933,0.02339908,0.70220588,0.7601626,0.15151113,0.00911833,64.015574,0.000999
leviticus,main,structure_current,ablation,11945,8609,1303,cross_validation,5,major_unit,NA,False,10,30,1.0,8609,1303,1303,747,556,556,0.5732924,0.5732924,0.5732924,0.57375785,0.01607837,0.55185185,0.59670782,0.15151113,0.00911833,46.256406,0.000999
leviticus,main,structure_local,maximal_reconstruction,11945,8609,1303,cross_validation,5,major_unit,NA,False,10,30,1.0,8609,1303,1303,923,380,380,0.70836531,0.70836531,0.70836531,0.70948961,0.02527069,0.68382353,0.74074074,0.15151113,0.00911833,61.069741,0.000999
numbers,main,structure,geometry_baseline,16404,11537,1815,cross_validation,5,major_unit,NA,False,10,30,1.0,11537,1815,1815,549,1266,1266,0.30247934,0.30247934,0.30247934,0.30203416,0.02853115,0.25779037,0.33152174,0.15736198,0.00788137,18.412706,0.000999
numbers,main,current_only,ablation,16404,11537,1815,cross_validation,5,major_unit,NA,False,10,30,1.0,11537,1815,1815,852,963,963,0.46942149,0.46942149,0.46942149,0.46895057,0.0194069,0.44565217,0.49744898,0.15736198,0.00788137,39.594574,0.000999
numbers,main,adjacent_only,strict_adjacency_primary,16404,11537,1815,cross_validation,5,major_unit,NA,False,10,30,1.0,11537,1815,1815,1299,516,516,0.71570248,0.71570248,0.71570248,0.71512754,0.02482891,0.69166667,0.75271739,0.15736198,0.00788137,70.843072,0.000999
numbers,main,local_taam,ablation,16404,11537,1815,cross_validation,5,major_unit,NA,False,10,30,1.0,11537,1815,1815,1354,461,461,0.74600551,0.74600551,0.74600551,0.74554254,0.02261978,0.72222222,0.7826087,0.15736198,0.00788137,74.687966,0.000999
numbers,main,structure_current,ablation,16404,11537,1815,cross_validation,5,major_unit,NA,False,10,30,1.0,11537,1815,1815,1104,711,711,0.60826446,0.60826446,0.60826446,0.60750189,0.03050809,0.5694051,0.64945652,0.15736198,0.00788137,57.211177,0.000999
numbers,main,structure_local,maximal_reconstruction,16404,11537,1815,cross_validation,5,major_unit,NA,False,10,30,1.0,11537,1815,1815,1336,479,479,0.73608815,0.73608815,0.73608815,0.73555616,0.03169426,0.70760234,0.78804348,0.15736198,0.00788137,73.429637,0.000999
deuteronomy,main,structure,geometry_baseline,14269,10546,1773,cross_validation,5,major_unit,NA,False,10,30,1.0,10546,1773,1773,512,1261,1261,0.28877609,0.28877609,0.28877609,0.28835486,0.02294397,0.26224784,0.32432432,0.16810716,0.00820752,14.702236,0.000999
deuteronomy,main,current_only,ablation,14269,10546,1773,cross_validation,5,major_unit,NA,False,10,30,1.0,10546,1773,1773,923,850,850,0.52058658,0.52058658,0.52058658,0.52040017,0.02384799,0.48695652,0.54594595,0.16810716,0.00820752,42.945901,0.000999
deuteronomy,main,adjacent_only,strict_adjacency_primary,14269,10546,1773,cross_validation,5,major_unit,NA,False,10,30,1.0,10546,1773,1773,1243,530,530,0.70107163,0.70107163,0.70107163,0.7005291,0.04270643,0.62898551,0.73546512,0.16810716,0.00820752,64.936102,0.000999
deuteronomy,main,local_taam,ablation,14269,10546,1773,cross_validation,5,major_unit,NA,False,10,30,1.0,10546,1773,1773,1332,441,441,0.75126904,0.75126904,0.75126904,0.75123436,0.02622873,0.71884058,0.77906977,0.16810716,0.00820752,71.052126,0.000999
deuteronomy,main,structure_current,ablation,14269,10546,1773,cross_validation,5,major_unit,NA,False,10,30,1.0,10546,1773,1773,1067,706,706,0.60180485,0.60180485,0.60180485,0.60131222,0.05008756,0.54492754,0.67027027,0.16810716,0.00820752,52.841491,0.000999
deuteronomy,main,structure_local,maximal_reconstruction,14269,10546,1773,cross_validation,5,major_unit,NA,False,10,30,1.0,10546,1773,1773,1297,476,476,0.73152848,0.73152848,0.73152848,0.73105482,0.03780331,0.67826087,0.77837838,0.16810716,0.00820752,68.646948,0.000999
