fold,feature,pos_count,neg_count,log_likelihood_ratio,direction,rank
0,taam_next=yetiv,42,4,3.7716256,positive,1
0,taam_current=munah+pashta+pashta,2,0,2.71847568,positive,2
0,taam_next=mahapakh+munah,2,0,2.71847568,positive,3
0,taam_next=tipeha+munah,2,0,2.71847568,positive,4
0,taam_prev=merkha+munah,4,1,2.53615412,positive,5
0,taam_prev=munah,823,373,2.40977813,positive,6
0,taam_next=darga+meteg,1,0,2.31301057,positive,7
0,taam_next=mahapakh+qadma,1,0,2.31301057,positive,8
0,taam_next=meteg+merkha+telisha_qetana,1,0,2.31301057,positive,9
0,taam_next=qadma+geresh,3,1,2.31301057,positive,10
0,taam_next=tipeha+pashta,1,0,2.31301057,positive,11
0,taam_prev=meteg+geresh+pashta,1,0,2.31301057,positive,12
0,taam_prev=munah+meteg,1,0,2.31301057,positive,13
0,taam_prev=munah+pashta,1,0,2.31301057,positive,14
0,taam_prev=pazer+geresh,1,0,2.31301057,positive,15
0,taam_current=tipeha+munah,2,1,2.0253285,positive,16
0,taam_next=meteg+qadma,2,1,2.0253285,positive,17
0,taam_next=meteg+tipeha,25,18,1.93352095,positive,18
0,taam_next=telisha_gedola,9,7,1.84300694,positive,19
0,taam_prev=meteg+geresh,4,3,1.84300694,positive,20
0,taam_next=meteg+zinor,2,2,1.61986339,positive,21
0,taam_prev=mahapakh+munah,1,1,1.61986339,positive,22
0,taam_prev=meteg+munah,10,10,1.61986339,positive,23
0,taam_prev=munah+pashta+pashta,1,1,1.61986339,positive,24
0,taam_prev=tipeha+geresh,1,1,1.61986339,positive,25
0,has_visible_taam=0,1373,1454,1.56258369,positive,26
0,taam_current=NONE,1373,1454,1.56258369,positive,27
0,pos_dist_combo=9_5,7,8,1.50208036,positive,28
0,taam_next=meteg+mahapakh,2,3,1.33218132,positive,29
0,pos_dist_combo=4_4,54,77,1.27048775,positive,30
0,taam_prev=pashta+pashta,60,86,1.26482914,positive,31
0,taam_prev=meteg+pashta,32,47,1.24516994,positive,32
0,pos_dist_combo=10+_9,5,8,1.21439828,positive,33
0,pos_dist_combo=9_3,21,32,1.21439828,positive,34
0,taam_next=darga,33,50,1.21439828,positive,35
