fold,feature,pos_count,neg_count,log_likelihood_ratio,direction,rank
0,pos_dist_combo=9_4,14,16,1.5608694,positive,1
0,pos_dist_combo=7_4,30,40,1.40644768,positive,2
0,pos_dist_combo=9_9,3,5,1.28056744,positive,3
0,pos_dist_combo=2_3,92,162,1.12488184,positive,4
0,pos_dist_combo=5_3,40,71,1.12293849,positive,5
0,pos_dist_combo=5_4,32,58,1.10500266,positive,6
0,pos_dist_combo=8_9,4,8,1.09824588,positive,7
0,pos_dist_combo=5_9,6,12,1.06699334,positive,8
0,pos_dist_combo=3_4,47,91,1.03544498,positive,9
0,major_len=22,6,14,0.92389249,positive,10
0,pos_dist_combo=3_3,60,131,0.91410449,positive,11
0,pos_dist_combo=8_7,5,12,0.91284266,positive,12
0,pos_dist_combo=9_7,5,12,0.91284266,positive,13
0,pos_dist_combo=3_9,12,28,0.88368607,positive,14
0,pos_dist_combo=10+_9,3,8,0.87510233,positive,15
0,pos_dist_combo=8_3,21,49,0.86505199,positive,16
0,dist_end=3,416,947,0.86476427,positive,17
0,pos_dist_combo=10+_3,34,79,0.85935397,positive,18
0,pos_dist_combo=9_5,5,13,0.83873469,positive,19
0,pos_dist_combo=10+_5,19,46,0.83161722,positive,20
0,pos_dist_combo=3_7,18,44,0.82380904,positive,21
0,pos_dist_combo=3_5,32,79,0.80051347,positive,22
0,pos_dist_combo=4_3,39,99,0.76974181,positive,23
0,pos_dist_combo=6_6,11,29,0.76974181,positive,24
0,pos_dist_combo=9_8,3,9,0.76974181,positive,25
0,pos_dist_combo=6_3,25,65,0.75447434,positive,26
0,dist_end=4,290,779,0.70006189,positive,27
0,pos_dist_combo=1_3,79,215,0.69278077,positive,28
0,pos_dist_combo=7_3,16,46,0.66909829,positive,29
0,pos_dist_combo=2_4,50,141,0.66203112,positive,30
0,pos_dist_combo=9_3,10,30,0.64994061,positive,31
0,pos_dist_combo=3_10+,28,85,0.59898108,positive,32
0,pos_dist_combo=4_7,17,53,0.58742026,positive,33
0,pos_dist_combo=8_5,7,23,0.58742026,positive,34
0,pos_dist_combo=1_7,27,84,0.5755858,positive,35
0,pos_dist_combo=4_4,27,84,0.5755858,positive,36
0,pos_dist_combo=8_4,9,31,0.52288174,positive,37
0,pos_dist_combo=4_5,20,70,0.46787511,positive,38
0,dist_end=7,108,378,0.43984422,positive,39
0,pos_dist_combo=5_5,13,49,0.41306687,positive,40
0,pos_dist_combo=2_7,19,71,0.4050987,positive,41
0,pos_dist_combo=1_6,29,109,0.38674956,positive,42
0,rel=Q2,534,1981,0.37643758,positive,43
0,pos_dist_combo=10+_4,17,66,0.37171168,positive,44
0,pos_dist_combo=1_4,52,202,0.34311848,positive,45
0,dist_end=5,166,649,0.327054,positive,46
0,pos_dist_combo=6_4,12,50,0.31915627,positive,47
