cadence_node,rank,predecessor,count,share_of_cadence_predecessors,book,run_label,stream_type
atnah,1,tipeha,808,0.55115962,genesis,control_exclude_external,full
atnah,2,munah,581,0.39631651,genesis,control_exclude_external,full
atnah,3,meteg,77,0.05252387,genesis,control_exclude_external,full
revia,1,munah,312,0.51147541,genesis,control_exclude_external,full
revia,2,meteg,119,0.19508197,genesis,control_exclude_external,full
revia,3,geresh,83,0.13606557,genesis,control_exclude_external,full
revia,4,atnah,63,0.10327869,genesis,control_exclude_external,full
revia,5,segol,14,0.02295082,genesis,control_exclude_external,full
revia,6,zaqef_qatan,11,0.01803279,genesis,control_exclude_external,full
zaqef_gadol,1,zaqef_qatan,60,0.34090909,genesis,control_exclude_external,full
zaqef_gadol,2,meteg,57,0.32386364,genesis,control_exclude_external,full
zaqef_gadol,3,atnah,55,0.3125,genesis,control_exclude_external,full
zaqef_qatan,1,munah,1159,0.61846318,genesis,control_exclude_external,full
zaqef_qatan,2,pashta,551,0.29402348,genesis,control_exclude_external,full
zaqef_qatan,3,meteg,126,0.06723586,genesis,control_exclude_external,full
zaqef_qatan,4,qadma,28,0.0149413,genesis,control_exclude_external,full
atnah,1,tipeha,582,0.50696864,exodus,control_exclude_external,full
atnah,2,munah,515,0.44860627,exodus,control_exclude_external,full
atnah,3,meteg,48,0.04181185,exodus,control_exclude_external,full
revia,1,munah,263,0.51873767,exodus,control_exclude_external,full
revia,2,meteg,107,0.21104536,exodus,control_exclude_external,full
revia,3,geresh,64,0.12623274,exodus,control_exclude_external,full
revia,4,atnah,46,0.09072978,exodus,control_exclude_external,full
revia,5,zaqef_qatan,14,0.02761341,exodus,control_exclude_external,full
revia,6,segol,10,0.01972387,exodus,control_exclude_external,full
zaqef_gadol,1,zaqef_qatan,39,0.39393939,exodus,control_exclude_external,full
zaqef_gadol,2,atnah,37,0.37373737,exodus,control_exclude_external,full
zaqef_gadol,3,meteg,22,0.22222222,exodus,control_exclude_external,full
zaqef_qatan,1,munah,853,0.57713126,exodus,control_exclude_external,full
zaqef_qatan,2,pashta,447,0.30243572,exodus,control_exclude_external,full
zaqef_qatan,3,meteg,133,0.08998647,exodus,control_exclude_external,full
zaqef_qatan,4,qadma,22,0.01488498,exodus,control_exclude_external,full
zaqef_qatan,5,yetiv,9,0.00608931,exodus,control_exclude_external,full
zaqef_qatan,6,atnah,5,0.00338295,exodus,control_exclude_external,full
atnah,1,tipeha,439,0.5399754,leviticus,control_exclude_external,full
atnah,2,munah,335,0.41205412,leviticus,control_exclude_external,full
atnah,3,meteg,39,0.04797048,leviticus,control_exclude_external,full
revia,1,munah,176,0.56410256,leviticus,control_exclude_external,full
revia,2,meteg,76,0.24358974,leviticus,control_exclude_external,full
revia,3,geresh,38,0.12179487,leviticus,control_exclude_external,full
revia,4,atnah,14,0.04487179,leviticus,control_exclude_external,full
zaqef_gadol,1,zaqef_qatan,24,0.43636364,leviticus,control_exclude_external,full
zaqef_gadol,2,meteg,18,0.32727273,leviticus,control_exclude_external,full
zaqef_gadol,3,atnah,13,0.23636364,leviticus,control_exclude_external,full
zaqef_qatan,1,munah,571,0.57852077,leviticus,control_exclude_external,full
zaqef_qatan,2,pashta,309,0.31306991,leviticus,control_exclude_external,full
zaqef_qatan,3,meteg,76,0.07700101,leviticus,control_exclude_external,full
zaqef_qatan,4,qadma,21,0.0212766,leviticus,control_exclude_external,full
zaqef_qatan,5,yetiv,8,0.00810537,leviticus,control_exclude_external,full
atnah,1,tipeha,621,0.53953084,numbers,control_exclude_external,full
atnah,2,munah,485,0.42137272,numbers,control_exclude_external,full
atnah,3,meteg,45,0.03909644,numbers,control_exclude_external,full
revia,1,munah,253,0.50905433,numbers,control_exclude_external,full
revia,2,meteg,99,0.19919517,numbers,control_exclude_external,full
revia,3,geresh,61,0.12273642,numbers,control_exclude_external,full
revia,4,atnah,45,0.09054326,numbers,control_exclude_external,full
revia,5,segol,15,0.03018109,numbers,control_exclude_external,full
revia,6,gershayim,15,0.03018109,numbers,control_exclude_external,full
revia,7,zaqef_qatan,9,0.01810865,numbers,control_exclude_external,full
zaqef_gadol,1,zaqef_qatan,45,0.35714286,numbers,control_exclude_external,full
zaqef_gadol,2,atnah,43,0.34126984,numbers,control_exclude_external,full
zaqef_gadol,3,meteg,36,0.28571429,numbers,control_exclude_external,full
zaqef_qatan,1,munah,756,0.55711127,numbers,control_exclude_external,full
zaqef_qatan,2,pashta,421,0.31024318,numbers,control_exclude_external,full
zaqef_qatan,3,meteg,131,0.09653648,numbers,control_exclude_external,full
zaqef_qatan,4,qadma,31,0.02284451,numbers,control_exclude_external,full
zaqef_qatan,5,yetiv,7,0.00515844,numbers,control_exclude_external,full
zaqef_qatan,6,atnah,7,0.00515844,numbers,control_exclude_external,full
atnah,1,tipeha,513,0.5625,deuteronomy,control_exclude_external,full
atnah,2,munah,360,0.39473684,deuteronomy,control_exclude_external,full
atnah,3,meteg,34,0.0372807,deuteronomy,control_exclude_external,full
revia,1,munah,273,0.53320312,deuteronomy,control_exclude_external,full
revia,2,meteg,105,0.20507812,deuteronomy,control_exclude_external,full
revia,3,geresh,69,0.13476562,deuteronomy,control_exclude_external,full
revia,4,atnah,44,0.0859375,deuteronomy,control_exclude_external,full
revia,5,zaqef_qatan,16,0.03125,deuteronomy,control_exclude_external,full
zaqef_gadol,1,zaqef_qatan,31,0.44285714,deuteronomy,control_exclude_external,full
zaqef_gadol,2,meteg,21,0.3,deuteronomy,control_exclude_external,full
zaqef_gadol,3,atnah,14,0.2,deuteronomy,control_exclude_external,full
zaqef_qatan,1,munah,790,0.61098221,deuteronomy,control_exclude_external,full
zaqef_qatan,2,pashta,366,0.28306265,deuteronomy,control_exclude_external,full
zaqef_qatan,3,meteg,111,0.08584687,deuteronomy,control_exclude_external,full
zaqef_qatan,4,qadma,11,0.00850735,deuteronomy,control_exclude_external,full
zaqef_qatan,5,zaqef_qatan,6,0.00464037,deuteronomy,control_exclude_external,full
zaqef_qatan,6,yetiv,5,0.00386698,deuteronomy,control_exclude_external,full
