taam,rank,successor,count,prob,book,run_label,stream_type
atnah,1,munah,172,0.18859649,deuteronomy,control_exclude_external,core_projected
atnah,2,merkha,146,0.16008772,deuteronomy,control_exclude_external,core_projected
atnah,3,pashta,107,0.11732456,deuteronomy,control_exclude_external,core_projected
atnah,4,meteg,105,0.11513158,deuteronomy,control_exclude_external,core_projected
atnah,5,mahapakh,105,0.11513158,deuteronomy,control_exclude_external,core_projected
atnah,6,tipeha,90,0.09868421,deuteronomy,control_exclude_external,core_projected
atnah,7,qadma,57,0.0625,deuteronomy,control_exclude_external,core_projected
atnah,8,revia,45,0.04934211,deuteronomy,control_exclude_external,core_projected
atnah,9,darga,28,0.03070175,deuteronomy,control_exclude_external,core_projected
atnah,10,telisha_qetana,17,0.01864035,deuteronomy,control_exclude_external,core_projected
darga,1,tevir,163,0.77990431,deuteronomy,control_exclude_external,core_projected
darga,2,meteg,23,0.11004785,deuteronomy,control_exclude_external,core_projected
darga,3,munah,20,0.09569378,deuteronomy,control_exclude_external,core_projected
darga,4,darga,1,0.00478469,deuteronomy,control_exclude_external,core_projected
darga,5,tipeha,1,0.00478469,deuteronomy,control_exclude_external,core_projected
darga,6,merkha,1,0.00478469,deuteronomy,control_exclude_external,core_projected
geresh,1,munah,70,0.28571429,deuteronomy,control_exclude_external,core_projected
geresh,2,revia,69,0.28163265,deuteronomy,control_exclude_external,core_projected
geresh,3,mahapakh,35,0.14285714,deuteronomy,control_exclude_external,core_projected
geresh,4,darga,28,0.11428571,deuteronomy,control_exclude_external,core_projected
geresh,5,meteg,20,0.08163265,deuteronomy,control_exclude_external,core_projected
geresh,6,merkha,11,0.04489796,deuteronomy,control_exclude_external,core_projected
geresh,7,qadma,9,0.03673469,deuteronomy,control_exclude_external,core_projected
geresh,8,telisha_qetana,2,0.00816327,deuteronomy,control_exclude_external,core_projected
geresh,9,zaqef_qatan,1,0.00408163,deuteronomy,control_exclude_external,core_projected
mahapakh,1,pashta,490,0.85514834,deuteronomy,control_exclude_external,core_projected
mahapakh,2,meteg,76,0.13263525,deuteronomy,control_exclude_external,core_projected
mahapakh,3,munah,3,0.0052356,deuteronomy,control_exclude_external,core_projected
mahapakh,4,merkha,3,0.0052356,deuteronomy,control_exclude_external,core_projected
mahapakh,5,qadma,1,0.0017452,deuteronomy,control_exclude_external,core_projected
merkha,1,tipeha,985,0.61601001,deuteronomy,control_exclude_external,core_projected
merkha,2,meteg,439,0.27454659,deuteronomy,control_exclude_external,core_projected
merkha,3,tevir,112,0.07004378,deuteronomy,control_exclude_external,core_projected
merkha,4,pashta,39,0.02439024,deuteronomy,control_exclude_external,core_projected
merkha,5,munah,13,0.00813008,deuteronomy,control_exclude_external,core_projected
merkha,6,merkha,3,0.00187617,deuteronomy,control_exclude_external,core_projected
merkha,7,telisha_qetana,3,0.00187617,deuteronomy,control_exclude_external,core_projected
merkha,8,atnah,3,0.00187617,deuteronomy,control_exclude_external,core_projected
merkha,9,qadma,1,0.00062539,deuteronomy,control_exclude_external,core_projected
merkha,10,zaqef_gadol,1,0.00062539,deuteronomy,control_exclude_external,core_projected
meteg,1,munah,315,0.17568321,deuteronomy,control_exclude_external,core_projected
meteg,2,merkha,217,0.12102621,deuteronomy,control_exclude_external,core_projected
meteg,3,pashta,203,0.11321807,deuteronomy,control_exclude_external,core_projected
meteg,4,meteg,167,0.09313999,deuteronomy,control_exclude_external,core_projected
meteg,5,tipeha,149,0.08310095,deuteronomy,control_exclude_external,core_projected
meteg,6,mahapakh,142,0.07919688,deuteronomy,control_exclude_external,core_projected
meteg,7,qadma,132,0.07361963,deuteronomy,control_exclude_external,core_projected
meteg,8,zaqef_qatan,111,0.06190742,deuteronomy,control_exclude_external,core_projected
meteg,9,revia,106,0.0591188,deuteronomy,control_exclude_external,core_projected
meteg,10,tevir,64,0.03569437,deuteronomy,control_exclude_external,core_projected
munah,1,zaqef_qatan,790,0.43598234,deuteronomy,control_exclude_external,core_projected
munah,2,atnah,360,0.1986755,deuteronomy,control_exclude_external,core_projected
munah,3,revia,276,0.15231788,deuteronomy,control_exclude_external,core_projected
munah,4,munah,132,0.07284768,deuteronomy,control_exclude_external,core_projected
munah,5,meteg,117,0.06456954,deuteronomy,control_exclude_external,core_projected
munah,6,mahapakh,48,0.02649007,deuteronomy,control_exclude_external,core_projected
munah,7,qadma,25,0.01379691,deuteronomy,control_exclude_external,core_projected
munah,8,telisha_qetana,23,0.01269316,deuteronomy,control_exclude_external,core_projected
munah,9,merkha,13,0.00717439,deuteronomy,control_exclude_external,core_projected
munah,10,pashta,10,0.00551876,deuteronomy,control_exclude_external,core_projected
pashta,1,munah,569,0.46715928,deuteronomy,control_exclude_external,core_projected
pashta,2,zaqef_qatan,366,0.30049261,deuteronomy,control_exclude_external,core_projected
pashta,3,pashta,194,0.1592775,deuteronomy,control_exclude_external,core_projected
pashta,4,meteg,63,0.05172414,deuteronomy,control_exclude_external,core_projected
pashta,5,mahapakh,16,0.01313629,deuteronomy,control_exclude_external,core_projected
pashta,6,qadma,5,0.00410509,deuteronomy,control_exclude_external,core_projected
pashta,7,telisha_qetana,2,0.00164204,deuteronomy,control_exclude_external,core_projected
pashta,8,geresh,1,0.00082102,deuteronomy,control_exclude_external,core_projected
pashta,9,tipeha,1,0.00082102,deuteronomy,control_exclude_external,core_projected
pashta,10,merkha,1,0.00082102,deuteronomy,control_exclude_external,core_projected
qadma,1,geresh,204,0.46363636,deuteronomy,control_exclude_external,core_projected
qadma,2,mahapakh,101,0.22954545,deuteronomy,control_exclude_external,core_projected
qadma,3,darga,50,0.11363636,deuteronomy,control_exclude_external,core_projected
qadma,4,merkha,44,0.1,deuteronomy,control_exclude_external,core_projected
qadma,5,meteg,19,0.04318182,deuteronomy,control_exclude_external,core_projected
qadma,6,zaqef_qatan,11,0.025,deuteronomy,control_exclude_external,core_projected
qadma,7,munah,8,0.01818182,deuteronomy,control_exclude_external,core_projected
qadma,8,atnah,2,0.00454545,deuteronomy,control_exclude_external,core_projected
qadma,9,tipeha,1,0.00227273,deuteronomy,control_exclude_external,core_projected
revia,1,pashta,127,0.24804688,deuteronomy,control_exclude_external,core_projected
revia,2,mahapakh,99,0.19335938,deuteronomy,control_exclude_external,core_projected
revia,3,qadma,68,0.1328125,deuteronomy,control_exclude_external,core_projected
revia,4,meteg,63,0.12304688,deuteronomy,control_exclude_external,core_projected
revia,5,munah,60,0.1171875,deuteronomy,control_exclude_external,core_projected
revia,6,tevir,47,0.09179688,deuteronomy,control_exclude_external,core_projected
revia,7,merkha,19,0.03710938,deuteronomy,control_exclude_external,core_projected
revia,8,darga,12,0.0234375,deuteronomy,control_exclude_external,core_projected
revia,9,telisha_qetana,11,0.02148438,deuteronomy,control_exclude_external,core_projected
revia,10,geresh,5,0.00976562,deuteronomy,control_exclude_external,core_projected
telisha_qetana,1,qadma,109,0.92372881,deuteronomy,control_exclude_external,core_projected
telisha_qetana,2,meteg,4,0.03389831,deuteronomy,control_exclude_external,core_projected
telisha_qetana,3,tipeha,2,0.01694915,deuteronomy,control_exclude_external,core_projected
telisha_qetana,4,merkha,1,0.00847458,deuteronomy,control_exclude_external,core_projected
telisha_qetana,5,mahapakh,1,0.00847458,deuteronomy,control_exclude_external,core_projected
telisha_qetana,6,telisha_qetana,1,0.00847458,deuteronomy,control_exclude_external,core_projected
