taam,event_count,event_share,out_total,in_total,out_degree,in_degree,successor_entropy,successor_norm_entropy,predecessor_entropy,predecessor_norm_entropy,top_successor,top_successor_prob,top_predecessor,top_predecessor_prob,book,run_label,stream_type
atnah,912,0.06736096,912,912,19,5,3.49818497,0.82350392,1.21968843,0.52529122,munah,0.16666667,tipeha,0.5625,deuteronomy,control_exclude_external,full
darga,209,0.01543689,209,209,6,13,1.06466451,0.41186845,2.87873174,0.77794315,tevir,0.77990431,qadma,0.23923445,deuteronomy,control_exclude_external,full
geresh,245,0.01809587,245,245,9,10,2.5501462,0.80448156,1.00932829,0.30383809,munah,0.28571429,qadma,0.83265306,deuteronomy,control_exclude_external,full
gershayim,109,0.00805082,109,109,8,7,2.23551319,0.74517106,1.75658789,0.62570923,munah,0.37614679,meteg,0.57798165,deuteronomy,control_exclude_external,full
mahapakh,573,0.04232218,573,573,5,13,0.6749483,0.29068441,3.03045861,0.81894554,pashta,0.85514834,meteg,0.21640489,deuteronomy,control_exclude_external,full
merkha,1599,0.11810326,1599,1599,11,18,1.47418301,0.42613445,2.68869723,0.64478312,tipeha,0.61601001,zaqef_qatan,0.2601626,deuteronomy,control_exclude_external,full
meteg,1794,0.13250609,1793,1794,21,21,3.87922615,0.88318438,3.00261888,0.68360699,munah,0.14277747,tipeha,0.33054627,deuteronomy,control_exclude_external,full
munah,1812,0.13383559,1812,1811,19,20,2.53548533,0.59687585,3.06603388,0.70941344,zaqef_qatan,0.43598234,pashta,0.31308669,deuteronomy,control_exclude_external,full
pashta,1218,0.08996233,1218,1218,12,12,1.85261692,0.51677442,2.48059215,0.69194368,munah,0.46551724,mahapakh,0.40229885,deuteronomy,control_exclude_external,full
pazer,35,0.00258512,35,35,7,5,1.86911969,0.66579387,1.73896258,0.74893042,telisha_qetana,0.45714286,meteg,0.42857143,deuteronomy,control_exclude_external,full
qadma,440,0.03249871,440,440,9,16,2.17948176,0.68754994,2.88289603,0.72072401,geresh,0.46363636,telisha_qetana,0.24772727,deuteronomy,control_exclude_external,full
revia,512,0.03781668,512,512,15,7,3.19360792,0.81742958,1.8749577,0.66787341,pashta,0.24609375,munah,0.53320312,deuteronomy,control_exclude_external,full
segol,68,0.00502253,68,68,14,5,3.17616114,0.83421725,1.52693765,0.65761625,munah,0.26470588,munah,0.47058824,deuteronomy,control_exclude_external,full
telisha_gedola,67,0.00494867,67,67,6,7,1.680098,0.64995063,2.2505829,0.8016738,qadma,0.62686567,meteg,0.35820896,deuteronomy,control_exclude_external,full
telisha_qetana,118,0.00871556,118,118,6,13,0.54593041,0.21119471,2.71029044,0.73242389,qadma,0.92372881,meteg,0.37288136,deuteronomy,control_exclude_external,full
tevir,477,0.03523155,477,477,7,10,1.16641948,0.415487,2.42864726,0.73109567,merkha,0.66666667,darga,0.34171908,deuteronomy,control_exclude_external,full
tipeha,1855,0.1370116,1855,1855,8,12,2.00488106,0.66829369,1.88668129,0.52627644,meteg,0.31967655,merkha,0.5309973,deuteronomy,control_exclude_external,full
yetiv,65,0.00480095,65,65,4,5,0.98107565,0.49053783,2.08265974,0.89695273,munah,0.8,revia,0.35384615,deuteronomy,control_exclude_external,full
zaqef_gadol,70,0.00517025,70,70,9,5,2.22458978,0.70177994,1.78818862,0.77013092,merkha,0.44285714,zaqef_qatan,0.44285714,deuteronomy,control_exclude_external,full
zaqef_qatan,1293,0.09550188,1293,1293,18,8,2.64437959,0.63415519,1.40753182,0.46917727,tipeha,0.35808198,munah,0.61098221,deuteronomy,control_exclude_external,full
zarqa,2,0.00014772,2,2,2,1,1.0,1.0,-0.0,0.0,segol,0.5,munah,1.0,deuteronomy,control_exclude_external,full
zinor,66,0.00487481,66,66,4,6,1.18495112,0.59247556,1.92001115,0.7427617,munah,0.54545455,munah,0.46969697,deuteronomy,control_exclude_external,full
