taam,rank,successor,count,prob,book,run_label,stream_type
atnah,1,munah,152,0.16666667,deuteronomy,control_exclude_external,full
atnah,2,merkha,145,0.15899123,deuteronomy,control_exclude_external,full
atnah,3,pashta,107,0.11732456,deuteronomy,control_exclude_external,full
atnah,4,meteg,103,0.1129386,deuteronomy,control_exclude_external,full
atnah,5,mahapakh,92,0.10087719,deuteronomy,control_exclude_external,full
atnah,6,tipeha,90,0.09868421,deuteronomy,control_exclude_external,full
atnah,7,qadma,55,0.06030702,deuteronomy,control_exclude_external,full
atnah,8,revia,44,0.04824561,deuteronomy,control_exclude_external,full
atnah,9,gershayim,26,0.02850877,deuteronomy,control_exclude_external,full
atnah,10,darga,23,0.0252193,deuteronomy,control_exclude_external,full
darga,1,tevir,163,0.77990431,deuteronomy,control_exclude_external,full
darga,2,meteg,23,0.11004785,deuteronomy,control_exclude_external,full
darga,3,munah,20,0.09569378,deuteronomy,control_exclude_external,full
darga,4,darga,1,0.00478469,deuteronomy,control_exclude_external,full
darga,5,tipeha,1,0.00478469,deuteronomy,control_exclude_external,full
darga,6,merkha,1,0.00478469,deuteronomy,control_exclude_external,full
geresh,1,munah,70,0.28571429,deuteronomy,control_exclude_external,full
geresh,2,revia,69,0.28163265,deuteronomy,control_exclude_external,full
geresh,3,mahapakh,35,0.14285714,deuteronomy,control_exclude_external,full
geresh,4,darga,28,0.11428571,deuteronomy,control_exclude_external,full
geresh,5,meteg,20,0.08163265,deuteronomy,control_exclude_external,full
geresh,6,merkha,11,0.04489796,deuteronomy,control_exclude_external,full
geresh,7,qadma,9,0.03673469,deuteronomy,control_exclude_external,full
geresh,8,telisha_qetana,2,0.00816327,deuteronomy,control_exclude_external,full
geresh,9,zaqef_qatan,1,0.00408163,deuteronomy,control_exclude_external,full
gershayim,1,munah,41,0.37614679,deuteronomy,control_exclude_external,full
gershayim,2,mahapakh,35,0.32110092,deuteronomy,control_exclude_external,full
gershayim,3,darga,13,0.11926606,deuteronomy,control_exclude_external,full
gershayim,4,qadma,7,0.06422018,deuteronomy,control_exclude_external,full
gershayim,5,merkha,6,0.05504587,deuteronomy,control_exclude_external,full
gershayim,6,meteg,5,0.04587156,deuteronomy,control_exclude_external,full
gershayim,7,revia,1,0.00917431,deuteronomy,control_exclude_external,full
gershayim,8,telisha_gedola,1,0.00917431,deuteronomy,control_exclude_external,full
mahapakh,1,pashta,490,0.85514834,deuteronomy,control_exclude_external,full
mahapakh,2,meteg,76,0.13263525,deuteronomy,control_exclude_external,full
mahapakh,3,munah,3,0.0052356,deuteronomy,control_exclude_external,full
mahapakh,4,merkha,3,0.0052356,deuteronomy,control_exclude_external,full
mahapakh,5,qadma,1,0.0017452,deuteronomy,control_exclude_external,full
merkha,1,tipeha,985,0.61601001,deuteronomy,control_exclude_external,full
merkha,2,meteg,439,0.27454659,deuteronomy,control_exclude_external,full
merkha,3,tevir,112,0.07004378,deuteronomy,control_exclude_external,full
merkha,4,pashta,36,0.02251407,deuteronomy,control_exclude_external,full
merkha,5,munah,11,0.0068793,deuteronomy,control_exclude_external,full
merkha,6,zinor,5,0.00312695,deuteronomy,control_exclude_external,full
merkha,7,merkha,3,0.00187617,deuteronomy,control_exclude_external,full
merkha,8,telisha_qetana,3,0.00187617,deuteronomy,control_exclude_external,full
merkha,9,atnah,3,0.00187617,deuteronomy,control_exclude_external,full
merkha,10,qadma,1,0.00062539,deuteronomy,control_exclude_external,full
meteg,1,munah,256,0.14277747,deuteronomy,control_exclude_external,full
meteg,2,merkha,212,0.11823759,deuteronomy,control_exclude_external,full
meteg,3,pashta,202,0.11266035,deuteronomy,control_exclude_external,full
meteg,4,meteg,154,0.08588957,deuteronomy,control_exclude_external,full
meteg,5,tipeha,149,0.08310095,deuteronomy,control_exclude_external,full
