taam,rank,predecessor,count,prob,book,run_label,stream_type
atnah,1,tipeha,582,0.50696864,exodus,control_exclude_external,core_projected
atnah,2,munah,515,0.44860627,exodus,control_exclude_external,core_projected
atnah,3,meteg,48,0.04181185,exodus,control_exclude_external,core_projected
atnah,4,merkha,1,0.00087108,exodus,control_exclude_external,core_projected
atnah,5,qadma,1,0.00087108,exodus,control_exclude_external,core_projected
atnah,6,pashta,1,0.00087108,exodus,control_exclude_external,core_projected
darga,1,meteg,55,0.24886878,exodus,control_exclude_external,core_projected
darga,2,atnah,46,0.2081448,exodus,control_exclude_external,core_projected
darga,3,qadma,37,0.16742081,exodus,control_exclude_external,core_projected
darga,4,zaqef_qatan,31,0.14027149,exodus,control_exclude_external,core_projected
darga,5,revia,23,0.1040724,exodus,control_exclude_external,core_projected
darga,6,geresh,19,0.08597285,exodus,control_exclude_external,core_projected
darga,7,munah,7,0.03167421,exodus,control_exclude_external,core_projected
darga,8,zaqef_gadol,3,0.01357466,exodus,control_exclude_external,core_projected
geresh,1,qadma,193,0.83189655,exodus,control_exclude_external,core_projected
geresh,2,meteg,27,0.11637931,exodus,control_exclude_external,core_projected
geresh,3,zaqef_qatan,4,0.01724138,exodus,control_exclude_external,core_projected
geresh,4,munah,3,0.01293103,exodus,control_exclude_external,core_projected
geresh,5,atnah,2,0.00862069,exodus,control_exclude_external,core_projected
geresh,6,tipeha,2,0.00862069,exodus,control_exclude_external,core_projected
geresh,7,revia,1,0.00431034,exodus,control_exclude_external,core_projected
mahapakh,1,meteg,202,0.30745814,exodus,control_exclude_external,core_projected
mahapakh,2,revia,130,0.1978691,exodus,control_exclude_external,core_projected
mahapakh,3,atnah,119,0.18112633,exodus,control_exclude_external,core_projected
mahapakh,4,qadma,91,0.13850837,exodus,control_exclude_external,core_projected
mahapakh,5,geresh,47,0.07153729,exodus,control_exclude_external,core_projected
mahapakh,6,munah,36,0.05479452,exodus,control_exclude_external,core_projected
mahapakh,7,zaqef_qatan,18,0.02739726,exodus,control_exclude_external,core_projected
mahapakh,8,pashta,13,0.01978691,exodus,control_exclude_external,core_projected
mahapakh,9,merkha,1,0.00152207,exodus,control_exclude_external,core_projected
merkha,1,tipeha,453,0.24082935,exodus,control_exclude_external,core_projected
merkha,2,zaqef_qatan,429,0.22807018,exodus,control_exclude_external,core_projected
merkha,3,tevir,369,0.19617225,exodus,control_exclude_external,core_projected
merkha,4,meteg,311,0.16533759,exodus,control_exclude_external,core_projected
merkha,5,atnah,208,0.11057948,exodus,control_exclude_external,core_projected
merkha,6,qadma,37,0.01967039,exodus,control_exclude_external,core_projected
merkha,7,zaqef_gadol,27,0.01435407,exodus,control_exclude_external,core_projected
merkha,8,revia,18,0.00956938,exodus,control_exclude_external,core_projected
merkha,9,munah,14,0.00744285,exodus,control_exclude_external,core_projected
merkha,10,geresh,11,0.00584795,exodus,control_exclude_external,core_projected
meteg,1,tipeha,781,0.37458034,exodus,control_exclude_external,core_projected
meteg,2,merkha,541,0.25947242,exodus,control_exclude_external,core_projected
meteg,3,meteg,144,0.06906475,exodus,control_exclude_external,core_projected
meteg,4,munah,113,0.05419664,exodus,control_exclude_external,core_projected
meteg,5,pashta,97,0.04652278,exodus,control_exclude_external,core_projected
meteg,6,atnah,93,0.04460432,exodus,control_exclude_external,core_projected
meteg,7,zaqef_qatan,87,0.04172662,exodus,control_exclude_external,core_projected
meteg,8,mahapakh,75,0.03597122,exodus,control_exclude_external,core_projected
meteg,9,revia,63,0.03021583,exodus,control_exclude_external,core_projected
meteg,10,geresh,26,0.01247002,exodus,control_exclude_external,core_projected
munah,1,pashta,559,0.2795,exodus,control_exclude_external,core_projected
munah,2,tipeha,525,0.2625,exodus,control_exclude_external,core_projected
munah,3,meteg,330,0.165,exodus,control_exclude_external,core_projected
munah,4,atnah,204,0.102,exodus,control_exclude_external,core_projected
munah,5,munah,140,0.07,exodus,control_exclude_external,core_projected
munah,6,zaqef_qatan,97,0.0485,exodus,control_exclude_external,core_projected
munah,7,revia,57,0.0285,exodus,control_exclude_external,core_projected
munah,8,geresh,56,0.028,exodus,control_exclude_external,core_projected
munah,9,qadma,10,0.005,exodus,control_exclude_external,core_projected
munah,10,darga,8,0.004,exodus,control_exclude_external,core_projected
pashta,1,mahapakh,575,0.43135784,exodus,control_exclude_external,core_projected
pashta,2,meteg,220,0.16504126,exodus,control_exclude_external,core_projected
pashta,3,pashta,206,0.15453863,exodus,control_exclude_external,core_projected
pashta,4,revia,134,0.10052513,exodus,control_exclude_external,core_projected
pashta,5,atnah,93,0.06976744,exodus,control_exclude_external,core_projected
pashta,6,zaqef_qatan,64,0.048012,exodus,control_exclude_external,core_projected
pashta,7,merkha,26,0.01950488,exodus,control_exclude_external,core_projected
pashta,8,munah,8,0.0060015,exodus,control_exclude_external,core_projected
pashta,9,geresh,3,0.00225056,exodus,control_exclude_external,core_projected
pashta,10,tipeha,3,0.00225056,exodus,control_exclude_external,core_projected
qadma,1,meteg,153,0.375,exodus,control_exclude_external,core_projected
qadma,2,telisha_qetana,86,0.21078431,exodus,control_exclude_external,core_projected
qadma,3,atnah,78,0.19117647,exodus,control_exclude_external,core_projected
qadma,4,revia,37,0.09068627,exodus,control_exclude_external,core_projected
qadma,5,zaqef_qatan,23,0.05637255,exodus,control_exclude_external,core_projected
qadma,6,munah,16,0.03921569,exodus,control_exclude_external,core_projected
qadma,7,pashta,6,0.01470588,exodus,control_exclude_external,core_projected
qadma,8,geresh,5,0.0122549,exodus,control_exclude_external,core_projected
qadma,9,merkha,2,0.00490196,exodus,control_exclude_external,core_projected
qadma,10,tipeha,1,0.00245098,exodus,control_exclude_external,core_projected
revia,1,munah,274,0.54043393,exodus,control_exclude_external,core_projected
revia,2,meteg,109,0.21499014,exodus,control_exclude_external,core_projected
revia,3,geresh,64,0.12623274,exodus,control_exclude_external,core_projected
revia,4,atnah,46,0.09072978,exodus,control_exclude_external,core_projected
revia,5,zaqef_qatan,14,0.02761341,exodus,control_exclude_external,core_projected
telisha_qetana,1,meteg,47,0.52222222,exodus,control_exclude_external,core_projected
telisha_qetana,2,munah,17,0.18888889,exodus,control_exclude_external,core_projected
telisha_qetana,3,atnah,15,0.16666667,exodus,control_exclude_external,core_projected
telisha_qetana,4,revia,5,0.05555556,exodus,control_exclude_external,core_projected
telisha_qetana,5,zaqef_qatan,2,0.02222222,exodus,control_exclude_external,core_projected
telisha_qetana,6,tevir,2,0.02222222,exodus,control_exclude_external,core_projected
telisha_qetana,7,merkha,1,0.01111111,exodus,control_exclude_external,core_projected
telisha_qetana,8,zaqef_gadol,1,0.01111111,exodus,control_exclude_external,core_projected
tevir,1,darga,190,0.32478632,exodus,control_exclude_external,core_projected
tevir,2,merkha,145,0.24786325,exodus,control_exclude_external,core_projected
tevir,3,meteg,77,0.13162393,exodus,control_exclude_external,core_projected
tevir,4,zaqef_qatan,70,0.11965812,exodus,control_exclude_external,core_projected
tevir,5,atnah,55,0.09401709,exodus,control_exclude_external,core_projected
tevir,6,revia,38,0.06495726,exodus,control_exclude_external,core_projected
tevir,7,zaqef_gadol,9,0.01538462,exodus,control_exclude_external,core_projected
tevir,8,tevir,1,0.0017094,exodus,control_exclude_external,core_projected
tipeha,1,merkha,1155,0.4921176,exodus,control_exclude_external,core_projected
tipeha,2,zaqef_qatan,592,0.2522369,exodus,control_exclude_external,core_projected
tipeha,3,meteg,205,0.08734555,exodus,control_exclude_external,core_projected
tipeha,4,tevir,193,0.08223264,exodus,control_exclude_external,core_projected
tipeha,5,atnah,144,0.06135492,exodus,control_exclude_external,core_projected
tipeha,6,zaqef_gadol,46,0.01959949,exodus,control_exclude_external,core_projected
tipeha,7,munah,4,0.0017043,exodus,control_exclude_external,core_projected
tipeha,8,qadma,2,0.00085215,exodus,control_exclude_external,core_projected
tipeha,9,darga,1,0.00042608,exodus,control_exclude_external,core_projected
tipeha,10,telisha_qetana,1,0.00042608,exodus,control_exclude_external,core_projected
zaqef_gadol,1,zaqef_qatan,39,0.39393939,exodus,control_exclude_external,core_projected
zaqef_gadol,2,atnah,37,0.37373737,exodus,control_exclude_external,core_projected
zaqef_gadol,3,meteg,22,0.22222222,exodus,control_exclude_external,core_projected
zaqef_gadol,4,zaqef_gadol,1,0.01010101,exodus,control_exclude_external,core_projected
zaqef_qatan,1,munah,853,0.57713126,exodus,control_exclude_external,core_projected
zaqef_qatan,2,pashta,449,0.3037889,exodus,control_exclude_external,core_projected
zaqef_qatan,3,meteg,134,0.09066306,exodus,control_exclude_external,core_projected
zaqef_qatan,4,qadma,22,0.01488498,exodus,control_exclude_external,core_projected
zaqef_qatan,5,zaqef_qatan,8,0.00541272,exodus,control_exclude_external,core_projected
zaqef_qatan,6,atnah,8,0.00541272,exodus,control_exclude_external,core_projected
zaqef_qatan,7,mahapakh,2,0.00135318,exodus,control_exclude_external,core_projected
zaqef_qatan,8,revia,1,0.00067659,exodus,control_exclude_external,core_projected
zaqef_qatan,9,merkha,1,0.00067659,exodus,control_exclude_external,core_projected
