taam,event_count,event_share,out_total,in_total,out_degree,in_degree,successor_entropy,successor_norm_entropy,predecessor_entropy,predecessor_norm_entropy,top_successor,top_successor_prob,top_predecessor,top_predecessor_prob,book,run_label,stream_type
atnah,1148,0.07406929,1148,1148,19,6,3.52626085,0.83011323,1.23370798,0.4772634,merkha,0.18031359,tipeha,0.50696864,exodus,control_exclude_external,full
darga,221,0.01425898,221,221,4,10,0.7273593,0.36367965,2.87033989,0.8640584,tevir,0.85972851,meteg,0.21266968,exodus,control_exclude_external,full
geresh,232,0.01496871,232,232,9,10,2.5665246,0.80964837,0.97567598,0.29370774,revia,0.27586207,qadma,0.82758621,exodus,control_exclude_external,full
gershayim,98,0.00632299,98,98,8,7,2.38956527,0.79652176,1.73246372,0.61711603,munah,0.33673469,meteg,0.65306122,exodus,control_exclude_external,full
mahapakh,657,0.04238983,657,657,7,12,0.61937386,0.22062542,2.82048093,0.78675326,pashta,0.87519026,meteg,0.28310502,exodus,control_exclude_external,full
merkha,1881,0.12136267,1881,1881,11,15,1.38895447,0.40149788,2.62130354,0.67094368,tipeha,0.61403509,tipeha,0.24082935,exodus,control_exclude_external,full
merkha_kefula,1,6.452e-05,1,1,1,1,-0.0,0.0,-0.0,0.0,tipeha,1.0,darga,1.0,exodus,control_exclude_external,full
meteg,2085,0.13452481,2084,2085,22,22,3.80278687,0.85275147,2.83553176,0.63585048,merkha,0.14827255,tipeha,0.37458034,exodus,control_exclude_external,full
munah,2000,0.12904058,2000,2000,18,20,2.40211957,0.57605822,2.96643354,0.68636809,zaqef_qatan,0.4265,pashta,0.278,exodus,control_exclude_external,full
pashta,1333,0.08600555,1333,1333,12,12,1.9112733,0.5331362,2.39965463,0.66936673,munah,0.41710428,mahapakh,0.43135784,exodus,control_exclude_external,full
pazer,32,0.00206465,32,32,7,6,1.91529304,0.68224115,1.86631466,0.72198906,telisha_qetana,0.59375,meteg,0.5625,exodus,control_exclude_external,full
qadma,408,0.02632428,408,408,10,14,2.23626898,0.67318404,2.72754568,0.7163886,geresh,0.47058824,meteg,0.33333333,exodus,control_exclude_external,full
revia,508,0.03277631,508,507,16,8,3.06132975,0.76533244,1.95984832,0.65328277,pashta,0.26377953,munah,0.51873767,exodus,control_exclude_external,full
segol,81,0.00522614,81,81,13,5,3.01206923,0.81397603,1.47002375,0.63310477,munah,0.30864198,munah,0.4691358,exodus,control_exclude_external,full
telisha_gedola,43,0.00277437,43,43,7,7,1.8162419,0.64695842,2.45523087,0.87457088,qadma,0.60465116,munah,0.30232558,exodus,control_exclude_external,full
telisha_qetana,90,0.00580683,90,90,4,10,0.32897789,0.16448894,2.48579689,0.74829943,qadma,0.95555556,meteg,0.4,exodus,control_exclude_external,full
tevir,585,0.03774437,585,585,5,9,1.15738378,0.49845806,2.47399257,0.78045776,merkha,0.63076923,darga,0.32478632,exodus,control_exclude_external,full
tipeha,2347,0.15142912,2347,2347,8,15,1.99863879,0.66621293,2.02398464,0.51805511,meteg,0.33276523,merkha,0.4921176,exodus,control_exclude_external,full
yetiv,90,0.00580683,90,90,3,7,0.76983691,0.48571301,2.17456651,0.77459622,munah,0.84444444,revia,0.35555556,exodus,control_exclude_external,full
zaqef_gadol,99,0.00638751,99,99,10,4,2.19095753,0.65954394,1.60927625,0.80463812,tipeha,0.46464646,zaqef_qatan,0.39393939,exodus,control_exclude_external,full
zaqef_qatan,1478,0.09536099,1478,1478,17,10,2.58014897,0.63123484,1.51102972,0.45486527,tipeha,0.39986468,munah,0.57713126,exodus,control_exclude_external,full
zarqa,3,0.00019356,3,3,3,2,1.5849625,1.0,0.91829583,0.91829583,munah,0.33333333,meteg,0.66666667,exodus,control_exclude_external,full
zinor,79,0.0050971,79,79,4,6,1.22549546,0.61274773,1.38298165,0.53501033,munah,0.51898734,munah,0.65822785,exodus,control_exclude_external,full
