source,target,count,prob_given_source,target_predecessor_share,reverse_count,asymmetry_count,asymmetry_ratio,expected_independent,lift,book,run_label,stream_type
merkha,tipeha,802,0.58497447,0.48139256,370,432,2.16756757,223.229672,3.592712,leviticus,control_exclude_external,core_adjacent
munah,zaqef_qatan,571,0.45174051,0.58324821,50,521,11.42,120.939797,4.721357,leviticus,control_exclude_external,core_adjacent
tipeha,meteg,514,0.30815348,0.36044881,128,386,4.015625,232.463643,2.211098,leviticus,control_exclude_external,core_adjacent
merkha,meteg,440,0.32093363,0.3085554,195,245,2.25641026,191.071736,2.3028,leviticus,control_exclude_external,core_adjacent
tipeha,atnah,439,0.26318945,0.5399754,126,313,3.48412698,132.53362,3.312367,leviticus,control_exclude_external,core_adjacent
zaqef_qatan,tipeha,425,0.43545082,0.25510204,0,425,inf,158.914777,2.674389,leviticus,control_exclude_external,core_adjacent
pashta,munah,399,0.44630872,0.32465419,0,399,inf,107.381353,3.715729,leviticus,control_exclude_external,core_adjacent
mahapakh,pashta,387,0.85809313,0.43581081,3,384,129.0,39.140735,9.887397,leviticus,control_exclude_external,core_adjacent
tipeha,merkha,370,0.22182254,0.27007299,802,-432,0.46134663,223.334636,1.656707,leviticus,control_exclude_external,core_adjacent
tipeha,munah,344,0.20623501,0.27990236,0,344,inf,200.349101,1.717003,leviticus,control_exclude_external,core_adjacent
munah,atnah,335,0.26503165,0.41205412,107,228,3.13084112,100.433151,3.335552,leviticus,control_exclude_external,core_adjacent
pashta,zaqef_qatan,309,0.34563758,0.31562819,42,267,7.35714286,85.538116,3.612425,leviticus,control_exclude_external,core_adjacent
zaqef_qatan,merkha,300,0.30737705,0.2189781,0,300,inf,130.680219,2.29568,leviticus,control_exclude_external,core_adjacent
tevir,merkha,238,0.57211538,0.17372263,100,138,2.38,55.699765,4.272908,leviticus,control_exclude_external,core_adjacent
meteg,merkha,195,0.14584892,0.14233577,440,-245,0.44318182,179.015833,1.089289,leviticus,control_exclude_external,core_adjacent
atnah,merkha,179,0.23126615,0.13065693,0,179,inf,103.633698,1.727237,leviticus,control_exclude_external,core_adjacent
munah,revia,176,0.13924051,0.5732899,12,164,14.66666667,37.924941,4.640745,leviticus,control_exclude_external,core_adjacent
meteg,pashta,173,0.12939417,0.19481982,48,125,3.60416667,116.03362,1.490947,leviticus,control_exclude_external,core_adjacent
meteg,munah,166,0.12415856,0.13506916,67,99,2.47761194,160.591575,1.033678,leviticus,control_exclude_external,core_adjacent
tevir,tipeha,161,0.38701923,0.09663866,0,161,inf,67.734167,2.376939,leviticus,control_exclude_external,core_adjacent
darga,tevir,153,0.9,0.36778846,0,153,inf,6.91165,22.136538,leviticus,control_exclude_external,core_adjacent
qadma,geresh,151,0.45209581,0.86781609,6,145,25.16666667,5.679828,26.585312,leviticus,control_exclude_external,core_adjacent
pashta,pashta,133,0.14876957,0.14977477,133,0,1.0,77.587177,1.714201,leviticus,control_exclude_external,core_adjacent
meteg,tipeha,128,0.09573672,0.07683073,514,-386,0.24902724,217.693706,0.587982,leviticus,control_exclude_external,core_adjacent
meteg,mahapakh,126,0.09424084,0.31658291,63,63,2.0,52.006059,2.422795,leviticus,control_exclude_external,core_adjacent
atnah,tipeha,126,0.1627907,0.07563025,439,-313,0.28701595,126.024629,0.999805,leviticus,control_exclude_external,core_adjacent
meteg,qadma,117,0.08750935,0.39795918,14,103,8.35714286,38.416536,3.045563,leviticus,control_exclude_external,core_adjacent
atnah,munah,107,0.13824289,0.08706265,335,-228,0.31940299,92.967748,1.150937,leviticus,control_exclude_external,core_adjacent
merkha,tevir,100,0.07293946,0.24038462,238,-138,0.42016807,55.740422,1.79403,leviticus,control_exclude_external,core_adjacent
geresh,munah,75,0.43604651,0.06102522,1,74,75.0,20.6595,3.630291,leviticus,control_exclude_external,core_adjacent
revia,pashta,70,0.25089606,0.07882883,0,70,inf,24.213448,2.890955,leviticus,control_exclude_external,core_adjacent
telisha_qetana,qadma,69,0.97183099,0.23469388,0,69,inf,2.04007,33.822363,leviticus,control_exclude_external,core_adjacent
qadma,mahapakh,66,0.19760479,0.16582915,0,66,inf,12.99179,5.080131,leviticus,control_exclude_external,core_adjacent
revia,mahapakh,64,0.22939068,0.16080402,0,64,inf,10.852424,5.8973,leviticus,control_exclude_external,core_adjacent
geresh,revia,38,0.22093023,0.1237785,0,38,inf,5.160672,7.363382,leviticus,control_exclude_external,core_adjacent
zaqef_gadol,tipeha,21,0.38181818,0.01260504,0,21,inf,8.955238,2.344996,leviticus,control_exclude_external,core_adjacent
zaqef_gadol,merkha,20,0.36363636,0.01459854,0,20,inf,7.364152,2.715859,leviticus,control_exclude_external,core_adjacent
