taam,rank,predecessor,count,prob,book,run_label,stream_type
atnah,1,tipeha,439,0.5399754,leviticus,control_exclude_external,core_projected
atnah,2,munah,335,0.41205412,leviticus,control_exclude_external,core_projected
atnah,3,meteg,39,0.04797048,leviticus,control_exclude_external,core_projected
darga,1,qadma,39,0.22807018,leviticus,control_exclude_external,core_projected
darga,2,atnah,39,0.22807018,leviticus,control_exclude_external,core_projected
darga,3,meteg,38,0.22222222,leviticus,control_exclude_external,core_projected
darga,4,zaqef_qatan,19,0.11111111,leviticus,control_exclude_external,core_projected
darga,5,revia,16,0.09356725,leviticus,control_exclude_external,core_projected
darga,6,munah,10,0.05847953,leviticus,control_exclude_external,core_projected
darga,7,geresh,9,0.05263158,leviticus,control_exclude_external,core_projected
darga,8,merkha,1,0.00584795,leviticus,control_exclude_external,core_projected
geresh,1,qadma,151,0.86781609,leviticus,control_exclude_external,core_projected
geresh,2,meteg,20,0.11494253,leviticus,control_exclude_external,core_projected
geresh,3,atnah,2,0.01149425,leviticus,control_exclude_external,core_projected
geresh,4,munah,1,0.00574713,leviticus,control_exclude_external,core_projected
mahapakh,1,meteg,149,0.33037694,leviticus,control_exclude_external,core_projected
mahapakh,2,atnah,96,0.21286031,leviticus,control_exclude_external,core_projected
mahapakh,3,revia,69,0.15299335,leviticus,control_exclude_external,core_projected
mahapakh,4,qadma,66,0.14634146,leviticus,control_exclude_external,core_projected
mahapakh,5,munah,31,0.06873614,leviticus,control_exclude_external,core_projected
mahapakh,6,geresh,24,0.05321508,leviticus,control_exclude_external,core_projected
mahapakh,7,zaqef_qatan,11,0.02439024,leviticus,control_exclude_external,core_projected
mahapakh,8,pashta,5,0.01108647,leviticus,control_exclude_external,core_projected
merkha,1,tipeha,370,0.26948288,leviticus,control_exclude_external,core_projected
merkha,2,zaqef_qatan,300,0.21849964,leviticus,control_exclude_external,core_projected
merkha,3,tevir,238,0.17334304,leviticus,control_exclude_external,core_projected
merkha,4,meteg,196,0.1427531,leviticus,control_exclude_external,core_projected
merkha,5,atnah,180,0.13109978,leviticus,control_exclude_external,core_projected
merkha,6,qadma,35,0.02549162,leviticus,control_exclude_external,core_projected
merkha,7,zaqef_gadol,20,0.01456664,leviticus,control_exclude_external,core_projected
merkha,8,revia,17,0.01238165,leviticus,control_exclude_external,core_projected
merkha,9,munah,8,0.00582666,leviticus,control_exclude_external,core_projected
merkha,10,geresh,8,0.00582666,leviticus,control_exclude_external,core_projected
meteg,1,tipeha,514,0.35375086,leviticus,control_exclude_external,core_projected
meteg,2,merkha,441,0.30350998,leviticus,control_exclude_external,core_projected
meteg,3,meteg,104,0.07157605,leviticus,control_exclude_external,core_projected
meteg,4,munah,71,0.04886442,leviticus,control_exclude_external,core_projected
meteg,5,mahapakh,63,0.04335857,leviticus,control_exclude_external,core_projected
meteg,6,atnah,55,0.03785272,leviticus,control_exclude_external,core_projected
meteg,7,pashta,50,0.03441156,leviticus,control_exclude_external,core_projected
meteg,8,zaqef_qatan,48,0.0330351,leviticus,control_exclude_external,core_projected
meteg,9,revia,42,0.02890571,leviticus,control_exclude_external,core_projected
meteg,10,tevir,17,0.01169993,leviticus,control_exclude_external,core_projected
munah,1,pashta,400,0.29585799,leviticus,control_exclude_external,core_projected
munah,2,tipeha,344,0.25443787,leviticus,control_exclude_external,core_projected
munah,3,meteg,212,0.15680473,leviticus,control_exclude_external,core_projected
munah,4,atnah,118,0.08727811,leviticus,control_exclude_external,core_projected
munah,5,munah,101,0.07470414,leviticus,control_exclude_external,core_projected
munah,6,geresh,75,0.05547337,leviticus,control_exclude_external,core_projected
munah,7,zaqef_qatan,56,0.04142012,leviticus,control_exclude_external,core_projected
munah,8,revia,32,0.02366864,leviticus,control_exclude_external,core_projected
munah,9,qadma,8,0.00591716,leviticus,control_exclude_external,core_projected
munah,10,darga,3,0.00221893,leviticus,control_exclude_external,core_projected
pashta,1,mahapakh,387,0.43,leviticus,control_exclude_external,core_projected
pashta,2,meteg,175,0.19444444,leviticus,control_exclude_external,core_projected
pashta,3,pashta,133,0.14777778,leviticus,control_exclude_external,core_projected
pashta,4,revia,70,0.07777778,leviticus,control_exclude_external,core_projected
pashta,5,atnah,55,0.06111111,leviticus,control_exclude_external,core_projected
pashta,6,zaqef_qatan,42,0.04666667,leviticus,control_exclude_external,core_projected
pashta,7,merkha,26,0.02888889,leviticus,control_exclude_external,core_projected
pashta,8,munah,10,0.01111111,leviticus,control_exclude_external,core_projected
pashta,9,geresh,2,0.00222222,leviticus,control_exclude_external,core_projected
qadma,1,meteg,130,0.38922156,leviticus,control_exclude_external,core_projected
qadma,2,telisha_qetana,69,0.20658683,leviticus,control_exclude_external,core_projected
qadma,3,atnah,57,0.17065868,leviticus,control_exclude_external,core_projected
qadma,4,revia,34,0.10179641,leviticus,control_exclude_external,core_projected
qadma,5,zaqef_qatan,18,0.05389222,leviticus,control_exclude_external,core_projected
qadma,6,munah,16,0.04790419,leviticus,control_exclude_external,core_projected
qadma,7,geresh,7,0.02095808,leviticus,control_exclude_external,core_projected
qadma,8,pashta,2,0.00598802,leviticus,control_exclude_external,core_projected
qadma,9,zaqef_gadol,1,0.00299401,leviticus,control_exclude_external,core_projected
revia,1,munah,179,0.57371795,leviticus,control_exclude_external,core_projected
revia,2,meteg,78,0.25,leviticus,control_exclude_external,core_projected
revia,3,geresh,38,0.12179487,leviticus,control_exclude_external,core_projected
revia,4,atnah,14,0.04487179,leviticus,control_exclude_external,core_projected
revia,5,zaqef_qatan,3,0.00961538,leviticus,control_exclude_external,core_projected
telisha_qetana,1,meteg,38,0.53521127,leviticus,control_exclude_external,core_projected
telisha_qetana,2,munah,19,0.26760563,leviticus,control_exclude_external,core_projected
telisha_qetana,3,atnah,10,0.14084507,leviticus,control_exclude_external,core_projected
telisha_qetana,4,revia,4,0.05633803,leviticus,control_exclude_external,core_projected
tevir,1,darga,153,0.36778846,leviticus,control_exclude_external,core_projected
tevir,2,merkha,100,0.24038462,leviticus,control_exclude_external,core_projected
tevir,3,meteg,50,0.12019231,leviticus,control_exclude_external,core_projected
tevir,4,atnah,45,0.10817308,leviticus,control_exclude_external,core_projected
tevir,5,zaqef_qatan,38,0.09134615,leviticus,control_exclude_external,core_projected
tevir,6,revia,25,0.06009615,leviticus,control_exclude_external,core_projected
tevir,7,zaqef_gadol,5,0.01201923,leviticus,control_exclude_external,core_projected
tipeha,1,merkha,802,0.48110378,leviticus,control_exclude_external,core_projected
tipeha,2,zaqef_qatan,425,0.25494901,leviticus,control_exclude_external,core_projected
tipeha,3,tevir,161,0.09658068,leviticus,control_exclude_external,core_projected
tipeha,4,meteg,128,0.07678464,leviticus,control_exclude_external,core_projected
tipeha,5,atnah,126,0.07558488,leviticus,control_exclude_external,core_projected
tipeha,6,zaqef_gadol,21,0.01259748,leviticus,control_exclude_external,core_projected
tipeha,7,darga,2,0.00119976,leviticus,control_exclude_external,core_projected
tipeha,8,mahapakh,1,0.00059988,leviticus,control_exclude_external,core_projected
tipeha,9,tipeha,1,0.00059988,leviticus,control_exclude_external,core_projected
zaqef_gadol,1,zaqef_qatan,24,0.43636364,leviticus,control_exclude_external,core_projected
zaqef_gadol,2,meteg,18,0.32727273,leviticus,control_exclude_external,core_projected
zaqef_gadol,3,atnah,13,0.23636364,leviticus,control_exclude_external,core_projected
zaqef_qatan,1,munah,571,0.57852077,leviticus,control_exclude_external,core_projected
zaqef_qatan,2,pashta,309,0.31306991,leviticus,control_exclude_external,core_projected
zaqef_qatan,3,meteg,77,0.07801418,leviticus,control_exclude_external,core_projected
zaqef_qatan,4,qadma,21,0.0212766,leviticus,control_exclude_external,core_projected
zaqef_qatan,5,zaqef_qatan,3,0.00303951,leviticus,control_exclude_external,core_projected
zaqef_qatan,6,revia,3,0.00303951,leviticus,control_exclude_external,core_projected
zaqef_qatan,7,atnah,3,0.00303951,leviticus,control_exclude_external,core_projected
