taam,event_count,event_share,out_total,in_total,out_degree,in_degree,successor_entropy,successor_norm_entropy,predecessor_entropy,predecessor_norm_entropy,top_successor,top_successor_prob,top_predecessor,top_predecessor_prob,book,run_label,stream_type
atnah,813,0.07490326,813,813,19,3,3.42630156,0.80658193,1.21730547,0.76803424,merkha,0.2201722,tipeha,0.5399754,leviticus,control_exclude_external,full
darga,171,0.01575456,171,171,5,10,0.6152739,0.26498404,2.88340681,0.86799194,tevir,0.89473684,qadma,0.22807018,leviticus,control_exclude_external,full
geresh,174,0.01603096,174,174,9,4,2.3746669,0.749124,0.65307179,0.32653589,munah,0.43103448,qadma,0.86781609,leviticus,control_exclude_external,full
geresh_muqdam,1,9.213e-05,1,1,1,1,-0.0,0.0,-0.0,0.0,mahapakh,1.0,atnah,1.0,leviticus,control_exclude_external,full
gershayim,76,0.00700203,76,76,7,7,1.97425676,0.70324445,1.83311441,0.65296853,mahapakh,0.51315789,meteg,0.61842105,leviticus,control_exclude_external,full
mahapakh,451,0.0415515,451,451,3,13,0.60568857,0.38214694,2.87499079,0.7769322,pashta,0.85809313,meteg,0.27937916,leviticus,control_exclude_external,full
merkha,1373,0.12649714,1373,1373,6,14,1.39586764,0.53999532,2.62533177,0.68954217,tipeha,0.58412236,tipeha,0.26948288,leviticus,control_exclude_external,full
merkha_kefula,1,9.213e-05,1,1,1,1,-0.0,0.0,-0.0,0.0,tipeha,1.0,darga,1.0,leviticus,control_exclude_external,full
meteg,1453,0.1338677,1452,1453,22,21,3.90012223,0.87457832,2.79570391,0.6364986,merkha,0.13429752,tipeha,0.35375086,leviticus,control_exclude_external,full
munah,1352,0.12456237,1352,1352,17,17,2.4830191,0.60747197,2.96226774,0.72472041,zaqef_qatan,0.42233728,pashta,0.29511834,leviticus,control_exclude_external,full
pashta,900,0.08291874,900,900,10,9,1.79013636,0.53888474,2.37822387,0.7502461,munah,0.44333333,mahapakh,0.43,leviticus,control_exclude_external,full
pazer,27,0.00248756,27,27,4,3,1.60402462,0.80201231,1.54484919,0.97469132,telisha_qetana,0.44444444,meteg,0.44444444,leviticus,control_exclude_external,full
qadma,334,0.03077207,334,334,7,12,2.25458347,0.80309884,2.60132805,0.72562211,geresh,0.45209581,meteg,0.3502994,leviticus,control_exclude_external,full
revia,312,0.02874516,312,312,13,7,3.19848051,0.86435147,1.7046921,0.60722358,pashta,0.22435897,munah,0.56410256,leviticus,control_exclude_external,full
segol,55,0.00506726,55,55,11,4,2.88575579,0.8341705,1.41978979,0.70989489,munah,0.25454545,munah,0.61818182,leviticus,control_exclude_external,full
shalshelet,1,9.213e-05,1,1,1,1,-0.0,0.0,-0.0,0.0,mahapakh,1.0,meteg,1.0,leviticus,control_exclude_external,full
telisha_gedola,57,0.00525152,57,57,7,9,1.95265908,0.6955512,2.62904429,0.82937113,qadma,0.56140351,meteg,0.36842105,leviticus,control_exclude_external,full
telisha_qetana,71,0.00654137,71,71,2,6,0.18512476,0.18512476,2.0427374,0.7902387,qadma,0.97183099,meteg,0.46478873,leviticus,control_exclude_external,full
tevir,416,0.03832688,416,416,3,7,1.17945146,0.74415102,2.37539297,0.84613205,merkha,0.57211538,darga,0.36778846,leviticus,control_exclude_external,full
tipeha,1668,0.15367606,1668,1667,5,10,1.98824824,0.85629191,2.00734205,0.60427017,meteg,0.30815348,merkha,0.48110378,leviticus,control_exclude_external,full
yetiv,50,0.0046066,50,50,3,5,0.94614471,0.59695085,2.06474971,0.8892393,munah,0.78,revia,0.3,leviticus,control_exclude_external,full
zaqef_gadol,55,0.00506726,55,55,5,3,1.88523484,0.81192645,1.54129669,0.97244994,tipeha,0.38181818,zaqef_qatan,0.43636364,leviticus,control_exclude_external,full
zaqef_qatan,987,0.09093422,987,987,13,6,2.36352474,0.63871456,1.45875194,0.56432228,tipeha,0.43059777,munah,0.57852077,leviticus,control_exclude_external,full
zarqa,2,0.00018426,2,2,1,1,-0.0,0.0,-0.0,0.0,segol,1.0,munah,1.0,leviticus,control_exclude_external,full
zinor,54,0.00497512,54,54,3,4,1.17303067,0.74009995,1.56026367,0.78013184,munah,0.66666667,munah,0.55555556,leviticus,control_exclude_external,full
