current,next,observed_count,null_mean,null_sd,null_unique_values,z,z_reliable,empirical_p,null_exceedances,permutations,book,run_label,stream_type
merkha,tipeha,802,210.982,12.57401637,66,47.00312,True,0.00199601,0,500,leviticus,control_exclude_external,full
munah,zaqef_qatan,571,123.35,9.56716056,52,46.790267,True,0.00199601,0,500,leviticus,control_exclude_external,full
tipeha,meteg,514,223.54,13.22899894,63,21.95631,True,0.00199601,0,500,leviticus,control_exclude_external,full
merkha,meteg,440,184.188,11.74173721,61,21.786555,True,0.00199601,0,500,leviticus,control_exclude_external,full
tipeha,atnah,439,125.354,9.83677836,50,31.885033,True,0.00199601,0,500,leviticus,control_exclude_external,full
zaqef_qatan,tipeha,425,151.538,10.92883502,56,25.022063,True,0.00199601,0,500,leviticus,control_exclude_external,full
pashta,munah,399,112.374,9.71426053,50,29.505694,True,0.00199601,0,500,leviticus,control_exclude_external,full
mahapakh,pashta,387,37.21,5.81769638,33,60.125173,True,0.00199601,0,500,leviticus,control_exclude_external,full
tipeha,merkha,370,211.122,11.86696109,61,13.388263,True,0.00199601,0,500,leviticus,control_exclude_external,full
tipeha,munah,344,207.264,13.26673723,66,10.306679,True,0.00199601,0,500,leviticus,control_exclude_external,full
munah,atnah,335,101.358,8.96898665,47,26.049989,True,0.00199601,0,500,leviticus,control_exclude_external,full
pashta,zaqef_qatan,309,82.796,8.31508661,46,27.204046,True,0.00199601,0,500,leviticus,control_exclude_external,full
zaqef_qatan,merkha,300,125.6,9.78567928,55,17.821962,True,0.00199601,0,500,leviticus,control_exclude_external,full
tevir,merkha,238,52.04,6.50130247,37,28.603499,True,0.00199601,0,500,leviticus,control_exclude_external,full
atnah,merkha,179,102.312,9.25689127,48,8.284423,True,0.00199601,0,500,leviticus,control_exclude_external,full
munah,revia,176,39.162,5.64690456,30,24.232391,True,0.00199601,0,500,leviticus,control_exclude_external,full
meteg,pashta,173,120.626,9.151701,48,5.722871,True,0.00199601,0,500,leviticus,control_exclude_external,full
tevir,tipeha,161,64.482,7.35703254,41,13.119148,True,0.00199601,0,500,leviticus,control_exclude_external,full
darga,tevir,153,6.492,2.48481077,15,58.961431,True,0.00199601,0,500,leviticus,control_exclude_external,full
qadma,geresh,151,5.394,2.24071542,14,64.981924,True,0.00199601,0,500,leviticus,control_exclude_external,full
pashta,pashta,133,75.038,7.59815899,44,7.628427,True,0.00199601,0,500,leviticus,control_exclude_external,full
meteg,mahapakh,126,60.872,7.13480391,36,9.128212,True,0.00199601,0,500,leviticus,control_exclude_external,full
meteg,qadma,117,44.716,6.09110393,33,11.867143,True,0.00199601,0,500,leviticus,control_exclude_external,full
merkha,tevir,100,52.298,6.4058775,36,7.446599,True,0.00199601,0,500,leviticus,control_exclude_external,full
atnah,mahapakh,85,34.06,5.44754546,30,9.351,True,0.00199601,0,500,leviticus,control_exclude_external,full
meteg,revia,76,41.738,6.17199669,35,5.551202,True,0.00199601,0,500,leviticus,control_exclude_external,full
geresh,munah,75,21.646,4.62639071,25,11.532532,True,0.00199601,0,500,leviticus,control_exclude_external,full
