cadence_node,rank,predecessor,count,share_of_cadence_predecessors,book,run_label,stream_type
atnah,1,tipeha,621,0.53953084,numbers,control_exclude_external,full
atnah,2,munah,485,0.42137272,numbers,control_exclude_external,full
atnah,3,meteg,45,0.03909644,numbers,control_exclude_external,full
revia,1,munah,253,0.50905433,numbers,control_exclude_external,full
revia,2,meteg,99,0.19919517,numbers,control_exclude_external,full
revia,3,geresh,61,0.12273642,numbers,control_exclude_external,full
revia,4,atnah,45,0.09054326,numbers,control_exclude_external,full
revia,5,segol,15,0.03018109,numbers,control_exclude_external,full
revia,6,gershayim,15,0.03018109,numbers,control_exclude_external,full
revia,7,zaqef_qatan,9,0.01810865,numbers,control_exclude_external,full
zaqef_gadol,1,zaqef_qatan,45,0.35714286,numbers,control_exclude_external,full
zaqef_gadol,2,atnah,43,0.34126984,numbers,control_exclude_external,full
zaqef_gadol,3,meteg,36,0.28571429,numbers,control_exclude_external,full
zaqef_qatan,1,munah,756,0.55711127,numbers,control_exclude_external,full
zaqef_qatan,2,pashta,421,0.31024318,numbers,control_exclude_external,full
zaqef_qatan,3,meteg,131,0.09653648,numbers,control_exclude_external,full
zaqef_qatan,4,qadma,31,0.02284451,numbers,control_exclude_external,full
zaqef_qatan,5,yetiv,7,0.00515844,numbers,control_exclude_external,full
zaqef_qatan,6,atnah,7,0.00515844,numbers,control_exclude_external,full
