current,next,observed_count,null_mean,null_sd,null_unique_values,z,z_reliable,empirical_p,null_exceedances,permutations,book,run_label,stream_type
merkha,tipeha,1065,295.948,14.15931738,69,54.3142,True,0.00199601,0,500,numbers,control_exclude_external,full
tipeha,meteg,808,342.21,15.97862738,76,29.150814,True,0.00199601,0,500,numbers,control_exclude_external,full
munah,zaqef_qatan,756,167.5,11.29145668,58,52.11905,True,0.00199601,0,500,numbers,control_exclude_external,full
tipeha,atnah,621,184.73,11.18657136,59,38.999438,True,0.00199601,0,500,numbers,control_exclude_external,full
merkha,meteg,608,260.65,13.7203497,69,25.31641,True,0.00199601,0,500,numbers,control_exclude_external,full
zaqef_qatan,tipeha,603,215.656,13.13524775,67,29.488899,True,0.00199601,0,500,numbers,control_exclude_external,full
pashta,munah,529,150.42,10.799113,55,35.056583,True,0.00199601,0,500,numbers,control_exclude_external,full
tipeha,merkha,510,296.044,14.77845965,78,14.477558,True,0.00199601,0,500,numbers,control_exclude_external,full
mahapakh,pashta,504,45.258,6.40167156,35,71.659721,True,0.00199601,0,500,numbers,control_exclude_external,full
tipeha,munah,496,300.292,14.85759848,74,13.17225,True,0.00199601,0,500,numbers,control_exclude_external,full
munah,atnah,485,141.396,10.28000686,50,33.424491,True,0.00199601,0,500,numbers,control_exclude_external,full
pashta,zaqef_qatan,421,108.31,9.74822835,49,32.076598,True,0.00199601,0,500,numbers,control_exclude_external,full
zaqef_qatan,merkha,416,165.462,11.19943797,58,22.370587,True,0.00199601,0,500,numbers,control_exclude_external,full
tevir,merkha,339,69.508,7.26743195,38,37.08215,True,0.00199601,0,500,numbers,control_exclude_external,full
meteg,munah,320,265.03,14.61027105,72,3.762422,True,0.00199601,0,500,numbers,control_exclude_external,full
munah,revia,253,61.322,7.09640994,38,27.010559,True,0.00199601,0,500,numbers,control_exclude_external,full
meteg,pashta,232,172.19,11.16437129,57,5.357221,True,0.00199601,0,500,numbers,control_exclude_external,full
tevir,tipeha,211,91.58,8.42481781,45,14.174787,True,0.00199601,0,500,numbers,control_exclude_external,full
darga,tevir,202,8.886,2.93226881,18,65.858218,True,0.00199601,0,500,numbers,control_exclude_external,full
atnah,merkha,194,139.542,10.74836223,56,5.066632,True,0.00199601,0,500,numbers,control_exclude_external,full
qadma,geresh,190,6.32,2.4693715,15,74.3833,True,0.00199601,0,500,numbers,control_exclude_external,full
pashta,pashta,174,96.57,9.1374003,49,8.473964,True,0.00199601,0,500,numbers,control_exclude_external,full
meteg,qadma,163,61.336,7.04004463,39,14.440818,True,0.00199601,0,500,numbers,control_exclude_external,full
merkha,tevir,141,70.552,8.04840666,45,8.753037,True,0.00199601,0,500,numbers,control_exclude_external,full
meteg,mahapakh,122,79.786,8.06587383,42,5.233655,True,0.00199601,0,500,numbers,control_exclude_external,full
revia,pashta,119,39.672,6.04992721,33,13.112224,True,0.00199601,0,500,numbers,control_exclude_external,full
revia,mahapakh,102,18.332,4.34782511,24,19.243644,True,0.00199601,0,500,numbers,control_exclude_external,full
meteg,revia,99,70.126,7.64978185,42,3.774487,True,0.00199601,0,500,numbers,control_exclude_external,full
qadma,mahapakh,97,16.034,3.88935704,23,20.817323,True,0.00199601,0,500,numbers,control_exclude_external,full
atnah,mahapakh,94,42.898,6.1170608,34,8.354012,True,0.00199601,0,500,numbers,control_exclude_external,full
zaqef_gadol,tipeha,87,20.344,4.03810309,25,16.50676,True,0.00199601,0,500,numbers,control_exclude_external,full
telisha_qetana,qadma,84,2.59,1.55908997,10,52.216358,True,0.00199601,0,500,numbers,control_exclude_external,full
geresh,munah,69,27.35,4.8891008,27,8.518949,True,0.00199601,0,500,numbers,control_exclude_external,full
munah,zinor,67,11.868,3.10964883,18,17.729333,True,0.00199601,0,500,numbers,control_exclude_external,full
geresh,revia,61,7.34,2.64469068,16,20.289707,True,0.00199601,0,500,numbers,control_exclude_external,full
meteg,gershayim,61,15.838,3.72013909,22,12.139869,True,0.00199601,0,500,numbers,control_exclude_external,full
atnah,qadma,60,32.756,5.34467915,31,5.097406,True,0.00199601,0,500,numbers,control_exclude_external,full
yetiv,munah,58,9.002,2.87027402,18,17.070844,True,0.00199601,0,500,numbers,control_exclude_external,full
atnah,darga,57,17.932,4.00042282,25,9.765968,True,0.00199601,0,500,numbers,control_exclude_external,full
revia,qadma,55,14.298,3.52960511,19,11.531602,True,0.00199601,0,500,numbers,control_exclude_external,full
munah,segol,50,12.112,3.23796616,19,11.701172,True,0.00199601,0,500,numbers,control_exclude_external,full
revia,tevir,50,18.87,4.11910598,25,7.557465,True,0.00199601,0,500,numbers,control_exclude_external,full
zinor,munah,50,11.534,3.08153138,18,12.482755,True,0.00199601,0,500,numbers,control_exclude_external,full
zaqef_qatan,zaqef_gadol,45,11.174,3.11241035,19,10.868104,True,0.00199601,0,500,numbers,control_exclude_external,full
qadma,darga,44,6.866,2.61643564,16,14.192591,True,0.00199601,0,500,numbers,control_exclude_external,full
atnah,zaqef_gadol,43,9.394,2.80472761,17,11.981912,True,0.00199601,0,500,numbers,control_exclude_external,full
geresh,mahapakh,43,8.31,2.93105479,17,11.83533,True,0.00199601,0,500,numbers,control_exclude_external,full
zinor,segol,42,0.57,0.74981628,5,55.253535,True,0.00199601,0,500,numbers,control_exclude_external,full
segol,mahapakh,37,3.582,1.87250863,11,17.846647,True,0.00199601,0,500,numbers,control_exclude_external,full
meteg,zaqef_gadol,36,17.76,3.8761384,23,4.705714,True,0.00199601,0,500,numbers,control_exclude_external,full
meteg,telisha_qetana,33,12.522,3.32319172,21,6.162148,True,0.00199601,0,500,numbers,control_exclude_external,full
gershayim,mahapakh,32,4.206,1.93054864,11,14.396944,True,0.00199601,0,500,numbers,control_exclude_external,full
gershayim,munah,32,14.004,3.56671093,21,5.045545,True,0.00199601,0,500,numbers,control_exclude_external,full
telisha_gedola,qadma,29,1.422,1.16216059,7,23.729939,True,0.00199601,0,500,numbers,control_exclude_external,full
revia,darga,28,7.804,2.78011548,18,7.264446,True,0.00199601,0,500,numbers,control_exclude_external,full
zaqef_gadol,merkha,28,15.072,3.70706091,21,3.487399,True,0.00199601,0,500,numbers,control_exclude_external,full
revia,yetiv,22,2.316,1.46848797,8,13.404264,True,0.00199601,0,500,numbers,control_exclude_external,full
munah,gershayim,22,14.25,3.70228495,21,2.093302,True,0.02994012,14,500,numbers,control_exclude_external,full
atnah,revia,45,36.738,5.62001113,31,1.470104,True,0.08582834,42,500,numbers,control_exclude_external,full
atnah,pashta,104,92.41,8.61012011,47,1.34609,True,0.09780439,48,500,numbers,control_exclude_external,full
atnah,tevir,50,43.02,6.17380204,34,1.130584,True,0.14171657,70,500,numbers,control_exclude_external,full
meteg,darga,39,33.104,5.17481801,30,1.139364,True,0.15369261,76,500,numbers,control_exclude_external,full
meteg,merkha,273,259.402,14.2702374,72,0.952892,True,0.18562874,92,500,numbers,control_exclude_external,full
zaqef_qatan,tevir,57,51.376,6.66779897,38,0.843457,True,0.1996008,99,500,numbers,control_exclude_external,full
zaqef_qatan,darga,25,21.0,4.34162405,28,0.921314,True,0.21157685,105,500,numbers,control_exclude_external,full
atnah,munah,141,142.62,11.04207657,56,-0.146712,True,0.55489022,277,500,numbers,control_exclude_external,full
qadma,merkha,50,53.262,6.70516775,37,-0.48649,True,0.69261477,346,500,numbers,control_exclude_external,full
meteg,geresh,29,31.558,5.24037776,30,-0.488133,True,0.71656687,358,500,numbers,control_exclude_external,full
qadma,zaqef_qatan,31,38.204,5.5295149,31,-1.302827,True,0.90219561,451,500,numbers,control_exclude_external,full
meteg,tevir,69,81.25,8.7359105,46,-1.402258,True,0.93413174,467,500,numbers,control_exclude_external,full
atnah,tipeha,164,183.174,11.89296469,64,-1.612214,True,0.95209581,476,500,numbers,control_exclude_external,full
