taam,rank,successor,count,prob,book,run_label,stream_type
atnah,1,merkha,194,0.16854909,numbers,control_exclude_external,full
atnah,2,tipeha,164,0.1424848,numbers,control_exclude_external,full
atnah,3,munah,141,0.12250217,numbers,control_exclude_external,full
atnah,4,meteg,134,0.1164205,numbers,control_exclude_external,full
atnah,5,pashta,104,0.09035621,numbers,control_exclude_external,full
atnah,6,mahapakh,94,0.08166811,numbers,control_exclude_external,full
atnah,7,qadma,60,0.05212858,numbers,control_exclude_external,full
atnah,8,darga,57,0.04952215,numbers,control_exclude_external,full
atnah,9,tevir,50,0.04344049,numbers,control_exclude_external,full
atnah,10,revia,45,0.03909644,numbers,control_exclude_external,full
darga,1,tevir,202,0.85232068,numbers,control_exclude_external,full
darga,2,meteg,25,0.10548523,numbers,control_exclude_external,full
darga,3,munah,8,0.03375527,numbers,control_exclude_external,full
darga,4,merkha_kefula,2,0.00843882,numbers,control_exclude_external,full
geresh,1,munah,69,0.30941704,numbers,control_exclude_external,full
geresh,2,revia,61,0.2735426,numbers,control_exclude_external,full
geresh,3,mahapakh,43,0.19282511,numbers,control_exclude_external,full
geresh,4,darga,16,0.07174888,numbers,control_exclude_external,full
geresh,5,meteg,12,0.05381166,numbers,control_exclude_external,full
geresh,6,qadma,10,0.04484305,numbers,control_exclude_external,full
geresh,7,merkha,9,0.04035874,numbers,control_exclude_external,full
geresh,8,telisha_qetana,1,0.0044843,numbers,control_exclude_external,full
geresh,9,pashta,1,0.0044843,numbers,control_exclude_external,full
geresh,10,tevir,1,0.0044843,numbers,control_exclude_external,full
gershayim,1,mahapakh,32,0.28070175,numbers,control_exclude_external,full
gershayim,2,munah,32,0.28070175,numbers,control_exclude_external,full
gershayim,3,revia,15,0.13157895,numbers,control_exclude_external,full
gershayim,4,darga,13,0.11403509,numbers,control_exclude_external,full
gershayim,5,meteg,11,0.09649123,numbers,control_exclude_external,full
gershayim,6,qadma,6,0.05263158,numbers,control_exclude_external,full
gershayim,7,merkha,5,0.04385965,numbers,control_exclude_external,full
mahapakh,1,pashta,504,0.88888889,numbers,control_exclude_external,full
mahapakh,2,meteg,63,0.11111111,numbers,control_exclude_external,full
merkha,1,tipeha,1065,0.57443366,numbers,control_exclude_external,full
merkha,2,meteg,608,0.32793959,numbers,control_exclude_external,full
merkha,3,tevir,141,0.07605178,numbers,control_exclude_external,full
merkha,4,pashta,35,0.0188781,numbers,control_exclude_external,full
