source,target,count,prob_given_source,target_predecessor_share,reverse_count,asymmetry_count,asymmetry_ratio,expected_independent,lift,book,run_label,stream_type
merkha,tipeha,1041,0.65348399,0.56148867,378,663,2.75396825,246.1185,4.22967,deuteronomy,control_exclude_meteg,core_adjacent
munah,zaqef_qatan,840,0.49586777,0.6557377,70,770,12.0,180.8345,4.645131,deuteronomy,control_exclude_meteg,core_adjacent
pashta,munah,581,0.4781893,0.35383678,5,576,116.2,166.2525,3.494684,deuteronomy,control_exclude_meteg,core_adjacent
tipeha,sof_pasuq,566,0.30528587,0.59391396,52,514,10.88461538,147.2385,3.844103,deuteronomy,control_exclude_meteg,core_adjacent
mahapakh,pashta,563,0.98254799,0.4660596,15,548,37.53333333,57.682,9.760411,deuteronomy,control_exclude_meteg,core_adjacent
tipeha,atnah,535,0.28856526,0.58662281,96,439,5.57291667,140.904,3.796911,deuteronomy,control_exclude_meteg,core_adjacent
zaqef_qatan,tipeha,491,0.3875296,0.26483279,0,491,inf,195.7515,2.508282,deuteronomy,control_exclude_meteg,core_adjacent
zaqef_qatan,merkha,441,0.3480663,0.27718416,0,441,inf,167.983083,2.625264,deuteronomy,control_exclude_meteg,core_adjacent
pashta,zaqef_qatan,411,0.3382716,0.32084309,53,358,7.75471698,129.70125,3.168821,deuteronomy,control_exclude_meteg,core_adjacent
tipeha,merkha,378,0.2038835,0.23758642,1041,-663,0.36311239,245.8095,1.537776,deuteronomy,control_exclude_meteg,core_adjacent
merkha,sof_pasuq,376,0.23603264,0.39454355,146,230,2.57534247,126.51075,2.972079,deuteronomy,control_exclude_meteg,core_adjacent
tipeha,munah,369,0.19902913,0.22472594,1,368,369.0,253.689,1.454537,deuteronomy,control_exclude_meteg,core_adjacent
munah,atnah,369,0.21782763,0.40460526,158,211,2.33544304,128.744,2.866153,deuteronomy,control_exclude_meteg,core_adjacent
tevir,merkha,326,0.68343816,0.20490258,112,214,2.91071429,63.24225,5.154782,deuteronomy,control_exclude_meteg,core_adjacent
munah,revia,294,0.17355372,0.58217822,31,263,9.48387097,71.289167,4.124049,deuteronomy,control_exclude_meteg,core_adjacent
qadma,geresh,218,0.49545455,0.89711934,9,209,24.22222222,8.91,24.466891,deuteronomy,control_exclude_meteg,core_adjacent
sof_pasuq,munah,218,0.2546729,0.13276492,0,218,inf,117.129333,1.86119,deuteronomy,control_exclude_meteg,core_adjacent
pashta,pashta,194,0.15967078,0.16059603,194,0,1.0,122.31,1.586134,deuteronomy,control_exclude_meteg,core_adjacent
darga,tevir,183,0.87559809,0.38445378,2,181,91.5,8.290333,22.073901,deuteronomy,control_exclude_meteg,core_adjacent
atnah,merkha,171,0.19953326,0.10747957,4,167,42.75,113.623917,1.504965,deuteronomy,control_exclude_meteg,core_adjacent
atnah,munah,158,0.18436406,0.09622412,369,-211,0.42818428,117.266167,1.347362,deuteronomy,control_exclude_meteg,core_adjacent
revia,pashta,157,0.34056399,0.12996689,0,157,inf,46.407333,3.383086,deuteronomy,control_exclude_meteg,core_adjacent
sof_pasuq,merkha,146,0.17056075,0.09176618,376,-230,0.38829787,113.491333,1.286442,deuteronomy,control_exclude_meteg,core_adjacent
tevir,tipeha,143,0.29979036,0.07713053,0,143,inf,73.6965,1.940391,deuteronomy,control_exclude_meteg,core_adjacent
atnah,pashta,129,0.15052509,0.10678808,1,128,129.0,86.271333,1.495282,deuteronomy,control_exclude_meteg,core_adjacent
telisha_qetana,qadma,113,0.95762712,0.29973475,0,113,inf,3.707167,30.4815,deuteronomy,control_exclude_meteg,core_adjacent
merkha,tevir,112,0.0703076,0.23529412,326,-214,0.34355828,63.189,1.77246,deuteronomy,control_exclude_meteg,core_adjacent
atnah,mahapakh,103,0.1201867,0.19922631,0,103,inf,36.922417,2.789633,deuteronomy,control_exclude_meteg,core_adjacent
revia,mahapakh,103,0.22342733,0.19922631,0,103,inf,19.861417,5.185934,deuteronomy,control_exclude_meteg,core_adjacent
qadma,mahapakh,102,0.23181818,0.19729207,1,101,102.0,18.956667,5.380693,deuteronomy,control_exclude_meteg,core_adjacent
geresh,munah,75,0.30612245,0.045676,3,72,25.0,33.524167,2.237192,deuteronomy,control_exclude_meteg,core_adjacent
geresh,revia,75,0.30612245,0.14851485,6,69,12.5,10.310417,7.274197,deuteronomy,control_exclude_meteg,core_adjacent
paseq,munah,53,0.74647887,0.03227771,66,-13,0.8030303,9.715167,5.455388,deuteronomy,control_exclude_meteg,core_adjacent
geresh,mahapakh,37,0.15102041,0.07156673,0,37,inf,10.555417,3.505309,deuteronomy,control_exclude_meteg,core_adjacent
zaqef_gadol,merkha,32,0.45714286,0.02011314,0,32,inf,9.280833,3.447966,deuteronomy,control_exclude_meteg,core_adjacent
zaqef_gadol,tipeha,23,0.32857143,0.01240561,0,23,inf,10.815,2.126676,deuteronomy,control_exclude_meteg,core_adjacent
