taam,rank,predecessor,count,prob,book,run_label,stream_type
atnah,1,tipeha,535,0.58662281,deuteronomy,control_exclude_meteg,core_projected
atnah,2,munah,369,0.40460526,deuteronomy,control_exclude_meteg,core_projected
atnah,3,merkha,4,0.00438596,deuteronomy,control_exclude_meteg,core_projected
atnah,4,qadma,2,0.00219298,deuteronomy,control_exclude_meteg,core_projected
atnah,5,pashta,1,0.00109649,deuteronomy,control_exclude_meteg,core_projected
atnah,6,sof_pasuq,1,0.00109649,deuteronomy,control_exclude_meteg,core_projected
darga,1,qadma,52,0.24880383,deuteronomy,control_exclude_meteg,core_projected
darga,2,sof_pasuq,35,0.16746411,deuteronomy,control_exclude_meteg,core_projected
darga,3,geresh,34,0.16267943,deuteronomy,control_exclude_meteg,core_projected
darga,4,atnah,31,0.14832536,deuteronomy,control_exclude_meteg,core_projected
darga,5,zaqef_qatan,28,0.13397129,deuteronomy,control_exclude_meteg,core_projected
darga,6,revia,16,0.07655502,deuteronomy,control_exclude_meteg,core_projected
darga,7,munah,8,0.03827751,deuteronomy,control_exclude_meteg,core_projected
darga,8,tevir,2,0.00956938,deuteronomy,control_exclude_meteg,core_projected
darga,9,zaqef_gadol,2,0.00956938,deuteronomy,control_exclude_meteg,core_projected
darga,10,darga,1,0.00478469,deuteronomy,control_exclude_meteg,core_projected
geresh,1,qadma,218,0.88979592,deuteronomy,control_exclude_meteg,core_projected
geresh,2,sof_pasuq,6,0.0244898,deuteronomy,control_exclude_meteg,core_projected
geresh,3,revia,6,0.0244898,deuteronomy,control_exclude_meteg,core_projected
geresh,4,atnah,5,0.02040816,deuteronomy,control_exclude_meteg,core_projected
geresh,5,munah,4,0.01632653,deuteronomy,control_exclude_meteg,core_projected
geresh,6,paseq,3,0.0122449,deuteronomy,control_exclude_meteg,core_projected
geresh,7,tipeha,1,0.00408163,deuteronomy,control_exclude_meteg,core_projected
geresh,8,pashta,1,0.00408163,deuteronomy,control_exclude_meteg,core_projected
geresh,9,zaqef_qatan,1,0.00408163,deuteronomy,control_exclude_meteg,core_projected
mahapakh,1,atnah,119,0.20767888,deuteronomy,control_exclude_meteg,core_projected
mahapakh,2,revia,109,0.19022688,deuteronomy,control_exclude_meteg,core_projected
mahapakh,3,sof_pasuq,105,0.18324607,deuteronomy,control_exclude_meteg,core_projected
mahapakh,4,qadma,102,0.17801047,deuteronomy,control_exclude_meteg,core_projected
mahapakh,5,munah,53,0.09249564,deuteronomy,control_exclude_meteg,core_projected
mahapakh,6,geresh,37,0.06457243,deuteronomy,control_exclude_meteg,core_projected
mahapakh,7,zaqef_qatan,30,0.05235602,deuteronomy,control_exclude_meteg,core_projected
mahapakh,8,pashta,16,0.02792321,deuteronomy,control_exclude_meteg,core_projected
mahapakh,9,telisha_qetana,1,0.0017452,deuteronomy,control_exclude_meteg,core_projected
mahapakh,10,paseq,1,0.0017452,deuteronomy,control_exclude_meteg,core_projected
merkha,1,zaqef_qatan,443,0.27704816,deuteronomy,control_exclude_meteg,core_projected
merkha,2,tipeha,378,0.23639775,deuteronomy,control_exclude_meteg,core_projected
merkha,3,tevir,326,0.20387742,deuteronomy,control_exclude_meteg,core_projected
merkha,4,atnah,172,0.10756723,deuteronomy,control_exclude_meteg,core_projected
merkha,5,sof_pasuq,148,0.09255785,deuteronomy,control_exclude_meteg,core_projected
merkha,6,qadma,44,0.0275172,deuteronomy,control_exclude_meteg,core_projected
merkha,7,zaqef_gadol,32,0.02001251,deuteronomy,control_exclude_meteg,core_projected
merkha,8,revia,20,0.01250782,deuteronomy,control_exclude_meteg,core_projected
merkha,9,geresh,12,0.00750469,deuteronomy,control_exclude_meteg,core_projected
merkha,10,munah,11,0.0068793,deuteronomy,control_exclude_meteg,core_projected
munah,1,pashta,583,0.32192159,deuteronomy,control_exclude_meteg,core_projected
munah,2,tipeha,370,0.20430701,deuteronomy,control_exclude_meteg,core_projected
munah,3,sof_pasuq,268,0.14798454,deuteronomy,control_exclude_meteg,core_projected
munah,4,atnah,180,0.0993926,deuteronomy,control_exclude_meteg,core_projected
munah,5,munah,88,0.04859194,deuteronomy,control_exclude_meteg,core_projected
munah,6,zaqef_qatan,81,0.04472667,deuteronomy,control_exclude_meteg,core_projected
munah,7,geresh,75,0.04141358,deuteronomy,control_exclude_meteg,core_projected
munah,8,revia,63,0.03478741,deuteronomy,control_exclude_meteg,core_projected
munah,9,paseq,55,0.03036996,deuteronomy,control_exclude_meteg,core_projected
munah,10,darga,21,0.0115958,deuteronomy,control_exclude_meteg,core_projected
paseq,1,munah,66,0.80487805,deuteronomy,control_exclude_meteg,core_projected
paseq,2,merkha,6,0.07317073,deuteronomy,control_exclude_meteg,core_projected
paseq,3,mahapakh,3,0.03658537,deuteronomy,control_exclude_meteg,core_projected
paseq,4,pashta,3,0.03658537,deuteronomy,control_exclude_meteg,core_projected
paseq,5,darga,2,0.02439024,deuteronomy,control_exclude_meteg,core_projected
paseq,6,qadma,2,0.02439024,deuteronomy,control_exclude_meteg,core_projected
pashta,1,mahapakh,563,0.46223317,deuteronomy,control_exclude_meteg,core_projected
pashta,2,pashta,194,0.1592775,deuteronomy,control_exclude_meteg,core_projected
pashta,3,revia,158,0.12972085,deuteronomy,control_exclude_meteg,core_projected
pashta,4,atnah,129,0.10591133,deuteronomy,control_exclude_meteg,core_projected
pashta,5,sof_pasuq,62,0.05090312,deuteronomy,control_exclude_meteg,core_projected
pashta,6,zaqef_qatan,53,0.04351396,deuteronomy,control_exclude_meteg,core_projected
pashta,7,merkha,37,0.03037767,deuteronomy,control_exclude_meteg,core_projected
pashta,8,munah,11,0.0090312,deuteronomy,control_exclude_meteg,core_projected
pashta,9,paseq,5,0.00410509,deuteronomy,control_exclude_meteg,core_projected
pashta,10,zaqef_gadol,4,0.00328407,deuteronomy,control_exclude_meteg,core_projected
qadma,1,telisha_qetana,113,0.25681818,deuteronomy,control_exclude_meteg,core_projected
