source,target,count,prob_given_source,target_predecessor_share,reverse_count,asymmetry_count,asymmetry_ratio,expected_independent,lift,book,run_label,stream_type
merkha,tipeha,1041,0.65103189,0.56118598,378,663,2.75396825,232.092723,4.485276,deuteronomy,control_exclude_meteg,full
munah,zaqef_qatan,840,0.46357616,0.64965197,70,770,12.0,183.326761,4.581982,deuteronomy,control_exclude_meteg,full
pashta,munah,581,0.47701149,0.32081723,5,576,116.2,172.597653,3.36621,deuteronomy,control_exclude_meteg,full
tipeha,sof_pasuq,566,0.30512129,0.5932914,52,514,10.88461538,138.471831,4.087474,deuteronomy,control_exclude_meteg,full
mahapakh,pashta,563,0.98254799,0.46223317,15,548,37.53333333,54.609859,10.309494,deuteronomy,control_exclude_meteg,full
tipeha,atnah,535,0.2884097,0.58662281,96,439,5.57291667,132.375587,4.041531,deuteronomy,control_exclude_meteg,full
zaqef_qatan,tipeha,491,0.37973705,0.26469003,0,491,inf,187.67723,2.616194,deuteronomy,control_exclude_meteg,full
zaqef_qatan,merkha,441,0.34106729,0.27579737,0,441,inf,161.776761,2.725979,deuteronomy,control_exclude_meteg,full
pashta,zaqef_qatan,411,0.33743842,0.31786543,53,358,7.75471698,123.229577,3.335238,deuteronomy,control_exclude_meteg,full
tipeha,merkha,378,0.20377358,0.23639775,1041,-663,0.36311239,232.092723,1.628659,deuteronomy,control_exclude_meteg,full
merkha,sof_pasuq,376,0.23514697,0.39412998,146,230,2.57534247,119.361972,3.150082,deuteronomy,control_exclude_meteg,full
tipeha,munah,369,0.19892183,0.20375483,1,368,369.0,262.864241,1.403766,deuteronomy,control_exclude_meteg,full
munah,atnah,369,0.20364238,0.40460526,158,211,2.33544304,129.307042,2.853673,deuteronomy,control_exclude_meteg,full
tevir,merkha,326,0.68343816,0.20387742,112,214,2.91071429,59.680986,5.462376,deuteronomy,control_exclude_meteg,full
munah,revia,294,0.16225166,0.57421875,31,263,9.48387097,72.593427,4.049953,deuteronomy,control_exclude_meteg,full
qadma,geresh,218,0.49545455,0.88979592,9,209,24.22222222,8.435055,25.844527,deuteronomy,control_exclude_meteg,full
sof_pasuq,munah,218,0.22875131,0.12037548,0,218,inf,135.045618,1.614269,deuteronomy,control_exclude_meteg,full
pashta,pashta,194,0.1592775,0.1592775,194,0,1.0,116.08169,1.671237,deuteronomy,control_exclude_meteg,full
darga,tevir,183,0.87559809,0.3836478,2,181,91.5,7.800704,23.45942,deuteronomy,control_exclude_meteg,full
atnah,merkha,171,0.1875,0.10694184,4,167,42.75,114.107042,1.498593,deuteronomy,control_exclude_meteg,full
atnah,munah,158,0.17324561,0.08724462,369,-211,0.42818428,129.235681,1.222573,deuteronomy,control_exclude_meteg,full
revia,pashta,157,0.30664062,0.12889984,0,157,inf,48.796244,3.217461,deuteronomy,control_exclude_meteg,full
sof_pasuq,merkha,146,0.15320042,0.09130707,376,-230,0.38829787,119.236854,1.224454,deuteronomy,control_exclude_meteg,full
tevir,tipeha,143,0.29979036,0.07708895,0,143,inf,69.235915,2.065402,deuteronomy,control_exclude_meteg,full
atnah,pashta,129,0.14144737,0.10591133,1,128,129.0,86.91831,1.484152,deuteronomy,control_exclude_meteg,full
telisha_qetana,qadma,113,0.95762712,0.25681818,0,113,inf,4.062598,27.814715,deuteronomy,control_exclude_meteg,full
merkha,tevir,112,0.07004378,0.23480084,326,-214,0.34355828,59.680986,1.876645,deuteronomy,control_exclude_meteg,full
atnah,mahapakh,103,0.1129386,0.17975567,0,103,inf,40.890141,2.518945,deuteronomy,control_exclude_meteg,full
revia,mahapakh,103,0.20117188,0.17975567,0,103,inf,22.955869,4.48687,deuteronomy,control_exclude_meteg,full
qadma,mahapakh,102,0.23181818,0.17801047,1,101,102.0,19.7277,5.170395,deuteronomy,control_exclude_meteg,full
sof_pasuq,qadma,96,0.10073452,0.21818182,0,96,inf,32.810642,2.92588,deuteronomy,control_exclude_meteg,full
atnah,tipeha,96,0.10526316,0.05175202,535,-439,0.17943925,132.375587,0.725209,deuteronomy,control_exclude_meteg,full
sof_pasuq,mahapakh,91,0.09548793,0.15881326,0,91,inf,42.728404,2.129731,deuteronomy,control_exclude_meteg,full
geresh,munah,75,0.30612245,0.04141358,3,72,25.0,34.717919,2.160268,deuteronomy,control_exclude_meteg,full
geresh,revia,75,0.30612245,0.14648438,6,69,12.5,9.815336,7.641103,deuteronomy,control_exclude_meteg,full
zaqef_qatan,tevir,71,0.05491106,0.14884696,0,71,inf,48.259859,1.471202,deuteronomy,control_exclude_meteg,full
zaqef_qatan,munah,70,0.05413766,0.03865268,840,-770,0.08333333,183.225587,0.382043,deuteronomy,control_exclude_meteg,full
munah,paseq,66,0.03642384,0.80487805,53,13,1.24528302,11.626291,5.676789,deuteronomy,control_exclude_meteg,full
sof_pasuq,revia,66,0.06925498,0.12890625,2,64,33.0,38.179656,1.728669,deuteronomy,control_exclude_meteg,full
revia,qadma,65,0.12695312,0.14772727,0,65,inf,17.627543,3.687411,deuteronomy,control_exclude_meteg,full
sof_pasuq,pashta,62,0.06505771,0.05090312,0,62,inf,90.825822,0.682625,deuteronomy,control_exclude_meteg,full
atnah,qadma,58,0.06359649,0.13181818,2,56,29.0,31.399061,1.847189,deuteronomy,control_exclude_meteg,full
paseq,munah,53,0.64634146,0.0292656,66,-13,0.8030303,11.619875,4.561151,deuteronomy,control_exclude_meteg,full
zaqef_qatan,pashta,53,0.04098995,0.04351396,411,-358,0.12895377,123.229577,0.430092,deuteronomy,control_exclude_meteg,full
revia,tevir,53,0.10351562,0.11111111,0,53,inf,19.109859,2.773438,deuteronomy,control_exclude_meteg,full
qadma,darga,52,0.11818182,0.24880383,0,52,inf,7.195618,7.22662,deuteronomy,control_exclude_meteg,full
yetiv,munah,52,0.8,0.02871342,0,52,inf,9.210876,5.6455,deuteronomy,control_exclude_meteg,full
sof_pasuq,tipeha,52,0.05456453,0.02803235,566,-514,0.09187279,138.326682,0.375922,deuteronomy,control_exclude_meteg,full
atnah,revia,49,0.05372807,0.09570312,0,49,inf,36.537089,1.341103,deuteronomy,control_exclude_meteg,full
sof_pasuq,gershayim,48,0.05036726,0.44036697,0,48,inf,8.128091,5.905446,deuteronomy,control_exclude_meteg,full
telisha_gedola,qadma,47,0.70149254,0.10681818,0,47,inf,2.306729,20.37517,deuteronomy,control_exclude_meteg,full
qadma,merkha,44,0.1,0.0275172,1,43,44.0,55.051643,0.79925,deuteronomy,control_exclude_meteg,full
munah,munah,43,0.02373068,0.02374379,43,0,1.0,256.770892,0.167464,deuteronomy,control_exclude_meteg,full
gershayim,munah,42,0.3853211,0.02319161,11,31,3.81818182,15.445931,2.719163,deuteronomy,control_exclude_meteg,full
sof_pasuq,telisha_qetana,38,0.03987408,0.3220339,0,38,inf,8.799218,4.318566,deuteronomy,control_exclude_meteg,full
geresh,mahapakh,37,0.15102041,0.06457243,0,37,inf,10.984742,3.368309,deuteronomy,control_exclude_meteg,full
munah,mahapakh,37,0.02041943,0.06457243,3,34,12.33333333,81.242254,0.455428,deuteronomy,control_exclude_meteg,full
gershayim,mahapakh,37,0.33944954,0.06457243,0,37,inf,4.887089,7.570969,deuteronomy,control_exclude_meteg,full
merkha,pashta,36,0.02251407,0.02955665,1,35,36.0,152.392958,0.236231,deuteronomy,control_exclude_meteg,full
zinor,munah,36,0.54545455,0.01987852,34,2,1.05882353,9.352582,3.849204,deuteronomy,control_exclude_meteg,full
munah,segol,36,0.01986755,0.52941176,19,17,1.89473684,9.641315,3.733931,deuteronomy,control_exclude_meteg,full
geresh,darga,34,0.13877551,0.16267943,0,34,inf,4.006651,8.48589,deuteronomy,control_exclude_meteg,full
munah,zinor,34,0.0187638,0.51515152,36,-2,0.94444444,9.357746,3.633353,deuteronomy,control_exclude_meteg,full
zaqef_gadol,merkha,32,0.45714286,0.02001251,0,32,inf,8.758216,3.653712,deuteronomy,control_exclude_meteg,full
zaqef_qatan,zaqef_gadol,32,0.02474865,0.45714286,0,32,inf,7.08216,4.518396,deuteronomy,control_exclude_meteg,full
sof_pasuq,darga,31,0.03252886,0.14832536,0,31,inf,15.585055,1.989085,deuteronomy,control_exclude_meteg,full
revia,munah,31,0.06054688,0.01711761,294,-263,0.10544218,72.553365,0.427272,deuteronomy,control_exclude_meteg,full
atnah,gershayim,31,0.03399123,0.28440367,0,31,inf,7.778404,3.985394,deuteronomy,control_exclude_meteg,full
sof_pasuq,tevir,30,0.03147954,0.06289308,1,29,30.0,35.569718,0.843414,deuteronomy,control_exclude_meteg,full
zinor,segol,29,0.43939394,0.42647059,0,29,inf,0.351174,82.580214,deuteronomy,control_exclude_meteg,full
zaqef_qatan,mahapakh,28,0.02165507,0.04886562,0,28,inf,57.972535,0.482987,deuteronomy,control_exclude_meteg,full
zaqef_qatan,darga,28,0.02165507,0.13397129,0,28,inf,21.145305,1.324171,deuteronomy,control_exclude_meteg,full
atnah,darga,26,0.02850877,0.12440191,0,26,inf,14.914554,1.743264,deuteronomy,control_exclude_meteg,full
revia,yetiv,23,0.04492188,0.35384615,0,23,inf,2.604069,8.832332,deuteronomy,control_exclude_meteg,full
munah,telisha_gedola,23,0.01269316,0.34328358,6,17,3.83333333,9.499531,2.421172,deuteronomy,control_exclude_meteg,full
zaqef_gadol,tipeha,23,0.32857143,0.01239892,0,23,inf,10.160407,2.263689,deuteronomy,control_exclude_meteg,full
munah,telisha_qetana,22,0.01214128,0.18644068,0,22,inf,16.730516,1.314962,deuteronomy,control_exclude_meteg,full
zaqef_qatan,qadma,22,0.01701469,0.05,11,11,2.0,44.516432,0.4942,deuteronomy,control_exclude_meteg,full
darga,munah,21,0.10047847,0.0115958,2,19,10.5,29.61651,0.709064,deuteronomy,control_exclude_meteg,full
segol,munah,19,0.27941176,0.01049144,36,-17,0.52777778,9.635994,1.971774,deuteronomy,control_exclude_meteg,full
pazer,telisha_qetana,18,0.51428571,0.15254237,0,18,inf,0.323161,55.699758,deuteronomy,control_exclude_meteg,full
revia,merkha,18,0.03515625,0.01125704,0,18,inf,64.060094,0.280986,deuteronomy,control_exclude_meteg,full
sof_pasuq,zaqef_gadol,18,0.01888772,0.25714286,1,17,18.0,5.219875,3.448359,deuteronomy,control_exclude_meteg,full
atnah,tevir,18,0.01973684,0.03773585,0,18,inf,34.039437,0.528798,deuteronomy,control_exclude_meteg,full
atnah,zaqef_gadol,17,0.01864035,0.24285714,0,17,inf,4.995305,3.403195,deuteronomy,control_exclude_meteg,full
atnah,telisha_qetana,17,0.01864035,0.1440678,0,17,inf,8.420657,2.018845,deuteronomy,control_exclude_meteg,full
zaqef_qatan,revia,17,0.01314772,0.03320312,0,17,inf,51.800939,0.328179,deuteronomy,control_exclude_meteg,full
sof_pasuq,telisha_gedola,16,0.01678909,0.23880597,0,16,inf,4.996166,3.202456,deuteronomy,control_exclude_meteg,full
zaqef_qatan,yetiv,16,0.01237432,0.24615385,12,4,1.33333333,6.576291,2.432982,deuteronomy,control_exclude_meteg,full
revia,darga,15,0.02929688,0.07177033,0,15,inf,8.373083,1.791455,deuteronomy,control_exclude_meteg,full
pashta,mahapakh,15,0.01231527,0.02617801,563,-548,0.02664298,54.609859,0.274676,deuteronomy,control_exclude_meteg,full
gershayim,darga,14,0.12844037,0.06698565,0,14,inf,1.782551,7.853913,deuteronomy,control_exclude_meteg,full
pazer,munah,13,0.37142857,0.00717835,12,1,1.08333333,4.959703,2.621125,deuteronomy,control_exclude_meteg,full
segol,mahapakh,13,0.19117647,0.02268761,0,13,inf,3.048826,4.263936,deuteronomy,control_exclude_meteg,full
atnah,yetiv,12,0.01315789,0.18461538,0,12,inf,4.638498,2.587045,deuteronomy,control_exclude_meteg,full
revia,zinor,12,0.0234375,0.18181818,0,12,inf,2.644131,4.538352,deuteronomy,control_exclude_meteg,full
sof_pasuq,pazer,12,0.01259182,0.34285714,0,12,inf,2.609937,4.597811,deuteronomy,control_exclude_meteg,full
yetiv,zaqef_qatan,12,0.18461538,0.00928074,16,-4,0.75,6.576291,1.824737,deuteronomy,control_exclude_meteg,full
sof_pasuq,yetiv,12,0.01259182,0.18461538,0,12,inf,4.847027,2.475745,deuteronomy,control_exclude_meteg,full
geresh,merkha,12,0.04897959,0.00750469,0,12,inf,30.653756,0.391469,deuteronomy,control_exclude_meteg,full
munah,pazer,12,0.00662252,0.34285714,13,-1,0.92307692,4.962441,2.418165,deuteronomy,control_exclude_meteg,full
