taam,event_count,event_share,out_total,in_total,out_degree,in_degree,successor_entropy,successor_norm_entropy,predecessor_entropy,predecessor_norm_entropy,top_successor,top_successor_prob,top_predecessor,top_predecessor_prob,book,run_label,stream_type
atnah,912,0.07135592,912,912,19,6,3.40967516,0.80266792,1.05486876,0.40807894,merkha,0.1875,tipeha,0.58662281,deuteronomy,control_exclude_meteg,full
darga,209,0.0163524,209,209,6,13,0.67572403,0.26140574,2.93367308,0.7927904,tevir,0.87559809,qadma,0.24880383,deuteronomy,control_exclude_meteg,full
geresh,245,0.01916908,245,245,8,11,2.33012696,0.77670899,0.82297157,0.23789213,munah,0.30612245,qadma,0.88979592,deuteronomy,control_exclude_meteg,full
gershayim,109,0.00852828,109,109,7,8,2.09211703,0.74522712,2.15055429,0.71685143,munah,0.3853211,sof_pasuq,0.44036697,deuteronomy,control_exclude_meteg,full
mahapakh,573,0.04483217,573,573,5,13,0.15996435,0.0688929,3.08666745,0.83413531,pashta,0.98254799,atnah,0.17975567,deuteronomy,control_exclude_meteg,full
merkha,1599,0.12510758,1599,1599,12,19,1.46036016,0.40735717,2.67734087,0.63026991,tipeha,0.65103189,zaqef_qatan,0.27579737,deuteronomy,control_exclude_meteg,full
munah,1812,0.14177294,1812,1811,19,21,2.41108792,0.56759159,3.13170222,0.71299542,zaqef_qatan,0.46357616,pashta,0.32081723,deuteronomy,control_exclude_meteg,full
paseq,82,0.00641577,82,82,13,6,2.16432705,0.58488375,1.13865491,0.44049185,munah,0.64634146,munah,0.80487805,deuteronomy,control_exclude_meteg,full
pashta,1218,0.09529771,1218,1218,13,13,1.66488555,0.4499156,2.38333293,0.64406749,munah,0.47701149,mahapakh,0.46223317,deuteronomy,control_exclude_meteg,full
pazer,35,0.00273844,35,35,6,6,1.61030112,0.62294951,2.19231194,0.84810203,telisha_qetana,0.51428571,sof_pasuq,0.34285714,deuteronomy,control_exclude_meteg,full
qadma,440,0.0344261,440,440,9,16,2.01603432,0.63598802,2.90288966,0.72572241,geresh,0.49545455,telisha_qetana,0.25681818,deuteronomy,control_exclude_meteg,full
revia,512,0.04005946,512,512,15,8,3.02147507,0.77337079,1.88474146,0.62824715,pashta,0.30664062,munah,0.57421875,deuteronomy,control_exclude_meteg,full
segol,68,0.0053204,68,68,14,5,3.06231296,0.80431507,1.27865771,0.5506879,munah,0.27941176,munah,0.52941176,deuteronomy,control_exclude_meteg,full
sof_pasuq,954,0.07464205,953,954,19,9,3.52751768,0.8304091,1.08651253,0.34275654,munah,0.22875131,tipeha,0.5932914,deuteronomy,control_exclude_meteg,full
telisha_gedola,67,0.00524216,67,67,5,8,1.40661021,0.60579404,2.47460999,0.82487,qadma,0.70149254,munah,0.34328358,deuteronomy,control_exclude_meteg,full
telisha_qetana,118,0.00923245,118,118,5,13,0.33450557,0.14406371,2.74596502,0.74206452,qadma,0.95762712,sof_pasuq,0.3220339,deuteronomy,control_exclude_meteg,full
tevir,477,0.03732102,477,477,7,11,1.03138452,0.36738658,2.3741897,0.68629473,merkha,0.68343816,darga,0.3836478,deuteronomy,control_exclude_meteg,full
tipeha,1855,0.14513731,1855,1855,8,13,2.00830079,0.6694336,1.75502317,0.47427422,sof_pasuq,0.30512129,merkha,0.56118598,deuteronomy,control_exclude_meteg,full
yetiv,65,0.00508567,65,65,3,5,0.80017681,0.50485536,2.08265974,0.89695273,munah,0.8,revia,0.35384615,deuteronomy,control_exclude_meteg,full
zaqef_gadol,70,0.00547688,70,70,9,4,2.07854445,0.65570777,1.71070579,0.8553529,merkha,0.45714286,zaqef_qatan,0.45714286,deuteronomy,control_exclude_meteg,full
zaqef_qatan,1293,0.10116579,1293,1293,18,9,2.4863163,0.59624964,1.16668504,0.36804815,tipeha,0.37973705,munah,0.64965197,deuteronomy,control_exclude_meteg,full
zarqa,2,0.00015648,2,2,2,1,1.0,1.0,-0.0,0.0,segol,0.5,munah,1.0,deuteronomy,control_exclude_meteg,full
zinor,66,0.00516392,66,66,3,7,1.08986762,0.68762991,2.0423903,0.7275141,munah,0.54545455,munah,0.51515152,deuteronomy,control_exclude_meteg,full
