taam,event_count,event_share,out_total,in_total,out_degree,in_degree,successor_entropy,successor_norm_entropy,predecessor_entropy,predecessor_norm_entropy,top_successor,top_successor_prob,top_predecessor,top_predecessor_prob,book,run_label,stream_type
atnah,1148,0.07810586,1148,1148,19,6,3.44591831,0.81119989,1.04706912,0.40506163,merkha,0.19686411,tipeha,0.53832753,exodus,control_exclude_meteg,full
darga,221,0.01503606,221,221,4,10,0.30757709,0.15378854,2.88043111,0.86709616,tevir,0.95475113,atnah,0.2081448,exodus,control_exclude_meteg,full
geresh,232,0.01578446,232,232,8,10,2.28957797,0.76319266,0.83786655,0.25222297,revia,0.30603448,qadma,0.875,exodus,control_exclude_meteg,full
gershayim,98,0.00666757,98,98,8,7,2.26040023,0.75346674,2.07217806,0.73812472,munah,0.34693878,sof_pasuq,0.53061224,exodus,control_exclude_meteg,full
mahapakh,657,0.04469996,657,657,7,12,0.12534095,0.04464735,2.87007091,0.80058603,pashta,0.98782344,sof_pasuq,0.23439878,exodus,control_exclude_meteg,full
merkha,1881,0.1279766,1881,1881,13,17,1.39052175,0.37577203,2.64696724,0.64758197,tipeha,0.65284423,tipeha,0.24348751,exodus,control_exclude_meteg,full
merkha_kefula,1,6.804e-05,1,1,1,1,-0.0,0.0,-0.0,0.0,tipeha,1.0,darga,1.0,exodus,control_exclude_meteg,full
munah,2000,0.13607294,2000,2000,19,21,2.30185138,0.54187633,3.02936753,0.68969686,zaqef_qatan,0.448,pashta,0.286,exodus,control_exclude_meteg,full
paseq,79,0.00537488,79,79,12,5,1.46941292,0.40988237,0.8300089,0.35746538,munah,0.78481013,munah,0.84810127,exodus,control_exclude_meteg,full
pashta,1333,0.09069261,1333,1333,12,14,1.64223247,0.45808916,2.32165627,0.60978194,munah,0.42910728,mahapakh,0.48687172,exodus,control_exclude_meteg,full
pazer,32,0.00217717,32,32,7,8,1.83770471,0.65460362,2.30242128,0.76747376,telisha_qetana,0.625,sof_pasuq,0.4375,exodus,control_exclude_meteg,full
qadma,408,0.02775888,408,408,9,15,2.06043431,0.64999466,2.83407249,0.7254036,geresh,0.49754902,sof_pasuq,0.29901961,exodus,control_exclude_meteg,full
revia,508,0.03456253,508,507,15,9,2.86984453,0.73455974,1.92179173,0.60625779,pashta,0.31102362,munah,0.57199211,exodus,control_exclude_meteg,full
segol,81,0.00551095,81,81,13,5,2.88950959,0.78085574,1.30556689,0.56227705,munah,0.30864198,munah,0.50617284,exodus,control_exclude_meteg,full
sof_pasuq,1205,0.08198394,1204,1205,19,5,3.45150279,0.81251452,1.04774386,0.45123872,merkha,0.19269103,tipeha,0.61078838,exodus,control_exclude_meteg,full
telisha_gedola,43,0.00292557,43,43,7,8,1.90926516,0.68009397,2.53181163,0.84393721,qadma,0.60465116,munah,0.3255814,exodus,control_exclude_meteg,full
telisha_qetana,90,0.00612328,90,90,3,10,0.24145216,0.15233935,2.55534871,0.76923661,qadma,0.96666667,sof_pasuq,0.34444444,exodus,control_exclude_meteg,full
tevir,585,0.03980133,585,585,4,11,0.97299688,0.48649844,2.44398925,0.70647133,merkha,0.65470085,darga,0.36068376,exodus,control_exclude_meteg,full
tipeha,2347,0.15968159,2347,2347,10,17,2.01830974,0.60757177,1.89455532,0.46350399,sof_pasuq,0.31359182,merkha,0.52322113,exodus,control_exclude_meteg,full
yetiv,90,0.00612328,90,90,2,7,0.5957611,0.5957611,2.17456651,0.77459622,munah,0.85555556,revia,0.35555556,exodus,control_exclude_meteg,full
zaqef_gadol,99,0.00673561,99,99,9,4,2.00250795,0.63172092,1.61784624,0.80892312,tipeha,0.46464646,zaqef_qatan,0.41414141,exodus,control_exclude_meteg,full
zaqef_qatan,1478,0.1005579,1478,1478,17,12,2.38963503,0.58462551,1.23726633,0.34512672,tipeha,0.42828146,munah,0.60622463,exodus,control_exclude_meteg,full
zarqa,3,0.00020411,3,3,2,2,0.91829583,0.91829583,0.91829583,0.91829583,segol,0.66666667,merkha,0.66666667,exodus,control_exclude_meteg,full
zinor,79,0.00537488,79,79,3,7,1.08106389,0.68207537,1.50385587,0.53568427,munah,0.53164557,munah,0.69620253,exodus,control_exclude_meteg,full
