taam,rank,successor,count,prob,book,run_label,stream_type
atnah,1,merkha,226,0.19686411,exodus,control_exclude_meteg,full
atnah,2,munah,188,0.16376307,exodus,control_exclude_meteg,full
atnah,3,tipeha,152,0.13240418,exodus,control_exclude_meteg,full
atnah,4,mahapakh,124,0.10801394,exodus,control_exclude_meteg,full
atnah,5,pashta,107,0.09320557,exodus,control_exclude_meteg,full
atnah,6,qadma,73,0.06358885,exodus,control_exclude_meteg,full
atnah,7,tevir,59,0.05139373,exodus,control_exclude_meteg,full
atnah,8,revia,50,0.04355401,exodus,control_exclude_meteg,full
atnah,9,darga,46,0.04006969,exodus,control_exclude_meteg,full
atnah,10,zaqef_gadol,38,0.03310105,exodus,control_exclude_meteg,full
darga,1,tevir,211,0.95475113,exodus,control_exclude_meteg,full
darga,2,munah,8,0.0361991,exodus,control_exclude_meteg,full
darga,3,merkha_kefula,1,0.00452489,exodus,control_exclude_meteg,full
darga,4,paseq,1,0.00452489,exodus,control_exclude_meteg,full
geresh,1,revia,71,0.30603448,exodus,control_exclude_meteg,full
geresh,2,munah,70,0.30172414,exodus,control_exclude_meteg,full
geresh,3,mahapakh,50,0.21551724,exodus,control_exclude_meteg,full
geresh,4,darga,19,0.08189655,exodus,control_exclude_meteg,full
geresh,5,merkha,12,0.05172414,exodus,control_exclude_meteg,full
geresh,6,qadma,6,0.02586207,exodus,control_exclude_meteg,full
geresh,7,pashta,3,0.01293103,exodus,control_exclude_meteg,full
geresh,8,tipeha,1,0.00431034,exodus,control_exclude_meteg,full
gershayim,1,munah,34,0.34693878,exodus,control_exclude_meteg,full
gershayim,2,mahapakh,32,0.32653061,exodus,control_exclude_meteg,full
gershayim,3,darga,12,0.12244898,exodus,control_exclude_meteg,full
gershayim,4,qadma,10,0.10204082,exodus,control_exclude_meteg,full
gershayim,5,merkha,6,0.06122449,exodus,control_exclude_meteg,full
gershayim,6,revia,2,0.02040816,exodus,control_exclude_meteg,full
gershayim,7,pashta,1,0.01020408,exodus,control_exclude_meteg,full
gershayim,8,tevir,1,0.01020408,exodus,control_exclude_meteg,full
mahapakh,1,pashta,649,0.98782344,exodus,control_exclude_meteg,full
mahapakh,2,munah,2,0.00304414,exodus,control_exclude_meteg,full
mahapakh,3,zaqef_qatan,2,0.00304414,exodus,control_exclude_meteg,full
mahapakh,4,merkha,1,0.00152207,exodus,control_exclude_meteg,full
mahapakh,5,tipeha,1,0.00152207,exodus,control_exclude_meteg,full
mahapakh,6,qadma,1,0.00152207,exodus,control_exclude_meteg,full
mahapakh,7,paseq,1,0.00152207,exodus,control_exclude_meteg,full
merkha,1,tipeha,1228,0.65284423,exodus,control_exclude_meteg,full
merkha,2,sof_pasuq,456,0.24242424,exodus,control_exclude_meteg,full
merkha,3,tevir,145,0.07708666,exodus,control_exclude_meteg,full
merkha,4,pashta,26,0.01382243,exodus,control_exclude_meteg,full
merkha,5,paseq,8,0.00425306,exodus,control_exclude_meteg,full
merkha,6,munah,7,0.00372142,exodus,control_exclude_meteg,full
merkha,7,atnah,2,0.00106326,exodus,control_exclude_meteg,full
merkha,8,zarqa,2,0.00106326,exodus,control_exclude_meteg,full
merkha,9,qadma,2,0.00106326,exodus,control_exclude_meteg,full
merkha,10,zinor,2,0.00106326,exodus,control_exclude_meteg,full
merkha_kefula,1,tipeha,1,1.0,exodus,control_exclude_meteg,full
munah,1,zaqef_qatan,896,0.448,exodus,control_exclude_meteg,full
munah,2,atnah,524,0.262,exodus,control_exclude_meteg,full
munah,3,revia,290,0.145,exodus,control_exclude_meteg,full
munah,4,paseq,67,0.0335,exodus,control_exclude_meteg,full
munah,5,zinor,55,0.0275,exodus,control_exclude_meteg,full
munah,6,segol,41,0.0205,exodus,control_exclude_meteg,full
munah,7,munah,33,0.0165,exodus,control_exclude_meteg,full
munah,8,mahapakh,23,0.0115,exodus,control_exclude_meteg,full
munah,9,telisha_qetana,15,0.0075,exodus,control_exclude_meteg,full
munah,10,telisha_gedola,14,0.007,exodus,control_exclude_meteg,full
paseq,1,munah,62,0.78481013,exodus,control_exclude_meteg,full
paseq,2,sof_pasuq,3,0.03797468,exodus,control_exclude_meteg,full
paseq,3,tipeha,2,0.02531646,exodus,control_exclude_meteg,full
paseq,4,zinor,2,0.02531646,exodus,control_exclude_meteg,full
paseq,5,pazer,2,0.02531646,exodus,control_exclude_meteg,full
paseq,6,merkha,2,0.02531646,exodus,control_exclude_meteg,full
paseq,7,tevir,1,0.01265823,exodus,control_exclude_meteg,full
paseq,8,telisha_gedola,1,0.01265823,exodus,control_exclude_meteg,full
paseq,9,revia,1,0.01265823,exodus,control_exclude_meteg,full
paseq,10,pashta,1,0.01265823,exodus,control_exclude_meteg,full
pashta,1,munah,572,0.42910728,exodus,control_exclude_meteg,full
pashta,2,zaqef_qatan,527,0.39534884,exodus,control_exclude_meteg,full
pashta,3,pashta,206,0.15453863,exodus,control_exclude_meteg,full
pashta,4,mahapakh,10,0.00750188,exodus,control_exclude_meteg,full
pashta,5,qadma,6,0.00450113,exodus,control_exclude_meteg,full
pashta,6,gershayim,3,0.00225056,exodus,control_exclude_meteg,full
pashta,7,yetiv,3,0.00225056,exodus,control_exclude_meteg,full
pashta,8,paseq,2,0.00150038,exodus,control_exclude_meteg,full
pashta,9,atnah,1,0.00075019,exodus,control_exclude_meteg,full
pashta,10,merkha,1,0.00075019,exodus,control_exclude_meteg,full
pazer,1,telisha_qetana,20,0.625,exodus,control_exclude_meteg,full
pazer,2,munah,4,0.125,exodus,control_exclude_meteg,full
pazer,3,qadma,3,0.09375,exodus,control_exclude_meteg,full
pazer,4,zaqef_qatan,2,0.0625,exodus,control_exclude_meteg,full
pazer,5,geresh,1,0.03125,exodus,control_exclude_meteg,full
pazer,6,pazer,1,0.03125,exodus,control_exclude_meteg,full
pazer,7,telisha_gedola,1,0.03125,exodus,control_exclude_meteg,full
qadma,1,geresh,203,0.49754902,exodus,control_exclude_meteg,full
qadma,2,mahapakh,94,0.23039216,exodus,control_exclude_meteg,full
qadma,3,darga,38,0.09313725,exodus,control_exclude_meteg,full
qadma,4,merkha,37,0.09068627,exodus,control_exclude_meteg,full
qadma,5,zaqef_qatan,22,0.05392157,exodus,control_exclude_meteg,full
qadma,6,munah,10,0.0245098,exodus,control_exclude_meteg,full
qadma,7,tipeha,2,0.00490196,exodus,control_exclude_meteg,full
qadma,8,atnah,1,0.00245098,exodus,control_exclude_meteg,full
qadma,9,pazer,1,0.00245098,exodus,control_exclude_meteg,full
revia,1,pashta,158,0.31102362,exodus,control_exclude_meteg,full
revia,2,mahapakh,136,0.26771654,exodus,control_exclude_meteg,full
revia,3,tevir,41,0.08070866,exodus,control_exclude_meteg,full
revia,4,qadma,41,0.08070866,exodus,control_exclude_meteg,full
revia,5,yetiv,32,0.06299213,exodus,control_exclude_meteg,full
revia,6,darga,23,0.04527559,exodus,control_exclude_meteg,full
revia,7,munah,23,0.04527559,exodus,control_exclude_meteg,full
revia,8,merkha,22,0.04330709,exodus,control_exclude_meteg,full
revia,9,zinor,10,0.01968504,exodus,control_exclude_meteg,full
revia,10,gershayim,9,0.01771654,exodus,control_exclude_meteg,full
segol,1,munah,25,0.30864198,exodus,control_exclude_meteg,full
segol,2,revia,14,0.17283951,exodus,control_exclude_meteg,full
segol,3,mahapakh,12,0.14814815,exodus,control_exclude_meteg,full
segol,4,pashta,9,0.11111111,exodus,control_exclude_meteg,full
segol,5,qadma,9,0.11111111,exodus,control_exclude_meteg,full
segol,6,gershayim,4,0.04938272,exodus,control_exclude_meteg,full
segol,7,telisha_qetana,2,0.02469136,exodus,control_exclude_meteg,full
segol,8,yetiv,1,0.01234568,exodus,control_exclude_meteg,full
segol,9,geresh,1,0.01234568,exodus,control_exclude_meteg,full
segol,10,darga,1,0.01234568,exodus,control_exclude_meteg,full
sof_pasuq,1,merkha,232,0.19269103,exodus,control_exclude_meteg,full
sof_pasuq,2,munah,227,0.18853821,exodus,control_exclude_meteg,full
sof_pasuq,3,mahapakh,154,0.12790698,exodus,control_exclude_meteg,full
sof_pasuq,4,qadma,122,0.1013289,exodus,control_exclude_meteg,full
sof_pasuq,5,pashta,93,0.07724252,exodus,control_exclude_meteg,full
sof_pasuq,6,tipeha,73,0.06063123,exodus,control_exclude_meteg,full
sof_pasuq,7,revia,63,0.05232558,exodus,control_exclude_meteg,full
sof_pasuq,8,gershayim,52,0.04318937,exodus,control_exclude_meteg,full
sof_pasuq,9,darga,43,0.03571429,exodus,control_exclude_meteg,full
sof_pasuq,10,tevir,43,0.03571429,exodus,control_exclude_meteg,full
telisha_gedola,1,qadma,26,0.60465116,exodus,control_exclude_meteg,full
telisha_gedola,2,munah,6,0.13953488,exodus,control_exclude_meteg,full
telisha_gedola,3,mahapakh,3,0.06976744,exodus,control_exclude_meteg,full
telisha_gedola,4,gershayim,3,0.06976744,exodus,control_exclude_meteg,full
telisha_gedola,5,merkha,2,0.04651163,exodus,control_exclude_meteg,full
telisha_gedola,6,geresh,2,0.04651163,exodus,control_exclude_meteg,full
telisha_gedola,7,revia,1,0.02325581,exodus,control_exclude_meteg,full
telisha_qetana,1,qadma,87,0.96666667,exodus,control_exclude_meteg,full
telisha_qetana,2,merkha,2,0.02222222,exodus,control_exclude_meteg,full
telisha_qetana,3,tipeha,1,0.01111111,exodus,control_exclude_meteg,full
tevir,1,merkha,383,0.65470085,exodus,control_exclude_meteg,full
tevir,2,tipeha,199,0.34017094,exodus,control_exclude_meteg,full
tevir,3,telisha_qetana,2,0.0034188,exodus,control_exclude_meteg,full
tevir,4,tevir,1,0.0017094,exodus,control_exclude_meteg,full
tipeha,1,sof_pasuq,736,0.31359182,exodus,control_exclude_meteg,full
tipeha,2,atnah,618,0.26331487,exodus,control_exclude_meteg,full
tipeha,3,munah,525,0.22368982,exodus,control_exclude_meteg,full
tipeha,4,merkha,458,0.19514274,exodus,control_exclude_meteg,full
tipeha,5,pashta,4,0.0017043,exodus,control_exclude_meteg,full
tipeha,6,geresh,2,0.00085215,exodus,control_exclude_meteg,full
tipeha,7,qadma,1,0.00042608,exodus,control_exclude_meteg,full
tipeha,8,zinor,1,0.00042608,exodus,control_exclude_meteg,full
tipeha,9,tipeha,1,0.00042608,exodus,control_exclude_meteg,full
tipeha,10,zaqef_qatan,1,0.00042608,exodus,control_exclude_meteg,full
yetiv,1,munah,77,0.85555556,exodus,control_exclude_meteg,full
yetiv,2,zaqef_qatan,13,0.14444444,exodus,control_exclude_meteg,full
zaqef_gadol,1,tipeha,46,0.46464646,exodus,control_exclude_meteg,full
zaqef_gadol,2,merkha,32,0.32323232,exodus,control_exclude_meteg,full
zaqef_gadol,3,tevir,10,0.1010101,exodus,control_exclude_meteg,full
zaqef_gadol,4,darga,3,0.03030303,exodus,control_exclude_meteg,full
zaqef_gadol,5,munah,2,0.02020202,exodus,control_exclude_meteg,full
zaqef_gadol,6,yetiv,2,0.02020202,exodus,control_exclude_meteg,full
zaqef_gadol,7,zaqef_gadol,2,0.02020202,exodus,control_exclude_meteg,full
zaqef_gadol,8,telisha_qetana,1,0.01010101,exodus,control_exclude_meteg,full
zaqef_gadol,9,pashta,1,0.01010101,exodus,control_exclude_meteg,full
zaqef_qatan,1,tipeha,633,0.42828146,exodus,control_exclude_meteg,full
zaqef_qatan,2,merkha,454,0.30717185,exodus,control_exclude_meteg,full
zaqef_qatan,3,munah,82,0.05548038,exodus,control_exclude_meteg,full
zaqef_qatan,4,tevir,72,0.04871448,exodus,control_exclude_meteg,full
zaqef_qatan,5,pashta,72,0.04871448,exodus,control_exclude_meteg,full
zaqef_qatan,6,zaqef_gadol,41,0.02774019,exodus,control_exclude_meteg,full
zaqef_qatan,7,darga,31,0.02097429,exodus,control_exclude_meteg,full
zaqef_qatan,8,yetiv,22,0.01488498,exodus,control_exclude_meteg,full
zaqef_qatan,9,qadma,19,0.01285521,exodus,control_exclude_meteg,full
zaqef_qatan,10,mahapakh,18,0.01217862,exodus,control_exclude_meteg,full
zarqa,1,segol,2,0.66666667,exodus,control_exclude_meteg,full
zarqa,2,munah,1,0.33333333,exodus,control_exclude_meteg,full
zinor,1,munah,42,0.53164557,exodus,control_exclude_meteg,full
zinor,2,segol,36,0.4556962,exodus,control_exclude_meteg,full
zinor,3,tipeha,1,0.01265823,exodus,control_exclude_meteg,full
