source,target,count,prob_given_source,target_predecessor_share,reverse_count,asymmetry_count,asymmetry_ratio,expected_independent,lift,book,run_label,stream_type
merkha,tipeha,1576,0.65448505,0.53081846,645,931,2.44341085,404.05516,3.900458,genesis,control_exclude_meteg,core_projected
munah,zaqef_qatan,1216,0.5062448,0.6488794,136,1080,8.94117647,254.399684,4.77988,genesis,control_exclude_meteg,core_projected
tipeha,sof_pasuq,865,0.29124579,0.56535948,115,750,7.52173913,256.81587,3.368172,genesis,control_exclude_meteg,core_projected
tipeha,atnah,860,0.28956229,0.58663029,231,629,3.72294372,246.073245,3.494894,genesis,control_exclude_meteg,core_projected
mahapakh,pashta,789,0.99120603,0.4638448,15,774,52.6,76.522889,10.310641,genesis,control_exclude_meteg,core_projected
zaqef_qatan,tipeha,766,0.40875133,0.25799933,0,766,inf,314.451566,2.435987,genesis,control_exclude_meteg,core_projected
pashta,munah,764,0.44914756,0.31806828,5,759,152.8,230.914547,3.308583,genesis,control_exclude_meteg,core_projected
tipeha,merkha,645,0.21717172,0.26785714,1576,-931,0.40926396,404.191251,1.595779,genesis,control_exclude_meteg,core_projected
merkha,sof_pasuq,643,0.26702658,0.42026144,224,419,2.87053571,208.219736,3.088084,genesis,control_exclude_meteg,core_projected
zaqef_qatan,merkha,640,0.34151547,0.26578073,0,640,inf,255.035153,2.509458,genesis,control_exclude_meteg,core_projected
pashta,zaqef_qatan,610,0.35861258,0.32550694,77,533,7.92207792,180.155646,3.385961,genesis,control_exclude_meteg,core_projected
tipeha,munah,598,0.2013468,0.2489592,1,597,598.0,403.18413,1.483193,genesis,control_exclude_meteg,core_projected
munah,atnah,592,0.24646128,0.40381992,260,332,2.27692308,199.012773,2.974683,genesis,control_exclude_meteg,core_projected
tevir,merkha,395,0.63402889,0.16403654,160,235,2.46875,84.784899,4.658849,genesis,control_exclude_meteg,core_projected
sof_pasuq,munah,353,0.23086985,0.14696087,0,353,inf,207.565163,1.700671,genesis,control_exclude_meteg,core_projected
munah,revia,343,0.14279767,0.56229508,59,284,5.81355932,82.808862,4.142069,genesis,control_exclude_meteg,core_projected
atnah,merkha,330,0.22510232,0.13704319,0,330,inf,199.50989,1.654053,genesis,control_exclude_meteg,core_projected
pashta,pashta,302,0.17754262,0.17754262,302,0,1.0,163.524415,1.846819,genesis,control_exclude_meteg,core_projected
atnah,munah,260,0.17735334,0.10824313,592,-332,0.43918919,199.012773,1.306449,genesis,control_exclude_meteg,core_projected
atnah,tipeha,231,0.15757162,0.07780397,860,-629,0.26860465,245.990392,0.939061,genesis,control_exclude_meteg,core_projected
tevir,tipeha,226,0.36276083,0.07611991,0,226,inf,104.537527,2.161903,genesis,control_exclude_meteg,core_projected
darga,tevir,225,0.88932806,0.3611557,0,225,inf,8.908048,25.258059,genesis,control_exclude_meteg,core_projected
sof_pasuq,merkha,224,0.14650098,0.09302326,643,-419,0.34836703,208.083644,1.07649,genesis,control_exclude_meteg,core_projected
revia,pashta,222,0.36393443,0.13051146,2,220,111.0,58.641913,3.785688,genesis,control_exclude_meteg,core_projected
qadma,geresh,216,0.4726477,0.8852459,7,209,30.85714286,6.302023,34.274707,genesis,control_exclude_meteg,core_projected
sof_pasuq,mahapakh,204,0.13342054,0.25628141,0,204,inf,68.785125,2.965757,genesis,control_exclude_meteg,core_projected
sof_pasuq,qadma,171,0.1118378,0.37417943,0,171,inf,39.490957,4.330105,genesis,control_exclude_meteg,core_projected
revia,mahapakh,167,0.27377049,0.20979899,0,167,inf,27.442071,6.085547,genesis,control_exclude_meteg,core_projected
merkha,tevir,160,0.06644518,0.25682183,395,-235,0.40506329,84.784899,1.887129,genesis,control_exclude_meteg,core_projected
atnah,mahapakh,153,0.10436562,0.19221106,0,153,inf,65.950944,2.319906,genesis,control_exclude_meteg,core_projected
atnah,pashta,145,0.09890859,0.08524397,0,145,inf,140.932859,1.028859,genesis,control_exclude_meteg,core_projected
zaqef_qatan,munah,136,0.07257204,0.05661948,1216,-1080,0.11184211,254.399684,0.534592,genesis,control_exclude_meteg,core_projected
qadma,mahapakh,126,0.27571116,0.15829146,0,126,inf,20.55906,6.128685,genesis,control_exclude_meteg,core_projected
sof_pasuq,pashta,126,0.0824068,0.07407407,0,126,inf,146.989318,0.857205,genesis,control_exclude_meteg,core_projected
sof_pasuq,tipeha,115,0.07521256,0.03873358,865,-750,0.13294798,256.561603,0.448235,genesis,control_exclude_meteg,core_projected
zaqef_gadol,merkha,97,0.55113636,0.04028239,0,97,inf,23.952074,4.049754,genesis,control_exclude_meteg,core_projected
telisha_qetana,qadma,92,0.98924731,0.20131291,0,92,inf,2.402001,38.301405,genesis,control_exclude_meteg,core_projected
geresh,revia,91,0.37295082,0.14918033,1,90,91.0,8.411891,10.818019,genesis,control_exclude_meteg,core_projected
geresh,munah,66,0.2704918,0.0274771,4,62,16.5,33.123545,1.99254,genesis,control_exclude_meteg,core_projected
paseq,munah,57,0.61956522,0.02373022,72,-15,0.79166667,12.489205,4.563941,genesis,control_exclude_meteg,core_projected
zaqef_gadol,tipeha,50,0.28409091,0.01684069,0,50,inf,29.532271,1.693063,genesis,control_exclude_meteg,core_projected
geresh,mahapakh,49,0.20081967,0.06155779,0,49,inf,10.976828,4.463949,genesis,control_exclude_meteg,core_projected
