taam,rank,successor,count,prob,book,run_label,stream_type
atnah,1,merkha,329,0.22442019,genesis,control_exclude_meteg,full
atnah,2,munah,234,0.15961801,genesis,control_exclude_meteg,full
atnah,3,tipeha,231,0.15757162,genesis,control_exclude_meteg,full
atnah,4,pashta,145,0.09890859,genesis,control_exclude_meteg,full
atnah,5,mahapakh,137,0.09345157,genesis,control_exclude_meteg,full
atnah,6,qadma,74,0.05047749,genesis,control_exclude_meteg,full
atnah,7,revia,63,0.04297408,genesis,control_exclude_meteg,full
atnah,8,zaqef_gadol,55,0.03751705,genesis,control_exclude_meteg,full
atnah,9,tevir,52,0.03547067,genesis,control_exclude_meteg,full
atnah,10,gershayim,32,0.0218281,genesis,control_exclude_meteg,full
darga,1,tevir,225,0.88932806,genesis,control_exclude_meteg,full
darga,2,munah,18,0.07114625,genesis,control_exclude_meteg,full
darga,3,paseq,9,0.03557312,genesis,control_exclude_meteg,full
darga,4,merkha_kefula,1,0.00395257,genesis,control_exclude_meteg,full
geresh,1,revia,91,0.37295082,genesis,control_exclude_meteg,full
geresh,2,munah,65,0.26639344,genesis,control_exclude_meteg,full
geresh,3,mahapakh,49,0.20081967,genesis,control_exclude_meteg,full
geresh,4,darga,21,0.08606557,genesis,control_exclude_meteg,full
geresh,5,merkha,9,0.03688525,genesis,control_exclude_meteg,full
geresh,6,qadma,7,0.02868852,genesis,control_exclude_meteg,full
geresh,7,telisha_gedola,2,0.00819672,genesis,control_exclude_meteg,full
gershayim,1,mahapakh,46,0.40707965,genesis,control_exclude_meteg,full
gershayim,2,munah,36,0.31858407,genesis,control_exclude_meteg,full
gershayim,3,darga,19,0.16814159,genesis,control_exclude_meteg,full
gershayim,4,qadma,4,0.03539823,genesis,control_exclude_meteg,full
gershayim,5,merkha,4,0.03539823,genesis,control_exclude_meteg,full
gershayim,6,revia,3,0.02654867,genesis,control_exclude_meteg,full
gershayim,7,tevir,1,0.00884956,genesis,control_exclude_meteg,full
mahapakh,1,pashta,789,0.99120603,genesis,control_exclude_meteg,full
mahapakh,2,paseq,5,0.00628141,genesis,control_exclude_meteg,full
mahapakh,3,zaqef_qatan,2,0.00251256,genesis,control_exclude_meteg,full
merkha,1,tipeha,1576,0.65448505,genesis,control_exclude_meteg,full
merkha,2,sof_pasuq,643,0.26702658,genesis,control_exclude_meteg,full
merkha,3,tevir,160,0.06644518,genesis,control_exclude_meteg,full
merkha,4,pashta,25,0.01038206,genesis,control_exclude_meteg,full
merkha,5,paseq,3,0.00124585,genesis,control_exclude_meteg,full
