source,target,count,prob_given_source,target_predecessor_share,reverse_count,asymmetry_count,asymmetry_ratio,expected_independent,lift,book,run_label,stream_type
merkha,tipeha,866,0.63073562,0.5194961,372,494,2.32795699,229.17703,3.778738,leviticus,control_exclude_meteg,core_projected
munah,zaqef_qatan,593,0.43860947,0.60081054,58,535,10.22413793,133.616101,4.438088,leviticus,control_exclude_meteg,core_projected
tipeha,sof_pasuq,485,0.29076739,0.56592765,38,447,12.76315789,143.133674,3.388441,leviticus,control_exclude_meteg,core_projected
tipeha,atnah,466,0.2793765,0.57318573,132,334,3.53030303,135.78492,3.431898,leviticus,control_exclude_meteg,core_projected
mahapakh,pashta,449,0.99556541,0.49888889,6,443,74.83333333,40.642836,11.047458,leviticus,control_exclude_meteg,core_projected
zaqef_qatan,tipeha,439,0.44478217,0.26334733,0,439,inf,164.747071,2.664691,leviticus,control_exclude_meteg,core_projected
pashta,munah,406,0.45111111,0.30029586,12,394,33.83333333,121.83839,3.332283,leviticus,control_exclude_meteg,core_projected
tipeha,merkha,372,0.22302158,0.27093955,866,-494,0.4295612,229.314509,1.622226,leviticus,control_exclude_meteg,core_projected
merkha,sof_pasuq,370,0.26948288,0.43173862,139,231,2.6618705,117.819265,3.140403,leviticus,control_exclude_meteg,core_projected
pashta,zaqef_qatan,350,0.38888889,0.35460993,49,301,7.14285714,88.945629,3.934988,leviticus,control_exclude_meteg,core_projected
tipeha,munah,345,0.20683453,0.25517751,0,345,inf,225.807149,1.527852,leviticus,control_exclude_meteg,core_projected
munah,atnah,345,0.25517751,0.42435424,121,224,2.85123967,110.060679,3.134634,leviticus,control_exclude_meteg,core_projected
zaqef_qatan,merkha,315,0.31914894,0.22942462,0,315,inf,135.691499,2.321442,leviticus,control_exclude_meteg,core_projected
tevir,merkha,250,0.60096154,0.18208303,101,149,2.47524752,57.191148,4.371306,leviticus,control_exclude_meteg,core_projected
munah,revia,201,0.14866864,0.64423077,38,163,5.28947368,42.237309,4.758826,leviticus,control_exclude_meteg,core_projected
atnah,merkha,195,0.2398524,0.14202476,0,195,inf,111.770201,1.744651,leviticus,control_exclude_meteg,core_projected
sof_pasuq,munah,186,0.21728972,0.13757396,0,186,inf,115.881846,1.605083,leviticus,control_exclude_meteg,core_projected
tevir,tipeha,166,0.39903846,0.09958008,0,166,inf,69.437469,2.39064,leviticus,control_exclude_meteg,core_projected
darga,tevir,166,0.97076023,0.39903846,0,166,inf,7.12286,23.305246,leviticus,control_exclude_meteg,core_projected
qadma,geresh,162,0.48502994,0.93103448,7,155,23.14285714,5.819165,27.839046,leviticus,control_exclude_meteg,core_projected
sof_pasuq,merkha,139,0.16238318,0.10123816,370,-231,0.37567568,117.681786,1.181151,leviticus,control_exclude_meteg,core_projected
pashta,pashta,134,0.14888889,0.14888889,134,0,1.0,81.105437,1.65217,leviticus,control_exclude_meteg,core_projected
atnah,tipeha,132,0.16236162,0.07918416,466,-334,0.2832618,135.703515,0.972709,leviticus,control_exclude_meteg,core_projected
atnah,munah,121,0.14883149,0.08949704,345,-224,0.35072464,110.060679,1.099394,leviticus,control_exclude_meteg,core_projected
sof_pasuq,qadma,118,0.13785047,0.35329341,0,118,inf,28.627616,4.121894,leviticus,control_exclude_meteg,core_projected
sof_pasuq,mahapakh,116,0.13551402,0.25720621,0,116,inf,38.655853,3.000839,leviticus,control_exclude_meteg,core_projected
atnah,mahapakh,103,0.12669127,0.22838137,0,103,inf,36.714028,2.805467,leviticus,control_exclude_meteg,core_projected
merkha,tevir,101,0.07356154,0.24278846,250,-149,0.404,57.191148,1.766008,leviticus,control_exclude_meteg,core_projected
revia,mahapakh,84,0.26923077,0.18625277,0,84,inf,14.089516,5.96188,leviticus,control_exclude_meteg,core_projected
revia,pashta,83,0.26602564,0.09222222,0,83,inf,28.116552,2.951998,leviticus,control_exclude_meteg,core_projected
geresh,munah,76,0.43678161,0.05621302,1,75,76.0,23.555422,3.226433,leviticus,control_exclude_meteg,core_projected
telisha_qetana,qadma,71,1.0,0.21257485,0,71,inf,2.374487,29.901198,leviticus,control_exclude_meteg,core_projected
qadma,mahapakh,67,0.2005988,0.14855876,0,67,inf,15.083008,4.442085,leviticus,control_exclude_meteg,core_projected
paseq,munah,43,0.7962963,0.03180473,47,-4,0.91489362,7.310303,5.882109,leviticus,control_exclude_meteg,core_projected
geresh,revia,41,0.23563218,0.13141026,0,41,inf,5.435867,7.542496,leviticus,control_exclude_meteg,core_projected
geresh,mahapakh,28,0.16091954,0.06208426,0,28,inf,7.857615,3.563422,leviticus,control_exclude_meteg,core_projected
zaqef_gadol,merkha,27,0.49090909,0.01966497,0,27,inf,7.56133,3.570801,leviticus,control_exclude_meteg,core_projected
zaqef_gadol,tipeha,22,0.4,0.01319736,0,22,inf,9.180435,2.396401,leviticus,control_exclude_meteg,core_projected
