current,next,observed_count,null_mean,null_sd,null_unique_values,z,z_reliable,empirical_p,null_exceedances,permutations,book,run_label,stream_type
merkha,tipeha,866,221.726,12.03314244,61,53.541625,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
munah,zaqef_qatan,593,129.646,10.18017465,52,45.515329,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
tipeha,sof_pasuq,485,138.372,10.50534819,57,32.995384,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
tipeha,atnah,466,131.358,10.00069316,50,33.461881,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
mahapakh,pashta,449,39.346,5.86028753,34,69.903396,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
zaqef_qatan,tipeha,439,159.888,11.070165,57,25.212994,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
pashta,munah,405,118.094,9.67866298,52,29.643144,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
tipeha,merkha,372,222.168,12.3917265,63,12.091293,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
merkha,sof_pasuq,370,114.422,9.4249443,48,27.117189,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
pashta,zaqef_qatan,350,85.822,8.31001979,43,31.790297,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
munah,atnah,345,107.322,9.42570973,51,25.215926,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
tipeha,munah,345,218.414,12.36058948,61,10.241097,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
zaqef_qatan,merkha,315,131.486,10.12496092,55,18.124909,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
tevir,merkha,250,55.85,6.99266005,40,27.764827,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
munah,revia,197,41.192,5.8559132,36,26.606952,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
atnah,merkha,193,108.332,9.15496602,48,9.248314,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
darga,tevir,166,6.972,2.4419546,15,65.123242,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
tevir,tipeha,166,67.4,6.92125766,36,14.245966,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
qadma,geresh,162,5.452,2.34065233,15,66.88221,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
sof_pasuq,munah,146,112.668,9.25013004,49,3.603409,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
pashta,pashta,133,78.14,8.06066677,42,6.805889,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
sof_pasuq,qadma,104,27.604,4.89193684,27,15.616718,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
merkha,tevir,101,55.35,6.77401466,38,6.738987,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
sof_pasuq,mahapakh,97,37.71,5.53454265,31,10.712719,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
atnah,mahapakh,92,35.676,5.77596291,33,9.751448,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
revia,pashta,83,27.682,4.74065646,26,11.668848,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
revia,mahapakh,77,13.668,3.50461705,20,18.071019,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
geresh,munah,76,22.884,4.265552,24,12.452316,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
telisha_qetana,qadma,71,2.384,1.49164137,8,46.000333,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
qadma,mahapakh,67,14.656,3.65079726,22,14.33769,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
atnah,qadma,51,26.332,4.72253965,28,5.223461,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
sof_pasuq,revia,49,25.676,5.02768129,28,4.639117,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
munah,paseq,47,7.094,2.39680064,15,16.649695,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
paseq,munah,42,7.092,2.40480814,13,14.515919,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
geresh,revia,41,5.178,2.17894737,12,16.440048,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
gershayim,mahapakh,40,3.246,1.75031746,10,20.998476,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
yetiv,munah,40,6.738,2.3546645,15,14.126004,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
qadma,darga,39,5.382,2.26502465,13,14.842223,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
atnah,darga,38,13.384,3.39641211,22,7.247648,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
telisha_gedola,qadma,38,1.848,1.42722456,9,25.330282,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
zinor,munah,38,7.072,2.57450425,16,12.013187,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
munah,segol,37,7.432,2.47904565,15,11.92717,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
sof_pasuq,gershayim,35,6.404,2.62956522,16,10.874802,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
revia,qadma,33,10.162,3.01428729,17,7.576584,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
munah,zinor,30,6.974,2.59051066,16,8.888595,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
sof_pasuq,telisha_qetana,30,5.97,2.22868438,14,10.782146,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
geresh,mahapakh,27,7.436,2.61908825,16,7.469775,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
zaqef_gadol,merkha,27,7.216,2.42013597,16,8.174747,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
revia,tevir,26,12.306,3.36437245,21,4.070298,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
zaqef_qatan,zaqef_gadol,24,5.22,2.15334014,14,8.721335,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
zaqef_gadol,tipeha,22,8.698,2.62460914,16,5.068183,True,0.00199601,0,500,leviticus,control_exclude_meteg,full
sof_pasuq,darga,26,14.25,3.63289083,22,3.234339,True,0.00399202,1,500,leviticus,control_exclude_meteg,full
gershayim,munah,20,9.872,2.97881902,18,3.400005,True,0.00399202,1,500,leviticus,control_exclude_meteg,full
sof_pasuq,merkha,139,113.138,9.44379832,52,2.738517,True,0.00598802,2,500,leviticus,control_exclude_meteg,full
atnah,tevir,48,32.922,5.72130953,34,2.635411,True,0.00998004,4,500,leviticus,control_exclude_meteg,full
zaqef_qatan,darga,21,16.186,3.59962757,21,1.337361,True,0.10978044,54,500,leviticus,control_exclude_meteg,full
sof_pasuq,pashta,79,74.702,8.38437783,43,0.51262,True,0.32734531,163,500,leviticus,control_exclude_meteg,full
atnah,munah,109,106.506,9.6712476,54,0.257878,True,0.41716567,208,500,leviticus,control_exclude_meteg,full
atnah,tipeha,132,131.832,10.36294153,53,0.016212,True,0.48902196,244,500,leviticus,control_exclude_meteg,full
zaqef_qatan,tevir,41,40.528,6.00344056,35,0.078622,True,0.50299401,251,500,leviticus,control_exclude_meteg,full
atnah,pashta,63,71.102,8.01899024,43,-1.010352,True,0.85429142,427,500,leviticus,control_exclude_meteg,full
sof_pasuq,tevir,29,34.352,5.55498079,33,-0.96346,True,0.86027944,430,500,leviticus,control_exclude_meteg,full
qadma,merkha,35,44.692,6.02708782,34,-1.608073,True,0.96606786,483,500,leviticus,control_exclude_meteg,full
qadma,zaqef_qatan,21,31.81,5.24489445,30,-2.061052,True,0.99001996,495,500,leviticus,control_exclude_meteg,full
zaqef_qatan,munah,52,129.546,9.97008974,54,-7.777864,True,1.0,500,500,leviticus,control_exclude_meteg,full
zaqef_qatan,pashta,49,86.282,7.99840139,39,-4.661181,True,1.0,500,500,leviticus,control_exclude_meteg,full
sof_pasuq,tipeha,38,138.478,9.95971424,52,-10.088442,True,1.0,500,500,leviticus,control_exclude_meteg,full
merkha,pashta,26,119.504,9.7198217,52,-9.61993,True,1.0,500,500,leviticus,control_exclude_meteg,full
munah,munah,20,176.524,11.84812983,61,-13.210861,True,1.0,500,500,leviticus,control_exclude_meteg,full
revia,merkha,20,41.012,5.32207713,29,-3.948083,True,1.0,500,500,leviticus,control_exclude_meteg,full
