taam,rank,predecessor,count,prob,book,run_label,stream_type
atnah,1,tipeha,466,0.57318573,leviticus,control_exclude_meteg,full
atnah,2,munah,345,0.42435424,leviticus,control_exclude_meteg,full
atnah,3,sof_pasuq,2,0.00246002,leviticus,control_exclude_meteg,full
darga,1,qadma,39,0.22807018,leviticus,control_exclude_meteg,full
darga,2,atnah,38,0.22222222,leviticus,control_exclude_meteg,full
darga,3,sof_pasuq,26,0.15204678,leviticus,control_exclude_meteg,full
darga,4,zaqef_qatan,21,0.12280702,leviticus,control_exclude_meteg,full
darga,5,revia,16,0.09356725,leviticus,control_exclude_meteg,full
darga,6,munah,10,0.05847953,leviticus,control_exclude_meteg,full
darga,7,geresh,9,0.05263158,leviticus,control_exclude_meteg,full
darga,8,gershayim,8,0.04678363,leviticus,control_exclude_meteg,full
darga,9,telisha_gedola,3,0.01754386,leviticus,control_exclude_meteg,full
darga,10,segol,1,0.00584795,leviticus,control_exclude_meteg,full
geresh,1,qadma,162,0.93103448,leviticus,control_exclude_meteg,full
geresh,2,sof_pasuq,7,0.04022989,leviticus,control_exclude_meteg,full
geresh,3,atnah,2,0.01149425,leviticus,control_exclude_meteg,full
geresh,4,paseq,2,0.01149425,leviticus,control_exclude_meteg,full
geresh,5,munah,1,0.00574713,leviticus,control_exclude_meteg,full
geresh_muqdam,1,atnah,1,1.0,leviticus,control_exclude_meteg,full
gershayim,1,sof_pasuq,35,0.46052632,leviticus,control_exclude_meteg,full
gershayim,2,atnah,16,0.21052632,leviticus,control_exclude_meteg,full
gershayim,3,munah,8,0.10526316,leviticus,control_exclude_meteg,full
gershayim,4,revia,6,0.07894737,leviticus,control_exclude_meteg,full
gershayim,5,telisha_gedola,4,0.05263158,leviticus,control_exclude_meteg,full
gershayim,6,segol,4,0.05263158,leviticus,control_exclude_meteg,full
gershayim,7,pashta,2,0.02631579,leviticus,control_exclude_meteg,full
gershayim,8,merkha,1,0.01315789,leviticus,control_exclude_meteg,full
mahapakh,1,sof_pasuq,97,0.21507761,leviticus,control_exclude_meteg,full
mahapakh,2,atnah,92,0.20399113,leviticus,control_exclude_meteg,full
mahapakh,3,revia,77,0.17073171,leviticus,control_exclude_meteg,full
mahapakh,4,qadma,67,0.14855876,leviticus,control_exclude_meteg,full
mahapakh,5,gershayim,40,0.0886918,leviticus,control_exclude_meteg,full
mahapakh,6,geresh,27,0.05986696,leviticus,control_exclude_meteg,full
mahapakh,7,munah,18,0.03991131,leviticus,control_exclude_meteg,full
mahapakh,8,zaqef_qatan,12,0.02660754,leviticus,control_exclude_meteg,full
mahapakh,9,segol,9,0.01995565,leviticus,control_exclude_meteg,full
mahapakh,10,telisha_gedola,5,0.01108647,leviticus,control_exclude_meteg,full
merkha,1,tipeha,372,0.27093955,leviticus,control_exclude_meteg,full
merkha,2,zaqef_qatan,315,0.22942462,leviticus,control_exclude_meteg,full
merkha,3,tevir,250,0.18208303,leviticus,control_exclude_meteg,full
merkha,4,atnah,193,0.1405681,leviticus,control_exclude_meteg,full
merkha,5,sof_pasuq,139,0.10123816,leviticus,control_exclude_meteg,full
merkha,6,qadma,35,0.02549162,leviticus,control_exclude_meteg,full
merkha,7,zaqef_gadol,27,0.01966497,leviticus,control_exclude_meteg,full
merkha,8,revia,20,0.01456664,leviticus,control_exclude_meteg,full
merkha,9,geresh,10,0.00728332,leviticus,control_exclude_meteg,full
merkha,10,munah,7,0.00509832,leviticus,control_exclude_meteg,full
merkha_kefula,1,darga,1,1.0,leviticus,control_exclude_meteg,full
munah,1,pashta,405,0.29955621,leviticus,control_exclude_meteg,full
munah,2,tipeha,345,0.25517751,leviticus,control_exclude_meteg,full
munah,3,sof_pasuq,146,0.10798817,leviticus,control_exclude_meteg,full
munah,4,atnah,109,0.0806213,leviticus,control_exclude_meteg,full
munah,5,geresh,76,0.05621302,leviticus,control_exclude_meteg,full
munah,6,zaqef_qatan,52,0.03846154,leviticus,control_exclude_meteg,full
munah,7,paseq,42,0.03106509,leviticus,control_exclude_meteg,full
munah,8,yetiv,40,0.0295858,leviticus,control_exclude_meteg,full
munah,9,zinor,38,0.02810651,leviticus,control_exclude_meteg,full
munah,10,gershayim,20,0.0147929,leviticus,control_exclude_meteg,full
paseq,1,munah,47,0.87037037,leviticus,control_exclude_meteg,full
paseq,2,merkha,3,0.05555556,leviticus,control_exclude_meteg,full
paseq,3,qadma,2,0.03703704,leviticus,control_exclude_meteg,full
paseq,4,shalshelet,1,0.01851852,leviticus,control_exclude_meteg,full
paseq,5,mahapakh,1,0.01851852,leviticus,control_exclude_meteg,full
pashta,1,mahapakh,449,0.49888889,leviticus,control_exclude_meteg,full
pashta,2,pashta,133,0.14777778,leviticus,control_exclude_meteg,full
pashta,3,revia,83,0.09222222,leviticus,control_exclude_meteg,full
pashta,4,sof_pasuq,79,0.08777778,leviticus,control_exclude_meteg,full
pashta,5,atnah,63,0.07,leviticus,control_exclude_meteg,full
pashta,6,zaqef_qatan,49,0.05444444,leviticus,control_exclude_meteg,full
pashta,7,merkha,26,0.02888889,leviticus,control_exclude_meteg,full
pashta,8,segol,13,0.01444444,leviticus,control_exclude_meteg,full
pashta,9,geresh,3,0.00333333,leviticus,control_exclude_meteg,full
pashta,10,gershayim,1,0.00111111,leviticus,control_exclude_meteg,full
pazer,1,sof_pasuq,10,0.37037037,leviticus,control_exclude_meteg,full
pazer,2,atnah,8,0.2962963,leviticus,control_exclude_meteg,full
pazer,3,munah,8,0.2962963,leviticus,control_exclude_meteg,full
pazer,4,paseq,1,0.03703704,leviticus,control_exclude_meteg,full
qadma,1,sof_pasuq,104,0.31137725,leviticus,control_exclude_meteg,full
qadma,2,telisha_qetana,71,0.21257485,leviticus,control_exclude_meteg,full
qadma,3,atnah,51,0.15269461,leviticus,control_exclude_meteg,full
qadma,4,telisha_gedola,38,0.11377246,leviticus,control_exclude_meteg,full
qadma,5,revia,33,0.0988024,leviticus,control_exclude_meteg,full
qadma,6,zaqef_qatan,18,0.05389222,leviticus,control_exclude_meteg,full
qadma,7,segol,7,0.02095808,leviticus,control_exclude_meteg,full
qadma,8,geresh,6,0.01796407,leviticus,control_exclude_meteg,full
qadma,9,pashta,2,0.00598802,leviticus,control_exclude_meteg,full
qadma,10,gershayim,1,0.00299401,leviticus,control_exclude_meteg,full
revia,1,munah,197,0.63141026,leviticus,control_exclude_meteg,full
revia,2,sof_pasuq,49,0.15705128,leviticus,control_exclude_meteg,full
revia,3,geresh,41,0.13141026,leviticus,control_exclude_meteg,full
revia,4,atnah,14,0.04487179,leviticus,control_exclude_meteg,full
revia,5,gershayim,5,0.01602564,leviticus,control_exclude_meteg,full
revia,6,zaqef_qatan,4,0.01282051,leviticus,control_exclude_meteg,full
revia,7,segol,1,0.00320513,leviticus,control_exclude_meteg,full
revia,8,paseq,1,0.00320513,leviticus,control_exclude_meteg,full
segol,1,munah,37,0.67272727,leviticus,control_exclude_meteg,full
segol,2,zinor,16,0.29090909,leviticus,control_exclude_meteg,full
segol,3,zarqa,2,0.03636364,leviticus,control_exclude_meteg,full
shalshelet,1,sof_pasuq,1,1.0,leviticus,control_exclude_meteg,full
sof_pasuq,1,tipeha,485,0.56592765,leviticus,control_exclude_meteg,full
sof_pasuq,2,merkha,370,0.43173862,leviticus,control_exclude_meteg,full
sof_pasuq,3,atnah,2,0.00233372,leviticus,control_exclude_meteg,full
telisha_gedola,1,sof_pasuq,16,0.28070175,leviticus,control_exclude_meteg,full
telisha_gedola,2,atnah,11,0.19298246,leviticus,control_exclude_meteg,full
telisha_gedola,3,munah,11,0.19298246,leviticus,control_exclude_meteg,full
telisha_gedola,4,revia,7,0.12280702,leviticus,control_exclude_meteg,full
telisha_gedola,5,pashta,3,0.05263158,leviticus,control_exclude_meteg,full
telisha_gedola,6,segol,3,0.05263158,leviticus,control_exclude_meteg,full
telisha_gedola,7,geresh,2,0.03508772,leviticus,control_exclude_meteg,full
telisha_gedola,8,pazer,2,0.03508772,leviticus,control_exclude_meteg,full
telisha_gedola,9,paseq,1,0.01754386,leviticus,control_exclude_meteg,full
telisha_gedola,10,zaqef_qatan,1,0.01754386,leviticus,control_exclude_meteg,full
telisha_qetana,1,sof_pasuq,30,0.42253521,leviticus,control_exclude_meteg,full
telisha_qetana,2,munah,17,0.23943662,leviticus,control_exclude_meteg,full
telisha_qetana,3,pazer,13,0.18309859,leviticus,control_exclude_meteg,full
telisha_qetana,4,atnah,6,0.08450704,leviticus,control_exclude_meteg,full
telisha_qetana,5,revia,4,0.05633803,leviticus,control_exclude_meteg,full
telisha_qetana,6,segol,1,0.01408451,leviticus,control_exclude_meteg,full
tevir,1,darga,166,0.39903846,leviticus,control_exclude_meteg,full
tevir,2,merkha,101,0.24278846,leviticus,control_exclude_meteg,full
tevir,3,atnah,48,0.11538462,leviticus,control_exclude_meteg,full
