taam,rank,predecessor,count,prob,book,run_label,stream_type
atnah,1,tipeha,651,0.56559513,numbers,control_exclude_meteg,core_projected
atnah,2,munah,499,0.43353606,numbers,control_exclude_meteg,core_projected
atnah,3,paseq,1,0.00086881,numbers,control_exclude_meteg,core_projected
darga,1,atnah,57,0.24050633,numbers,control_exclude_meteg,core_projected
darga,2,qadma,47,0.19831224,numbers,control_exclude_meteg,core_projected
darga,3,sof_pasuq,41,0.17299578,numbers,control_exclude_meteg,core_projected
darga,4,revia,30,0.12658228,numbers,control_exclude_meteg,core_projected
darga,5,zaqef_qatan,27,0.11392405,numbers,control_exclude_meteg,core_projected
darga,6,munah,17,0.07172996,numbers,control_exclude_meteg,core_projected
darga,7,geresh,16,0.06751055,numbers,control_exclude_meteg,core_projected
darga,8,pashta,1,0.00421941,numbers,control_exclude_meteg,core_projected
darga,9,zaqef_gadol,1,0.00421941,numbers,control_exclude_meteg,core_projected
geresh,1,qadma,202,0.9058296,numbers,control_exclude_meteg,core_projected
geresh,2,sof_pasuq,15,0.06726457,numbers,control_exclude_meteg,core_projected
geresh,3,munah,3,0.01345291,numbers,control_exclude_meteg,core_projected
geresh,4,atnah,2,0.00896861,numbers,control_exclude_meteg,core_projected
geresh,5,paseq,1,0.0044843,numbers,control_exclude_meteg,core_projected
mahapakh,1,sof_pasuq,116,0.20458554,numbers,control_exclude_meteg,core_projected
mahapakh,2,revia,116,0.20458554,numbers,control_exclude_meteg,core_projected
mahapakh,3,atnah,110,0.19400353,numbers,control_exclude_meteg,core_projected
mahapakh,4,qadma,98,0.17283951,numbers,control_exclude_meteg,core_projected
mahapakh,5,munah,58,0.10229277,numbers,control_exclude_meteg,core_projected
mahapakh,6,geresh,43,0.07583774,numbers,control_exclude_meteg,core_projected
mahapakh,7,zaqef_qatan,17,0.02998236,numbers,control_exclude_meteg,core_projected
mahapakh,8,pashta,7,0.01234568,numbers,control_exclude_meteg,core_projected
mahapakh,9,paseq,1,0.00176367,numbers,control_exclude_meteg,core_projected
mahapakh,10,merkha,1,0.00176367,numbers,control_exclude_meteg,core_projected
merkha,1,tipeha,513,0.27669903,numbers,control_exclude_meteg,core_projected
merkha,2,zaqef_qatan,435,0.23462783,numbers,control_exclude_meteg,core_projected
merkha,3,tevir,362,0.19525351,numbers,control_exclude_meteg,core_projected
merkha,4,atnah,215,0.11596548,numbers,control_exclude_meteg,core_projected
merkha,5,sof_pasuq,206,0.11111111,numbers,control_exclude_meteg,core_projected
merkha,6,qadma,50,0.02696872,numbers,control_exclude_meteg,core_projected
merkha,7,zaqef_gadol,29,0.01564186,numbers,control_exclude_meteg,core_projected
merkha,8,revia,22,0.01186624,numbers,control_exclude_meteg,core_projected
merkha,9,munah,12,0.00647249,numbers,control_exclude_meteg,core_projected
merkha,10,geresh,10,0.00539374,numbers,control_exclude_meteg,core_projected
munah,1,pashta,537,0.28472959,numbers,control_exclude_meteg,core_projected
munah,2,tipeha,501,0.26564157,numbers,control_exclude_meteg,core_projected
munah,3,sof_pasuq,329,0.17444327,numbers,control_exclude_meteg,core_projected
munah,4,atnah,169,0.08960764,numbers,control_exclude_meteg,core_projected
munah,5,munah,85,0.04506893,numbers,control_exclude_meteg,core_projected
munah,6,geresh,71,0.03764581,numbers,control_exclude_meteg,core_projected
munah,7,revia,63,0.03340403,numbers,control_exclude_meteg,core_projected
munah,8,zaqef_qatan,58,0.03075292,numbers,control_exclude_meteg,core_projected
munah,9,paseq,49,0.02598091,numbers,control_exclude_meteg,core_projected
munah,10,darga,9,0.004772,numbers,control_exclude_meteg,core_projected
paseq,1,munah,68,0.85,numbers,control_exclude_meteg,core_projected
paseq,2,merkha,6,0.075,numbers,control_exclude_meteg,core_projected
paseq,3,darga,4,0.05,numbers,control_exclude_meteg,core_projected
paseq,4,qadma,1,0.0125,numbers,control_exclude_meteg,core_projected
paseq,5,mahapakh,1,0.0125,numbers,control_exclude_meteg,core_projected
pashta,1,mahapakh,566,0.46507806,numbers,control_exclude_meteg,core_projected
pashta,2,pashta,174,0.14297453,numbers,control_exclude_meteg,core_projected
pashta,3,revia,145,0.11914544,numbers,control_exclude_meteg,core_projected
pashta,4,atnah,126,0.10353328,numbers,control_exclude_meteg,core_projected
pashta,5,sof_pasuq,116,0.09531635,numbers,control_exclude_meteg,core_projected
pashta,6,zaqef_qatan,44,0.03615448,numbers,control_exclude_meteg,core_projected
pashta,7,merkha,35,0.02875924,numbers,control_exclude_meteg,core_projected
pashta,8,munah,8,0.00657354,numbers,control_exclude_meteg,core_projected
pashta,9,zaqef_gadol,1,0.00082169,numbers,control_exclude_meteg,core_projected
pashta,10,paseq,1,0.00082169,numbers,control_exclude_meteg,core_projected
qadma,1,sof_pasuq,159,0.36635945,numbers,control_exclude_meteg,core_projected
qadma,2,telisha_qetana,88,0.20276498,numbers,control_exclude_meteg,core_projected
qadma,3,atnah,79,0.18202765,numbers,control_exclude_meteg,core_projected
qadma,4,revia,56,0.12903226,numbers,control_exclude_meteg,core_projected
qadma,5,munah,21,0.0483871,numbers,control_exclude_meteg,core_projected
qadma,6,zaqef_qatan,18,0.04147465,numbers,control_exclude_meteg,core_projected
qadma,7,geresh,11,0.02534562,numbers,control_exclude_meteg,core_projected
qadma,8,pashta,2,0.00460829,numbers,control_exclude_meteg,core_projected
revia,1,munah,294,0.5915493,numbers,control_exclude_meteg,core_projected
revia,2,geresh,69,0.138833,numbers,control_exclude_meteg,core_projected
revia,3,sof_pasuq,55,0.11066398,numbers,control_exclude_meteg,core_projected
revia,4,atnah,52,0.10462777,numbers,control_exclude_meteg,core_projected
revia,5,paseq,16,0.03219316,numbers,control_exclude_meteg,core_projected
