taam,rank,predecessor,count,prob,book,run_label,stream_type
atnah,1,tipeha,651,0.56559513,numbers,control_exclude_meteg,full
atnah,2,munah,499,0.43353606,numbers,control_exclude_meteg,full
atnah,3,paseq,1,0.00086881,numbers,control_exclude_meteg,full
darga,1,atnah,57,0.24050633,numbers,control_exclude_meteg,full
darga,2,qadma,47,0.19831224,numbers,control_exclude_meteg,full
darga,3,sof_pasuq,34,0.14345992,numbers,control_exclude_meteg,full
darga,4,revia,28,0.11814346,numbers,control_exclude_meteg,full
darga,5,zaqef_qatan,26,0.10970464,numbers,control_exclude_meteg,full
darga,6,geresh,16,0.06751055,numbers,control_exclude_meteg,full
darga,7,gershayim,13,0.05485232,numbers,control_exclude_meteg,full
darga,8,munah,7,0.02953586,numbers,control_exclude_meteg,full
darga,9,telisha_gedola,7,0.02953586,numbers,control_exclude_meteg,full
darga,10,pashta,1,0.00421941,numbers,control_exclude_meteg,full
geresh,1,qadma,202,0.9058296,numbers,control_exclude_meteg,full
geresh,2,sof_pasuq,15,0.06726457,numbers,control_exclude_meteg,full
geresh,3,atnah,2,0.00896861,numbers,control_exclude_meteg,full
geresh,4,munah,2,0.00896861,numbers,control_exclude_meteg,full
geresh,5,segol,1,0.0044843,numbers,control_exclude_meteg,full
geresh,6,paseq,1,0.0044843,numbers,control_exclude_meteg,full
gershayim,1,sof_pasuq,51,0.44736842,numbers,control_exclude_meteg,full
gershayim,2,munah,23,0.20175439,numbers,control_exclude_meteg,full
gershayim,3,atnah,18,0.15789474,numbers,control_exclude_meteg,full
gershayim,4,revia,11,0.09649123,numbers,control_exclude_meteg,full
gershayim,5,telisha_gedola,5,0.04385965,numbers,control_exclude_meteg,full
gershayim,6,segol,3,0.02631579,numbers,control_exclude_meteg,full
gershayim,7,zaqef_qatan,3,0.02631579,numbers,control_exclude_meteg,full
mahapakh,1,sof_pasuq,107,0.18871252,numbers,control_exclude_meteg,full
mahapakh,2,revia,107,0.18871252,numbers,control_exclude_meteg,full
mahapakh,3,atnah,101,0.17813051,numbers,control_exclude_meteg,full
mahapakh,4,qadma,98,0.17283951,numbers,control_exclude_meteg,full
mahapakh,5,geresh,43,0.07583774,numbers,control_exclude_meteg,full
mahapakh,6,segol,37,0.06525573,numbers,control_exclude_meteg,full
mahapakh,7,gershayim,32,0.05643739,numbers,control_exclude_meteg,full
mahapakh,8,munah,17,0.02998236,numbers,control_exclude_meteg,full
mahapakh,9,zaqef_qatan,14,0.02469136,numbers,control_exclude_meteg,full
mahapakh,10,pashta,7,0.01234568,numbers,control_exclude_meteg,full
merkha,1,tipeha,513,0.27669903,numbers,control_exclude_meteg,full
merkha,2,zaqef_qatan,435,0.23462783,numbers,control_exclude_meteg,full
merkha,3,tevir,362,0.19525351,numbers,control_exclude_meteg,full
merkha,4,atnah,212,0.11434736,numbers,control_exclude_meteg,full
merkha,5,sof_pasuq,204,0.11003236,numbers,control_exclude_meteg,full
merkha,6,qadma,50,0.02696872,numbers,control_exclude_meteg,full
merkha,7,zaqef_gadol,29,0.01564186,numbers,control_exclude_meteg,full
merkha,8,revia,21,0.01132686,numbers,control_exclude_meteg,full
merkha,9,munah,11,0.00593312,numbers,control_exclude_meteg,full
merkha,10,geresh,10,0.00539374,numbers,control_exclude_meteg,full
merkha_kefula,1,darga,2,1.0,numbers,control_exclude_meteg,full
munah,1,pashta,537,0.28472959,numbers,control_exclude_meteg,full
munah,2,tipeha,501,0.26564157,numbers,control_exclude_meteg,full
munah,3,sof_pasuq,273,0.1447508,numbers,control_exclude_meteg,full
munah,4,atnah,149,0.07900318,numbers,control_exclude_meteg,full
munah,5,geresh,71,0.03764581,numbers,control_exclude_meteg,full
munah,6,yetiv,59,0.03128314,numbers,control_exclude_meteg,full
munah,7,zinor,51,0.02704136,numbers,control_exclude_meteg,full
munah,8,zaqef_qatan,48,0.02545069,numbers,control_exclude_meteg,full
munah,9,paseq,44,0.0233298,numbers,control_exclude_meteg,full
munah,10,gershayim,43,0.02279958,numbers,control_exclude_meteg,full
paseq,1,munah,68,0.85,numbers,control_exclude_meteg,full
paseq,2,merkha,6,0.075,numbers,control_exclude_meteg,full
paseq,3,darga,4,0.05,numbers,control_exclude_meteg,full
paseq,4,qadma,1,0.0125,numbers,control_exclude_meteg,full
paseq,5,mahapakh,1,0.0125,numbers,control_exclude_meteg,full
pashta,1,mahapakh,566,0.46507806,numbers,control_exclude_meteg,full
pashta,2,pashta,174,0.14297453,numbers,control_exclude_meteg,full
pashta,3,revia,145,0.11914544,numbers,control_exclude_meteg,full
pashta,4,atnah,126,0.10353328,numbers,control_exclude_meteg,full
pashta,5,sof_pasuq,115,0.09449466,numbers,control_exclude_meteg,full
pashta,6,zaqef_qatan,44,0.03615448,numbers,control_exclude_meteg,full
pashta,7,merkha,35,0.02875924,numbers,control_exclude_meteg,full
pashta,8,segol,9,0.00739523,numbers,control_exclude_meteg,full
pashta,9,zaqef_gadol,1,0.00082169,numbers,control_exclude_meteg,full
pashta,10,paseq,1,0.00082169,numbers,control_exclude_meteg,full
pazer,1,munah,16,0.44444444,numbers,control_exclude_meteg,full
pazer,2,sof_pasuq,11,0.30555556,numbers,control_exclude_meteg,full
pazer,3,paseq,6,0.16666667,numbers,control_exclude_meteg,full
pazer,4,pazer,1,0.02777778,numbers,control_exclude_meteg,full
pazer,5,segol,1,0.02777778,numbers,control_exclude_meteg,full
pazer,6,atnah,1,0.02777778,numbers,control_exclude_meteg,full
qadma,1,sof_pasuq,152,0.35023041,numbers,control_exclude_meteg,full
qadma,2,telisha_qetana,88,0.20276498,numbers,control_exclude_meteg,full
qadma,3,atnah,65,0.14976959,numbers,control_exclude_meteg,full
qadma,4,revia,55,0.12672811,numbers,control_exclude_meteg,full
qadma,5,telisha_gedola,29,0.06682028,numbers,control_exclude_meteg,full
qadma,6,zaqef_qatan,18,0.04147465,numbers,control_exclude_meteg,full
qadma,7,geresh,10,0.02304147,numbers,control_exclude_meteg,full
qadma,8,segol,8,0.01843318,numbers,control_exclude_meteg,full
qadma,9,gershayim,6,0.01382488,numbers,control_exclude_meteg,full
qadma,10,pashta,2,0.00460829,numbers,control_exclude_meteg,full
qarney_para,1,yerah_ben_yomo,1,1.0,numbers,control_exclude_meteg,full
revia,1,munah,265,0.5331992,numbers,control_exclude_meteg,full
revia,2,geresh,69,0.138833,numbers,control_exclude_meteg,full
revia,3,sof_pasuq,54,0.10865191,numbers,control_exclude_meteg,full
revia,4,atnah,51,0.10261569,numbers,control_exclude_meteg,full
revia,5,segol,17,0.03420523,numbers,control_exclude_meteg,full
revia,6,paseq,16,0.03219316,numbers,control_exclude_meteg,full
revia,7,gershayim,15,0.03018109,numbers,control_exclude_meteg,full
revia,8,zaqef_qatan,10,0.02012072,numbers,control_exclude_meteg,full
segol,1,munah,52,0.54166667,numbers,control_exclude_meteg,full
segol,2,zinor,44,0.45833333,numbers,control_exclude_meteg,full
sof_pasuq,1,tipeha,770,0.59968847,numbers,control_exclude_meteg,full
sof_pasuq,2,merkha,511,0.39797508,numbers,control_exclude_meteg,full
sof_pasuq,3,atnah,2,0.00155763,numbers,control_exclude_meteg,full
sof_pasuq,4,paseq,1,0.00077882,numbers,control_exclude_meteg,full
telisha_gedola,1,atnah,14,0.28,numbers,control_exclude_meteg,full
telisha_gedola,2,munah,13,0.26,numbers,control_exclude_meteg,full
telisha_gedola,3,sof_pasuq,8,0.16,numbers,control_exclude_meteg,full
telisha_gedola,4,pazer,6,0.12,numbers,control_exclude_meteg,full
telisha_gedola,5,revia,5,0.1,numbers,control_exclude_meteg,full
telisha_gedola,6,segol,2,0.04,numbers,control_exclude_meteg,full
telisha_gedola,7,zaqef_qatan,1,0.02,numbers,control_exclude_meteg,full
