taam,event_count,event_share,out_total,in_total,out_degree,in_degree,successor_entropy,successor_norm_entropy,predecessor_entropy,predecessor_norm_entropy,top_successor,top_successor_prob,top_predecessor,top_predecessor_prob,book,run_label,stream_type
atnah,1466,0.07189799,1466,1466,14,5,3.27242157,0.8595,1.28212274,0.55218021,merkha,0.20259209,tipeha,0.55115962,genesis,explore_k3_7_edges20,core_projected
darga,253,0.01240804,253,253,5,10,1.02133959,0.43986702,2.83959592,0.85480355,tevir,0.80632411,sof_pasuq,0.30434783,genesis,explore_k3_7_edges20,core_projected
geresh,244,0.01196665,244,244,7,6,2.38668846,0.85015558,1.02626082,0.39701188,revia,0.34016393,qadma,0.81967213,genesis,explore_k3_7_edges20,core_projected
mahapakh,796,0.03903874,796,796,4,9,0.57659267,0.28829633,2.83998267,0.89591478,pashta,0.88190955,sof_pasuq,0.24120603,genesis,explore_k3_7_edges20,core_projected
merkha,2408,0.11809711,2408,2408,6,12,1.30291726,0.5040372,2.7354818,0.76304335,tipeha,0.61129568,tipeha,0.26121262,genesis,explore_k3_7_edges20,core_projected
meteg,2695,0.13217263,2695,2695,17,16,2.47267681,0.60494172,2.84358569,0.71089642,sof_pasuq,0.56734694,tipeha,0.34768089,genesis,explore_k3_7_edges20,core_projected
munah,2402,0.11780284,2402,2402,15,14,2.17456334,0.55659694,2.80750603,0.73739015,zaqef_qatan,0.48251457,pashta,0.30641132,genesis,explore_k3_7_edges20,core_projected
paseq,92,0.00451202,92,92,9,6,2.07779732,0.65547207,1.18520921,0.45850151,munah,0.59782609,munah,0.7826087,genesis,explore_k3_7_edges20,core_projected
pashta,1701,0.08342325,1701,1701,9,12,1.82951937,0.5771491,2.5223709,0.70359757,munah,0.43268665,mahapakh,0.41269841,genesis,explore_k3_7_edges20,core_projected
qadma,457,0.02241295,457,457,7,12,2.19995064,0.78363823,2.57888555,0.71936193,geresh,0.43763676,sof_pasuq,0.36323851,genesis,explore_k3_7_edges20,core_projected
revia,610,0.02991663,610,610,11,9,2.72655479,0.78815109,2.11075571,0.66586929,pashta,0.30655738,munah,0.52295082,genesis,explore_k3_7_edges20,core_projected
sof_pasuq,1530,0.07503678,1529,1530,16,2,3.38260321,0.8456508,0.00785722,0.00785722,munah,0.20994114,meteg,0.99934641,genesis,explore_k3_7_edges20,core_projected
telisha_qetana,93,0.00456106,93,93,2,7,0.08574268,0.08574268,2.28326242,0.81331448,qadma,0.98924731,sof_pasuq,0.41935484,genesis,explore_k3_7_edges20,core_projected
tevir,623,0.03055419,623,623,4,10,1.18021801,0.590109,2.62068697,0.78890539,merkha,0.60674157,darga,0.32744783,genesis,explore_k3_7_edges20,core_projected
tipeha,2970,0.14565964,2970,2969,7,11,1.98600474,0.70742916,2.08352557,0.60227396,meteg,0.31548822,merkha,0.49578983,genesis,explore_k3_7_edges20,core_projected
zaqef_gadol,176,0.00863168,176,176,10,6,2.10090582,0.63243567,1.8970032,0.73386101,merkha,0.49431818,zaqef_qatan,0.34090909,genesis,explore_k3_7_edges20,core_projected
zaqef_qatan,1874,0.0919078,1874,1874,13,9,2.4636973,0.66578501,1.35917087,0.42877067,tipeha,0.38367129,munah,0.61846318,genesis,explore_k3_7_edges20,core_projected
atnah,1148,0.07018831,1148,1148,15,7,3.36317448,0.8608315,1.24415602,0.44317732,merkha,0.18031359,tipeha,0.50696864,exodus,explore_k3_7_edges20,core_projected
darga,221,0.01351186,221,221,5,9,0.76812286,0.33081251,2.84588534,0.89777687,tevir,0.85520362,sof_pasuq,0.2081448,exodus,explore_k3_7_edges20,core_projected
geresh,232,0.0141844,232,232,9,8,2.5665246,0.80964837,1.03159304,0.34386435,revia,0.27586207,qadma,0.83189655,exodus,explore_k3_7_edges20,core_projected
mahapakh,657,0.04016875,657,657,8,10,0.63552128,0.21184043,2.83260096,0.85269785,pashta,0.87366819,sof_pasuq,0.23896499,exodus,explore_k3_7_edges20,core_projected
merkha,1881,0.11500367,1881,1881,11,15,1.4132214,0.4085126,2.75753308,0.70581272,tipeha,0.61297182,tipeha,0.24082935,exodus,explore_k3_7_edges20,core_projected
meteg,2085,0.12747616,2085,2085,17,17,2.45531208,0.60069343,2.83279924,0.69304587,sof_pasuq,0.57553957,tipeha,0.37458034,exodus,explore_k3_7_edges20,core_projected
munah,2000,0.12227929,2000,2000,14,15,2.35580305,0.61875058,2.89010561,0.73974572,zaqef_qatan,0.426,pashta,0.2795,exodus,explore_k3_7_edges20,core_projected
paseq,79,0.00483003,79,79,9,6,1.32371956,0.41758703,0.8850534,0.34238539,munah,0.78481013,munah,0.84810127,exodus,explore_k3_7_edges20,core_projected
pashta,1333,0.08149914,1333,1333,10,13,1.88346143,0.56697839,2.5458999,0.68799929,munah,0.41935484,mahapakh,0.43060765,exodus,explore_k3_7_edges20,core_projected
qadma,408,0.02494497,408,408,9,13,2.21413317,0.69848125,2.70976949,0.7322831,geresh,0.47303922,sof_pasuq,0.30637255,exodus,explore_k3_7_edges20,core_projected
revia,508,0.03105894,508,507,12,7,2.78457372,0.7767372,2.0240922,0.72099619,pashta,0.26377953,munah,0.53846154,exodus,explore_k3_7_edges20,core_projected
sof_pasuq,1205,0.07367327,1204,1205,15,4,3.31818236,0.8493154,0.04449601,0.022248,munah,0.2051495,meteg,0.99585062,exodus,explore_k3_7_edges20,core_projected
telisha_qetana,90,0.00550257,90,90,4,9,0.32897789,0.16448894,2.43874953,0.76933982,qadma,0.95555556,sof_pasuq,0.37777778,exodus,explore_k3_7_edges20,core_projected
tevir,585,0.03576669,585,585,5,10,1.15738378,0.49845806,2.60959583,0.78556662,merkha,0.63076923,darga,0.32307692,exodus,explore_k3_7_edges20,core_projected
tipeha,2347,0.14349474,2347,2347,8,16,1.99863879,0.66621293,2.10939275,0.52734819,meteg,0.33276523,merkha,0.49126545,exodus,explore_k3_7_edges20,core_projected
zaqef_gadol,99,0.00605282,99,99,9,5,2.15055349,0.67842409,1.76128479,0.75854407,tipeha,0.46464646,zaqef_qatan,0.39393939,exodus,explore_k3_7_edges20,core_projected
zaqef_qatan,1478,0.09036439,1478,1478,15,11,2.52161963,0.64542878,1.52121569,0.43972995,tipeha,0.40054127,munah,0.57645467,exodus,explore_k3_7_edges20,core_projected
atnah,813,0.07106022,813,813,14,4,3.22793524,0.84781569,1.22555816,0.61277908,merkha,0.22140221,tipeha,0.5399754,leviticus,explore_k3_7_edges20,core_projected
darga,171,0.01494625,171,171,4,9,0.60357799,0.30178899,2.82629513,0.89159685,tevir,0.89473684,qadma,0.22807018,leviticus,explore_k3_7_edges20,core_projected
geresh,174,0.01520846,174,174,8,6,2.33457393,0.77819131,0.84861413,0.32828876,munah,0.43103448,qadma,0.85632184,leviticus,explore_k3_7_edges20,core_projected
mahapakh,451,0.03941963,451,451,4,10,0.6279436,0.3139718,2.83862755,0.85451204,pashta,0.85587583,sof_pasuq,0.23281596,leviticus,explore_k3_7_edges20,core_projected
merkha,1373,0.12000699,1373,1373,6,12,1.40193783,0.54234358,2.73991155,0.764279,tipeha,0.58339403,tipeha,0.26948288,leviticus,explore_k3_7_edges20,core_projected
meteg,1453,0.12699939,1453,1453,16,17,2.40754451,0.60188613,2.77552321,0.67903326,sof_pasuq,0.58912595,tipeha,0.35375086,leviticus,explore_k3_7_edges20,core_projected
munah,1352,0.11817149,1352,1352,13,13,2.42804872,0.65615141,2.8416434,0.76792047,zaqef_qatan,0.42233728,pashta,0.29585799,leviticus,explore_k3_7_edges20,core_projected
paseq,54,0.00471987,54,54,10,5,1.43577233,0.43221054,0.79524744,0.34249443,munah,0.77777778,munah,0.87037037,leviticus,explore_k3_7_edges20,core_projected
pashta,900,0.07866445,900,900,7,11,1.76091501,0.62725058,2.57053922,0.74305247,munah,0.44444444,mahapakh,0.42888889,leviticus,explore_k3_7_edges20,core_projected
qadma,334,0.02919325,334,334,8,11,2.30052061,0.7668402,2.65125436,0.76638438,geresh,0.44610778,sof_pasuq,0.32934132,leviticus,explore_k3_7_edges20,core_projected
revia,312,0.02727034,312,312,10,7,2.92537905,0.88062684,1.8679551,0.66537903,pashta,0.22435897,munah,0.57051282,leviticus,explore_k3_7_edges20,core_projected
