current,next,observed_count,null_mean,null_sd,null_unique_values,z,z_reliable,empirical_p,null_exceedances,permutations,book,run_label,stream_type
meteg,sof_pasuq,1529,198.228,11.86266866,54,112.181503,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
merkha,tipeha,1472,342.696,16.00839338,70,70.544493,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
munah,zaqef_qatan,1159,215.2,13.7358909,61,68.710505,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
tipeha,meteg,937,384.152,17.41902943,72,31.738163,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
tipeha,atnah,808,208.88,12.92741553,57,46.344917,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
merkha,meteg,747,311.82,15.60106319,67,27.894253,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
pashta,munah,735,197.444,12.89246784,58,41.695353,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
zaqef_qatan,tipeha,719,267.156,13.44853585,59,33.598007,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
mahapakh,pashta,702,65.328,7.49594375,37,84.935536,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
tipeha,merkha,629,345.868,16.935816,72,16.717943,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
tipeha,munah,593,341.128,15.73141844,68,16.010762,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
zaqef_qatan,merkha,579,216.572,13.23303703,57,27.38812,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
munah,atnah,575,170.596,11.88029248,56,34.039903,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
pashta,zaqef_qatan,551,153.244,11.02973637,49,36.062149,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
tevir,merkha,378,72.764,7.35750198,37,41.486363,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
munah,revia,307,70.496,7.77145844,34,30.432383,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
pashta,pashta,297,139.16,10.94740988,53,14.418022,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
atnah,merkha,296,169.828,11.5830516,51,10.892812,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
sof_pasuq,munah,284,176.256,11.74932554,53,9.170229,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
atnah,munah,221,168.672,11.59613285,53,4.512539,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
tevir,tipeha,218,90.072,8.64811979,41,14.79258,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
darga,tevir,204,7.472,2.85408465,16,68.858504,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
qadma,geresh,200,5.488,2.43011891,13,80.042174,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
revia,pashta,187,49.6,6.68331255,32,20.558667,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
sof_pasuq,mahapakh,179,58.3,7.25067508,36,16.646726,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
merkha,tevir,160,72.3,7.59901177,35,11.540974,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
sof_pasuq,qadma,153,34.008,5.8412685,30,20.370918,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
revia,mahapakh,141,23.54,4.47128276,22,26.269866,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
atnah,mahapakh,124,55.772,7.44996806,36,9.15816,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
qadma,mahapakh,121,16.876,3.76367973,18,27.665478,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
telisha_qetana,qadma,92,2.068,1.42530769,8,63.096552,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
zaqef_gadol,merkha,87,20.012,3.85008423,20,17.3991,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
geresh,revia,83,7.24,2.56294259,15,29.559773,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
zaqef_qatan,tevir,82,56.888,7.16497057,37,3.504829,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
sof_pasuq,revia,76,45.044,6.07930058,32,5.092033,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
munah,paseq,72,10.356,2.91052377,18,21.179693,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
sof_pasuq,darga,70,18.664,4.37764309,24,11.726858,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
atnah,qadma,69,32.54,5.49848464,28,6.630918,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
yetiv,munah,67,8.88,2.65287599,14,21.908299,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
geresh,munah,61,28.192,4.66929817,25,7.026324,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
zaqef_qatan,zaqef_gadol,60,15.764,3.64106212,19,12.149202,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
revia,qadma,56,13.548,3.56462089,18,11.909261,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
atnah,zaqef_gadol,55,12.68,3.27114683,18,12.937359,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
paseq,munah,52,10.444,3.17603729,17,13.084229,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
sof_pasuq,zaqef_gadol,50,13.096,3.33154329,19,11.077149,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
zaqef_gadol,tipeha,48,25.1,4.4525612,24,5.143107,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
munah,zinor,44,8.104,2.88138744,17,12.457887,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
qadma,darga,44,5.372,2.26763858,12,17.034461,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
geresh,mahapakh,43,9.516,3.10488409,17,10.7843,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
gershayim,mahapakh,43,4.232,2.13269067,13,18.177976,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
revia,tevir,39,18.2,4.31584361,23,4.819452,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
zinor,munah,38,8.248,2.65758292,15,11.195135,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
gershayim,munah,35,13.052,3.43167621,19,6.395708,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
munah,segol,35,8.656,2.90161013,16,9.079097,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
sof_pasuq,gershayim,34,8.248,2.78739561,15,9.238732,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
sof_pasuq,telisha_qetana,32,6.672,2.68650054,16,9.427878,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
revia,yetiv,28,2.116,1.43903694,8,17.98703,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
zinor,segol,28,0.24,0.45522403,3,,False,0.00398406,0,250,genesis,explore_k3_7_edges20,full
meteg,gershayim,26,14.536,3.56250893,19,3.217957,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
telisha_gedola,qadma,26,1.14,1.0719123,6,23.192196,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
atnah,gershayim,25,7.84,2.80819226,15,6.110693,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
sof_pasuq,telisha_gedola,21,3.904,1.77634614,11,9.62425,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
zaqef_qatan,yetiv,20,7.028,2.47136533,14,5.24892,True,0.00398406,0,250,genesis,explore_k3_7_edges20,full
