source,target,count,prob_given_source,target_predecessor_share,reverse_count,asymmetry_count,asymmetry_ratio,expected_independent,lift,book,run_label,stream_type
meteg,sof_pasuq,1529,0.56734694,0.99934641,151,1378,10.12582781,202.234048,7.560547,genesis,explore_k3_7_edges20,core_projected
merkha,tipeha,1472,0.61129568,0.49578983,629,843,2.34022258,350.647506,4.197948,genesis,explore_k3_7_edges20,core_projected
munah,zaqef_qatan,1159,0.48251457,0.61846318,131,1028,8.84732824,220.773358,5.249728,genesis,explore_k3_7_edges20,core_projected
tipeha,meteg,937,0.31548822,0.34768089,194,743,4.82989691,392.571975,2.386823,genesis,explore_k3_7_edges20,core_projected
tipeha,atnah,808,0.27205387,0.55115962,213,595,3.79342723,213.547501,3.783701,genesis,explore_k3_7_edges20,core_projected
merkha,meteg,747,0.31021595,0.27717996,156,591,4.78846154,318.287312,2.346936,genesis,explore_k3_7_edges20,core_projected
pashta,munah,736,0.43268665,0.30641132,5,731,147.2,200.392467,3.672793,genesis,explore_k3_7_edges20,core_projected
zaqef_qatan,tipeha,719,0.38367129,0.24216908,0,719,inf,272.887635,2.634784,genesis,explore_k3_7_edges20,core_projected
mahapakh,pashta,702,0.88190955,0.41269841,14,688,50.14285714,66.408161,10.57099,genesis,explore_k3_7_edges20,core_projected
tipeha,merkha,629,0.21178451,0.26121262,1472,-843,0.42730978,350.765609,1.79322,genesis,explore_k3_7_edges20,core_projected
tipeha,munah,593,0.1996633,0.2468776,1,592,593.0,349.891608,1.694811,genesis,explore_k3_7_edges20,core_projected
zaqef_qatan,merkha,580,0.3094984,0.24086379,0,580,inf,221.324832,2.620583,genesis,explore_k3_7_edges20,core_projected
munah,atnah,575,0.23938385,0.39222374,242,333,2.37603306,172.70744,3.32933,genesis,explore_k3_7_edges20,core_projected
pashta,zaqef_qatan,551,0.3239271,0.29402348,65,486,8.47692308,156.342832,3.524306,genesis,explore_k3_7_edges20,core_projected
tevir,merkha,378,0.60674157,0.15697674,160,218,2.3625,73.578106,5.137398,genesis,explore_k3_7_edges20,core_projected
sof_pasuq,munah,321,0.20994114,0.13363863,0,321,inf,180.129383,1.782052,genesis,explore_k3_7_edges20,core_projected
munah,revia,319,0.132806,0.52295082,53,266,6.01886792,71.86326,4.438986,genesis,explore_k3_7_edges20,core_projected
atnah,merkha,297,0.20259209,0.12333887,0,297,inf,173.138849,1.715386,genesis,explore_k3_7_edges20,core_projected
pashta,pashta,297,0.17460317,0.17460317,297,0,1.0,141.909902,2.092877,genesis,explore_k3_7_edges20,core_projected
atnah,munah,242,0.16507503,0.10074938,575,-333,0.42086957,172.70744,1.401214,genesis,explore_k3_7_edges20,core_projected
tevir,tipeha,218,0.34991974,0.0734254,0,218,inf,90.719849,2.403002,genesis,explore_k3_7_edges20,core_projected
atnah,tipeha,213,0.14529332,0.07174133,808,-595,0.26361386,213.4756,0.997772,genesis,explore_k3_7_edges20,core_projected
sof_pasuq,merkha,205,0.13407456,0.08513289,0,205,inf,180.579332,1.135235,genesis,explore_k3_7_edges20,core_projected
darga,tevir,204,0.80632411,0.32744783,0,204,inf,7.73059,26.388671,genesis,explore_k3_7_edges20,core_projected
qadma,geresh,200,0.43763676,0.81967213,7,193,28.57142857,5.469027,36.569573,genesis,explore_k3_7_edges20,core_projected
meteg,tipeha,194,0.07198516,0.06534187,937,-743,0.20704376,392.439796,0.494343,genesis,explore_k3_7_edges20,core_projected
sof_pasuq,mahapakh,192,0.12557227,0.24120603,0,192,inf,59.693168,3.216448,genesis,explore_k3_7_edges20,core_projected
meteg,pashta,191,0.07087199,0.11228689,93,98,2.05376344,224.836677,0.849506,genesis,explore_k3_7_edges20,core_projected
revia,pashta,187,0.30655738,0.10993533,2,185,93.5,50.890676,3.674543,genesis,explore_k3_7_edges20,core_projected
sof_pasuq,qadma,166,0.10856769,0.36323851,0,166,inf,34.271078,4.843734,genesis,explore_k3_7_edges20,core_projected
