taam,rank,successor,count,prob,book,run_label,stream_type
atnah,1,merkha,194,0.16854909,numbers,explore_k3_7_edges20,full
atnah,2,tipeha,164,0.1424848,numbers,explore_k3_7_edges20,full
atnah,3,munah,141,0.12250217,numbers,explore_k3_7_edges20,full
atnah,4,meteg,134,0.1164205,numbers,explore_k3_7_edges20,full
atnah,5,pashta,104,0.09035621,numbers,explore_k3_7_edges20,full
atnah,6,mahapakh,94,0.08166811,numbers,explore_k3_7_edges20,full
atnah,7,qadma,60,0.05212858,numbers,explore_k3_7_edges20,full
atnah,8,darga,57,0.04952215,numbers,explore_k3_7_edges20,full
atnah,9,tevir,50,0.04344049,numbers,explore_k3_7_edges20,full
atnah,10,revia,45,0.03909644,numbers,explore_k3_7_edges20,full
atnah,11,zaqef_gadol,43,0.03735882,numbers,explore_k3_7_edges20,full
atnah,12,yetiv,15,0.01303215,numbers,explore_k3_7_edges20,full
atnah,13,telisha_gedola,14,0.01216334,numbers,explore_k3_7_edges20,full
atnah,14,gershayim,14,0.01216334,numbers,explore_k3_7_edges20,full
atnah,15,telisha_qetana,13,0.01129453,numbers,explore_k3_7_edges20,full
darga,1,tevir,198,0.83544304,numbers,explore_k3_7_edges20,full
darga,2,meteg,25,0.10548523,numbers,explore_k3_7_edges20,full
darga,3,munah,8,0.03375527,numbers,explore_k3_7_edges20,full
darga,4,paseq,4,0.01687764,numbers,explore_k3_7_edges20,full
darga,5,merkha_kefula,2,0.00843882,numbers,explore_k3_7_edges20,full
geresh,1,munah,69,0.30941704,numbers,explore_k3_7_edges20,full
geresh,2,revia,61,0.2735426,numbers,explore_k3_7_edges20,full
geresh,3,mahapakh,43,0.19282511,numbers,explore_k3_7_edges20,full
geresh,4,darga,16,0.07174888,numbers,explore_k3_7_edges20,full
geresh,5,meteg,12,0.05381166,numbers,explore_k3_7_edges20,full
geresh,6,qadma,10,0.04484305,numbers,explore_k3_7_edges20,full
geresh,7,merkha,9,0.04035874,numbers,explore_k3_7_edges20,full
geresh,8,telisha_qetana,1,0.0044843,numbers,explore_k3_7_edges20,full
geresh,9,pashta,1,0.0044843,numbers,explore_k3_7_edges20,full
geresh,10,tevir,1,0.0044843,numbers,explore_k3_7_edges20,full
gershayim,1,mahapakh,32,0.28070175,numbers,explore_k3_7_edges20,full
gershayim,2,munah,32,0.28070175,numbers,explore_k3_7_edges20,full
gershayim,3,revia,15,0.13157895,numbers,explore_k3_7_edges20,full
gershayim,4,darga,13,0.11403509,numbers,explore_k3_7_edges20,full
gershayim,5,meteg,11,0.09649123,numbers,explore_k3_7_edges20,full
gershayim,6,qadma,6,0.05263158,numbers,explore_k3_7_edges20,full
gershayim,7,merkha,5,0.04385965,numbers,explore_k3_7_edges20,full
mahapakh,1,pashta,503,0.88712522,numbers,explore_k3_7_edges20,full
mahapakh,2,meteg,63,0.11111111,numbers,explore_k3_7_edges20,full
mahapakh,3,paseq,1,0.00176367,numbers,explore_k3_7_edges20,full
merkha,1,tipeha,1064,0.57389428,numbers,explore_k3_7_edges20,full
merkha,2,meteg,607,0.32740022,numbers,explore_k3_7_edges20,full
merkha,3,tevir,141,0.07605178,numbers,explore_k3_7_edges20,full
merkha,4,pashta,35,0.0188781,numbers,explore_k3_7_edges20,full
merkha,5,paseq,6,0.00323625,numbers,explore_k3_7_edges20,full
merkha,6,zinor,1,0.00053937,numbers,explore_k3_7_edges20,full
merkha_kefula,1,tipeha,2,1.0,numbers,explore_k3_7_edges20,full
meteg,1,sof_pasuq,1283,0.59729981,numbers,explore_k3_7_edges20,full
meteg,2,tipeha,178,0.08286778,numbers,explore_k3_7_edges20,full
meteg,3,pashta,136,0.06331471,numbers,explore_k3_7_edges20,full
meteg,4,zaqef_qatan,125,0.05819367,numbers,explore_k3_7_edges20,full
meteg,5,merkha,78,0.03631285,numbers,explore_k3_7_edges20,full
meteg,6,meteg,53,0.02467412,numbers,explore_k3_7_edges20,full
meteg,7,munah,51,0.02374302,numbers,explore_k3_7_edges20,full
meteg,8,revia,47,0.02188082,numbers,explore_k3_7_edges20,full
meteg,9,atnah,45,0.02094972,numbers,explore_k3_7_edges20,full
meteg,10,tevir,38,0.01769088,numbers,explore_k3_7_edges20,full
meteg,11,mahapakh,26,0.01210428,numbers,explore_k3_7_edges20,full
meteg,12,gershayim,16,0.00744879,numbers,explore_k3_7_edges20,full
meteg,13,geresh,16,0.00744879,numbers,explore_k3_7_edges20,full
meteg,14,qadma,15,0.00698324,numbers,explore_k3_7_edges20,full
meteg,15,zinor,10,0.00465549,numbers,explore_k3_7_edges20,full
munah,1,zaqef_qatan,756,0.40084836,numbers,explore_k3_7_edges20,full
munah,2,atnah,484,0.25662778,numbers,explore_k3_7_edges20,full
munah,3,revia,237,0.12566278,numbers,explore_k3_7_edges20,full
munah,4,meteg,101,0.05355249,numbers,explore_k3_7_edges20,full
munah,5,paseq,68,0.03605514,numbers,explore_k3_7_edges20,full
munah,6,zinor,67,0.03552492,numbers,explore_k3_7_edges20,full
munah,7,segol,50,0.02651113,numbers,explore_k3_7_edges20,full
munah,8,munah,28,0.01484624,numbers,explore_k3_7_edges20,full
munah,9,gershayim,22,0.0116649,numbers,explore_k3_7_edges20,full
munah,10,mahapakh,17,0.00901379,numbers,explore_k3_7_edges20,full
munah,11,pazer,14,0.00742312,numbers,explore_k3_7_edges20,full
munah,12,telisha_qetana,14,0.00742312,numbers,explore_k3_7_edges20,full
munah,13,merkha,9,0.004772,numbers,explore_k3_7_edges20,full
munah,14,telisha_gedola,9,0.004772,numbers,explore_k3_7_edges20,full
munah,15,darga,6,0.00318134,numbers,explore_k3_7_edges20,full
paseq,1,munah,44,0.55,numbers,explore_k3_7_edges20,full
paseq,2,revia,16,0.2,numbers,explore_k3_7_edges20,full
paseq,3,zinor,4,0.05,numbers,explore_k3_7_edges20,full
paseq,4,tevir,4,0.05,numbers,explore_k3_7_edges20,full
paseq,5,pazer,4,0.05,numbers,explore_k3_7_edges20,full
paseq,6,meteg,3,0.0375,numbers,explore_k3_7_edges20,full
paseq,7,atnah,1,0.0125,numbers,explore_k3_7_edges20,full
paseq,8,geresh,1,0.0125,numbers,explore_k3_7_edges20,full
paseq,9,pashta,1,0.0125,numbers,explore_k3_7_edges20,full
paseq,10,tipeha,1,0.0125,numbers,explore_k3_7_edges20,full
paseq,11,telisha_gedola,1,0.0125,numbers,explore_k3_7_edges20,full
pashta,1,munah,529,0.43467543,numbers,explore_k3_7_edges20,full
pashta,2,zaqef_qatan,421,0.34593262,numbers,explore_k3_7_edges20,full
pashta,3,pashta,174,0.14297453,numbers,explore_k3_7_edges20,full
pashta,4,meteg,83,0.06820049,numbers,explore_k3_7_edges20,full
pashta,5,mahapakh,7,0.00575185,numbers,explore_k3_7_edges20,full
pashta,6,qadma,2,0.00164339,numbers,explore_k3_7_edges20,full
pashta,7,darga,1,0.00082169,numbers,explore_k3_7_edges20,full
pazer,1,telisha_qetana,18,0.5,numbers,explore_k3_7_edges20,full
pazer,2,munah,9,0.25,numbers,explore_k3_7_edges20,full
pazer,3,telisha_gedola,6,0.16666667,numbers,explore_k3_7_edges20,full
pazer,4,meteg,2,0.05555556,numbers,explore_k3_7_edges20,full
pazer,5,pazer,1,0.02777778,numbers,explore_k3_7_edges20,full
qadma,1,geresh,189,0.43448276,numbers,explore_k3_7_edges20,full
qadma,2,mahapakh,97,0.22298851,numbers,explore_k3_7_edges20,full
qadma,3,merkha,50,0.11494253,numbers,explore_k3_7_edges20,full
qadma,4,darga,44,0.10114943,numbers,explore_k3_7_edges20,full
qadma,5,zaqef_qatan,31,0.07126437,numbers,explore_k3_7_edges20,full
qadma,6,meteg,17,0.03908046,numbers,explore_k3_7_edges20,full
qadma,7,munah,6,0.0137931,numbers,explore_k3_7_edges20,full
qadma,8,paseq,1,0.00229885,numbers,explore_k3_7_edges20,full
qarney_para,1,telisha_qetana,1,1.0,numbers,explore_k3_7_edges20,full
revia,1,pashta,119,0.23943662,numbers,explore_k3_7_edges20,full
revia,2,mahapakh,102,0.20523139,numbers,explore_k3_7_edges20,full
revia,3,qadma,55,0.11066398,numbers,explore_k3_7_edges20,full
revia,4,tevir,50,0.10060362,numbers,explore_k3_7_edges20,full
revia,5,meteg,42,0.08450704,numbers,explore_k3_7_edges20,full
revia,6,munah,33,0.06639839,numbers,explore_k3_7_edges20,full
revia,7,darga,28,0.05633803,numbers,explore_k3_7_edges20,full
revia,8,yetiv,22,0.04426559,numbers,explore_k3_7_edges20,full
revia,9,merkha,19,0.03822938,numbers,explore_k3_7_edges20,full
revia,10,gershayim,10,0.02012072,numbers,explore_k3_7_edges20,full
revia,11,zinor,7,0.01408451,numbers,explore_k3_7_edges20,full
revia,12,telisha_gedola,5,0.01006036,numbers,explore_k3_7_edges20,full
revia,13,telisha_qetana,5,0.01006036,numbers,explore_k3_7_edges20,full
segol,1,mahapakh,37,0.38541667,numbers,explore_k3_7_edges20,full
segol,2,munah,15,0.15625,numbers,explore_k3_7_edges20,full
segol,3,revia,15,0.15625,numbers,explore_k3_7_edges20,full
segol,4,pashta,7,0.07291667,numbers,explore_k3_7_edges20,full
segol,5,qadma,7,0.07291667,numbers,explore_k3_7_edges20,full
