cadence_node,rank,predecessor,count,share_of_cadence_predecessors,book,run_label,stream_type
atnah,1,tipeha,808,0.55115962,genesis,main,full
atnah,2,munah,575,0.39222374,genesis,main,full
atnah,3,meteg,70,0.04774898,genesis,main,full
atnah,4,sof_pasuq,7,0.0047749,genesis,main,full
atnah,5,paseq,6,0.00409277,genesis,main,full
paseq,1,munah,72,0.7826087,genesis,main,full
paseq,2,darga,9,0.09782609,genesis,main,full
paseq,3,mahapakh,5,0.05434783,genesis,main,full
revia,1,munah,307,0.50327869,genesis,main,full
revia,2,geresh,83,0.13606557,genesis,main,full
revia,3,sof_pasuq,76,0.12459016,genesis,main,full
revia,4,atnah,63,0.10327869,genesis,main,full
revia,5,meteg,43,0.0704918,genesis,main,full
revia,6,segol,14,0.02295082,genesis,main,full
revia,7,zaqef_qatan,11,0.01803279,genesis,main,full
revia,8,paseq,6,0.00983607,genesis,main,full
sof_pasuq,1,meteg,1529,0.99934641,genesis,main,full
zaqef_gadol,1,zaqef_qatan,60,0.34090909,genesis,main,full
zaqef_gadol,2,atnah,55,0.3125,genesis,main,full
zaqef_gadol,3,sof_pasuq,50,0.28409091,genesis,main,full
zaqef_gadol,4,meteg,7,0.03977273,genesis,main,full
zaqef_qatan,1,munah,1159,0.61846318,genesis,main,full
zaqef_qatan,2,pashta,551,0.29402348,genesis,main,full
zaqef_qatan,3,meteg,124,0.06616862,genesis,main,full
zaqef_qatan,4,qadma,28,0.0149413,genesis,main,full
atnah,1,tipeha,582,0.50696864,exodus,main,full
atnah,2,munah,515,0.44860627,exodus,main,full
atnah,3,meteg,46,0.04006969,exodus,main,full
paseq,1,munah,67,0.84810127,exodus,main,full
paseq,2,merkha,7,0.08860759,exodus,main,full
revia,1,munah,262,0.51676529,exodus,main,full
revia,2,geresh,64,0.12623274,exodus,main,full
revia,3,sof_pasuq,56,0.11045365,exodus,main,full
revia,4,meteg,51,0.10059172,exodus,main,full
revia,5,atnah,46,0.09072978,exodus,main,full
revia,6,zaqef_qatan,14,0.02761341,exodus,main,full
revia,7,segol,10,0.01972387,exodus,main,full
sof_pasuq,1,meteg,1200,0.99585062,exodus,main,full
zaqef_gadol,1,zaqef_qatan,39,0.39393939,exodus,main,full
zaqef_gadol,2,atnah,37,0.37373737,exodus,main,full
zaqef_gadol,3,sof_pasuq,18,0.18181818,exodus,main,full
zaqef_qatan,1,munah,852,0.57645467,exodus,main,full
zaqef_qatan,2,pashta,447,0.30243572,exodus,main,full
zaqef_qatan,3,meteg,132,0.08930988,exodus,main,full
zaqef_qatan,4,qadma,22,0.01488498,exodus,main,full
zaqef_qatan,5,yetiv,9,0.00608931,exodus,main,full
zaqef_qatan,6,atnah,5,0.00338295,exodus,main,full
atnah,1,tipeha,439,0.5399754,leviticus,main,full
atnah,2,munah,335,0.41205412,leviticus,main,full
atnah,3,meteg,38,0.04674047,leviticus,main,full
paseq,1,munah,47,0.87037037,leviticus,main,full
revia,1,munah,175,0.56089744,leviticus,main,full
revia,2,sof_pasuq,46,0.1474359,leviticus,main,full
revia,3,geresh,38,0.12179487,leviticus,main,full
revia,4,meteg,30,0.09615385,leviticus,main,full
revia,5,atnah,14,0.04487179,leviticus,main,full
sof_pasuq,1,meteg,856,0.99883314,leviticus,main,full
zaqef_gadol,1,zaqef_qatan,24,0.43636364,leviticus,main,full
zaqef_gadol,2,sof_pasuq,17,0.30909091,leviticus,main,full
zaqef_gadol,3,atnah,13,0.23636364,leviticus,main,full
zaqef_qatan,1,munah,571,0.57852077,leviticus,main,full
zaqef_qatan,2,pashta,309,0.31306991,leviticus,main,full
zaqef_qatan,3,meteg,69,0.06990881,leviticus,main,full
zaqef_qatan,4,qadma,21,0.0212766,leviticus,main,full
zaqef_qatan,5,yetiv,8,0.00810537,leviticus,main,full
zaqef_qatan,6,sof_pasuq,7,0.0070922,leviticus,main,full
atnah,1,tipeha,621,0.53953084,numbers,main,full
atnah,2,munah,484,0.42050391,numbers,main,full
atnah,3,meteg,45,0.03909644,numbers,main,full
paseq,1,munah,68,0.85,numbers,main,full
paseq,2,merkha,6,0.075,numbers,main,full
revia,1,munah,237,0.47686117,numbers,main,full
revia,2,geresh,61,0.12273642,numbers,main,full
revia,3,sof_pasuq,52,0.10462777,numbers,main,full
revia,4,meteg,47,0.0945674,numbers,main,full
revia,5,atnah,45,0.09054326,numbers,main,full
revia,6,paseq,16,0.03219316,numbers,main,full
revia,7,segol,15,0.03018109,numbers,main,full
revia,8,gershayim,15,0.03018109,numbers,main,full
revia,9,zaqef_qatan,9,0.01810865,numbers,main,full
sof_pasuq,1,meteg,1283,0.99922118,numbers,main,full
zaqef_gadol,1,zaqef_qatan,45,0.35714286,numbers,main,full
zaqef_gadol,2,atnah,43,0.34126984,numbers,main,full
zaqef_gadol,3,sof_pasuq,34,0.26984127,numbers,main,full
zaqef_qatan,1,munah,756,0.55711127,numbers,main,full
zaqef_qatan,2,pashta,421,0.31024318,numbers,main,full
zaqef_qatan,3,meteg,125,0.09211496,numbers,main,full
zaqef_qatan,4,qadma,31,0.02284451,numbers,main,full
zaqef_qatan,5,yetiv,7,0.00515844,numbers,main,full
zaqef_qatan,6,atnah,7,0.00515844,numbers,main,full
zaqef_qatan,7,sof_pasuq,6,0.00442152,numbers,main,full
atnah,1,tipeha,513,0.5625,deuteronomy,main,full
atnah,2,munah,360,0.39473684,deuteronomy,main,full
atnah,3,meteg,34,0.0372807,deuteronomy,main,full
paseq,1,munah,66,0.80487805,deuteronomy,main,full
paseq,2,merkha,6,0.07317073,deuteronomy,main,full
revia,1,munah,269,0.52539062,deuteronomy,main,full
revia,2,geresh,69,0.13476562,deuteronomy,main,full
revia,3,sof_pasuq,65,0.12695312,deuteronomy,main,full
revia,4,atnah,44,0.0859375,deuteronomy,main,full
revia,5,meteg,40,0.078125,deuteronomy,main,full
revia,6,zaqef_qatan,16,0.03125,deuteronomy,main,full
sof_pasuq,1,meteg,943,0.9884696,deuteronomy,main,full
zaqef_gadol,1,zaqef_qatan,31,0.44285714,deuteronomy,main,full
zaqef_gadol,2,sof_pasuq,18,0.25714286,deuteronomy,main,full
zaqef_gadol,3,atnah,14,0.2,deuteronomy,main,full
zaqef_qatan,1,munah,790,0.61098221,deuteronomy,main,full
zaqef_qatan,2,pashta,364,0.28151585,deuteronomy,main,full
zaqef_qatan,3,meteg,110,0.08507347,deuteronomy,main,full
zaqef_qatan,4,qadma,11,0.00850735,deuteronomy,main,full
zaqef_qatan,5,zaqef_qatan,6,0.00464037,deuteronomy,main,full
zaqef_qatan,6,yetiv,5,0.00386698,deuteronomy,main,full
