current,next,observed_count,null_mean,null_sd,null_unique_values,z,z_reliable,empirical_p,null_exceedances,permutations,book,run_label,stream_type
meteg,sof_pasuq,1529,198.024,12.8337381,65,103.709145,True,0.00199601,0,500,genesis,main,full
merkha,tipeha,1472,343.34,15.81621653,81,71.360935,True,0.00199601,0,500,genesis,main,full
munah,zaqef_qatan,1159,215.738,12.86391529,65,73.326198,True,0.00199601,0,500,genesis,main,full
tipeha,meteg,937,384.088,17.30639415,85,31.948423,True,0.00199601,0,500,genesis,main,full
tipeha,atnah,808,208.73,13.06378295,65,45.872624,True,0.00199601,0,500,genesis,main,full
merkha,meteg,747,311.832,15.30346916,76,28.435905,True,0.00199601,0,500,genesis,main,full
pashta,munah,735,196.4,12.86152548,62,41.876837,True,0.00199601,0,500,genesis,main,full
zaqef_qatan,tipeha,719,268.114,14.45610466,70,31.190007,True,0.00199601,0,500,genesis,main,full
mahapakh,pashta,702,65.432,7.582636,43,83.950753,True,0.00199601,0,500,genesis,main,full
tipeha,merkha,629,344.992,16.21832309,80,17.511551,True,0.00199601,0,500,genesis,main,full
tipeha,munah,593,342.696,16.01188136,79,15.632392,True,0.00199601,0,500,genesis,main,full
zaqef_qatan,merkha,579,217.002,12.98750733,66,27.872785,True,0.00199601,0,500,genesis,main,full
munah,atnah,575,169.886,11.95553737,64,33.885052,True,0.00199601,0,500,genesis,main,full
pashta,zaqef_qatan,551,153.764,10.53443176,55,37.708346,True,0.00199601,0,500,genesis,main,full
tevir,merkha,378,72.434,7.52961049,40,40.581913,True,0.00199601,0,500,genesis,main,full
munah,revia,307,70.386,7.93719107,42,29.810798,True,0.00199601,0,500,genesis,main,full
pashta,pashta,297,139.478,10.69159185,58,14.73326,True,0.00199601,0,500,genesis,main,full
atnah,merkha,296,170.188,11.70258762,59,10.750785,True,0.00199601,0,500,genesis,main,full
sof_pasuq,munah,284,176.446,11.69601117,58,9.195785,True,0.00199601,0,500,genesis,main,full
atnah,munah,221,168.256,11.69015755,61,4.51183,True,0.00199601,0,500,genesis,main,full
tevir,tipeha,218,89.476,8.9879358,49,14.299613,True,0.00199601,0,500,genesis,main,full
darga,tevir,204,7.596,2.85044454,16,68.902937,True,0.00199601,0,500,genesis,main,full
qadma,geresh,200,5.454,2.34923857,14,82.812364,True,0.00199601,0,500,genesis,main,full
revia,pashta,187,49.95,6.6080885,36,20.739734,True,0.00199601,0,500,genesis,main,full
sof_pasuq,mahapakh,179,58.724,7.31839749,41,16.434745,True,0.00199601,0,500,genesis,main,full
merkha,tevir,160,71.968,7.9390827,43,11.088435,True,0.00199601,0,500,genesis,main,full
sof_pasuq,qadma,153,33.872,5.59555506,32,21.289756,True,0.00199601,0,500,genesis,main,full
revia,mahapakh,141,23.436,4.50627529,25,26.088952,True,0.00199601,0,500,genesis,main,full
atnah,mahapakh,124,56.094,6.96434981,38,9.750515,True,0.00199601,0,500,genesis,main,full
qadma,mahapakh,121,17.084,3.98556313,22,26.073104,True,0.00199601,0,500,genesis,main,full
telisha_qetana,qadma,92,2.03,1.41034682,8,63.792819,True,0.00199601,0,500,genesis,main,full
zaqef_gadol,merkha,87,20.328,4.02054045,24,16.582845,True,0.00199601,0,500,genesis,main,full
geresh,revia,83,7.198,2.57138485,16,29.479057,True,0.00199601,0,500,genesis,main,full
zaqef_qatan,tevir,82,56.222,7.23501256,39,3.562952,True,0.00199601,0,500,genesis,main,full
sof_pasuq,revia,76,44.96,6.27256647,35,4.948533,True,0.00199601,0,500,genesis,main,full
munah,paseq,72,10.502,2.92422609,19,21.030522,True,0.00199601,0,500,genesis,main,full
sof_pasuq,darga,70,18.692,4.21671642,25,12.167762,True,0.00199601,0,500,genesis,main,full
atnah,qadma,69,32.308,5.35223587,29,6.855453,True,0.00199601,0,500,genesis,main,full
yetiv,munah,67,8.78,2.67318009,15,21.779303,True,0.00199601,0,500,genesis,main,full
geresh,munah,61,28.374,5.10865155,31,6.386421,True,0.00199601,0,500,genesis,main,full
zaqef_qatan,zaqef_gadol,60,15.716,3.69684695,22,11.978857,True,0.00199601,0,500,genesis,main,full
revia,qadma,56,13.476,3.68790255,23,11.530673,True,0.00199601,0,500,genesis,main,full
atnah,zaqef_gadol,55,12.65,3.28039968,20,12.910012,True,0.00199601,0,500,genesis,main,full
paseq,munah,52,10.43,3.07962143,18,13.498412,True,0.00199601,0,500,genesis,main,full
sof_pasuq,zaqef_gadol,50,13.152,3.26775955,20,11.276227,True,0.00199601,0,500,genesis,main,full
zaqef_gadol,tipeha,48,24.978,4.56675229,25,5.041219,True,0.00199601,0,500,genesis,main,full
munah,zinor,44,8.126,2.72414499,17,13.168903,True,0.00199601,0,500,genesis,main,full
qadma,darga,44,5.462,2.29414083,15,16.798446,True,0.00199601,0,500,genesis,main,full
geresh,mahapakh,43,9.576,3.06904906,19,10.89067,True,0.00199601,0,500,genesis,main,full
