taam,rank,successor,count,prob,book,run_label,stream_type
atnah,1,munah,171,0.1875,deuteronomy,main,core_projected
atnah,2,merkha,146,0.16008772,deuteronomy,main,core_projected
atnah,3,pashta,107,0.11732456,deuteronomy,main,core_projected
atnah,4,meteg,105,0.11513158,deuteronomy,main,core_projected
atnah,5,mahapakh,104,0.11403509,deuteronomy,main,core_projected
atnah,6,tipeha,89,0.09758772,deuteronomy,main,core_projected
atnah,7,qadma,57,0.0625,deuteronomy,main,core_projected
atnah,8,revia,44,0.04824561,deuteronomy,main,core_projected
atnah,9,darga,28,0.03070175,deuteronomy,main,core_projected
atnah,10,telisha_qetana,17,0.01864035,deuteronomy,main,core_projected
darga,1,tevir,161,0.77033493,deuteronomy,main,core_projected
darga,2,meteg,23,0.11004785,deuteronomy,main,core_projected
darga,3,munah,20,0.09569378,deuteronomy,main,core_projected
darga,4,paseq,2,0.00956938,deuteronomy,main,core_projected
darga,5,darga,1,0.00478469,deuteronomy,main,core_projected
darga,6,tipeha,1,0.00478469,deuteronomy,main,core_projected
darga,7,merkha,1,0.00478469,deuteronomy,main,core_projected
geresh,1,munah,70,0.28571429,deuteronomy,main,core_projected
geresh,2,revia,69,0.28163265,deuteronomy,main,core_projected
geresh,3,mahapakh,35,0.14285714,deuteronomy,main,core_projected
geresh,4,darga,28,0.11428571,deuteronomy,main,core_projected
geresh,5,meteg,20,0.08163265,deuteronomy,main,core_projected
geresh,6,merkha,11,0.04489796,deuteronomy,main,core_projected
geresh,7,qadma,9,0.03673469,deuteronomy,main,core_projected
geresh,8,telisha_qetana,2,0.00816327,deuteronomy,main,core_projected
geresh,9,zaqef_qatan,1,0.00408163,deuteronomy,main,core_projected
mahapakh,1,pashta,487,0.84991274,deuteronomy,main,core_projected
mahapakh,2,meteg,76,0.13263525,deuteronomy,main,core_projected
mahapakh,3,paseq,3,0.0052356,deuteronomy,main,core_projected
mahapakh,4,munah,3,0.0052356,deuteronomy,main,core_projected
mahapakh,5,merkha,3,0.0052356,deuteronomy,main,core_projected
mahapakh,6,qadma,1,0.0017452,deuteronomy,main,core_projected
merkha,1,tipeha,985,0.61601001,deuteronomy,main,core_projected
merkha,2,meteg,436,0.27267042,deuteronomy,main,core_projected
merkha,3,tevir,112,0.07004378,deuteronomy,main,core_projected
merkha,4,pashta,37,0.02313946,deuteronomy,main,core_projected
merkha,5,munah,11,0.0068793,deuteronomy,main,core_projected
merkha,6,paseq,6,0.00375235,deuteronomy,main,core_projected
merkha,7,merkha,3,0.00187617,deuteronomy,main,core_projected
merkha,8,sof_pasuq,3,0.00187617,deuteronomy,main,core_projected
merkha,9,atnah,3,0.00187617,deuteronomy,main,core_projected
merkha,10,telisha_qetana,2,0.00125078,deuteronomy,main,core_projected
