k,pattern,observed_count,observed_share,enrichment_ratio,total_ngrams,null_mean,null_sd,null_unique_values,z,z_reliable,empirical_p,null_exceedances,permutations,rank,book,run_label,stream_type
3,tipeha meteg sof_pasuq,550,0.03774103,36.801606,14573,14.945,3.99899171,22,133.797477,True,0.00497512,0,200,1,deuteronomy,main,full
3,pashta munah zaqef_qatan,519,0.03561381,37.938596,14573,13.68,3.88627271,22,130.026902,True,0.00497512,0,200,2,deuteronomy,main,full
3,tevir merkha tipeha,288,0.01976257,42.666667,14573,6.75,2.59831797,13,108.243103,True,0.00497512,0,200,3,deuteronomy,main,full
3,tipeha munah atnah,353,0.02422288,24.32805,14573,14.51,3.57263469,21,94.745203,True,0.00497512,0,200,4,deuteronomy,main,full
3,merkha meteg sof_pasuq,366,0.02511494,27.498122,14573,13.31,3.79816142,18,92.858086,True,0.00497512,0,200,5,deuteronomy,main,full
3,darga tevir tipeha,81,0.00555822,103.184713,14573,0.785,0.89035874,5,90.092899,True,0.00497512,0,200,6,deuteronomy,main,full
3,darga tevir merkha,75,0.0051465,97.402597,14573,0.77,0.83702032,4,88.68363,True,0.00497512,0,200,7,deuteronomy,main,full
3,zaqef_qatan merkha tipeha,376,0.02580114,20.682068,14573,18.18,4.16103002,21,85.993131,True,0.00497512,0,200,8,deuteronomy,main,full
3,mahapakh pashta zaqef_qatan,168,0.01152817,40.826245,14573,4.115,1.99793235,11,82.027302,True,0.00497512,0,200,9,deuteronomy,main,full
3,paseq munah revia,47,0.00322514,151.612903,14573,0.31,0.57055029,4,81.833277,True,0.00497512,0,200,10,deuteronomy,main,full
3,merkha tipeha atnah,306,0.02099774,23.803967,14573,12.855,3.65661444,21,80.168419,True,0.00497512,0,200,11,deuteronomy,main,full
3,mahapakh pashta munah,180,0.01235161,32.667877,14573,5.51,2.42057761,13,72.0861,True,0.00497512,0,200,12,deuteronomy,main,full
3,merkha tipeha meteg,362,0.02484046,14.190514,14573,25.51,4.86913157,24,69.106779,True,0.00497512,0,200,13,deuteronomy,main,full
3,tipeha merkha meteg,369,0.0253208,14.637049,14573,25.21,5.13593117,28,66.938202,True,0.00497512,0,200,14,deuteronomy,main,full
3,qadma mahapakh pashta,84,0.00576408,54.901961,14573,1.53,1.24775175,6,66.094878,True,0.00497512,0,200,15,deuteronomy,main,full
3,munah zaqef_qatan tipeha,300,0.02058602,14.774686,14573,20.305,4.34353618,22,64.393386,True,0.00497512,0,200,16,deuteronomy,main,full
3,sof_pasuq qadma geresh,48,0.00329376,86.486486,14573,0.555,0.75486696,5,62.852135,True,0.00497512,0,200,17,deuteronomy,main,full
3,revia mahapakh pashta,77,0.00528374,46.385542,14573,1.66,1.24988442,7,60.277574,True,0.00497512,0,200,18,deuteronomy,main,full
3,mahapakh pashta pashta,117,0.00802855,28.746929,14573,4.07,1.89288538,12,59.660242,True,0.00497512,0,200,19,deuteronomy,main,full
3,qadma geresh munah,58,0.00397996,61.052632,14573,0.95,0.99622403,6,57.266236,True,0.00497512,0,200,20,deuteronomy,main,full
3,munah zaqef_qatan merkha,254,0.01742949,14.386859,14573,17.655,4.30098446,24,54.951373,True,0.00497512,0,200,21,deuteronomy,main,full
3,gershayim mahapakh pashta,31,0.00212722,87.323944,14573,0.355,0.58367662,4,52.503388,True,0.00497512,0,200,22,deuteronomy,main,full
3,qadma geresh mahapakh,28,0.00192136,105.660377,14573,0.265,0.5442943,4,50.955889,True,0.00497512,0,200,23,deuteronomy,main,full
3,yetiv munah zaqef_qatan,43,0.00295066,52.439024,14573,0.82,0.87258641,5,48.339052,True,0.00497512,0,200,24,deuteronomy,main,full
3,munah paseq munah,52,0.00356824,42.798354,14573,1.215,1.09763336,6,46.267726,True,0.00497512,0,200,25,deuteronomy,main,full
3,meteg sof_pasuq munah,198,0.01358677,13.423729,14573,14.75,4.06325611,20,45.099298,True,0.00497512,0,200,26,deuteronomy,main,full
3,sof_pasuq mahapakh pashta,71,0.00487202,24.14966,14573,2.94,1.60914472,8,42.295761,True,0.00497512,0,200,27,deuteronomy,main,full
3,geresh munah revia,47,0.00322514,46.305419,14573,1.015,1.10493411,6,41.617866,True,0.00497512,0,200,28,deuteronomy,main,full
3,atnah mahapakh pashta,75,0.0051465,24.752475,14573,3.03,1.82916078,10,39.345913,True,0.00497512,0,200,29,deuteronomy,main,full
3,meteg sof_pasuq qadma,78,0.00535236,20.717131,14573,3.765,1.88881261,10,39.30247,True,0.00497512,0,200,30,deuteronomy,main,full
3,geresh mahapakh pashta,32,0.00219584,40.764331,14573,0.785,0.81368632,4,38.362449,True,0.00497512,0,200,31,deuteronomy,main,full
3,gershayim munah revia,24,0.00164688,55.813953,14573,0.43,0.64589932,4,36.491755,True,0.00497512,0,200,32,deuteronomy,main,full
3,meteg sof_pasuq gershayim,33,0.00226446,32.512315,14573,1.015,0.94298521,6,33.918878,True,0.00497512,0,200,33,deuteronomy,main,full
3,zaqef_qatan tipeha atnah,107,0.00734235,10.288462,14573,10.4,3.00251151,16,32.173066,True,0.00497512,0,200,34,deuteronomy,main,full
3,meteg sof_pasuq revia,65,0.0044603,16.414141,14573,3.96,1.92011306,10,31.789795,True,0.00497512,0,200,35,deuteronomy,main,full
3,revia qadma mahapakh,26,0.00178412,40.944882,14573,0.635,0.80311892,6,31.583118,True,0.00497512,0,200,36,deuteronomy,main,full
3,sof_pasuq darga tevir,20,0.0013724,44.94382,14573,0.445,0.62363419,4,31.356523,True,0.00497512,0,200,37,deuteronomy,main,full
3,meteg sof_pasuq mahapakh,77,0.00528374,17.440544,14573,4.415,2.32157783,12,31.265374,True,0.00497512,0,200,38,deuteronomy,main,full
3,munah revia mahapakh,47,0.00322514,20.888889,14573,2.25,1.44148862,8,31.044296,True,0.00497512,0,200,39,deuteronomy,main,full
3,zaqef_qatan tevir merkha,67,0.00459754,13.562753,14573,4.94,2.00160739,11,31.005081,True,0.00497512,0,200,40,deuteronomy,main,full
3,revia tevir merkha,42,0.00288204,25.846154,14573,1.625,1.31262712,7,30.758926,True,0.00497512,0,200,41,deuteronomy,main,full
