cadence_node,rank,predecessor,count,share_of_cadence_predecessors,book,run_label,stream_type
atnah,1,tipeha,582,0.50696864,exodus,main,full
atnah,2,munah,515,0.44860627,exodus,main,full
atnah,3,meteg,46,0.04006969,exodus,main,full
paseq,1,munah,67,0.84810127,exodus,main,full
paseq,2,merkha,7,0.08860759,exodus,main,full
revia,1,munah,262,0.51676529,exodus,main,full
revia,2,geresh,64,0.12623274,exodus,main,full
revia,3,sof_pasuq,56,0.11045365,exodus,main,full
revia,4,meteg,51,0.10059172,exodus,main,full
revia,5,atnah,46,0.09072978,exodus,main,full
revia,6,zaqef_qatan,14,0.02761341,exodus,main,full
revia,7,segol,10,0.01972387,exodus,main,full
sof_pasuq,1,meteg,1200,0.99585062,exodus,main,full
zaqef_gadol,1,zaqef_qatan,39,0.39393939,exodus,main,full
zaqef_gadol,2,atnah,37,0.37373737,exodus,main,full
zaqef_gadol,3,sof_pasuq,18,0.18181818,exodus,main,full
zaqef_qatan,1,munah,852,0.57645467,exodus,main,full
zaqef_qatan,2,pashta,447,0.30243572,exodus,main,full
zaqef_qatan,3,meteg,132,0.08930988,exodus,main,full
zaqef_qatan,4,qadma,22,0.01488498,exodus,main,full
zaqef_qatan,5,yetiv,9,0.00608931,exodus,main,full
zaqef_qatan,6,atnah,5,0.00338295,exodus,main,full
