taam,rank,predecessor,count,prob,book,run_label,stream_type
atnah,1,tipeha,582,0.50696864,exodus,main,full
atnah,2,munah,515,0.44860627,exodus,main,full
atnah,3,meteg,46,0.04006969,exodus,main,full
atnah,4,sof_pasuq,2,0.00174216,exodus,main,full
atnah,5,merkha,1,0.00087108,exodus,main,full
atnah,6,qadma,1,0.00087108,exodus,main,full
atnah,7,pashta,1,0.00087108,exodus,main,full
darga,1,atnah,44,0.19909502,exodus,main,full
darga,2,sof_pasuq,41,0.18552036,exodus,main,full
darga,3,qadma,37,0.16742081,exodus,main,full
darga,4,zaqef_qatan,31,0.14027149,exodus,main,full
darga,5,revia,23,0.1040724,exodus,main,full
darga,6,geresh,19,0.08597285,exodus,main,full
darga,7,gershayim,11,0.04977376,exodus,main,full
darga,8,meteg,6,0.02714932,exodus,main,full
darga,9,munah,5,0.02262443,exodus,main,full
darga,10,zaqef_gadol,3,0.01357466,exodus,main,full
geresh,1,qadma,192,0.82758621,exodus,main,full
geresh,2,sof_pasuq,15,0.06465517,exodus,main,full
geresh,3,meteg,12,0.05172414,exodus,main,full
geresh,4,zaqef_qatan,4,0.01724138,exodus,main,full
geresh,5,atnah,2,0.00862069,exodus,main,full
geresh,6,tipeha,2,0.00862069,exodus,main,full
geresh,7,revia,1,0.00431034,exodus,main,full
geresh,8,segol,1,0.00431034,exodus,main,full
geresh,9,telisha_gedola,1,0.00431034,exodus,main,full
geresh,10,pazer,1,0.00431034,exodus,main,full
gershayim,1,sof_pasuq,42,0.42857143,exodus,main,full
gershayim,2,meteg,22,0.2244898,exodus,main,full
gershayim,3,atnah,11,0.1122449,exodus,main,full
gershayim,4,revia,8,0.08163265,exodus,main,full
gershayim,5,munah,7,0.07142857,exodus,main,full
gershayim,6,segol,4,0.04081633,exodus,main,full
gershayim,7,pashta,3,0.03061224,exodus,main,full
gershayim,8,telisha_gedola,1,0.01020408,exodus,main,full
mahapakh,1,sof_pasuq,149,0.22678843,exodus,main,full
mahapakh,2,revia,123,0.18721461,exodus,main,full
mahapakh,3,atnah,115,0.17503805,exodus,main,full
mahapakh,4,qadma,91,0.13850837,exodus,main,full
mahapakh,5,geresh,47,0.07153729,exodus,main,full
mahapakh,6,meteg,37,0.05631659,exodus,main,full
mahapakh,7,gershayim,30,0.0456621,exodus,main,full
mahapakh,8,munah,23,0.03500761,exodus,main,full
mahapakh,9,zaqef_qatan,18,0.02739726,exodus,main,full
mahapakh,10,segol,11,0.01674277,exodus,main,full
merkha,1,tipeha,453,0.24082935,exodus,main,full
merkha,2,zaqef_qatan,429,0.22807018,exodus,main,full
merkha,3,tevir,369,0.19617225,exodus,main,full
merkha,4,sof_pasuq,214,0.11376927,exodus,main,full
merkha,5,atnah,206,0.10951621,exodus,main,full
merkha,6,meteg,95,0.05050505,exodus,main,full
merkha,7,qadma,37,0.01967039,exodus,main,full
merkha,8,zaqef_gadol,27,0.01435407,exodus,main,full
merkha,9,revia,18,0.00956938,exodus,main,full
merkha,10,geresh,11,0.00584795,exodus,main,full
merkha_kefula,1,darga,1,1.0,exodus,main,full
meteg,1,tipeha,781,0.37458034,exodus,main,full
meteg,2,merkha,537,0.25755396,exodus,main,full
meteg,3,munah,101,0.04844125,exodus,main,full
meteg,4,pashta,97,0.04652278,exodus,main,full
meteg,5,sof_pasuq,90,0.04316547,exodus,main,full
meteg,6,atnah,89,0.04268585,exodus,main,full
meteg,7,zaqef_qatan,83,0.03980815,exodus,main,full
meteg,8,mahapakh,75,0.03597122,exodus,main,full
meteg,9,revia,59,0.02829736,exodus,main,full
