cadence_node,rank,predecessor,count,share_of_cadence_predecessors,book,run_label,stream_type
atnah,1,tipeha,808,0.55115962,genesis,main,full
atnah,2,munah,575,0.39222374,genesis,main,full
atnah,3,meteg,70,0.04774898,genesis,main,full
atnah,4,sof_pasuq,7,0.0047749,genesis,main,full
atnah,5,paseq,6,0.00409277,genesis,main,full
paseq,1,munah,72,0.7826087,genesis,main,full
paseq,2,darga,9,0.09782609,genesis,main,full
paseq,3,mahapakh,5,0.05434783,genesis,main,full
revia,1,munah,307,0.50327869,genesis,main,full
revia,2,geresh,83,0.13606557,genesis,main,full
revia,3,sof_pasuq,76,0.12459016,genesis,main,full
revia,4,atnah,63,0.10327869,genesis,main,full
revia,5,meteg,43,0.0704918,genesis,main,full
revia,6,segol,14,0.02295082,genesis,main,full
revia,7,zaqef_qatan,11,0.01803279,genesis,main,full
revia,8,paseq,6,0.00983607,genesis,main,full
sof_pasuq,1,meteg,1529,0.99934641,genesis,main,full
zaqef_gadol,1,zaqef_qatan,60,0.34090909,genesis,main,full
zaqef_gadol,2,atnah,55,0.3125,genesis,main,full
zaqef_gadol,3,sof_pasuq,50,0.28409091,genesis,main,full
zaqef_gadol,4,meteg,7,0.03977273,genesis,main,full
zaqef_qatan,1,munah,1159,0.61846318,genesis,main,full
zaqef_qatan,2,pashta,551,0.29402348,genesis,main,full
zaqef_qatan,3,meteg,124,0.06616862,genesis,main,full
zaqef_qatan,4,qadma,28,0.0149413,genesis,main,full
