taam,rank,successor,count,prob,book,run_label,stream_type
atnah,1,merkha,180,0.22140221,leviticus,main,core_projected
atnah,2,tipeha,126,0.15498155,leviticus,main,core_projected
atnah,3,munah,118,0.14514145,leviticus,main,core_projected
atnah,4,mahapakh,96,0.11808118,leviticus,main,core_projected
atnah,5,qadma,57,0.0701107,leviticus,main,core_projected
atnah,6,pashta,55,0.06765068,leviticus,main,core_projected
atnah,7,meteg,55,0.06765068,leviticus,main,core_projected
atnah,8,tevir,45,0.05535055,leviticus,main,core_projected
atnah,9,darga,39,0.04797048,leviticus,main,core_projected
atnah,10,revia,14,0.01722017,leviticus,main,core_projected
darga,1,tevir,153,0.89473684,leviticus,main,core_projected
darga,2,meteg,13,0.07602339,leviticus,main,core_projected
darga,3,munah,3,0.01754386,leviticus,main,core_projected
darga,4,tipeha,2,0.01169591,leviticus,main,core_projected
geresh,1,munah,75,0.43103448,leviticus,main,core_projected
geresh,2,revia,38,0.2183908,leviticus,main,core_projected
geresh,3,mahapakh,24,0.13793103,leviticus,main,core_projected
geresh,4,meteg,11,0.06321839,leviticus,main,core_projected
geresh,5,darga,9,0.05172414,leviticus,main,core_projected
geresh,6,merkha,8,0.04597701,leviticus,main,core_projected
geresh,7,qadma,7,0.04022989,leviticus,main,core_projected
geresh,8,pashta,2,0.01149425,leviticus,main,core_projected
mahapakh,1,pashta,386,0.85587583,leviticus,main,core_projected
mahapakh,2,meteg,63,0.13968958,leviticus,main,core_projected
mahapakh,3,paseq,1,0.00221729,leviticus,main,core_projected
mahapakh,4,tipeha,1,0.00221729,leviticus,main,core_projected
merkha,1,tipeha,801,0.58339403,leviticus,main,core_projected
merkha,2,meteg,440,0.32046613,leviticus,main,core_projected
merkha,3,tevir,100,0.07283321,leviticus,main,core_projected
merkha,4,pashta,26,0.01893664,leviticus,main,core_projected
merkha,5,munah,3,0.002185,leviticus,main,core_projected
merkha,6,paseq,3,0.002185,leviticus,main,core_projected
meteg,1,sof_pasuq,856,0.58912595,leviticus,main,core_projected
meteg,2,pashta,103,0.07088782,leviticus,main,core_projected
meteg,3,tipeha,93,0.06400551,leviticus,main,core_projected
meteg,4,zaqef_qatan,69,0.04748796,leviticus,main,core_projected
meteg,5,merkha,65,0.04473503,leviticus,main,core_projected
meteg,6,meteg,43,0.02959394,leviticus,main,core_projected
meteg,7,mahapakh,43,0.02959394,leviticus,main,core_projected
meteg,8,munah,39,0.02684102,leviticus,main,core_projected
meteg,9,atnah,38,0.02615279,leviticus,main,core_projected
meteg,10,revia,32,0.0220234,leviticus,main,core_projected
munah,1,zaqef_qatan,571,0.42233728,leviticus,main,core_projected
munah,2,atnah,335,0.24778107,leviticus,main,core_projected
munah,3,revia,178,0.1316568,leviticus,main,core_projected
munah,4,meteg,71,0.05251479,leviticus,main,core_projected
munah,5,munah,59,0.04363905,leviticus,main,core_projected
munah,6,paseq,47,0.03476331,leviticus,main,core_projected
munah,7,mahapakh,29,0.0214497,leviticus,main,core_projected
munah,8,telisha_qetana,18,0.01331361,leviticus,main,core_projected
munah,9,qadma,15,0.01109467,leviticus,main,core_projected
munah,10,darga,10,0.00739645,leviticus,main,core_projected
paseq,1,munah,42,0.77777778,leviticus,main,core_projected
paseq,2,mahapakh,3,0.05555556,leviticus,main,core_projected
paseq,3,geresh,2,0.03703704,leviticus,main,core_projected
paseq,4,qadma,1,0.01851852,leviticus,main,core_projected
paseq,5,pashta,1,0.01851852,leviticus,main,core_projected
paseq,6,meteg,1,0.01851852,leviticus,main,core_projected
paseq,7,darga,1,0.01851852,leviticus,main,core_projected
paseq,8,revia,1,0.01851852,leviticus,main,core_projected
paseq,9,tipeha,1,0.01851852,leviticus,main,core_projected
paseq,10,telisha_qetana,1,0.01851852,leviticus,main,core_projected
pashta,1,munah,400,0.44444444,leviticus,main,core_projected
pashta,2,zaqef_qatan,309,0.34333333,leviticus,main,core_projected
pashta,3,pashta,133,0.14777778,leviticus,main,core_projected
pashta,4,meteg,50,0.05555556,leviticus,main,core_projected
pashta,5,mahapakh,5,0.00555556,leviticus,main,core_projected
pashta,6,qadma,2,0.00222222,leviticus,main,core_projected
pashta,7,merkha,1,0.00111111,leviticus,main,core_projected
qadma,1,geresh,149,0.44610778,leviticus,main,core_projected
qadma,2,mahapakh,66,0.19760479,leviticus,main,core_projected
qadma,3,darga,39,0.11676647,leviticus,main,core_projected
qadma,4,merkha,35,0.10479042,leviticus,main,core_projected
qadma,5,zaqef_qatan,21,0.06287425,leviticus,main,core_projected
qadma,6,meteg,14,0.04191617,leviticus,main,core_projected
qadma,7,munah,8,0.0239521,leviticus,main,core_projected
qadma,8,paseq,2,0.00598802,leviticus,main,core_projected
revia,1,pashta,70,0.22435897,leviticus,main,core_projected
revia,2,mahapakh,69,0.22115385,leviticus,main,core_projected
revia,3,meteg,42,0.13461538,leviticus,main,core_projected
revia,4,qadma,34,0.10897436,leviticus,main,core_projected
revia,5,munah,32,0.1025641,leviticus,main,core_projected
revia,6,tevir,25,0.08012821,leviticus,main,core_projected
revia,7,merkha,17,0.05448718,leviticus,main,core_projected
revia,8,darga,16,0.05128205,leviticus,main,core_projected
revia,9,telisha_qetana,4,0.01282051,leviticus,main,core_projected
revia,10,zaqef_qatan,3,0.00961538,leviticus,main,core_projected
sof_pasuq,1,munah,173,0.2021028,leviticus,main,core_projected
sof_pasuq,2,merkha,131,0.15303738,leviticus,main,core_projected
sof_pasuq,3,qadma,110,0.12850467,leviticus,main,core_projected
sof_pasuq,4,mahapakh,105,0.12266355,leviticus,main,core_projected
sof_pasuq,5,pashta,72,0.08411215,leviticus,main,core_projected
sof_pasuq,6,meteg,61,0.07126168,leviticus,main,core_projected
sof_pasuq,7,revia,46,0.05373832,leviticus,main,core_projected
sof_pasuq,8,tipeha,36,0.04205607,leviticus,main,core_projected
sof_pasuq,9,telisha_qetana,34,0.03971963,leviticus,main,core_projected
sof_pasuq,10,tevir,27,0.03154206,leviticus,main,core_projected
telisha_qetana,1,qadma,69,0.97183099,leviticus,main,core_projected
telisha_qetana,2,meteg,2,0.02816901,leviticus,main,core_projected
tevir,1,merkha,238,0.57211538,leviticus,main,core_projected
tevir,2,tipeha,161,0.38701923,leviticus,main,core_projected
tevir,3,meteg,17,0.04086538,leviticus,main,core_projected
tipeha,1,meteg,514,0.30815348,leviticus,main,core_projected
tipeha,2,atnah,439,0.26318945,leviticus,main,core_projected
tipeha,3,merkha,370,0.22182254,leviticus,main,core_projected
tipeha,4,munah,344,0.20623501,leviticus,main,core_projected
tipeha,5,sof_pasuq,1,0.00059952,leviticus,main,core_projected
zaqef_gadol,1,tipeha,21,0.38181818,leviticus,main,core_projected
zaqef_gadol,2,merkha,20,0.36363636,leviticus,main,core_projected
zaqef_gadol,3,meteg,8,0.14545455,leviticus,main,core_projected
zaqef_gadol,4,tevir,5,0.09090909,leviticus,main,core_projected
zaqef_gadol,5,qadma,1,0.01818182,leviticus,main,core_projected
zaqef_qatan,1,tipeha,425,0.43059777,leviticus,main,core_projected
zaqef_qatan,2,merkha,300,0.30395137,leviticus,main,core_projected
zaqef_qatan,3,munah,56,0.05673759,leviticus,main,core_projected
zaqef_qatan,4,meteg,48,0.04863222,leviticus,main,core_projected
zaqef_qatan,5,pashta,42,0.04255319,leviticus,main,core_projected
zaqef_qatan,6,tevir,38,0.03850051,leviticus,main,core_projected
zaqef_qatan,7,zaqef_gadol,24,0.02431611,leviticus,main,core_projected
zaqef_qatan,8,darga,19,0.01925025,leviticus,main,core_projected
zaqef_qatan,9,qadma,18,0.01823708,leviticus,main,core_projected
zaqef_qatan,10,mahapakh,11,0.01114488,leviticus,main,core_projected
