taam,rank,predecessor,count,prob,book,run_label,stream_type
atnah,1,tipeha,621,0.53953084,numbers,main,core_projected
atnah,2,munah,484,0.42050391,numbers,main,core_projected
atnah,3,meteg,45,0.03909644,numbers,main,core_projected
atnah,4,paseq,1,0.00086881,numbers,main,core_projected
darga,1,atnah,57,0.24050633,numbers,main,core_projected
darga,2,qadma,44,0.18565401,numbers,main,core_projected
darga,3,sof_pasuq,38,0.16033755,numbers,main,core_projected
darga,4,revia,30,0.12658228,numbers,main,core_projected
darga,5,zaqef_qatan,26,0.10970464,numbers,main,core_projected
darga,6,geresh,16,0.06751055,numbers,main,core_projected
darga,7,munah,15,0.06329114,numbers,main,core_projected
darga,8,meteg,9,0.03797468,numbers,main,core_projected
darga,9,pashta,1,0.00421941,numbers,main,core_projected
darga,10,zaqef_gadol,1,0.00421941,numbers,main,core_projected
geresh,1,qadma,189,0.84753363,numbers,main,core_projected
geresh,2,meteg,16,0.07174888,numbers,main,core_projected
geresh,3,sof_pasuq,13,0.05829596,numbers,main,core_projected
geresh,4,munah,3,0.01345291,numbers,main,core_projected
geresh,5,paseq,1,0.0044843,numbers,main,core_projected
geresh,6,atnah,1,0.0044843,numbers,main,core_projected
mahapakh,1,revia,109,0.19223986,numbers,main,core_projected
mahapakh,2,sof_pasuq,105,0.18518519,numbers,main,core_projected
mahapakh,3,atnah,101,0.17813051,numbers,main,core_projected
mahapakh,4,qadma,97,0.17107584,numbers,main,core_projected
mahapakh,5,munah,57,0.1005291,numbers,main,core_projected
mahapakh,6,geresh,43,0.07583774,numbers,main,core_projected
mahapakh,7,meteg,32,0.05643739,numbers,main,core_projected
mahapakh,8,zaqef_qatan,16,0.02821869,numbers,main,core_projected
mahapakh,9,pashta,7,0.01234568,numbers,main,core_projected
merkha,1,tipeha,509,0.27454153,numbers,main,core_projected
merkha,2,zaqef_qatan,416,0.22437972,numbers,main,core_projected
merkha,3,tevir,339,0.1828479,numbers,main,core_projected
merkha,4,sof_pasuq,198,0.10679612,numbers,main,core_projected
merkha,5,atnah,196,0.10571737,numbers,main,core_projected
merkha,6,meteg,79,0.04261057,numbers,main,core_projected
merkha,7,qadma,50,0.02696872,numbers,main,core_projected
merkha,8,zaqef_gadol,28,0.01510248,numbers,main,core_projected
merkha,9,revia,20,0.01078749,numbers,main,core_projected
merkha,10,munah,10,0.00539374,numbers,main,core_projected
meteg,1,tipeha,808,0.37616387,numbers,main,core_projected
meteg,2,merkha,607,0.28258845,numbers,main,core_projected
meteg,3,atnah,136,0.06331471,numbers,main,core_projected
