taam,rank,successor,count,prob,book,run_label,stream_type
atnah,1,merkha,196,0.17028671,numbers,main,core_projected
atnah,2,tipeha,164,0.1424848,numbers,main,core_projected
atnah,3,munah,159,0.13814075,numbers,main,core_projected
atnah,4,meteg,136,0.11815812,numbers,main,core_projected
atnah,5,pashta,104,0.09035621,numbers,main,core_projected
atnah,6,mahapakh,101,0.08774978,numbers,main,core_projected
atnah,7,qadma,74,0.06429192,numbers,main,core_projected
atnah,8,darga,57,0.04952215,numbers,main,core_projected
atnah,9,tevir,50,0.04344049,numbers,main,core_projected
atnah,10,revia,45,0.03909644,numbers,main,core_projected
darga,1,tevir,198,0.83544304,numbers,main,core_projected
darga,2,meteg,25,0.10548523,numbers,main,core_projected
darga,3,munah,8,0.03375527,numbers,main,core_projected
darga,4,paseq,4,0.01687764,numbers,main,core_projected
darga,5,tipeha,2,0.00843882,numbers,main,core_projected
geresh,1,munah,69,0.30941704,numbers,main,core_projected
geresh,2,revia,61,0.2735426,numbers,main,core_projected
geresh,3,mahapakh,43,0.19282511,numbers,main,core_projected
geresh,4,darga,16,0.07174888,numbers,main,core_projected
geresh,5,meteg,12,0.05381166,numbers,main,core_projected
geresh,6,qadma,10,0.04484305,numbers,main,core_projected
geresh,7,merkha,9,0.04035874,numbers,main,core_projected
geresh,8,telisha_qetana,1,0.0044843,numbers,main,core_projected
geresh,9,pashta,1,0.0044843,numbers,main,core_projected
geresh,10,tevir,1,0.0044843,numbers,main,core_projected
mahapakh,1,pashta,503,0.88712522,numbers,main,core_projected
mahapakh,2,meteg,63,0.11111111,numbers,main,core_projected
mahapakh,3,paseq,1,0.00176367,numbers,main,core_projected
merkha,1,tipeha,1064,0.57389428,numbers,main,core_projected
merkha,2,meteg,607,0.32740022,numbers,main,core_projected
merkha,3,tevir,141,0.07605178,numbers,main,core_projected
merkha,4,pashta,35,0.0188781,numbers,main,core_projected
merkha,5,paseq,6,0.00323625,numbers,main,core_projected
merkha,6,munah,1,0.00053937,numbers,main,core_projected
meteg,1,sof_pasuq,1283,0.59729981,numbers,main,core_projected
meteg,2,tipeha,178,0.08286778,numbers,main,core_projected
meteg,3,pashta,137,0.06378026,numbers,main,core_projected
meteg,4,zaqef_qatan,125,0.05819367,numbers,main,core_projected
meteg,5,merkha,79,0.0367784,numbers,main,core_projected
meteg,6,munah,70,0.03258845,numbers,main,core_projected
meteg,7,meteg,56,0.02607076,numbers,main,core_projected
meteg,8,revia,50,0.02327747,numbers,main,core_projected
meteg,9,atnah,45,0.02094972,numbers,main,core_projected
meteg,10,tevir,38,0.01769088,numbers,main,core_projected
munah,1,zaqef_qatan,756,0.40084836,numbers,main,core_projected
munah,2,atnah,484,0.25662778,numbers,main,core_projected
munah,3,revia,264,0.13997879,numbers,main,core_projected
munah,4,meteg,111,0.05885472,numbers,main,core_projected
munah,5,munah,77,0.04082715,numbers,main,core_projected
munah,6,paseq,68,0.03605514,numbers,main,core_projected
munah,7,mahapakh,57,0.03022269,numbers,main,core_projected
munah,8,telisha_qetana,21,0.01113468,numbers,main,core_projected
munah,9,darga,15,0.00795334,numbers,main,core_projected
munah,10,qadma,14,0.00742312,numbers,main,core_projected
paseq,1,munah,48,0.6,numbers,main,core_projected
paseq,2,revia,16,0.2,numbers,main,core_projected
paseq,3,meteg,4,0.05,numbers,main,core_projected
paseq,4,tevir,4,0.05,numbers,main,core_projected
paseq,5,telisha_qetana,4,0.05,numbers,main,core_projected
paseq,6,atnah,1,0.0125,numbers,main,core_projected
paseq,7,geresh,1,0.0125,numbers,main,core_projected
paseq,8,pashta,1,0.0125,numbers,main,core_projected
paseq,9,tipeha,1,0.0125,numbers,main,core_projected
pashta,1,munah,529,0.43467543,numbers,main,core_projected
pashta,2,zaqef_qatan,421,0.34593262,numbers,main,core_projected
pashta,3,pashta,174,0.14297453,numbers,main,core_projected
pashta,4,meteg,83,0.06820049,numbers,main,core_projected
pashta,5,mahapakh,7,0.00575185,numbers,main,core_projected
pashta,6,qadma,2,0.00164339,numbers,main,core_projected
pashta,7,darga,1,0.00082169,numbers,main,core_projected
qadma,1,geresh,189,0.43448276,numbers,main,core_projected
qadma,2,mahapakh,97,0.22298851,numbers,main,core_projected
qadma,3,merkha,50,0.11494253,numbers,main,core_projected
qadma,4,darga,44,0.10114943,numbers,main,core_projected
qadma,5,zaqef_qatan,31,0.07126437,numbers,main,core_projected
qadma,6,meteg,17,0.03908046,numbers,main,core_projected
qadma,7,munah,6,0.0137931,numbers,main,core_projected
