measure,ngram_n,rank,pattern,count,share,level,book,run_label
word_count,2,1,13-14,12,0.01259182,verse,deuteronomy,control_large_ranges
word_count,2,2,15-12,10,0.01049318,verse,deuteronomy,control_large_ranges
word_count,2,3,17-12,9,0.00944386,verse,deuteronomy,control_large_ranges
word_count,2,4,11-11,8,0.00839454,verse,deuteronomy,control_large_ranges
word_count,2,5,10-9,8,0.00839454,verse,deuteronomy,control_large_ranges
word_count,2,6,12-14,8,0.00839454,verse,deuteronomy,control_large_ranges
word_count,2,7,16-8,7,0.00734523,verse,deuteronomy,control_large_ranges
word_count,2,8,11-12,7,0.00734523,verse,deuteronomy,control_large_ranges
word_count,2,9,16-11,6,0.00629591,verse,deuteronomy,control_large_ranges
word_count,2,10,7-16,6,0.00629591,verse,deuteronomy,control_large_ranges
word_count,2,11,20-11,6,0.00629591,verse,deuteronomy,control_large_ranges
word_count,2,12,18-14,6,0.00629591,verse,deuteronomy,control_large_ranges
word_count,2,13,13-17,6,0.00629591,verse,deuteronomy,control_large_ranges
word_count,2,14,16-13,6,0.00629591,verse,deuteronomy,control_large_ranges
word_count,2,15,10-17,6,0.00629591,verse,deuteronomy,control_large_ranges
word_count,2,16,14-11,6,0.00629591,verse,deuteronomy,control_large_ranges
word_count,2,17,17-8,5,0.00524659,verse,deuteronomy,control_large_ranges
word_count,2,18,8-14,5,0.00524659,verse,deuteronomy,control_large_ranges
word_count,2,19,15-19,5,0.00524659,verse,deuteronomy,control_large_ranges
word_count,2,20,19-11,5,0.00524659,verse,deuteronomy,control_large_ranges
word_count,2,21,11-22,5,0.00524659,verse,deuteronomy,control_large_ranges
word_count,2,22,11-17,5,0.00524659,verse,deuteronomy,control_large_ranges
word_count,2,23,8-10,5,0.00524659,verse,deuteronomy,control_large_ranges
word_count,2,24,13-13,5,0.00524659,verse,deuteronomy,control_large_ranges
word_count,2,25,14-15,5,0.00524659,verse,deuteronomy,control_large_ranges
word_count,2,26,17-15,5,0.00524659,verse,deuteronomy,control_large_ranges
word_count,2,27,12-12,5,0.00524659,verse,deuteronomy,control_large_ranges
word_count,2,28,16-20,5,0.00524659,verse,deuteronomy,control_large_ranges
word_count,2,29,12-10,5,0.00524659,verse,deuteronomy,control_large_ranges
word_count,2,30,18-12,5,0.00524659,verse,deuteronomy,control_large_ranges
word_count,2,31,14-13,5,0.00524659,verse,deuteronomy,control_large_ranges
word_count,2,32,12-19,5,0.00524659,verse,deuteronomy,control_large_ranges
word_count,2,33,7-12,5,0.00524659,verse,deuteronomy,control_large_ranges
