measure,value,count,share,cum_share,level,book,run_label
word_count,3,2,0.00155763,0.00155763,verse,numbers,control_large_ranges
word_count,4,41,0.03193146,0.0334891,verse,numbers,control_large_ranges
word_count,5,75,0.05841121,0.09190031,verse,numbers,control_large_ranges
word_count,6,54,0.04205607,0.13395639,verse,numbers,control_large_ranges
word_count,7,68,0.0529595,0.18691589,verse,numbers,control_large_ranges
word_count,8,77,0.05996885,0.24688474,verse,numbers,control_large_ranges
word_count,9,89,0.06931464,0.31619938,verse,numbers,control_large_ranges
word_count,10,86,0.06697819,0.38317757,verse,numbers,control_large_ranges
word_count,11,99,0.0771028,0.46028037,verse,numbers,control_large_ranges
word_count,12,69,0.05373832,0.51401869,verse,numbers,control_large_ranges
word_count,13,88,0.06853583,0.58255452,verse,numbers,control_large_ranges
word_count,14,80,0.0623053,0.64485981,verse,numbers,control_large_ranges
word_count,15,70,0.05451713,0.69937695,verse,numbers,control_large_ranges
word_count,16,61,0.04750779,0.74688474,verse,numbers,control_large_ranges
word_count,17,64,0.04984424,0.79672897,verse,numbers,control_large_ranges
word_count,18,48,0.03738318,0.83411215,verse,numbers,control_large_ranges
word_count,19,45,0.03504673,0.86915888,verse,numbers,control_large_ranges
word_count,20,54,0.04205607,0.91121495,verse,numbers,control_large_ranges
word_count,21,27,0.02102804,0.93224299,verse,numbers,control_large_ranges
word_count,22,21,0.01635514,0.94859813,verse,numbers,control_large_ranges
word_count,23,16,0.01246106,0.96105919,verse,numbers,control_large_ranges
word_count,24,16,0.01246106,0.97352025,verse,numbers,control_large_ranges
word_count,25,12,0.00934579,0.98286604,verse,numbers,control_large_ranges
word_count,26,7,0.00545171,0.98831776,verse,numbers,control_large_ranges
word_count,27,4,0.00311526,0.99143302,verse,numbers,control_large_ranges
word_count,28,6,0.0046729,0.99610592,verse,numbers,control_large_ranges
word_count,29,1,0.00077882,0.99688474,verse,numbers,control_large_ranges
word_count,30,4,0.00311526,1.0,verse,numbers,control_large_ranges
pulse_count,7,4,0.00311526,0.00311526,verse,numbers,control_large_ranges
pulse_count,8,14,0.01090343,0.01401869,verse,numbers,control_large_ranges
pulse_count,9,2,0.00155763,0.01557632,verse,numbers,control_large_ranges
pulse_count,10,10,0.00778816,0.02336449,verse,numbers,control_large_ranges
pulse_count,11,51,0.03971963,0.06308411,verse,numbers,control_large_ranges
pulse_count,12,10,0.00778816,0.07087227,verse,numbers,control_large_ranges
pulse_count,13,23,0.01791277,0.08878505,verse,numbers,control_large_ranges
pulse_count,14,17,0.01323988,0.10202492,verse,numbers,control_large_ranges
pulse_count,15,33,0.02570093,0.12772586,verse,numbers,control_large_ranges
pulse_count,16,30,0.02336449,0.15109034,verse,numbers,control_large_ranges
pulse_count,17,34,0.02647975,0.17757009,verse,numbers,control_large_ranges
pulse_count,18,42,0.03271028,0.21028037,verse,numbers,control_large_ranges
pulse_count,19,40,0.03115265,0.24143302,verse,numbers,control_large_ranges
pulse_count,20,53,0.04127726,0.28271028,verse,numbers,control_large_ranges
pulse_count,21,38,0.02959502,0.3123053,verse,numbers,control_large_ranges
pulse_count,22,40,0.03115265,0.34345794,verse,numbers,control_large_ranges
pulse_count,23,44,0.03426791,0.37772586,verse,numbers,control_large_ranges
pulse_count,24,41,0.03193146,0.40965732,verse,numbers,control_large_ranges
pulse_count,25,38,0.02959502,0.43925234,verse,numbers,control_large_ranges
pulse_count,26,29,0.02258567,0.46183801,verse,numbers,control_large_ranges
pulse_count,27,30,0.02336449,0.48520249,verse,numbers,control_large_ranges
pulse_count,28,43,0.0334891,0.51869159,verse,numbers,control_large_ranges
pulse_count,29,42,0.03271028,0.55140187,verse,numbers,control_large_ranges
pulse_count,30,38,0.02959502,0.58099688,verse,numbers,control_large_ranges
pulse_count,31,44,0.03426791,0.6152648,verse,numbers,control_large_ranges
pulse_count,32,34,0.02647975,0.64174455,verse,numbers,control_large_ranges
pulse_count,33,35,0.02725857,0.66900312,verse,numbers,control_large_ranges
pulse_count,34,30,0.02336449,0.6923676,verse,numbers,control_large_ranges
pulse_count,35,29,0.02258567,0.71495327,verse,numbers,control_large_ranges
pulse_count,36,26,0.02024922,0.73520249,verse,numbers,control_large_ranges
pulse_count,37,32,0.02492212,0.76012461,verse,numbers,control_large_ranges
pulse_count,38,31,0.0241433,0.78426791,verse,numbers,control_large_ranges
pulse_count,39,23,0.01791277,0.80218069,verse,numbers,control_large_ranges
pulse_count,40,11,0.00856698,0.81074766,verse,numbers,control_large_ranges
pulse_count,41,25,0.0194704,0.83021807,verse,numbers,control_large_ranges
pulse_count,42,27,0.02102804,0.85124611,verse,numbers,control_large_ranges
pulse_count,43,22,0.01713396,0.86838006,verse,numbers,control_large_ranges
pulse_count,44,19,0.01479751,0.88317757,verse,numbers,control_large_ranges
pulse_count,45,19,0.01479751,0.89797508,verse,numbers,control_large_ranges
pulse_count,46,20,0.01557632,0.9135514,verse,numbers,control_large_ranges
pulse_count,47,13,0.01012461,0.92367601,verse,numbers,control_large_ranges
pulse_count,48,10,0.00778816,0.93146417,verse,numbers,control_large_ranges
pulse_count,49,13,0.01012461,0.94158879,verse,numbers,control_large_ranges
pulse_count,50,17,0.01323988,0.95482866,verse,numbers,control_large_ranges
pulse_count,51,5,0.00389408,0.95872274,verse,numbers,control_large_ranges
pulse_count,52,9,0.00700935,0.96573209,verse,numbers,control_large_ranges
pulse_count,53,7,0.00545171,0.9711838,verse,numbers,control_large_ranges
pulse_count,54,4,0.00311526,0.97429907,verse,numbers,control_large_ranges
pulse_count,55,6,0.0046729,0.97897196,verse,numbers,control_large_ranges
pulse_count,56,4,0.00311526,0.98208723,verse,numbers,control_large_ranges
pulse_count,57,2,0.00155763,0.98364486,verse,numbers,control_large_ranges
pulse_count,58,5,0.00389408,0.98753894,verse,numbers,control_large_ranges
pulse_count,60,4,0.00311526,0.99065421,verse,numbers,control_large_ranges
pulse_count,61,4,0.00311526,0.99376947,verse,numbers,control_large_ranges
pulse_count,62,2,0.00155763,0.9953271,verse,numbers,control_large_ranges
pulse_count,63,2,0.00155763,0.99688474,verse,numbers,control_large_ranges
pulse_count,64,4,0.00311526,1.0,verse,numbers,control_large_ranges
accent_count,2,1,0.00077882,0.00077882,verse,numbers,control_large_ranges
accent_count,3,23,0.01791277,0.01869159,verse,numbers,control_large_ranges
accent_count,4,76,0.05919003,0.07788162,verse,numbers,control_large_ranges
accent_count,5,34,0.02647975,0.10436137,verse,numbers,control_large_ranges
accent_count,6,80,0.0623053,0.16666667,verse,numbers,control_large_ranges
accent_count,7,100,0.07788162,0.24454829,verse,numbers,control_large_ranges
accent_count,8,101,0.07866044,0.32320872,verse,numbers,control_large_ranges
accent_count,9,106,0.08255452,0.40576324,verse,numbers,control_large_ranges
accent_count,10,96,0.07476636,0.4805296,verse,numbers,control_large_ranges
accent_count,11,81,0.06308411,0.54361371,verse,numbers,control_large_ranges
accent_count,12,109,0.08489097,0.62850467,verse,numbers,control_large_ranges
accent_count,13,84,0.06542056,0.69392523,verse,numbers,control_large_ranges
accent_count,14,65,0.05062305,0.74454829,verse,numbers,control_large_ranges
accent_count,15,67,0.05218069,0.79672897,verse,numbers,control_large_ranges
accent_count,16,66,0.05140187,0.84813084,verse,numbers,control_large_ranges
accent_count,17,44,0.03426791,0.88239875,verse,numbers,control_large_ranges
accent_count,18,50,0.03894081,0.92133956,verse,numbers,control_large_ranges
accent_count,19,24,0.01869159,0.94003115,verse,numbers,control_large_ranges
accent_count,20,34,0.02647975,0.9665109,verse,numbers,control_large_ranges
accent_count,21,17,0.01323988,0.97975078,verse,numbers,control_large_ranges
accent_count,22,10,0.00778816,0.98753894,verse,numbers,control_large_ranges
accent_count,23,5,0.00389408,0.99143302,verse,numbers,control_large_ranges
accent_count,24,5,0.00389408,0.9953271,verse,numbers,control_large_ranges
accent_count,25,1,0.00077882,0.99610592,verse,numbers,control_large_ranges
accent_count,26,2,0.00155763,0.99766355,verse,numbers,control_large_ranges
accent_count,27,2,0.00155763,0.99922118,verse,numbers,control_large_ranges
accent_count,28,1,0.00077882,1.0,verse,numbers,control_large_ranges
word_count,1,3,0.00123203,0.00123203,major,numbers,control_large_ranges
word_count,2,145,0.05954825,0.06078029,major,numbers,control_large_ranges
word_count,3,283,0.11622177,0.17700205,major,numbers,control_large_ranges
word_count,4,287,0.11786448,0.29486653,major,numbers,control_large_ranges
word_count,5,368,0.15112936,0.44599589,major,numbers,control_large_ranges
word_count,6,312,0.12813142,0.57412731,major,numbers,control_large_ranges
word_count,7,243,0.09979466,0.67392197,major,numbers,control_large_ranges
word_count,8,179,0.07351129,0.74743326,major,numbers,control_large_ranges
word_count,9,144,0.05913758,0.80657084,major,numbers,control_large_ranges
word_count,10,123,0.05051335,0.85708419,major,numbers,control_large_ranges
word_count,11,81,0.03326489,0.89034908,major,numbers,control_large_ranges
word_count,12,79,0.03244353,0.92279261,major,numbers,control_large_ranges
word_count,13,48,0.01971253,0.94250513,major,numbers,control_large_ranges
word_count,14,37,0.01519507,0.95770021,major,numbers,control_large_ranges
word_count,15,26,0.01067762,0.96837782,major,numbers,control_large_ranges
word_count,16,22,0.00903491,0.97741273,major,numbers,control_large_ranges
word_count,17,19,0.00780287,0.98521561,major,numbers,control_large_ranges
word_count,18,15,0.00616016,0.99137577,major,numbers,control_large_ranges
word_count,19,8,0.00328542,0.99466119,major,numbers,control_large_ranges
word_count,20,7,0.00287474,0.99753593,major,numbers,control_large_ranges
word_count,21,2,0.00082136,0.99835729,major,numbers,control_large_ranges
word_count,22,1,0.00041068,0.99876797,major,numbers,control_large_ranges
word_count,23,2,0.00082136,0.99958932,major,numbers,control_large_ranges
word_count,25,1,0.00041068,1.0,major,numbers,control_large_ranges
pulse_count,3,6,0.00246407,0.00246407,major,numbers,control_large_ranges
