measure,ngram_n,rank,pattern,count,share,level,book,run_label
word_count,2,1,13-11,16,0.01046436,verse,genesis,main
word_count,2,2,12-11,16,0.01046436,verse,genesis,main
word_count,2,3,14-11,15,0.00981033,verse,genesis,main
word_count,2,4,10-11,14,0.00915631,verse,genesis,main
word_count,2,5,14-10,14,0.00915631,verse,genesis,main
word_count,2,6,13-13,13,0.00850229,verse,genesis,main
word_count,2,7,11-8,13,0.00850229,verse,genesis,main
word_count,2,8,17-12,13,0.00850229,verse,genesis,main
word_count,2,9,7-14,12,0.00784827,verse,genesis,main
word_count,2,10,12-13,12,0.00784827,verse,genesis,main
word_count,2,11,14-13,12,0.00784827,verse,genesis,main
word_count,2,12,13-10,12,0.00784827,verse,genesis,main
word_count,2,13,11-15,12,0.00784827,verse,genesis,main
word_count,2,14,11-12,11,0.00719424,verse,genesis,main
word_count,2,15,15-12,11,0.00719424,verse,genesis,main
word_count,2,16,9-14,11,0.00719424,verse,genesis,main
word_count,2,17,15-10,11,0.00719424,verse,genesis,main
word_count,2,18,15-15,11,0.00719424,verse,genesis,main
word_count,2,19,11-14,11,0.00719424,verse,genesis,main
word_count,2,20,11-11,11,0.00719424,verse,genesis,main
word_count,2,21,11-17,10,0.00654022,verse,genesis,main
word_count,2,22,10-13,10,0.00654022,verse,genesis,main
word_count,2,23,13-12,10,0.00654022,verse,genesis,main
word_count,2,24,10-12,10,0.00654022,verse,genesis,main
word_count,2,25,15-13,10,0.00654022,verse,genesis,main
word_count,2,26,10-15,10,0.00654022,verse,genesis,main
word_count,2,27,8-14,10,0.00654022,verse,genesis,main
word_count,2,28,14-15,10,0.00654022,verse,genesis,main
word_count,2,29,13-14,10,0.00654022,verse,genesis,main
word_count,2,30,12-15,10,0.00654022,verse,genesis,main
word_count,2,31,8-16,10,0.00654022,verse,genesis,main
word_count,2,32,9-18,9,0.0058862,verse,genesis,main
word_count,2,33,11-10,9,0.0058862,verse,genesis,main
word_count,2,34,9-17,9,0.0058862,verse,genesis,main
word_count,2,35,11-9,9,0.0058862,verse,genesis,main
word_count,2,36,14-17,9,0.0058862,verse,genesis,main
word_count,2,37,13-9,9,0.0058862,verse,genesis,main
word_count,2,38,17-10,8,0.00523218,verse,genesis,main
word_count,2,39,16-9,8,0.00523218,verse,genesis,main
word_count,2,40,18-8,8,0.00523218,verse,genesis,main
word_count,2,41,6-14,8,0.00523218,verse,genesis,main
word_count,2,42,16-12,8,0.00523218,verse,genesis,main
word_count,2,43,11-13,8,0.00523218,verse,genesis,main
word_count,2,44,12-12,8,0.00523218,verse,genesis,main
word_count,2,45,14-9,8,0.00523218,verse,genesis,main
word_count,2,46,17-16,8,0.00523218,verse,genesis,main
word_count,2,47,12-9,8,0.00523218,verse,genesis,main
word_count,2,48,14-8,8,0.00523218,verse,genesis,main
word_count,2,49,20-9,8,0.00523218,verse,genesis,main
word_count,2,50,16-14,8,0.00523218,verse,genesis,main
word_count,3,1,10-13-12,3,0.00196335,verse,genesis,main
word_count,3,2,15-7-14,3,0.00196335,verse,genesis,main
word_count,3,3,15-12-12,3,0.00196335,verse,genesis,main
word_count,3,4,9-17-16,3,0.00196335,verse,genesis,main
word_count,3,5,12-11-12,3,0.00196335,verse,genesis,main
word_count,3,6,12-9-14,3,0.00196335,verse,genesis,main
word_count,3,7,9-14-11,3,0.00196335,verse,genesis,main
word_count,3,8,14-10-9,3,0.00196335,verse,genesis,main
word_count,3,9,14-15-15,3,0.00196335,verse,genesis,main
word_count,3,10,11-11-10,3,0.00196335,verse,genesis,main
word_count,3,11,14-15-18,3,0.00196335,verse,genesis,main
word_count,3,12,10-11-14,3,0.00196335,verse,genesis,main
word_count,3,13,11-13-10,3,0.00196335,verse,genesis,main
word_count,3,14,13-10-18,3,0.00196335,verse,genesis,main
word_count,3,15,14-13-11,3,0.00196335,verse,genesis,main
word_count,3,16,16-9-19,3,0.00196335,verse,genesis,main
word_count,3,17,19-13-13,3,0.00196335,verse,genesis,main
word_count,3,18,9-13-14,3,0.00196335,verse,genesis,main
word_count,3,19,13-11-7,3,0.00196335,verse,genesis,main
word_count,3,20,13-13-11,3,0.00196335,verse,genesis,main
word_count,3,21,13-11-17,2,0.0013089,verse,genesis,main
word_count,3,22,11-17-10,2,0.0013089,verse,genesis,main
word_count,3,23,16-9-18,2,0.0013089,verse,genesis,main
word_count,3,24,9-18-8,2,0.0013089,verse,genesis,main
word_count,3,25,12-6-15,2,0.0013089,verse,genesis,main
word_count,3,26,23-13-6,2,0.0013089,verse,genesis,main
word_count,3,27,19-13-22,2,0.0013089,verse,genesis,main
word_count,3,28,21-15-5,2,0.0013089,verse,genesis,main
word_count,3,29,11-12-8,2,0.0013089,verse,genesis,main
word_count,3,30,8-10-12,2,0.0013089,verse,genesis,main
word_count,3,31,10-12-10,2,0.0013089,verse,genesis,main
word_count,3,32,15-13-13,2,0.0013089,verse,genesis,main
word_count,3,33,13-15-13,2,0.0013089,verse,genesis,main
word_count,3,34,13-18-8,2,0.0013089,verse,genesis,main
word_count,3,35,8-10-15,2,0.0013089,verse,genesis,main
word_count,3,36,14-9-13,2,0.0013089,verse,genesis,main
word_count,3,37,9-13-11,2,0.0013089,verse,genesis,main
word_count,3,38,15-14-13,2,0.0013089,verse,genesis,main
word_count,3,39,14-13-10,2,0.0013089,verse,genesis,main
word_count,3,40,13-10-14,2,0.0013089,verse,genesis,main
word_count,3,41,10-14-13,2,0.0013089,verse,genesis,main
word_count,3,42,14-12-11,2,0.0013089,verse,genesis,main
word_count,3,43,11-12-13,2,0.0013089,verse,genesis,main
word_count,3,44,13-12-9,2,0.0013089,verse,genesis,main
word_count,3,45,10-7-14,2,0.0013089,verse,genesis,main
word_count,3,46,11-10-12,2,0.0013089,verse,genesis,main
