metric,observed,null_mean,null_sd,z,empirical_p,book,level,shape_field,n_segments,vocab_size,split_mode,transition_accent_mode,empirical_p_tail,n_train_bigrams,n_test_bigrams
unigram_entropy,2.86053261,2.86053261,0,0,,deuteronomy,minor,transition_bucket_shape,3812,17,chronological,accent_words,,,
conditional_entropy,2.808672,2.82316252,0.00342824,-4.226816,0.00199601,deuteronomy,minor,transition_bucket_shape,3812,17,chronological,accent_words,lower,,
entropy_reduction,0.05186061,0.03737008,0.00342824,4.226816,0.00199601,deuteronomy,minor,transition_bucket_shape,3812,17,chronological,accent_words,upper,,
in_sample_next_accuracy,0.33639465,0.33640987,0.00078635,-0.019354,0.4750499,deuteronomy,minor,transition_bucket_shape,3812,17,chronological,accent_words,upper,,
cv_next_accuracy,0.39973788,0.33268152,0.01528794,4.386225,0.00199601,deuteronomy,minor,transition_bucket_shape,3812,17,chronological,accent_words,upper,3048,763
unigram_entropy,3.67431305,3.67431305,0,0,,deuteronomy,minor,transition_exact_shape,3812,49,chronological,accent_words,,,
conditional_entropy,3.47296288,3.50447514,0.00656958,-4.796694,0.00199601,deuteronomy,minor,transition_exact_shape,3812,49,chronological,accent_words,lower,,
entropy_reduction,0.20135016,0.16983791,0.00656958,4.796694,0.00199601,deuteronomy,minor,transition_exact_shape,3812,49,chronological,accent_words,upper,,
in_sample_next_accuracy,0.25557596,0.25192653,0.00154617,2.360308,0.02195609,deuteronomy,minor,transition_exact_shape,3812,49,chronological,accent_words,upper,,
cv_next_accuracy,0.28964613,0.23720839,0.01396855,3.753986,0.00199601,deuteronomy,minor,transition_exact_shape,3812,49,chronological,accent_words,upper,3048,763
unigram_entropy,4.68169506,4.68169506,0,0,,deuteronomy,major,transition_bucket_shape,1862,53,chronological,accent_words,,,
conditional_entropy,4.1478875,4.13907908,0.01409151,0.625087,0.73453094,deuteronomy,major,transition_bucket_shape,1862,53,chronological,accent_words,lower,,
entropy_reduction,0.53380756,0.54261598,0.01409151,-0.625087,0.73453094,deuteronomy,major,transition_bucket_shape,1862,53,chronological,accent_words,upper,,
in_sample_next_accuracy,0.14132187,0.14560129,0.00381733,-1.121049,0.87824351,deuteronomy,major,transition_bucket_shape,1862,53,chronological,accent_words,upper,,
cv_next_accuracy,0.08847185,0.08952279,0.01405842,-0.074755,0.55489022,deuteronomy,major,transition_bucket_shape,1862,53,chronological,accent_words,upper,1488,373
unigram_entropy,6.32174755,6.32174755,0,0,,deuteronomy,major,transition_exact_shape,1862,223,chronological,accent_words,,,
conditional_entropy,3.90756026,3.92422416,0.01819468,-0.915867,0.19760479,deuteronomy,major,transition_exact_shape,1862,223,chronological,accent_words,lower,,
entropy_reduction,2.41418729,2.3975234,0.01819468,0.915867,0.19760479,deuteronomy,major,transition_exact_shape,1862,223,chronological,accent_words,upper,,
in_sample_next_accuracy,0.19022031,0.18594841,0.00350837,1.217631,0.12974052,deuteronomy,major,transition_exact_shape,1862,223,chronological,accent_words,upper,,
cv_next_accuracy,0.05093834,0.04310992,0.01038181,0.754052,0.25948104,deuteronomy,major,transition_exact_shape,1862,223,chronological,accent_words,upper,1488,373
unigram_entropy,4.53578716,4.53578716,0,0,,deuteronomy,verse,transition_bucket_shape,954,39,chronological,accent_words,,,
conditional_entropy,3.7744113,3.85067332,0.02242665,-3.400509,0.00199601,deuteronomy,verse,transition_bucket_shape,954,39,chronological,accent_words,lower,,
entropy_reduction,0.76137586,0.68511384,0.02242665,3.400509,0.00199601,deuteronomy,verse,transition_bucket_shape,954,39,chronological,accent_words,upper,,
in_sample_next_accuracy,0.15634837,0.154149,0.00520868,0.422251,0.38123752,deuteronomy,verse,transition_bucket_shape,954,39,chronological,accent_words,upper,,
cv_next_accuracy,0.05235602,0.07417801,0.0187881,-1.161479,0.88822355,deuteronomy,verse,transition_bucket_shape,954,39,chronological,accent_words,upper,762,191
unigram_entropy,7.78037991,7.78037991,0,0,,deuteronomy,verse,transition_exact_shape,954,320,chronological,accent_words,,,
conditional_entropy,2.07336875,2.09108967,0.00750457,-2.36135,0.01197605,deuteronomy,verse,transition_exact_shape,954,320,chronological,accent_words,lower,,
entropy_reduction,5.70701117,5.68929025,0.00750457,2.36135,0.01197605,deuteronomy,verse,transition_exact_shape,954,320,chronological,accent_words,upper,,
in_sample_next_accuracy,0.35257083,0.34724869,0.00334387,1.59161,0.07984032,deuteronomy,verse,transition_exact_shape,954,320,chronological,accent_words,upper,,
cv_next_accuracy,0.0052356,0.00582199,0.00559436,-0.104818,0.66866267,deuteronomy,verse,transition_exact_shape,954,320,chronological,accent_words,upper,762,191
