from_shape,to_shape,count,p_to_given_from,p_to_background,lift,null_mean,null_sd,z,empirical_p,empirical_p_tail,p_value_scope,book,level,shape_field,transition_accent_mode
P<=4_A4_C0,P<=4_A0-1_C0,44,0.1060241,0.07347153,1.44306368,30.346,4.60746584,2.963451,0.00199601,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,accent_words
P<=4_A0-1_C0,P5-6_A5_C0,34,0.12142857,0.08134348,1.49278802,22.754,4.25743297,2.641498,0.00998004,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,accent_words
P5-6_A4_C0,P<=4_A0-1_C0,29,0.116,0.07347153,1.57884286,18.58,4.33048568,2.406197,0.01596806,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,accent_words
P<=4_A3_C0,P<=4_A0-1_C0,111,0.08685446,0.07347153,1.18215124,93.77,7.58156053,2.272619,0.01397206,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,accent_words
P<=4_A2_C0,P5-6_A3_C0,26,0.03128761,0.02204146,1.41948885,18.12,3.66557948,2.149728,0.02195609,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,accent_words
P5-6_A5_C0,P5-6_A4_C0,29,0.09354839,0.06559958,1.42605161,19.96,4.52762618,1.996631,0.04391218,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,accent_words
P<=4_A0-1_C0,P5-6_A4_C0,25,0.08928571,0.06559958,1.36107143,18.296,4.13649673,1.620695,0.07185629,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,accent_words
P<=4_A2_C0,P5-6_A6-7_C0,25,0.03008424,0.02309105,1.30285253,19.204,3.84029683,1.509258,0.09381238,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,accent_words
P7-9_A6-7_C0,P<=4_A4_C0,20,0.1459854,0.1088953,1.34060329,14.992,3.47967704,1.439214,0.10978044,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,accent_words
P<=4_A2_C0,P<=4_A3_C0,294,0.35379061,0.33534505,1.05500472,278.8,12.12245469,1.253871,0.11976048,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,accent_words
P<=4_A3_C0,P<=4_A3_C0,442,0.3458529,0.33534505,1.03133442,427.952,13.32654831,1.054136,0.14770459,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,accent_words
P5-6_A6-7_C0,P<=4_A2_C0,23,0.26136364,0.218053,1.19862433,18.984,3.87010328,1.037698,0.18363273,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,accent_words
P<=4_A0-1_C0,P<=4_A3_C0,102,0.36428571,0.33534505,1.08630114,94.16,7.63406562,1.026976,0.16766467,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,accent_words
P<=4_A4_C0,P<=4_A2_C0,98,0.23614458,0.218053,1.0829687,90.884,7.97607545,0.892168,0.20159681,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,accent_words
P5-6_A5_C0,P<=4_A0-1_C0,26,0.08387097,0.07347153,1.14154378,22.646,4.49946378,0.745422,0.27345309,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,accent_words
P<=4_A3_C0,P7-9_A6-7_C0,50,0.03912363,0.03594857,1.08832231,45.932,5.50053523,0.739564,0.24750499,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,accent_words
P5-6_A4_C0,P<=4_A4_C0,31,0.124,0.1088953,1.13870843,27.362,5.06421252,0.718374,0.26546906,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,accent_words
P7-9_A6-7_C0,P<=4_A2_C0,33,0.24087591,0.218053,1.10466679,29.77,4.75798032,0.678859,0.27744511,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,accent_words
P<=4_A4_C0,P<=4_A4_C0,48,0.11566265,0.1088953,1.06214545,44.99,5.61649268,0.535922,0.33333333,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,accent_words
P<=4_A3_C0,P7-9_A8+_C0,14,0.01095462,0.00997114,1.09863273,12.558,2.8863989,0.499584,0.37325349,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,accent_words
P5-6_A5_C0,P<=4_A2_C0,71,0.22903226,0.218053,1.05035131,67.798,7.05923946,0.45359,0.35129741,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,accent_words
P5-6_A4_C0,P5-6_A5_C0,21,0.084,0.08134348,1.03265806,20.23,4.34774721,0.177103,0.46706587,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,accent_words
P<=4_A2_C0,P<=4_A2_C0,183,0.22021661,0.218053,1.00992237,181.452,10.21118174,0.151599,0.4510978,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,accent_words
